kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
5794570,2,K02675.02,CAND,-,-,0.896,0.764,No,left_only
9823487,1,K01489.01,CAND,-,-,0.894,0.882,No,left_only
11187837,1,K00252.01,CAND,-,-,0.893,0.862,No,both
8495415,1,K02362.01,FP,-,-,0.892,-,No,both
9266431,1,K00704.01,CAND,-,-,0.89,0.9,No,left_only
11071200,2,K02696.02,CAND,-,-,0.887,0.858,No,left_only
5770074,1,K01928.01,CAND,-,-,0.887,0.719,No,left_only
2853780,1,K02081.01,CAND,-,-,0.885,0.943,No,left_only
5792202,3,K00841.03,CAND,-,-,0.884,0.832,No,left_only
9150827,1,K01408.01,CAND,-,0.505,0.883,0.865,No,left_only
8613535,1,K02263.01,CAND,-,-,0.88,0.907,No,left_only
5031857,2,K01573.02,CAND,-,0.967,0.879,0.584,No,left_only
5374838,1,K05155.01,CAND,-,-,0.877,0.66,No,left_only
5342473,1,K02297.01,CAND,-,-,0.875,0.818,No,left_only
5211199,1,K02158.01,CAND,-,-,0.873,0.92,No,left_only
8073806,1,K02411.01,CAND,-,-,0.873,0.899,No,left_only
11297236,1,K01857.01,CAND,-,-,0.872,0.686,No,left_only
5031857,1,K01573.01,CAND,-,-,0.871,0.676,No,left_only
7697568,1,K01829.01,FP,-,-,0.869,-,No,left_only
9006186,2,K02169.02,CAND,-,-,0.868,0.886,No,left_only
11874577,1,K02779.01,CAND,-,-,0.868,0.845,No,left_only
2438513,1,K01944.01,CAND,-,-,0.867,0.952,No,left_only
9592705,1,K00288.01,CAND,-,-,0.867,0.734,No,both
6049190,1,K01685.01,CAND,-,-,0.867,0.564,No,left_only
5020319,1,K00635.01,CAND,-,0.508,0.866,0.912,No,left_only
3940418,1,K00810.01,CAND,-,-,0.866,0.824,No,left_only
6946199,2,K01359.02,CAND,-,-,0.865,0.759,No,left_only
7670943,1,K00269.01,CAND,-,-,0.864,0.904,No,left_only
10676824,1,K00599.01,CAND,-,-,0.859,0.77,No,left_only
11810124,1,K03344.01,CAND,-,-,0.854,0.761,No,left_only
6383785,2,K00239.02,CAND,-,-,0.853,0.853,No,left_only
5195172,1,K01671.01,CAND,-,-,0.85,0.978,No,left_only
10134152,1,K02056.01,CAND,-,-,0.85,0.906,No,left_only
11071200,1,K02696.01,CAND,-,-,0.848,0.633,No,left_only
9117416,2,K03425.02,CAND,-,-,0.845,0.841,No,both
4770365,2,K01475.02,CAND,-,-,0.843,0.785,No,left_only
7887791,1,K01964.01,CAND,-,-,0.841,-,No,left_only
7364176,1,K00373.01,CAND,-,-,0.84,0.679,No,left_only
9006186,3,K02169.03,CAND,-,-,0.838,0.893,No,left_only
9904006,2,K02135.02,CAND,-,-,0.837,0.746,No,left_only
11026304,1,K01420.01,CAND,-,-,0.836,-,No,left_only
3128552,3,K02055.03,CAND,-,-,0.834,0.77,No,left_only
11337141,1,K01649.01,CAND,-,-,0.832,-,No,left_only
7899070,1,K02683.01,CAND,-,-,0.832,0.838,No,left_only
4365645,1,K01738.01,CAND,-,-,0.83,0.884,No,left_only
9244756,1,K01969.01,CAND,-,-,0.83,0.848,No,left_only
10395543,1,K00531.01,CAND,-,-,0.829,0.907,No,both
9636135,2,K01498.02,CAND,-,-,0.828,-,No,left_only
6587002,3,K00612.03,CAND,-,-,0.826,0.855,No,left_only
7948784,1,K01968.01,CAND,-,-,0.823,0.708,No,left_only
11705004,1,K02199.01,CAND,-,-,0.822,0.544,No,left_only
9837661,3,K02715.03,CAND,-,-,0.82,0.75,No,left_only
12017109,1,K02106.01,CAND,-,-,0.819,0.848,No,left_only
