kepid,tce_plnt_num,kepoi_name,koi_disposition,DT
11657614,1,K03370.01,CANDIDATE,0.758
10924400,2,,,0.757
3648437,1,K01861.01,CANDIDATE,0.756
9714123,2,,,0.755
6543893,2,K01627.02,CANDIDATE,0.754
10319385,1,K01169.01,CANDIDATE,0.751
9837661,3,K02715.03,CANDIDATE,0.75
11967788,1,K04021.01,CANDIDATE,0.75
12120943,1,K01458.01,CANDIDATE,0.748
10094670,1,K01984.01,CANDIDATE,0.748
4770174,1,K02971.01,CANDIDATE,0.747
8256453,1,K02573.01,CANDIDATE,0.747
9904006,2,K02135.02,CANDIDATE,0.746
6862721,1,K01982.01,CANDIDATE,0.746
6291837,1,K00308.01,CANDIDATE,0.746
2164169,1,K01029.01,CANDIDATE,0.744
10091110,3,,,0.742
5003117,2,,,0.742
8018547,1,K00902.01,CANDIDATE,0.742
9632895,2,,,0.742
11568987,2,K00354.02,CANDIDATE,0.741
4860678,1,K01602.01,CANDIDATE,0.741
10843431,1,K07378.01,CANDIDATE,0.741
10028352,1,K01957.01,CANDIDATE,0.74
4857213,1,K02120.01,CANDIDATE,0.74
12009347,2,,,0.738
5978361,1,K00558.01,CANDIDATE,0.738
11030475,2,,,0.736
5124667,1,K01822.01,CANDIDATE,0.736
6805146,2,,,0.736
9230021,1,K03429.01,CANDIDATE,0.735
8265218,1,K00522.01,CANDIDATE,0.735
9592705,1,K00288.01,CANDIDATE,0.734
6342333,1,K02065.01,CANDIDATE,0.733
8949925,1,K02972.01,CANDIDATE,0.733
7103919,1,K04310.01,CANDIDATE,0.732
6605493,1,K02559.01,CANDIDATE,0.731
12785320,2,K00298.02,CANDIDATE,0.729
3967326,1,K02084.01,CANDIDATE,0.729
7987866,1,K02363.01,CANDIDATE,0.728
8257205,2,K01986.02,CANDIDATE,0.727
6609270,1,K03090.01,CANDIDATE,0.727
8655354,2,,,0.726
10332789,2,,,0.726
10514430,3,,,0.726
9896018,2,K02579.02,CANDIDATE,0.726
10616571,3,,,0.724
10793172,2,K02871.02,CANDIDATE,0.723
9528420,2,,,0.721
5213230,1,K03474.01,CANDIDATE,0.72
5775129,1,K02802.01,CANDIDATE,0.719
5770074,1,K01928.01,CANDIDATE,0.719
10922659,1,K03335.01,CANDIDATE,0.719
6614926,2,,,0.718
12156347,1,K02588.01,CANDIDATE,0.718
7017274,2,K03209.02,CANDIDATE,0.718
10736489,1,K07368.01,CANDIDATE,0.717
9532710,1,K02364.01,FALSE POSITIVE,0.716
6719086,1,K01357.01,CANDIDATE,0.715
7287683,1,K01622.01,CANDIDATE,0.715
3323887,2,,,0.714
10418797,2,,,0.713
11752906,2,K00253.02,CANDIDATE,0.712
9475552,2,K02694.02,CANDIDATE,0.711
8709688,1,K03019.01,CANDIDATE,0.709
7102227,3,K01360.03,CANDIDATE,0.708
7700622,1,K00315.01,CANDIDATE,0.708
7948784,1,K01968.01,CANDIDATE,0.708
7522911,1,K01705.01,CANDIDATE,0.707
8580438,2,,,0.705
8823868,2,,,0.705
6432345,1,K02757.01,CANDIDATE,0.705
9872292,1,K01537.01,CANDIDATE,0.704
8247770,1,K02569.01,CANDIDATE,0.703
12017140,2,,,0.702
7021681,2,K00255.02,CANDIDATE,0.701
5450893,1,K02970.01,CANDIDATE,0.7
11754430,2,K03403.02,CANDIDATE,0.699
8581240,1,K03111.01,CANDIDATE,0.699
10158418,1,K01784.01,CANDIDATE,0.699
4665571,2,K02393.02,CANDIDATE,0.699
8321314,1,K02293.01,CANDIDATE,0.699
5978559,1,K02321.01,CANDIDATE,0.698
9758089,1,K01871.01,CANDIDATE,0.696
10141900,1,K01082.01,CANDIDATE,0.694
5384713,2,K03444.02,FALSE POSITIVE,0.69
6185476,1,,,0.69
3761319,1,K06104.01,CANDIDATE,0.689
11771430,1,K02582.01,CANDIDATE,0.689
8934495,1,K00524.01,CANDIDATE,0.689
5816165,1,K01043.01,FALSE POSITIVE,0.688
3756264,1,K03108.01,CANDIDATE,0.687
11462341,1,K02124.01,CANDIDATE,0.686
11297236,1,K01857.01,CANDIDATE,0.686
12121570,1,K02290.01,CANDIDATE,0.685
12456063,1,K04329.01,CANDIDATE,0.685
9411166,2,,,0.684
8605074,2,,,0.683
8230809,2,,,0.682
9697131,1,K02706.01,CANDIDATE,0.682
6467363,1,K02840.01,CANDIDATE,0.682
5905822,1,K02801.01,CANDIDATE,0.682
6707942,2,,,0.682
7364176,1,K00373.01,CANDIDATE,0.679
8494542,1,K02204.01,CANDIDATE,0.679
8591693,1,K02123.01,CANDIDATE,0.679
12469800,1,K02543.01,CANDIDATE,0.679
8651389,1,K01754.01,CANDIDATE,0.679
7750419,1,K01708.01,CANDIDATE,0.679
6707908,1,K02014.01,CANDIDATE,0.678
7256914,2,K04136.02,CANDIDATE,0.678
9451127,2,,,0.678
8158429,1,K05482.01,CANDIDATE,0.677
5031857,1,K01573.01,CANDIDATE,0.676
