kepid,plnt num,kname,dispos,GB_vif,DT
12120943,1,K01458.01,CAND,-,0.748
10094670,1,K01984.01,CAND,-,0.748
4770174,1,K02971.01,CAND,-,0.747
8256453,1,K02573.01,CAND,-,0.747
9904006,2,K02135.02,CAND,-,0.746
6862721,1,K01982.01,CAND,-,0.746
6291837,1,K00308.01,CAND,-,0.746
2164169,1,K01029.01,CAND,-,0.744
5003117,2,-,-,-,0.742
8018547,1,K00902.01,CAND,-,0.742
11568987,2,K00354.02,CAND,-,0.741
4860678,1,K01602.01,CAND,-,0.741
10028352,1,K01957.01,CAND,-,0.74
4857213,1,K02120.01,CAND,-,0.74
5978361,1,K00558.01,CAND,-,0.738
9230021,1,K03429.01,CAND,-,0.735
8265218,1,K00522.01,CAND,-,0.735
9592705,1,K00288.01,CAND,-,0.734
6342333,1,K02065.01,CAND,-,0.733
8949925,1,K02972.01,CAND,-,0.733
7103919,1,K04310.01,CAND,-,0.732
6605493,1,K02559.01,CAND,-,0.731
12785320,2,K00298.02,CAND,-,0.729
3967326,1,K02084.01,CAND,-,0.729
7987866,1,K02363.01,CAND,-,0.728
8257205,2,K01986.02,CAND,-,0.727
6609270,1,K03090.01,CAND,-,0.727
10514430,3,-,-,-,0.726
9896018,2,K02579.02,CAND,-,0.726
10793172,2,K02871.02,CAND,-,0.723
5770074,1,K01928.01,CAND,-,0.719
10922659,1,K03335.01,CAND,-,0.719
12156347,1,K02588.01,CAND,-,0.718
7017274,2,K03209.02,CAND,-,0.718
10736489,1,K07368.01,CAND,-,0.717
9532710,1,K02364.01,FP,-,0.716
6719086,1,K01357.01,CAND,-,0.715
7287683,1,K01622.01,CAND,-,0.715
11752906,2,K00253.02,CAND,-,0.712
9475552,2,K02694.02,CAND,-,0.711
8709688,1,K03019.01,CAND,-,0.709
7102227,3,K01360.03,CAND,-,0.708
7700622,1,K00315.01,CAND,-,0.708
7948784,1,K01968.01,CAND,-,0.708
7522911,1,K01705.01,CAND,-,0.707
9872292,1,K01537.01,CAND,-,0.704
8247770,1,K02569.01,CAND,-,0.703
7021681,2,K00255.02,CAND,-,0.701
5450893,1,K02970.01,CAND,-,0.7
11754430,2,K03403.02,CAND,-,0.699
