kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif
8078502,1,K03383.01,CANDIDATE,0.6791416886100061
11071200,2,K02696.02,CANDIDATE,0.6791416886100061
8110767,1,K02504.01,CANDIDATE,0.6791416886100061
4365645,1,K01738.01,CANDIDATE,0.6791416886100061
5787131,1,K02927.01,CANDIDATE,0.6791416886100061
6185476,3,,,0.6772407627104073
4164922,1,K03864.01,CANDIDATE,0.6761544284632854
5351250,5,K00408.05,FALSE POSITIVE,0.6761214157805142
11026304,1,K01420.01,CANDIDATE,0.6752851711026615
8261920,1,K02174.01,CANDIDATE,0.6752851711026615
9758089,2,K01871.02,CANDIDATE,0.6752851711026615
4770365,3,K01475.03,CANDIDATE,0.6750902527075813
2446113,2,K00379.02,CANDIDATE,0.6750902527075813
4551202,4,,,0.6728971962616823
5446285,3,,,0.6655910719920204
4773155,5,,,0.6600738440602893
5972334,3,K00191.03,CANDIDATE,0.6588536377300239
11810124,1,K03344.01,CANDIDATE,0.6588536377300239
11288772,1,K07435.01,CANDIDATE,0.6588536377300239
8247770,1,K02569.01,CANDIDATE,0.6588536377300239
6543893,2,K01627.02,CANDIDATE,0.6588536377300239
5963582,1,K02479.01,CANDIDATE,0.6588536377300239
7463685,1,K02890.01,CANDIDATE,0.6588536377300239
10074466,1,K01917.01,CANDIDATE,0.6588536377300239
5953297,1,K02733.01,CANDIDATE,0.6588536377300239
12737015,1,K04245.01,CANDIDATE,0.6588536377300239
9475552,2,K02694.02,CANDIDATE,0.6588536377300239
7183745,2,K02521.02,CANDIDATE,0.6588536377300239
11967788,2,K04021.02,CANDIDATE,0.6588536377300239
10118816,1,K01085.01,CANDIDATE,0.6588536377300239
9283156,1,K02657.01,CANDIDATE,0.6588536377300239
6605493,1,K02559.01,CANDIDATE,0.6588536377300239
9995771,1,K03470.01,CANDIDATE,0.6588536377300239
9571186,1,K03313.01,CANDIDATE,0.6588536377300239
4857213,1,K02120.01,CANDIDATE,0.6588536377300239
6467363,1,K02840.01,CANDIDATE,0.6588536377300239
8709688,1,K03019.01,CANDIDATE,0.6588536377300239
6356692,1,K02948.01,CANDIDATE,0.6588536377300239
10597693,1,K02958.01,CANDIDATE,0.6588536377300239
7810483,1,K01943.01,CANDIDATE,0.6588536377300239
5601258,1,K02191.01,CANDIDATE,0.6588536377300239
8880123,1,K03493.01,CANDIDATE,0.6588536377300239
7661065,1,K02307.01,CANDIDATE,0.6588536377300239
8742590,1,K01281.01,CANDIDATE,0.6588536377300239
5213230,1,K03474.01,CANDIDATE,0.6588536377300239
11821363,1,K01494.01,CANDIDATE,0.6588536377300239
7446631,1,K02598.01,CANDIDATE,0.6588536377300239
9650989,1,K03095.01,CANDIDATE,0.6588536377300239
6441738,1,K01246.01,CANDIDATE,0.6588536377300239
11074178,2,K01889.02,CANDIDATE,0.6588536377300239
4918309,1,K01582.01,CANDIDATE,0.6588536377300239
3868588,2,,,0.6561120468043614
8219268,2,K02133.02,FALSE POSITIVE,0.6509616419684701
7826659,1,K02686.01,CANDIDATE,0.6509616419684701
10319385,1,K01169.01,CANDIDATE,0.6509616419684701
5794570,2,K02675.02,CANDIDATE,0.6509616419684701
9898447,1,K02803.01,CANDIDATE,0.6509616419684701
11189127,2,,,0.6509616419684701
11189311,2,,,0.6509616419684701
4067925,1,K03066.01,CANDIDATE,0.6509616419684701
4149450,1,K01864.01,CANDIDATE,0.6509616419684701
3229150,1,K02150.01,CANDIDATE,0.6498138183440723
9729691,2,K01751.02,FALSE POSITIVE,0.6498138183440723
8561418,2,,,0.649181703734788
6719086,1,K01357.01,CANDIDATE,0.6411622276029055
7768451,1,K01527.01,CANDIDATE,0.6401913124079637
11076400,1,K02759.01,CANDIDATE,0.6401913124079637
10028352,1,K01957.01,CANDIDATE,0.6401913124079637
8524346,1,K04083.01,FALSE POSITIVE,0.6401913124079637
7939330,1,K01581.01,CANDIDATE,0.6390277105765998
7880676,10,,,0.6379550810368874
10666592,2,,,0.6358059118795315
5775129,1,K02802.01,CANDIDATE,0.6345439090058722
11030475,2,,,0.6345439090058722
9282853,1,K05651.01,CANDIDATE,0.6345439090058722
9569711,1,K03232.01,CANDIDATE,0.6345439090058722
5342473,1,K02297.01,CANDIDATE,0.6345439090058722
9006186,2,K02169.02,CANDIDATE,0.6345439090058722
5905822,1,K02801.01,CANDIDATE,0.6345439090058722
10357831,1,K06221.01,FALSE POSITIVE,0.6331332367349755
5005121,1,K02237.01,CANDIDATE,0.6279082742844391
8443527,1,K03197.01,CANDIDATE,0.6278668735988964
2853446,1,K01118.01,CANDIDATE,0.6278668735988964
12121570,1,K02290.01,CANDIDATE,0.6278668735988964
12017109,1,K02106.01,CANDIDATE,0.6278668735988964
9017682,1,K01630.01,CANDIDATE,0.6278668735988964
10587105,3,K00339.03,CANDIDATE,0.6278668735988964
11192235,1,K02329.01,CANDIDATE,0.6278668735988964
1872821,1,K02351.01,CANDIDATE,0.6278668735988964
7135852,1,K00875.01,CANDIDATE,0.6270270270270271
