kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif,bLR,mean
2438513,1,K01944.01,CANDIDATE,0.5419624,0.9564759061575135,0.7492191530787567
2574338,1,K01030.01,CANDIDATE,0.54561484,0.9498333570409332,0.7477240985204666
4650733,1,K01659.01,CANDIDATE,0.8460245000000001,0.6477287978810989,0.7468766489405495
11513486,1,K04748.01,CANDIDATE,0.5035507,0.989144881408001,0.7463477907040006
5374854,2,K00645.02,CANDIDATE,0.5331526999999999,0.9583509991714618,0.7457518495857309
3642741,1,K00242.01,FALSE POSITIVE,0.5636310999999999,0.9252774875578031,0.7444542937789016
6593150,1,K03037.01,CANDIDATE,0.7395751,0.7474614596437471,0.7435182798218736
12115188,2,,,0.8937441999999999,0.59231912418455,0.743031662092275
5372966,2,,,0.7544266,0.7295776613110111,0.7420021306555056
7938496,1,K00900.01,CANDIDATE,0.50111216,0.9816855727536504,0.7413988663768252
7700622,1,K00315.01,CANDIDATE,0.57565117,0.8978510989324067,0.7367511344662033
11189127,2,,,0.5265405,0.938970134909923,0.7327553174549615
11297236,1,K01857.01,CANDIDATE,0.70248014,0.7624011439686327,0.7324406419843164
3940418,1,K00810.01,CANDIDATE,0.5008104,0.960826031689759,0.7308182158448795
3102000,2,,,0.7542896,0.7069042543726416,0.7305969271863209
7972785,2,,,0.8788301,0.5763933239131664,0.7276117119565833
11030475,2,,,0.74376255,0.7076831308936312,0.7257228404468157
11408935,2,,,0.7634017,0.6839469819773711,0.7236743409886855
9636135,2,K01498.02,CANDIDATE,0.52189565,0.9242893088174003,0.7230924794087001
9244756,1,K01969.01,CANDIDATE,0.53701794,0.900314392846847,0.7186661664234235
2440757,1,K00792.01,FALSE POSITIVE,0.70504385,0.7311331419256001,0.7180884959628
9697131,1,K02706.01,CANDIDATE,0.7601114000000001,0.6727873987622388,0.7164493993811194
7948784,1,K01968.01,CANDIDATE,0.5094766,0.9188389593620432,0.7141577796810216
5978559,1,K02321.01,CANDIDATE,0.7321844,0.6953141408131642,0.7137492704065821
11599038,1,K01437.01,CANDIDATE,0.60496914,0.8110597983223069,0.7080144691611534
4140813,1,K02117.01,CANDIDATE,0.53792,0.8759405866394341,0.706930293319717
11566064,2,K00353.02,CANDIDATE,0.5322720999999999,0.8799826944744296,0.7061273972372147
4365645,1,K01738.01,CANDIDATE,0.51722866,0.8895716938459513,0.7034001769229756
7450747,1,K04267.01,CANDIDATE,0.6031838,0.7972558677102916,0.7002198338551457
8823868,2,,,0.65739846,0.7398114820451769,0.6986049710225885
1571511,2,,,0.8833276,0.5078259260176403,0.6955767630088201
11192235,1,K02329.01,CANDIDATE,0.6282833999999999,0.7560067969413764,0.6921450984706882
9411166,2,,,0.7621941999999999,0.6217104614332596,0.6919523307166298
6364215,2,K02404.02,FALSE POSITIVE,0.44773185,0.933383407251822,0.690557628625911
8043714,2,,,0.7100436999999999,0.6669951953627862,0.6885194476813931
10485250,2,,,0.63911766,0.7377008140780309,0.6884092370390155
11404644,2,,,0.739787,0.6317955521181675,0.6857912760590837
5787131,1,K02927.01,CANDIDATE,0.5184044,0.8496514512956378,0.6840279256478189
10418797,2,,,0.58451915,0.7739845534181503,0.6792518517090751
10793172,1,K02871.01,CANDIDATE,0.62204695,0.7326099702319686,0.6773284601159844
10186945,2,,,0.77096325,0.5803529034307359,0.6756580767153679
9006186,2,K02169.02,CANDIDATE,0.5524861,0.7965852772618859,0.6745356886309429
9654468,1,K02417.01,CANDIDATE,0.5578816,0.7879704425637833,0.6729260212818917
5980783,1,K02967.01,CANDIDATE,0.6952813,0.6467383970918366,0.6710098485459183
9532710,1,K02364.01,FALSE POSITIVE,0.56533194,0.7619414884660867,0.6636367142330433
8073806,1,K02411.01,CANDIDATE,0.5334464,0.7832671863710754,0.6583567931855376
9886224,2,,,0.7809229999999999,0.5320455114268056,0.6564842557134027
6889235,2,,,0.4651039000000001,0.8395598733518919,0.652331886675946
7449554,1,K02357.01,CANDIDATE,0.70849085,0.5834569458395643,0.6459738979197822
10134152,1,K02056.01,CANDIDATE,0.5832006999999999,0.7074010836145881,0.645300891807294
5709725,2,K00555.02,CANDIDATE,0.7223616,0.5609084947164242,0.6416350473582122
8753896,2,,,0.65024716,0.6208523846555869,0.6355497723277934
5003117,2,,,0.5839641,0.6853595796311545,0.6346618398155772
10867062,1,K01303.01,CANDIDATE,0.5161613,0.7442502234719228,0.6302057617359614
6946199,2,K01359.02,CANDIDATE,0.50439215,0.7555716227802792,0.6299818863901396
