kepid,tce_plnt_num,pca
2167444.0,5.0,-549803156.7776397
2167444.0,3.0,-338722311.0228848
2167444.0,6.0,-435882287.61885875
2167600.0,6.0,-208671176.96023053
2167444.0,4.0,-279821013.3413606
2167600.0,2.0,-364332376.26502633
2167600.0,9.0,-475366024.2600903
2167890.0,1.0,1814773736.8108497
2167890.0,2.0,1814773390.9488785
2168420.0,3.0,-203327986.0153054
2168333.0,2.0,-27574105.511754096
2282763.0,1.0,1087399495.7006068
2283124.0,1.0,-585709662.0541081
2168333.0,1.0,-10156224.343485335
2167600.0,8.0,-215836425.03428626
2168420.0,1.0,-47699297.610146604
2168420.0,2.0,-426739164.3981756
2167600.0,10.0,-320404386.42827785
2283308.0,1.0,-585709502.5710896
2285420.0,3.0,-50069091.45123238
2285420.0,4.0,-293570247.35660255
2285548.0,1.0,-392037317.725755
2283124.0,2.0,-509764769.0271846
2285548.0,2.0,-207673900.8390396
2283308.0,2.0,-198508134.77664036
2283703.0,1.0,-390936223.114662
2285420.0,2.0,-342613377.39032686
2284957.0,1.0,-487968092.3637801
2285420.0,1.0,-519790088.5025381
2285586.0,3.0,-353825922.16943985
2297728.0,1.0,705681444.6973453
2297728.0,2.0,376516176.18326455
2297349.0,1.0,-387513253.09362984
2285586.0,2.0,836847713.6886396
2297728.0,3.0,-251620560.4826743
2285548.0,3.0,-366631717.70969534
2285586.0,1.0,1061895819.8751612
2299738.0,1.0,-7294109.580534173
2297728.0,4.0,-308935235.47817767
2297739.0,1.0,-218296911.07863602
2299738.0,4.0,-386514855.56832516
2299738.0,3.0,-385763123.6921321
2299738.0,2.0,-406538312.8744306
2297728.0,5.0,-336948260.94063425
2300319.0,1.0,-442837949.364517
2300529.0,1.0,317727345.3894917
2299738.0,5.0,-404715592.73792243
2299738.0,6.0,-521359905.777751
2301068.0,1.0,-234573356.6908076
2300529.0,3.0,-190502186.6732871
2300529.0,2.0,-461611784.91837525
2300603.0,1.0,-382678848.0520828
2301306.0,1.0,-483910533.36258125
2301577.0,1.0,-203795302.52824184
2302010.0,1.0,-365725124.0616809
2302548.0,1.0,1814773293.717541
2302548.0,2.0,1029353036.5889198
2302997.0,1.0,-256651191.30171895
2303102.0,1.0,-153672414.392706
2302758.0,1.0,920558106.742253
2302624.0,1.0,-197891170.67420486
2303102.0,3.0,-585710241.4737191
2303102.0,2.0,-515972820.27578795
2303102.0,4.0,-415342063.0163239
2303102.0,5.0,-502124310.7718793
2303102.0,7.0,-422486463.8221375
2303102.0,8.0,-352245925.86422753
2304235.0,2.0,1814773258.2286184
2304168.0,1.0,-509119830.8991424
2303102.0,9.0,-585710219.6875188
2304655.0,1.0,-247370497.15040874
2308761.0,2.0,-105409963.20276466
2308761.0,3.0,-145698129.91265896
2308761.0,4.0,-278645201.6505215
2308957.0,1.0,1814773040.0372636
2436378.0,1.0,1562266945.923449
2436378.0,2.0,-302383540.7462763
2436421.0,1.0,-471816944.7536637
2436421.0,2.0,-408581226.31497574
2309286.0,1.0,332021011.7168427
2436450.0,2.0,-585709885.4667015
2436450.0,4.0,-585710007.72475
2436450.0,1.0,-585709992.6858907
2436450.0,6.0,-585710070.8291457
2436450.0,7.0,-585709978.2342715
2436450.0,8.0,-585709926.1552364
2436635.0,1.0,538268415.010938
2436635.0,2.0,-463881607.82489544
2436954.0,1.0,-540992230.2735144
2437060.0,1.0,1814773738.0271845
2437112.0,1.0,-338443447.1947968
2437112.0,2.0,-366686245.58008397
2437112.0,3.0,-366900890.2242223
2437060.0,2.0,622556126.9948395
2437149.0,1.0,-585709308.7348396
2437149.0,2.0,1814773736.9641678
2437209.0,1.0,-354392648.82386816
2305372.0,1.0,-585709998.0975598
2305372.0,2.0,1814773037.872219
2305543.0,1.0,1814773737.7340431
2305866.0,1.0,-399777775.8271262
2437452.0,1.0,1814773739.3277438
2437488.0,1.0,-107867757.13192257
2437505.0,1.0,-585709320.8555346
2437505.0,2.0,-495455182.88807255
2305866.0,2.0,-467620628.9076696
2306463.0,1.0,-123186980.24771486
2306463.0,2.0,-473495357.1910562
2306463.0,3.0,-350654376.6898201
2309404.0,1.0,-422806679.0085453
2309568.0,1.0,-535136771.4643332
2309579.0,1.0,35293586.1305604
2306740.0,1.0,-585709308.6775553
2306740.0,2.0,-585709308.7057031
2306740.0,3.0,1001489831.9763343
2306740.0,4.0,-585709308.6296792
2309585.0,1.0,864532614.7045066
2309585.0,2.0,267776234.38663575
2309587.0,1.0,1814773739.3331099
2309587.0,2.0,-585709308.6433411
2307199.0,1.0,1814773398.97102
2307199.0,2.0,-530059387.225498
2307206.0,1.0,-585709428.7426566
2307206.0,2.0,1814773737.8437865
2309595.0,1.0,-409919332.06126875
2309719.0,1.0,1814773737.2816343
2309910.0,1.0,202697544.6700183
2307206.0,3.0,-527466379.62272084
2307206.0,4.0,-557952215.5893025
2307249.0,1.0,-348222529.07562727
2307249.0,2.0,-450491408.6399658
2310284.0,1.0,-361470683.24961406
2310284.0,2.0,-297216416.84230465
2310284.0,3.0,276562616.47282195
2310284.0,4.0,-529749344.5431967
2307249.0,3.0,-328119646.7572627
2307249.0,4.0,-471722084.99119896
2307249.0,5.0,-487156390.19758326
2310284.0,5.0,-418816864.5771668
2310586.0,1.0,-266694121.3488674
2310993.0,1.0,-453696387.0026809
2307249.0,6.0,-478878966.4222423
2307249.0,7.0,-585709985.1391672
2307415.0,1.0,989848722.6402668
2307415.0,2.0,359897741.81214446
2422539.0,1.0,-367243070.84982103
2422820.0,1.0,-353259703.69322556
2423938.0,1.0,-332057736.8755246
2425057.0,1.0,-585709863.0982554
2307533.0,1.0,-585709546.2875597
2307533.0,2.0,-461072077.3749491
2307533.0,3.0,-370889411.87371755
2307533.0,4.0,134834143.89637694
2425057.0,2.0,-162495395.2797013
2425185.0,1.0,-403019966.394365
2425375.0,1.0,576648925.1163641
2307624.0,1.0,-467537443.1513887
2308411.0,1.0,299579966.1159577
2308761.0,1.0,-270864789.9911027
2831091.0,3.0,-504454254.4022652
2831101.0,1.0,-512586044.09585464
2831251.0,1.0,-319519899.13810396
2854839.0,1.0,548302743.8323457
2854839.0,2.0,-493217055.1489012
2854839.0,3.0,-334638992.05238
2861394.0,1.0,-501030117.1338634
2865774.0,1.0,-215519554.78468886
2865774.0,2.0,-291695466.90298975
2984632.0,2.0,-521875307.7969311
2984990.0,1.0,-175064191.50971282
2985022.0,1.0,322912290.79830813
2985022.0,2.0,206040317.22719336
2996903.0,2.0,-103528813.28896466
2996903.0,3.0,-260215146.69865727
2997178.0,1.0,1812842808.5155141
2997455.0,1.0,1814773737.587241
3098184.0,2.0,1814773739.1698415
