kepid,tce_plnt_num,kepoi_name,bGB
6436029,2,K02828.02,0.7403815733746422
9896018,2,K02579.02,0.7403530204919202
8822421,1,K06188.01,0.7396872546355109
8953059,2,,0.7320777472107112
9003401,1,K02319.01,0.7317359907402872
9529148,1,K07942.01,0.7305138880884472
3128552,3,K02055.03,0.7298005628114241
6698670,2,,0.7290892084377154
6357290,1,K03040.01,0.728697165404711
1872821,1,K02351.01,0.727944499412331
8480582,1,K04386.01,0.7264416140763352
10793172,2,K02871.02,0.7252142202314669
10118816,1,K01085.01,0.7216927286042412
10395652,2,,0.7193987042138612
9934208,2,,0.7191102735133432
7023960,2,,0.7186843060062958
12121570,1,K02290.01,0.7183311710682376
7941200,1,K00092.01,0.7182501481351884
7761918,1,K01808.01,0.7173393351500696
4860678,1,K01602.01,0.7171317967632964
9528420,2,,0.7169814130818603
6049190,1,K01685.01,0.7169307104123983
5219234,3,K01563.03,0.7167068655491481
2718778,1,K02489.01,0.7134089965720294
4851464,2,,0.7129993644820525
8873450,6,,0.7128806884601042
8894646,1,K02641.01,0.7120947881850619
11517719,2,,0.7117480899143499
5003670,1,K04524.01,0.7110491258608543
7135852,1,K00875.01,0.7106110565449182
7749773,1,K02848.01,0.7101902168998624
5942808,2,K02250.02,0.7101783233732768
7948784,1,K01968.01,0.7091788992931491
7198881,2,,0.7090260667566493
2574338,1,K01030.01,0.7089864587432149
6862721,1,K01982.01,0.7084387310827188
8410415,1,K02291.01,0.7077706356844127
9266431,1,K00704.01,0.7067259012766602
3858926,1,,0.7062270227753163
9307509,1,K02096.01,0.7041705887537391
8162789,1,K00521.01,0.7037429653771587
6879183,1,K05333.01,0.7018920720821891
7199010,2,,0.7010775811674412
11618601,1,K03022.01,0.6999430774630335
11856178,1,K06246.01,0.6993998690671106
6587002,3,K00612.03,0.6965405213554259
8013439,3,K02352.03,0.6941982748364176
8265218,1,K00522.01,0.6937271535214765
10460984,3,K00474.03,0.6931640395898178
4947556,1,K03936.01,0.6930645665298797
11568987,2,K00354.02,0.6910609179491622
6756669,2,,0.6905309122091619
8264720,2,,0.6904812476202913
9636135,2,K01498.02,0.6903951544300893
12170648,2,,0.6886477415681018
8321314,1,K02293.01,0.6879863926713932
7779077,1,K01842.01,0.6874113522326554
6383785,2,K00239.02,0.6851453511316902
9936080,1,K04431.01,0.6848475585089924
5695524,1,K01897.01,0.6835543690494594
11391755,1,K02639.01,0.6833611580413848
11138155,1,K00760.01,0.6831854240801998
4548098,1,K04157.01,0.6831204575364349
3642741,1,K00242.01,0.6831041539669065
3323887,3,,0.6830697533684957
8022489,1,K02674.01,0.6828750384118032
7463685,1,K02890.01,0.6815061934017237
10464078,2,,0.6809246099152713
9640921,3,,0.6800054366679603
11771430,1,K02582.01,0.6795176058878281
1571511,2,,0.6794774096076426
7678434,2,K00892.02,0.6794708265115172
4650733,1,K01659.01,0.6793846115787965
5905822,1,K02801.01,0.679302334462397
8753896,2,,0.677875873658143
10141900,1,K01082.01,0.6765592998481401
9958962,3,K00593.03,0.6750169380575795
10287248,2,,0.6745135124072633
10350571,2,K01175.02,0.6739133947843436
7119481,3,K00566.03,0.6732829006722167
4173026,2,K02172.02,0.6728405963602305
6975129,3,K01628.03,0.6726576130312396
11046025,1,K01646.01,0.6725634511498894
5780885,2,,0.6724514468345153
7362696,2,,0.6704523719266955
8505920,1,K02094.01,0.6678673471964442
2161536,1,K02130.01,0.6677283374214963
8651389,1,K01754.01,0.6668829292146297
4164922,1,K03864.01,0.6665456698487995
4365645,1,K01738.01,0.6664364209067115
9115039,3,,0.6655168735345693
7097965,1,K02083.01,0.6650537914566232
8110767,1,K02504.01,0.6648847058033853
9267996,1,K03431.01,0.6645507637987008
10748393,1,K01289.01,0.6639344627869908
4862625,2,,0.6638475598655529
5601258,1,K02191.01,0.6636330957796888
8460600,2,,0.6632881492017413
8951205,1,K04099.01,0.6622483842240868
8073806,1,K02411.01,0.6613836738939094
9772531,1,K00950.01,0.6609854180207304
10922659,1,K03335.01,0.6609416892092522
5906694,1,K04069.01,0.6608681790317941
7219825,3,K00238.03,0.6598801867062876
5356593,2,,0.6576917530600038
