kepid,tce_plnt_num,kepoi_name,koi_disposition,CANDIDATE,CONFIRMED,FALSE POSITIVE,y_pred
9790965,1,K07231.01,FALSE POSITIVE,4.861136367306676e-05,1.4886534452757866e-07,0.9999512397709824,FALSE POSITIVE
9811915,1,K07232.01,CANDIDATE,0.9578236651653336,0.042176004998425415,3.298362408790886e-07,CANDIDATE
9818732,1,K07233.01,FALSE POSITIVE,0.00011404944733958136,2.2185191649861042e-08,0.9998859283674687,FALSE POSITIVE
9821078,1,K07234.01,FALSE POSITIVE,0.0002835679597337247,2.185444962327854e-08,0.9997164101858168,FALSE POSITIVE
9837013,1,K07236.01,CANDIDATE,0.9999988815708507,3.060927506888544e-08,1.0878198742699222e-06,CANDIDATE
9850387,1,K07238.01,FALSE POSITIVE,7.510833688745722e-06,2.003435002996593e-07,0.9999922888228109,FALSE POSITIVE
9850912,1,K07239.01,FALSE POSITIVE,0.0001549266828052487,8.607916008048462e-07,0.999844212525594,FALSE POSITIVE
9873869,1,K07241.01,FALSE POSITIVE,6.571955980997626e-05,1.5210479830806287e-07,0.9999341283353917,FALSE POSITIVE
9881258,1,K07242.01,FALSE POSITIVE,0.0001672159535002721,2.3593770965518828e-07,0.9998325481087901,FALSE POSITIVE
9899153,1,K07243.01,FALSE POSITIVE,0.004014496399074713,2.4818398697476156e-06,0.9959830217610555,FALSE POSITIVE
9899193,1,K07244.01,FALSE POSITIVE,4.891998470306617e-06,5.226751333160933e-07,0.9999945853263964,FALSE POSITIVE
9899410,1,K07245.01,FALSE POSITIVE,0.00011341481492505288,5.586740220627481e-09,0.9998865795983346,FALSE POSITIVE
9899421,1,K07246.01,FALSE POSITIVE,2.1739572810013546e-06,1.0327945220621916e-08,0.9999978157147736,FALSE POSITIVE
9899577,1,K07247.01,FALSE POSITIVE,7.489565454138476e-05,4.970451509236407e-06,0.9999201338939494,FALSE POSITIVE
9899583,1,K07248.01,FALSE POSITIVE,6.008492867617471e-05,6.173548215797719e-06,0.999933741523108,FALSE POSITIVE
9906489,1,K07249.01,FALSE POSITIVE,3.355933693431087e-06,2.1114989900835818e-06,0.9999945325673165,FALSE POSITIVE
9909965,1,K07252.01,CANDIDATE,0.9999877789129004,9.56610104817116e-08,1.2125426089102457e-05,CANDIDATE
9913481,1,K07253.01,FALSE POSITIVE,1.8378284449871276e-06,5.731659882032901e-08,0.9999981048549562,FALSE POSITIVE
9913798,1,K07254.01,FALSE POSITIVE,0.00015962923202946975,1.953999393097231e-08,0.9998403512279765,FALSE POSITIVE
9934208,1,K07256.01,FALSE POSITIVE,0.00013198010105424756,1.3474404056151436e-08,0.9998680064245418,FALSE POSITIVE
9936698,1,K07257.01,FALSE POSITIVE,2.2545487946259554e-05,5.082698354517073e-08,0.9999774036850702,FALSE POSITIVE
9943009,1,K07258.01,CANDIDATE,0.9999715017360274,5.826272255170307e-08,2.8440001250038842e-05,CANDIDATE
9944201,1,K07259.01,CANDIDATE,0.9999319513744014,5.6211440056523245e-05,1.1837185542077518e-05,CANDIDATE
9944421,1,K07260.01,FALSE POSITIVE,4.550570696662153e-06,6.764121338998435e-08,0.9999953817880899,FALSE POSITIVE
9945280,1,K07261.01,FALSE POSITIVE,0.00013457210407362172,2.9155148975514295e-06,0.999862512381029,FALSE POSITIVE
9953736,1,K07262.01,FALSE POSITIVE,9.124464718349703e-05,4.5511198066165697e-07,0.9999083002408358,FALSE POSITIVE
9958053,1,K07263.01,FALSE POSITIVE,8.470314950921496e-05,2.5283345030020006e-06,0.9999127685159878,FALSE POSITIVE
9959093,1,K07264.01,FALSE POSITIVE,8.326248439808737e-05,2.835190856899771e-07,0.9999164539965162,FALSE POSITIVE
9963009,1,K07265.01,FALSE POSITIVE,1.5581533055850974e-05,7.634871531799724e-08,0.9999843421182288,FALSE POSITIVE
9965691,1,K07267.01,FALSE POSITIVE,0.0007624422195205468,9.83557581567117e-08,0.9992374594247214,FALSE POSITIVE
9971475,1,K07268.01,FALSE POSITIVE,6.0898059435361396e-05,4.578424522198831e-09,0.99993909736214,FALSE POSITIVE
10000490,1,K07269.01,FALSE POSITIVE,8.978374651566663e-06,4.472033484085171e-08,0.9999909769050136,FALSE POSITIVE
10002049,1,K07270.01,CANDIDATE,0.999994939835569,2.046135325403358e-07,4.855550898449551e-06,CANDIDATE
10014702,1,K07271.01,FALSE POSITIVE,0.0075125222953198855,1.4667959687709176e-05,0.9924728097449923,FALSE POSITIVE
10019854,1,K07272.01,CANDIDATE,0.999993096690698,4.4336503905340325e-06,2.469658911381252e-06,CANDIDATE
10020423,1,K07273.01,FALSE POSITIVE,6.566457420261632e-06,1.889386822542332e-06,0.9999915441557573,FALSE POSITIVE
