kepid,tce_plnt_num,kepoi_name,bDT
5534941,1,K02332.01,1.0
7449554,1,K02357.01,1.0
11968463,3,K02433.03,1.0
4773392,1,K04367.01,1.0
12647577,1,K04530.01,1.0
12265786,1,K04595.01,1.0
2997455,2,,1.0
2696938,5,,1.0
2833709,2,,1.0
3102000,2,,1.0
2707097,2,,1.0
2998561,1,,1.0
2856960,2,,1.0
2556127,1,,1.0
2692704,1,,1.0
2692704,3,,1.0
2692704,4,,1.0
2714955,1,,1.0
2719928,1,,1.0
2720354,2,,1.0
2710406,3,,1.0
2578404,2,,1.0
3867794,2,,1.0
3762741,1,,1.0
3547014,1,,1.0
3854437,1,,1.0
3645863,2,,1.0
3558145,2,,1.0
2568971,3,,1.0
2307206,2,,1.0
4270799,1,K04810.01,1.0
2306740,4,,1.0
6277594,1,K05255.01,1.0
9166700,1,K05632.01,1.0
7373877,1,K06037.01,1.0
11252617,2,K06236.02,1.0
6292732,1,K06686.01,1.0
6423922,1,K06705.01,1.0
6878408,1,K06786.01,1.0
10843431,1,K07378.01,1.0
5887316,1,K07747.01,1.0
1028246,1,,1.0
1028246,2,,1.0
1162150,2,,1.0
1162339,2,,1.0
1432214,2,,1.0
1433399,3,,1.0
1434660,2,,1.0
1434660,3,,1.0
1434660,5,,1.0
1571511,2,,1.0
2019297,1,,1.0
2436421,2,,1.0
4920125,1,,1.0
4920125,3,,1.0
5607052,3,,1.0
7035099,2,,1.0
6206885,6,,1.0
6119407,1,,1.0
6127362,1,,1.0
6268890,3,,1.0
6185476,2,,1.0
7038096,2,,1.0
6851827,1,,1.0
7023960,2,,1.0
6852488,2,,1.0
6950556,1,,1.0
7035179,2,,1.0
6380544,1,,1.0
6862920,1,,1.0
6964043,2,,1.0
6848529,4,,1.0
6862920,3,,1.0
6964043,5,,1.0
7021177,3,,1.0
7037540,2,,1.0
6864569,2,,1.0
6720720,2,,1.0
6580131,1,,1.0
6279388,3,,1.0
6230532,2,,1.0
6230532,1,,1.0
6222381,1,,1.0
