kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
7696778, ,0.79,1,55000.007202,0.017914,0.331236,5E-07,15.433,5022,296.2881,43.3987
7697065, ,0.7,1,54964.749102,0.013198,0.272766,2E-07,15.115,5126,296.3702,43.3523
7698650, ,0.88,1,54965.214379,0.035235,0.599155,5E-07,15.228,6107,296.8058,43.3855
7700181, ,0.93,1,54964.820489,0.020644,0.363698,2E-07,15.142,5433,297.1702,43.3505
7700578, ,0.57,1,54999.752086,0.033122,1.507106,7.1E-05,14.15,6693,297.2602,43.3064
7707742,3998,0.61,1,54999.750847,0.025516,0.758354,1.5E-06,16.975,6918,298.8995,43.3956
7708193,3666,0.24,1,54999.609561,0.04418,7.94245,0.000149,15.994,5315,298.9973,43.3989
7709086, ,0.79,1,54964.840111,0.023856,0.409475,3E-07,15.81,5512,299.1871,43.3713
7732791,3623,0.34,1,55004.05764,0.013702,2.064135,5.8E-06,16.177,4197,282.5534,43.4174
7733540, ,0.78,1,54964.614024,0.074988,0.772582,7E-07,15.214,3918,283.0138,43.4831
7733731,4022,0.44,1,54968.152089,0.054215,4.858095,1.02E-05,13.269,5870,283.1285,43.4569
7740302, ,0.92,1,54953.656746,0.063563,1.153509,1.3E-06,11.999,,286.6433,43.4598
7740566, ,0.81,1,55113.454311,0.017385,0.297063,2E-07,15.611,5526,286.7832,43.4308
7743464,5417,0.01,1,55053.227088,0.031781,55.249014,0.00033,14.925,5809,288.1531,43.4736
7744173, ,0.89,1,54964.747571,0.024924,0.398528,3E-07,13.687,5922,288.4883,43.4813
7748113, ,0.82,1,54954.144474,0.102058,1.734663,2.3E-06,13.06,8948,290.1135,43.4365
7749504, ,0.95,1,55007.851201,0.029639,0.566244,5E-07,12.723,11064,290.5606,43.463
7750740,6162,0.17,1,54967.31795,0.02628,5.874198,1.36E-05,14.857,5777,290.9964,43.4588
7751562, ,0.13,1,54975.425584,0.057028,17.042159,6.29E-05,15.252,5951,291.2846,43.4053
7763269,3721,0.12,1,54999.126953,0.019269,6.407929,0.000765,14.078,6004,295.1549,43.4443
7765894, ,0.88,1,54956.979904,0.16216,3.204542,5.6E-06,11.955,7233,295.9351,43.4782
7766185, ,0.73,1,54954.554702,0.041523,0.835457,8E-07,12.114,5977,296.0164,43.4368
7767559,895,0.29,1,54965.209607,0.027589,4.409409,9E-06,15.403,5436,296.4102,43.4554
7767733,3322,0.05,1,55202.008051,0.032853,25.198302,0.000137,15.94,5699,296.4621,43.4597
7767774, ,0.99,1,55007.740259,0.009929,0.173388,1E-07,12.511,,296.4773,43.4748
7768447, ,0.15,1,55085.777686,0.464845,122.5,0.000945,11.898,4694,296.6699,43.4726
7769072, ,0.52,1,54965.049919,0.009268,0.608863,5E-07,13.886,4858,296.8397,43.4081
7770471,3706,0.57,1,55000.182569,0.026303,1.157805,3.9E-06,14.62,6280,297.1805,43.4771
7770569, ,0,1,55179.773492,0.054616,903.59,,13.907,5399,297.205,43.4321
7773380, ,0.94,1,54964.888998,0.018767,0.307578,2E-07,14.475,5357,297.864,43.498
7777443, ,0.63,1,54954.257271,0.034464,0.885125,9E-07,11.914,8224,298.854,43.435
7778437,131,0.32,1,54966.173727,0.039605,5.014232,1.08E-05,13.797,6244,299.0975,43.4976
7798259, ,0.36,1,54965.832558,0.015064,1.734222,2.3E-06,15.726,4619,280.3438,43.5961
7799540, ,-1,1,54983.030286,,60,0.000368,12.393,5177,281.1918,43.525
7802136,1449,0.09,1,54970.136872,0.025322,10.980246,3.36E-05,14.212,5712,282.7976,43.5781
7811211, ,0.49,1,54964.823839,0.012902,0.902406,9E-07,14.596,5549,287.5706,43.5317
7812175,3665,0.06,1,55002.612666,0.028586,17.793925,0.000195,16.328,,288.0242,43.5458
7812455,2881,0.5,1,54964.877627,0.011664,0.903582,9E-07,14.811,6253,288.1708,43.5012
7813039,3787,0,1,55000.344564,0.012882,141.73378,0.00118,13.891,5726,288.4391,43.5053
7816201, ,0.94,1,54954.116438,0.035859,0.574957,5E-07,12.018,,289.7494,43.5434
7816680, ,0.18,1,55007.696294,0.030379,8.585198,2.44E-05,15.573,6267,289.9213,43.5082
7818448, ,0.66,1,54964.591429,0.018791,0.618952,5E-07,13.894,6222,290.4794,43.5018
7821010, ,0.03,1,54969.615845,0.024871,24.238243,0.000103,10.816,6298,291.3199,43.5955
7821450, ,0.81,1,54964.681405,0.018496,0.314762,2E-07,14.937,5155,291.4678,43.5498
7830321,6044,0.43,1,54966.710252,0.011249,2.027396,2.9E-06,15.476,5347,294.4544,43.5005
7830460, ,0.94,1,54957.418154,0.177661,3.39775,6.1E-06,12.08,7269,294.4983,43.5838
7830637,1454,0.01,1,55044.497814,0.083398,121.599181,0.000945,14.6,5789,294.5474,43.5337
7831363,3804,0.25,1,54965.974532,0.014775,2.817258,0.000238,14.248,6072,294.7749,43.5929
7833144, ,-1,1,55001.231654,,2.247734,8.5E-06,12.561,7724,295.3246,43.5054
7835348, ,0.95,1,54965.173557,0.038405,0.664062,6E-07,15.385,5960,295.9784,43.5729
7836330, ,0.63,1,55147.869732,0.011019,0.65839,6E-07,14.201,5053,296.2497,43.5425
7837302,48,0.06,1,54982.935571,0.03967,23.837136,0.000101,13.722,,296.5539,43.5432
7837526,5436,0.03,1,54970.233934,0.025733,28.29721,0.000129,12.796,6065,296.6163,43.5293
7838639, ,0.27,1,54965.330223,0.022194,4.226395,8.5E-06,13.774,5959,296.9144,43.5195
7838906,6165,0.19,1,54954.608354,0.023648,5.614949,1.26E-05,11.925,,296.9856,43.5814
7839027, ,0.88,1,54964.819304,0.043588,0.720693,7E-07,13.842,7500,297.0186,43.53
7840035,3758,0.1,1,55004.085454,0.176767,13.5421,0.000133,16.9,5287,297.2779,43.5696
7842610,1453,0.38,1,54964.90968,0.013799,1.943865,2.8E-06,15.289,5375,297.8966,43.5639
7846730, ,0.21,1,54958.938351,0.050848,11.028227,3.32E-05,12.956,,298.856,43.537
7847927, ,0.01,1,54984.227585,0.040604,70.376267,0.000471,15.108,5308,299.133,43.5271
7866921,3360,0.05,1,55107.269208,0.1219,91.499889,0.000693,14.801,5019,279.8561,43.6679
7871200, ,0.75,1,54953.67732,0.013169,0.242904,1E-07,12.799,4644,282.7182,43.67
7877062, ,0.82,1,54964.778743,0.017254,0.303652,2E-07,13.827,5484,285.8989,43.6035
7877824,3530,0.16,1,55186.362598,0.037001,9.449426,3.4E-05,15.65,5534,286.2885,43.6143
7878402, ,0.74,1,54964.735173,0.019745,0.374351,3E-07,13.388,5415,286.5918,43.636
7879399, ,0.74,1,55075.819465,0.0201,0.392697,3E-07,12.597,5321,287.1245,43.6001
7881722, ,-1,1,54954.118369,,0.953289,2.4E-06,13.585,7762,288.2734,43.6977
7884426, ,0.95,1,54964.67495,0.016277,0.296732,2E-07,15.113,5285,289.5351,43.6887
7884842, ,0.78,1,54954.893014,0.082356,1.314548,1.5E-06,9.601,9126,289.6946,43.626
7885570, ,0.58,1,54955.158437,0.03908,1.729337,2.3E-06,11.679,5398,289.9737,43.6538
7886329, ,0.53,1,54953.641411,0.009722,0.567494,5E-07,13.205,6079,290.2341,43.6621
7887124, ,-1,1,54950.479755,1.012765,32.486427,0.000154,12.422,6388,290.4833,43.6224
7889628, ,0.93,1,54964.7903,0.019569,0.342396,2E-07,15.081,5746,291.3192,43.6202
7890379, ,0.92,1,55000.252101,0.018791,0.345127,4.3E-06,16.98,5372,291.5644,43.6871
7897952, ,-1,1,54982.830888,,66.991639,0.000441,12.085,,294.2019,43.6553
7898576,3566,0.3,1,55003.002904,0.054397,8.646898,0.00118,14.097,6217,294.3886,43.6905
7905209, ,0.96,1,55115.237996,0.025109,0.419554,4E-07,13.268,5926,296.366,43.6292
7906882,686,0.01,1,55004.676271,0.025185,52.513565,0.000313,13.579,5360,296.8408,43.6471
7907688, ,-1,1,55000.020979,,4.344837,8.8E-06,14.754,6121,297.0531,43.6438
7914906,6047,-1,1,54962.971405,,8.752907,2.4E-05,11.961,6952,298.8165,43.6733
7918172,1817,0.01,1,55059.791351,0.163767,191.80664,0.00192,14.339,5009,299.5931,43.6931
7918217,1770,-1,1,55123.743476,,63.929799,0.00039,10.88,,299.602,43.696
7919653, ,0.38,1,54965.674654,0.032379,4.210477,8.4E-06,13.796,5679,299.9373,43.6271
7936219, ,0.95,1,54964.800549,0.022761,0.385598,3E-07,15.397,6005,280.3544,43.722
7938468, ,0.55,1,54969.160851,0.141196,7.226951,1.81E-05,13.27,5899,281.9433,43.7286
7938870, ,0.62,1,54953.693993,0.023731,0.580726,5E-07,12.295,6651,282.1833,43.7064
7940533,6167,0.44,1,54954.622194,0.048829,3.905597,7.5E-06,12.862,5326,283.0663,43.7436
7941050, ,0.86,1,54964.782894,0.018792,0.297981,2E-07,14.981,5069,283.289,43.7909
7941635,5449,0.52,1,54965.413382,0.013367,0.762724,7E-07,14.5,5131,283.5701,43.7361
7943535, ,0.15,1,54957.075209,0.018836,4.719339,9.8E-06,12.672,6516,284.5627,43.7743
7943602, ,0.46,1,54967.665197,0.147125,14.692016,5.06E-05,13.988,4889,284.5936,43.7604
7947631, ,0.26,1,54966.96066,0.012985,2.516556,4E-06,15.179,4823,286.765,43.7963
7950775, ,0.12,1,54962.607133,0.02549,8.966611,2.49E-05,13.478,6222,288.3241,43.7633
7950962, ,0.92,1,54953.819202,0.051406,0.826957,8E-07,10.678,6800,288.4098,43.7072
7950964, ,0.94,1,55001.780307,0.155697,0.826957,8E-07,13.403,5690,288.4107,43.7075
7953796, ,0.94,1,54964.843665,0.017543,0.317548,2E-07,15.779,5582,289.6456,43.7378
7955301, ,0.33,1,54968.272901,0.420237,15.324419,5.37E-05,12.672,4821,290.1863,43.7239
7959612, ,0.81,1,55000.095587,0.014191,0.243214,2.6E-06,16.889,5187,291.6543,43.7371
7960547, ,0.17,1,54968.264782,0.027664,6.767341,1.67E-05,14.143,5669,291.992,43.7668
7967100, ,0.49,1,54965.366145,0.014948,1.927295,2.7E-06,13.943,5806,294.2792,43.7199
7968880, ,0.93,1,54965.165152,0.092968,1.773919,2.4E-06,13.976,6573,294.8592,43.7581
7970629, ,0.47,1,54966.523747,0.021798,2.051069,3E-06,14.541,6040,295.4027,43.7748
7970760, ,0.25,1,54957.45687,0.042263,7.649413,1.97E-05,13.398,6172,295.4444,43.7182
7971389, ,0.03,1,54969.462453,0.021616,26.349614,0.000116,14.098,5791,295.6347,43.7502
7972785,184,0.25,1,54966.565917,0.047634,7.300733,1.87E-05,14.933,6134,296.0477,43.7621
7973882, ,0.92,1,54964.606433,0.023683,0.346634,2E-07,15.208,5314,296.3604,43.7194
7973970, ,-1,1,54997.201704,,9.479933,0.000945,14.487,5902,296.382,43.7489
7975727,418,0.07,1,54983.378958,0.038808,22.418315,9.2E-05,14.479,5153,296.8994,43.7072
7975824, ,0.75,1,55000.053919,0.006815,0.40375,3E-07,14.655,,296.9287,43.7919
7976783, ,0.99,1,54954.260728,0.070904,1.208852,1.4E-06,11.99,7937,297.1806,43.7646
7977261, ,0.91,1,54954.341041,0.054685,0.925812,9E-07,13.146,6146,297.2973,43.7771
7985167, ,0.47,1,54954.200481,0.018249,1.384478,1.7E-06,12.958,5923,299.2001,43.7959
7987749, ,0.06,1,54978.541993,0.027241,17.030854,6.29E-05,14.461,5349,299.8216,43.7603
8004839, ,0.96,1,54964.956346,0.01923,0.343764,2E-07,15.129,5660,280.2184,43.89
8005892, ,0,1,55465.355657,0.034009,958,,13.706,5059,280.9718,43.8756
