kepid,plnt num,kname,dispos,GB_vif_cap2,LR
10158418,1,K01784.01,CAND,-,0.655
12061969,2,K02061.02,CAND,-,0.654
9307509,1,K02096.01,CAND,-,0.652
3561464,3,K03398.03,CAND,-,0.652
8410415,1,K02291.01,CAND,-,0.651
7700622,1,K00315.01,CAND,-,0.651
3937519,2,K00221.02,CAND,-,0.649
10397751,3,K02859.03,CAND,-,0.648
10621643,5,-,-,-,0.647
10141900,1,K01082.01,CAND,-,0.645
2447832,5,-,-,-,0.642
8394756,3,-,-,-,0.642
9458754,4,-,-,-,0.642
11122789,4,-,-,-,0.64
3561464,2,K03398.02,CAND,-,0.639
11967788,2,K04021.02,CAND,-,0.639
4846856,1,K02900.01,CAND,-,0.638
10189546,1,K00427.01,CAND,-,0.636
7289577,1,K01974.01,CAND,-,0.635
11076400,1,K02759.01,CAND,-,0.634
12406807,1,K03091.01,CAND,-,0.633
11122894,3,K01426.03,CAND,-,0.632
9100953,2,K04500.02,CAND,-,0.632
7219825,3,K00238.03,CAND,-,0.631
7661065,1,K02307.01,CAND,-,0.63
8747865,5,-,-,-,0.63
6955650,1,-,-,-,0.629
7377343,1,K05384.01,CAND,-,0.629
9475552,2,K02694.02,CAND,-,0.627
5621333,1,K03341.01,CAND,-,0.627
11601584,3,K01831.03,CAND,-,0.627
8074328,1,K02486.01,CAND,-,0.623
6356692,1,K02948.01,CAND,-,0.622
7124026,1,K02275.01,FP,-,0.621
8247770,1,K02569.01,CAND,-,0.621
12268190,7,-,-,-,0.621
8580438,2,-,-,-,0.62
10865397,4,-,-,-,0.62
5080636,2,K01843.02,CAND,-,0.619
9958962,3,K00593.03,CAND,-,0.617
5905822,1,K02801.01,CAND,-,0.617
9654468,1,K02417.01,CAND,-,0.615
10470206,1,K00335.01,FP,-,0.613
3634051,1,K06103.01,FP,-,0.612
6115603,3,-,-,-,0.612
6605493,1,K02559.01,CAND,-,0.612
9140402,1,K00928.01,CAND,-,0.612
2164169,1,K01029.01,CAND,-,0.612
4947556,1,K03936.01,FP,-,0.611
3629967,1,K01901.01,CAND,-,0.61
10525049,1,K04252.01,CAND,-,0.61
10656508,1,K00211.01,CAND,-,0.61
8321314,1,K02293.01,CAND,-,0.61
7678434,2,K00892.02,CAND,-,0.61
9153823,1,K06195.01,FP,-,0.608
3120650,5,-,-,-,0.608
10028140,1,K01591.01,CAND,-,0.608
5441980,1,K00607.01,CAND,-,0.606
9472000,1,K02082.01,CAND,-,0.606
8492101,1,K04437.01,FP,-,0.606
12737015,1,K04245.01,CAND,-,0.604
8397947,1,K04772.01,CAND,-,0.604
8013439,3,K02352.03,CAND,-,0.604
2161536,1,K02130.01,CAND,-,0.603
10744342,4,-,-,-,0.603
7879433,1,K02527.01,CAND,-,0.603
7987866,1,K02363.01,CAND,-,0.601
8261920,1,K02174.01,CAND,-,0.601
5131180,1,K00641.01,CAND,-,0.601
7050754,2,-,-,-,0.601
1872821,1,K02351.01,CAND,-,0.599
4770174,1,K02971.01,CAND,-,0.598
8709688,1,K03019.01,CAND,-,0.598
7120108,1,K02325.01,CAND,-,0.597
8189801,1,K02480.01,CAND,-,0.596
10460984,3,K00474.03,CAND,-,0.595
9017682,1,K01630.01,CAND,-,0.593
6359320,3,K01127.03,CAND,-,0.593
9334893,1,K02298.01,CAND,-,0.593
11818872,1,K02581.01,CAND,-,0.592
9451127,2,-,-,-,0.592
8110767,1,K02504.01,CAND,-,0.592
10614158,2,-,-,-,0.591
4851530,1,K01884.01,FP,-,0.591
4157325,3,K01860.03,CAND,-,0.59
1722916,6,-,-,-,0.59
7826659,1,K02686.01,CAND,-,0.59
10092312,1,K01823.01,FP,-,0.589
7869917,2,K01525.02,CAND,-,0.589
9283002,3,-,-,-,0.588
4771030,3,-,-,-,0.588
5556241,4,-,-,-,0.587
5942808,2,K02250.02,CAND,-,0.585
4385148,2,K02942.02,CAND,-,0.585
7463685,1,K02890.01,CAND,-,0.583
3103212,1,K04145.01,CAND,-,0.583
10028352,1,K01957.01,CAND,-,0.583
6871071,4,K02220.04,CAND,-,0.582
12457978,6,-,-,-,0.581
7199397,1,K00075.01,CAND,-,0.581
5942808,1,K02250.01,CAND,-,0.581
6867588,1,K02571.01,CAND,-,0.58
4173026,1,K02172.01,CAND,-,0.579
4473226,1,K02229.01,CAND,-,0.579
6110119,8,-,-,-,0.578
12406749,1,K01476.01,CAND,-,0.577
3122913,1,K02490.01,CAND,-,0.576
4548011,2,K04288.02,CAND,-,0.575
5436013,1,K02471.01,CAND,-,0.575
11395587,1,K00350.01,CAND,-,0.573
9691311,4,-,-,-,0.572
10533616,3,-,-,-,0.571
9936080,1,K04431.01,CAND,-,0.57
9205938,2,K02162.02,CAND,-,0.57
7017372,1,K03689.01,CAND,-,0.569
7017274,1,K03209.01,CAND,-,0.569
10471621,1,K02554.01,CAND,-,0.568
9328641,2,-,-,-,0.567
6837283,1,K02914.01,CAND,-,0.567
9003401,1,K02319.01,CAND,-,0.567
9714572,8,-,-,-,0.567
9002538,2,K03196.02,CAND,-,0.566
9993529,1,K02644.01,FP,-,0.565
11968463,4,K02433.04,CAND,-,0.565
7137725,1,K01699.01,FP,-,0.564
5621333,2,K03341.02,CAND,-,0.561
8480582,1,K04386.01,CAND,-,0.561
10122538,5,K02926.05,CAND,-,0.559
10875007,2,K04149.02,CAND,-,0.558
8056665,2,K00089.02,CAND,-,0.558
7256914,2,K04136.02,CAND,-,0.557
5906694,1,K04069.01,CAND,-,0.557
3239671,1,K02066.01,CAND,-,0.557
8540376,1,K07892.01,CAND,-,0.557
4058206,3,-,-,-,0.555
11394027,1,K00349.01,CAND,-,0.554
8240861,4,-,-,-,0.553
8554498,1,K00005.01,CAND,-,0.553
7825899,3,K00896.03,CAND,-,0.553
5471059,2,K03956.02,FP,-,0.553
11548140,1,K00256.01,FP,-,0.552
7749773,1,K02848.01,CAND,-,0.552
12602335,3,-,-,-,0.551
6606438,1,K02860.01,CAND,-,0.551
8684730,1,K00319.01,CAND,-,0.551
9872292,1,K01537.01,CAND,-,0.551
5552761,7,-,-,-,0.55
5881120,1,K04156.01,CAND,-,0.55
4140813,1,K02117.01,CAND,-,0.549
9071593,2,K02257.02,CAND,-,0.549
4830605,1,K01660.01,CAND,-,0.548
7841925,2,K01499.02,CAND,-,0.548
7287118,4,-,-,-,0.547
9283156,1,K02657.01,CAND,-,0.547
11700604,7,-,-,-,0.547
3967219,3,-,-,-,0.546
9661979,1,K02132.01,CAND,-,0.546
12217824,3,-,-,-,0.546
4665571,1,K02393.01,CAND,-,0.545
