kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif,bLR,mean
7219825,3,K00238.03,CANDIDATE,0.4603396556376201,0.834634952749678,0.6474873041936491
3102000,2,,,0.5835010060362174,0.7069042543726416,0.6452026302044295
7287683,1,K01622.01,CANDIDATE,0.7536692480069209,0.5362479031828571,0.644958575594889
3663173,1,K02750.01,CANDIDATE,0.5282851569427203,0.7447754641673237,0.636530310555022
9661979,1,K02132.01,CANDIDATE,0.5282851569427203,0.7397277568816072,0.6340064569121637
1571511,2,,,0.7536692480069209,0.5078259260176403,0.6307475870122806
7661065,1,K02307.01,CANDIDATE,0.6588536377300239,0.5993152606032061,0.629084449166615
7678434,2,K00892.02,CANDIDATE,0.7536692480069209,0.5014498099315763,0.6275595289692486
4164922,2,K03864.02,CANDIDATE,0.7220272521275892,0.5322793301347264,0.6271532911311578
7463685,1,K02890.01,CANDIDATE,0.6588536377300239,0.5935878622940735,0.6262207500120487
3757778,2,,,0.6180284009055361,0.6341790662484582,0.6261037335769972
10973583,2,,,0.5045835389999007,0.7392587522908685,0.6219211456453846
12017109,1,K02106.01,CANDIDATE,0.6278668735988964,0.6157098419902604,0.6217883577945784
9571186,1,K03313.01,CANDIDATE,0.6588536377300239,0.5821314795290464,0.6204925586295351
5042210,1,K02462.01,CANDIDATE,0.6057516339869282,0.6340698787302735,0.6199107563586008
7939330,1,K01581.01,CANDIDATE,0.6390277105765998,0.5849667937808376,0.6119972521787187
5953297,1,K02733.01,CANDIDATE,0.6588536377300239,0.550216249056282,0.604534943393153
12469800,1,K02543.01,CANDIDATE,0.5362788812322659,0.6694272725184275,0.6028530768753466
6500206,2,,,0.5470802492954947,0.6530613341423244,0.6000707917189095
12121570,1,K02290.01,CANDIDATE,0.6278668735988964,0.5718138027989506,0.5998403381989235
11177543,1,K01648.01,CANDIDATE,0.4220426825619112,0.7689010063905785,0.5954718444762448
9117416,2,K03425.02,CANDIDATE,0.611193936151917,0.5780450284713823,0.5946194823116496
9283156,1,K02657.01,CANDIDATE,0.6588536377300239,0.5301334988647026,0.5944935682973633
8880123,1,K03493.01,CANDIDATE,0.6588536377300239,0.5260993571500243,0.5924764974400241
8684730,1,K00319.01,CANDIDATE,0.5227272727272727,0.6568630346087916,0.5897951536680321
11462341,1,K02124.01,CANDIDATE,0.5282851569427203,0.6024000661625539,0.5653426115526371
5270698,2,,,0.4443016091138792,0.6779904637305371,0.5611460364222082
7449554,1,K02357.01,CANDIDATE,0.5362788812322659,0.5834569458395643,0.559867913535915
