kepid,tce_plnt_num,kepoi_name,koi_disposition,bLR
8216763,2,K04838.02,FALSE POSITIVE,0.5218634024889635
6792908,1,K04341.01,FALSE POSITIVE,0.5212589548482217
11392618,1,K01623.01,FALSE POSITIVE,0.5206268371553971
8121328,1,K03486.01,FALSE POSITIVE,0.5201302142105833
6879183,1,K05333.01,FALSE POSITIVE,0.518537431058714
6289650,1,K00415.01,FALSE POSITIVE,0.516740671089003
5106313,1,K02878.01,FALSE POSITIVE,0.514958050938227
5374838,1,K05155.01,FALSE POSITIVE,0.5111558511632508
9030537,1,K01892.01,FALSE POSITIVE,0.5105589465924087
4552729,1,K02691.01,FALSE POSITIVE,0.5100040398663586
7429287,4,K04260.04,FALSE POSITIVE,0.5091802545529766
12456063,1,K04329.01,FALSE POSITIVE,0.508422317552687
10385708,5,,,0.5083689751737145
1571511,2,,,0.5083197106498372
10514429,1,K01614.01,FALSE POSITIVE,0.5071153071582581
2161536,1,K02130.01,FALSE POSITIVE,0.5059865057171362
11566256,1,K02361.01,FALSE POSITIVE,0.5032197423571931
8767669,7,,,0.5018528300328724
7678434,2,K00892.02,FALSE POSITIVE,0.5018404244630468
6516185,1,K02445.01,FALSE POSITIVE,0.5010412513258757
7733731,1,K04022.01,FALSE POSITIVE,0.5006989276393796
