"koi_disposition","kepid","kepoi_name","tcet_model_chisq","wst_depth","boot_mesmean","tce_fwm_sra","tce_fwm_pdeco","tce_slogg_sn"
"CANDIDATE",3939150,"K01215.02",62830,25.97,-0.13135,19.10555,-1.949e-05,18.9047619047619
"CANDIDATE",3839488,"K01216.01",67750,21.43,-0.0092515,19.208915,-7.811e-05,26.25
"FALSE POSITIVE",3542588,"K01217.01",67740,9.695,-0.11775,19.390572,0.003835,20.0454545454545
"CANDIDATE",3442055,"K01218.01",67030,24.41,-0.046766,19.401284,0.0001007,44
"CANDIDATE",4043190,"K01220.01",66800,23.38,-0.053154,19.153838,-6.374e-05,17.8695652173913
"CANDIDATE",3640905,"K01221.01",65920,20.85,-0.015807,19.340471,-0.0001457,60.3333333333333
"CANDIDATE",3640905,"K01221.02",64050,29.01,-0.031357,19.340473,-2.406e-05,60.3333333333333
"FALSE POSITIVE",6613006,"K01223.01",126200,874.9,-0.13361,19.587497,0.03284,24
"FALSE POSITIVE",6606653,"K01224.01",220100,96.85,-0.11894,19.465793,-0.0003255,20.7619047619048
"FALSE POSITIVE",6620003,"K01225.01",83950,25.79,-0.1014,19.708147,0.003512,157
"FALSE POSITIVE",6621116,"K01226.01",91030,140.5,-0.4795,19.72446,-0.006681,10.7368421052632
"FALSE POSITIVE",6629332,"K01227.01",79970,21.45,-0.095912,19.847146,0.001385,30.4666666666667
"FALSE POSITIVE",6387450,"K01228.01",155500,2447,-0.019569,19.872771,-0.0007949,45
"CANDIDATE",6470149,"K01230.01",84320,165.9,-0.15695,19.929877,-0.002665,149.5
"FALSE POSITIVE",6462874,"K01231.01",68220,168.5,-0.16056,19.822226,-0.0004094,77.6666666666667
"FALSE POSITIVE",6462874,"K01231.02",32330,1160,-1.4839,19.822248,0.0001483,77.6666666666667
"FALSE POSITIVE",6665223,"K01232.01",67360,100.1,-0.01098,18.782825,0.0006174,56
"FALSE POSITIVE",6665223,"K01232.02",66080,321.2,0.12136,18.782728,0.0001428,56
"FALSE POSITIVE",6545358,"K01233.01",68710,81.56,-1.6634,19.858957,0.003839,23.7777777777778
"FALSE POSITIVE",6390824,"K01234.01",69650,38.54,-0.21814,19.919863,-0.001938,23.8947368421053
"FALSE POSITIVE",6546528,"K01235.01",76000,28.61,-0.1461,19.873901,-0.002116,28.4375
"CANDIDATE",6677841,"K01236.01",72070,41.39,-0.0065263,19.159408,-0.0003721,20.2
"CANDIDATE",6677841,"K01236.02",66450,57.03,-0.27261,19.159416,-0.001161,20.2
"CANDIDATE",6677841,"K01236.04",61090,364.9,-1.7268,19.159422,-0.0008639,20.2
"FALSE POSITIVE",6531491,"K01237.01",60580,531.9,-0.27934,19.639748,-0.06342,20.2272727272727
"CANDIDATE",6383821,"K01238.01",69160,46.56,-0.053438,19.813938,0.0001276,50
"CANDIDATE",6607286,"K01239.01",57530,13.08,-1.0365,19.478609,-0.0001413,26.5625
"CANDIDATE",6607286,"K01239.02",39590,36.24,-0.67696,19.478603,-5.955e-06,26.5625
"CANDIDATE",6690082,"K01240.01",67050,10.9,-0.12279,19.426052,-8.03e-05,31
"CANDIDATE",6690082,"K01240.02",57290,28.92,-0.085609,19.426048,-5.11e-05,31
"CANDIDATE",6448890,"K01241.01",66090,28.13,-0.02023,19.583894,1.815e-06,66
"CANDIDATE",6448890,"K01241.02",62640,11.04,-0.016282,19.583892,-1.413e-07,66
"CANDIDATE",6607447,"K01242.01",67930,42.74,-0.26047,19.481886,-0.0002376,37.0833333333333
"FALSE POSITIVE",6677256,"K01243.01",57440,55.59,-0.10589,0,-0.05643,21.75
"FALSE POSITIVE",6692833,"K01244.01",68430,27.65,-0.10721,19.482578,-2.457e-05,22.35
"CANDIDATE",6693640,"K01245.01",66930,29.58,-0.058896,19.498546,4.889e-05,22.05
"CANDIDATE",6441738,"K01246.01",67100,34.24,-0.01193,19.428495,-0.0009263,25.1428571428571
"FALSE POSITIVE",8801343,"K01247.01",286400,190.8,0.17731,18.897999,0.0002098,12.8
"FALSE POSITIVE",8488878,"K01248.01",591300,839.2,-1,19.293688,0.0087,22.7
"FALSE POSITIVE",8560285,"K01249.01",64510,2389,-0.29508,19.460157,0.01846,22.6
"FALSE POSITIVE",8620565,"K01250.01",161600,70.37,-1,19.351158,0.1142,20.2727272727273
"FALSE POSITIVE",8616873,"K01251.01",99750,197.2,-1,19.2467,0.0002941,26.8823529411765
"FALSE POSITIVE",8737796,"K01252.01",118500,47.75,-1,0,0,7.42105263157895
"FALSE POSITIVE",8462258,"K01253.01",73220,15.61,-0.59615,20.090712,0.04011,50
"CANDIDATE",8454250,"K01254.01",64790,77.81,-0.48938,19.938303,-0.002909,0
"FALSE POSITIVE",8494263,"K01255.01",58330,421.3,-0.081622,19.429805,-0.0005799,25.2222222222222
"FALSE POSITIVE",8848271,"K01256.01",76840,933,-0.04118,20.069451,0.004857,22.8421052631579
