"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_num_transits","tce_full_conv","tce_cap_stat","tce_fwm_pdeco","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",6309763,"K00611.01",132.041,412,1,292.2,8.067e-05,30.6105769230769,-2.59452054794521
"CANDIDATE",6587002,"K00612.01",169.128,20,1,27.88,-0.0001714,50.3137254901961,-1.68931623931624
"CANDIDATE",6587002,"K00612.02",131.739,47,1,24.82,0.0002935,50.3137254901961,0.975661375661376
"CANDIDATE",6587002,"K00612.03",155.026,7,1,13.71,0.0004802,50.3137254901961,1.71095238095238e-05
"FALSE POSITIVE",6960456,"K00613.01",136.034,270,1,-55.82,-0.006394,33.219512195122,3.5258152173913
"CANDIDATE",7368664,"K00614.01",144.273,102,1,126.4,0.0004155,74.5375,0.332075471698113
"FALSE POSITIVE",8374580,"K00615.01",192.503,7,1,26.81,0.008053,45.5655737704918,8.60869565217391
"CANDIDATE",9714696,"K00616.01",132.588,852,1,9.838,0.00168,28.9380952380952,5.91158536585366
"FALSE POSITIVE",9846086,"K00617.01",160.734,26,1,118.1,0.0005306,30.6701570680628,-1.06352112676056
"CANDIDATE",10353968,"K00618.01",132.99,117,1,25.62,-0.0004355,33.1695906432749,-5.70443349753695
"CANDIDATE",10384962,"K00619.01",133.28,470,1,715.8,-0.001738,33.376404494382,-0.479064039408867
"CANDIDATE",11773022,"K00620.01",212.034,10,1,51.09,-0.01797,30.5353535353535,-3.11283422459893
"CANDIDATE",11773022,"K00620.02",159.107,29,1,57.94,-0.008132,30.5353535353535,-4.38954468802698
"CANDIDATE",11773022,"K00620.03",209.997,14,1,9.139,-0.001509,30.5353535353535,-1.5
"FALSE POSITIVE",12251650,"K00621.01",138.659,75,1,392.1,-0.001402,33.6953642384106,0.556756756756757
"CANDIDATE",12417486,"K00622.01",213.5,9,1,49.43,-0.003013,60.9024390243902,-2.05128205128205
"CANDIDATE",12068975,"K00623.01",132.663,128,1,24.42,-0.0001405,55.5833333333333,-1.28279883381924
"CANDIDATE",12068975,"K00623.02",132.281,231,1,20.11,-6.985e-05,55.5833333333333,-1.64071146245059
