"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_sradius","tce_fwm_stat","tce_fwm_pdeco"
"FALSE POSITIVE",9959093,"K07264.01",1,2.234,34.561,0.0001975
"FALSE POSITIVE",9963009,"K07265.01",1,1.207,5787,-0.01178
"FALSE POSITIVE",9965691,"K07267.01",1,2.191,7.3594,-4.309e-05
"FALSE POSITIVE",9971475,"K07268.01",1,2.057,2382.4,-0.001967
"FALSE POSITIVE",10000490,"K07269.01",1,1.924,0,0
"CANDIDATE",10002049,"K07270.01",1,0.953,9.8149,-0.000487
"FALSE POSITIVE",10014702,"K07271.01",1,0.955,1.276,4.531e-05
"CANDIDATE",10019854,"K07272.01",1,1.199,2.3128,-1.729e-05
"FALSE POSITIVE",10020423,"K07273.01",1,0.867,562.07,5.532e-05
"FALSE POSITIVE",10026136,"K07274.01",1,1.131,0,0
"FALSE POSITIVE",10026457,"K07275.01",1,0.669,91126,-0.07253
"FALSE POSITIVE",10031409,"K07276.01",1,1.254,12765,-0.009389
"FALSE POSITIVE",10031526,"K07277.01",1,0.817,37.928,0.001224
"FALSE POSITIVE",10031808,"K07278.01",1,2.194,0,0
"CANDIDATE",10053138,"K07279.01",1,1.056,10.553,-0.0001055
"FALSE POSITIVE",10063044,"K07280.01",1,2.242,117600,0.01886
"FALSE POSITIVE",10091257,"K07284.01",1,1.262,0,0
"FALSE POSITIVE",10093664,"K07285.01",1,2.041,0,0
"FALSE POSITIVE",10095512,"K07286.01",1,1.026,476.1,3.054e-05
"FALSE POSITIVE",10129482,"K07288.01",1,0.526,253.11,-0.0005381
"FALSE POSITIVE",10155080,"K07289.01",1,1.168,0,0
"FALSE POSITIVE",10156064,"K07290.01",1,1.921,0,0
"CANDIDATE",10163067,"K07291.01",1,2.346,0.49473,2.564e-05
"FALSE POSITIVE",10164018,"K07292.01",1,0.732,4272.5,0.01323
"FALSE POSITIVE",10189523,"K07293.01",1,0.647,2.5987,-0.0001244
"FALSE POSITIVE",10198109,"K07294.01",1,1.63,1303.3,-0.0007576
"FALSE POSITIVE",10208759,"K07295.01",1,1.391,23508,0.01093
"FALSE POSITIVE",10214328,"K07296.01",1,1.837,3.9248,-0.0002116
"FALSE POSITIVE",10215422,"K07297.01",1,0.854,0,0
"FALSE POSITIVE",10258558,"K07299.01",1,1.016,3389.6,0.01084
"FALSE POSITIVE",10264202,"K07300.01",1,0.7,44.195,-0.0004336
"CANDIDATE",10264293,"K07301.01",1,0.72,1.0889,-0.0001378
"FALSE POSITIVE",10268809,"K07302.01",1,1.023,40.126,-0.000112
"FALSE POSITIVE",10274244,"K07303.01",1,0.708,1273.3,-0.001105
"FALSE POSITIVE",10275887,"K07304.01",1,1.406,0,0
"FALSE POSITIVE",10292465,"K07307.01",1,0.784,213100,-0.04711
"FALSE POSITIVE",10294608,"K07308.01",1,0.99,0,0
"FALSE POSITIVE",10296163,"K07309.01",1,2.884,10069,0.00876
"FALSE POSITIVE",10330495,"K07310.01",1,0.855,20.361,-5.596e-05
"FALSE POSITIVE",10332789,"K07311.01",1,0.996,20.643,0.001193
"FALSE POSITIVE",10340228,"K07312.01",1,0.869,5.1708,0.0001285
"FALSE POSITIVE",10341787,"K07313.01",1,0.852,15.853,8.44e-05
"FALSE POSITIVE",10342097,"K07314.01",1,5.344,65.899,0.000113
"FALSE POSITIVE",10345862,"K07315.01",1,1.044,24755,0.04776
"FALSE POSITIVE",10346522,"K07316.01",1,0.719,1978.9,0.007257
"FALSE POSITIVE",10352603,"K07317.01",1,0.964,32600,0.09091
"FALSE POSITIVE",10363300,"K07318.01",1,1.078,0,0
"CANDIDATE",10396708,"K07320.01",1,0.715,4.3536,0.0001629
"FALSE POSITIVE",10407047,"K07321.01",1,5.272,44.274,-3.914e-05
"FALSE POSITIVE",10407430,"K07322.01",1,0.866,1.6172,4.444e-05
"FALSE POSITIVE",10407464,"K07323.01",1,1.025,33.289,5.411e-06
"FALSE POSITIVE",10417704,"K07324.01",1,1.818,0,0
"FALSE POSITIVE",10420279,"K07325.01",1,1.08,0,0
"FALSE POSITIVE",10422852,"K07326.01",1,1.051,952.45,-0.003084
"CANDIDATE",10450504,"K07327.01",1,0.752,19.483,-0.00192
"FALSE POSITIVE",10454401,"K07328.01",1,0.882,33.946,-0.002368
"FALSE POSITIVE",10462826,"K07329.01",1,1.012,2714,0.003976
"CANDIDATE",10468514,"K07331.01",1,1.676,7.8154,-0.0008223
"CANDIDATE",10471113,"K07332.01",1,1.032,22.167,0.0001757
"FALSE POSITIVE",10481054,"K07333.01",1,1.358,9.0497,-7.52e-05
"FALSE POSITIVE",10486425,"K07334.01",1,1.834,54567,0.01265
"FALSE POSITIVE",10490960,"K07335.01",1,1.196,164130,0.1027
"FALSE POSITIVE",10491031,"K07336.01",1,1.925,682500,-0.1048
"FALSE POSITIVE",10535807,"K07337.01",1,1.174,6080.7,-0.001011
"FALSE POSITIVE",10535858,"K07338.01",1,0.42,3.1625,9.411e-06
"CANDIDATE",10546063,"K07339.01",1,1.097,15.691,-0.0009168
"FALSE POSITIVE",10547685,"K07340.01",1,1.13,0,0
"FALSE POSITIVE",10549576,"K07341.01",1,2.015,48008,-0.02461
"FALSE POSITIVE",10552700,"K07342.01",1,2.856,0,0
"FALSE POSITIVE",10556578,"K07343.01",1,0.721,16.626,-0.0005814
"FALSE POSITIVE",10583181,"K07344.01",1,1.579,201560,0.01443
"CANDIDATE",10586619,"K07345.01",1,0.94,12.349,0.001162
"FALSE POSITIVE",10592163,"K07346.01",1,1.031,85.096,0.0001924
"FALSE POSITIVE",10601538,"K07348.01",1,1.651,319.52,0.0002851
"FALSE POSITIVE",10601579,"K07349.01",1,1.45,1205.5,-0.0007718
"FALSE POSITIVE",10613718,"K07350.01",1,0.74,14.139,9.612e-06
"FALSE POSITIVE",10619109,"K07351.01",1,2.135,1164600,-0.09291
"FALSE POSITIVE",10646620,"K07352.01",1,2.595,15.251,3.879e-05
"FALSE POSITIVE",10649230,"K07353.01",1,1.607,15710,0.003374
"CANDIDATE",10659624,"K07354.01",1,1.729,14.917,-0.0001839
"FALSE POSITIVE",10661913,"K07355.01",1,0.631,59.408,1.489e-05
"FALSE POSITIVE",10661976,"K07356.01",1,2.23,10.472,-2.873e-05
"FALSE POSITIVE",10662021,"K07357.01",1,1.118,3.6171,-6.602e-05
"CANDIDATE",10665228,"K07358.01",1,0.727,9.6653,0.0009902
"CANDIDATE",10665749,"K07359.01",1,0.993,9.5944,0.0004639
"CANDIDATE",10680424,"K07361.01",1,0.591,0,0
"FALSE POSITIVE",10685175,"K07362.01",1,1.797,2.6961,-2.33e-05
"FALSE POSITIVE",10686876,"K07363.01",1,2.361,3523100,0.1178
"FALSE POSITIVE",10686930,"K07364.01",1,3.293,5.0965,8.124e-06
"FALSE POSITIVE",10711913,"K07365.01",1,0.799,42.475,0.001831
"FALSE POSITIVE",10732401,"K07366.01",1,1.024,15.754,-9.432e-05
"FALSE POSITIVE",10736223,"K07367.01",1,2.927,0,0
"CANDIDATE",10736489,"K07368.01",1,0.838,9.0823,6.588e-05
"FALSE POSITIVE",10743600,"K07369.01",1,1,0,0.08432
"FALSE POSITIVE",10753734,"K07371.01",1,0.778,0,0
"FALSE POSITIVE",10794242,"K07372.01",1,0.992,1366,0.002198
"FALSE POSITIVE",10794405,"K07373.01",1,0.863,0,0
"FALSE POSITIVE",10809677,"K07374.01",1,6.619,0,-7.895e-05
"CANDIDATE",10812541,"K07375.01",1,0.647,3.6839,-0.001275
"CANDIDATE",10815677,"K07376.01",1,0.919,2.0976,0.0001249
"FALSE POSITIVE",10816107,"K07377.01",1,1.219,1843.4,0.001293
"CANDIDATE",10843431,"K07378.01",1,0.628,0.75002,-0.0006146
"CANDIDATE",10843431,"K07378.02",2,0.628,5.1752,0.002997
"FALSE POSITIVE",10847907,"K07379.01",1,1.864,0.04608,2.02e-06
"FALSE POSITIVE",10849244,"K07381.01",1,0.983,2226.6,0.003587
"FALSE POSITIVE",10857589,"K07382.01",1,0.838,13699,0.02162
"FALSE POSITIVE",10867017,"K07384.01",1,0.975,543.76,-0.001032
"FALSE POSITIVE",10909274,"K07385.01",1,1.234,1391.6,-0.006622
