"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",12004971,"K03194.01",1,0.02883,1230,282.58,1.46,-0.00249,-1.579,0.807,50.54,0,0.31756,0.2718,1.751e-05,1.51604595879556,17.8762518864042,16.9380599922088,6.5470297029703,4.11564229536848,2.26666666666667,0.420743034055727,-0.196271637816245,0.268147013782542,0.560827814569536
"CANDIDATE",9002538,"K03196.01",1,0.07297,5993,620.18,1.298,-0.03163,2.048,0.0245,7.494,0,6.4753,-1.155,-1.851e-05,2.87759667625439,12.8474114441417,11.2796208530806,6.46368467670505,3.92518987341772,-0.266666666666667,-1.19565217391304,0.978355501813785,-1.04576271186441,0.343468253968254
"CANDIDATE",9002538,"K03196.02",2,0.06601,3169,400.73,1.298,0.0327,0.2,2.85,26.37,0,0.48891,0.2916,7.945e-06,2.38044914134742,9.58638517880224,10.963480963481,6.46085409252669,3.92526202370457,-0.266666666666667,0.304384133611691,-0.407627118644068,0.340987124463519,0.0501947449768161
"CANDIDATE",8443527,"K03197.01",1,0.1034,2143,68.64,1.087,-0.01372,-0.8855,0.1091,157.9,0,1.0311,0.6204,3.137e-06,1.45178408051235,20.2719298245614,12.4968944099379,5.52982456140351,3.52180605438687,-1,1.27654320987654,-0.0709647495361781,0.0825526315789474,1.35536789297659
"FALSE POSITIVE",5482603,"K03199.01",1,0.07554,6455,427.67,1,0.05123,0.3063,1.469,36.93,0,1188.6,23.13,-0.00142,1.45195020746888,8.34732952636883,8.65824638477027,230395.426393521,0,1.06666666666667,13.6058823529412,20.2896551724138,-20.7299270072993,181.446601941748
"CANDIDATE",4262040,"K03202.01",1,0.2628,1977,23.96,2.648,0.06029,31.11,0.02456,433,0,6.5824,-0.8858,-6.497e-05,0.306050783360346,22.0295202952029,11.2209302325581,6.11381880733945,4.02013422818792,-0.533333333333333,-1.65261194029851,0.637192118226601,-0.690435706695005,3.3010111223458
"CANDIDATE",3122872,"K03203.01",1,0.389,1360,43.47,2.467,-0.007837,45.72,2.024,318.9,0,12.541,0.311,0.0001514,3.31112036651395,25.1893939393939,15.1510333863275,3.94926913155632,2.54359274429491,-1.2,0.733490566037736,-1.60489236790607,1.5480572597137,1.78333333333333
"FALSE POSITIVE",9959494,"K03205.01",1,0.1062,33550,3362.31,1.081,-2.165,0.883,0.3094,4.084,0,39.278,1.74,-2.524e-05,4.39363241678726,17.0664288898796,17.8784956605593,5.54547516443638,3.38233341380975,-1.25714285714286,3.24022346368715,1.95219885277247,-2.6047471620227,2.74284116331096
"CANDIDATE",5612697,"K03206.01",1,0.5094,3462,69.61,1,-0.05075,3.004,1.665,158.5,0,14.031,0.8272,-0.0004547,6.98278443113772,5.04586154182136,9.68379446640316,131801.69286578,0,1.06666666666667,0.582535211267606,2.97166666666667,-1.92669491525424,0.935084745762712
"FALSE POSITIVE",9518710,"K03207.01",1,0.02163,47510,31872.41,2.785,3.352,0.5867,5.617e-05,3.044,0,0,1.007,0,0.121603798470061,20.7642338555598,5.45522949586155,3.47170374794684,2.12184967096175,0.2,0.987254901960784,-0.427699115044248,0,1.438625
