"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",7215603,"K01618.01",69,0.9013,0,1.122,-1.797e-05,0.431962696057652
"CANDIDATE",4276716,"K01619.01",87.88,0.8784,23,1.237,0.0001317,0.31172468987595
"FALSE POSITIVE",6468337,"K01620.01",59.5,0.9147,13,0.1895,-0.0001757,0.663741007194245
"CANDIDATE",5561278,"K01621.01",86.87,0.8514,0,2.231,8.808e-06,0.911743515850144
"CANDIDATE",7287683,"K01622.01",88.98,0.7642,7,1.889,0.0002429,1.02586793737236
"FALSE POSITIVE",11392618,"K01623.01",89.36,0.8961,23,2.262,-9.744e-05,2.04932094353109
"FALSE POSITIVE",6233890,"K01624.01",43.68,0.9983,5,-4.915,0,23.4327009936766
"FALSE POSITIVE",6312314,"K01625.01",66.67,0.9,7,0.09245,0.000352,0.239899566309062
"CANDIDATE",6387542,"K01626.01",66.57,0.9014,7,1.137,-0.0002546,1.67695473251029
"CANDIDATE",6543893,"K01627.01",86.37,0.8863,26,2.06,0.0001334,1.15851974592654
"CANDIDATE",6543893,"K01627.02",84.35,0.8997,26,1.038,1.585e-05,0.28970640254687
"CANDIDATE",6543893,"K01627.03",80.01,0.9021,26,0.8336,-0.0001522,0.195936395759717
"CANDIDATE",6975129,"K01628.01",87.62,0.8876,23,2.05,-4.433e-05,1.78498985801217
"CANDIDATE",6975129,"K01628.02",70.2,0.9,23,-0.2252,5.318e-06,0.439898624185373
"FALSE POSITIVE",6975129,"K01628.03",87.49,0.8937,23,2.366,-6.083e-05,1.04992657856094
"CANDIDATE",8685497,"K01629.01",82.42,0.9081,23,1.14,-3.909e-06,0.300890327802509
"CANDIDATE",9017682,"K01630.01",85.85,0.8489,7,1.05,-0.0001674,0.285264997087944
"FALSE POSITIVE",9084778,"K01631.01",72.04,0.9033,7,-3.647,0.001085,1.8932836638545
"CANDIDATE",9277896,"K01632.01",80.86,0.8993,23,1.475,1.549e-05,0.402023692003949
"CANDIDATE",9401997,"K01633.01",88.01,0.8822,26,1.861,-0.0002734,0.591949778434269
"FALSE POSITIVE",10487119,"K01635.01",82.55,0.7632,7,-12.43,0.007078,756.909756909757
"FALSE POSITIVE",10621666,"K01636.01",69.88,0.9116,7,1.784,-0.0001627,0.491157415513921
"CANDIDATE",10686864,"K01637.01",78.79,0.9067,7,1.779,0.0002598,0.534120966319873
"FALSE POSITIVE",10747439,"K01638.01",79.36,0.9788,7,0.282,-0.01945,51.5151515151515
"CANDIDATE",10879038,"K01641.01",71.16,0.9771,26,1.621,0.0001872,1.59173265333512
"FALSE POSITIVE",10879656,"K01642.01",60.45,0.9033,7,0.922,-0.0003911,0.19284332688588
"CANDIDATE",10990917,"K01643.01",83.38,0.9001,7,1.846,-0.0002779,0.912852784134249
"FALSE POSITIVE",11043136,"K01644.01",85.24,0.9685,7,2,0.001837,74.6046511627907
"FALSE POSITIVE",11045383,"K01645.01",89.26,0.9768,7,2.006,0.001798,102.137546468401
"CANDIDATE",11046025,"K01646.01",88.88,0.2756,7,0.487,-8.575e-05,0.132542746828461
"CANDIDATE",11153121,"K01647.01",86.06,0.8089,16,1.527,-0.0004071,0.4576
"CANDIDATE",11153121,"K01647.02",85.83,0.9418,16,2.055,-0.0007204,1.27010050251256
"CANDIDATE",11177543,"K01648.01",89,0.907,26,1.372,-9.805e-05,0.325909592061742
"CANDIDATE",11337141,"K01649.01",84.82,0.9008,42,1.092,0.0003716,0.279912584228738
"CANDIDATE",11337372,"K01650.01",83.28,0.8876,26,2.285,0.0002146,1.24778254649499
"CANDIDATE",11337372,"K01650.02",89.55,0.6128,26,2.056,-0.001046,0.799906643846274
"CANDIDATE",11337833,"K01651.01",87.96,0.9307,7,2.092,0.0001127,1.70582395764394
"FALSE POSITIVE",11391667,"K01652.01",60.99,0.9107,5,0,-0.0002131,729.612546125461
"FALSE POSITIVE",11392017,"K01653.01",75.3,0.9026,7,0.1258,0.01328,0.51727832842218
"FALSE POSITIVE",11546211,"K01654.01",81.94,0.7,54,-8.776,-0.001642,72.2699777141038
"CANDIDATE",11547505,"K01655.01",70.95,0.8954,26,-1.247,5.39e-05,0.525541619156214
"CANDIDATE",4471747,"K01656.01",88.05,0.9404,26,1.988,-6.556e-05,1.35791366906475
"FALSE POSITIVE",4474645,"K01657.01",54.59,0.926,7,1.973,-0.05185,70.2275894101254
"CANDIDATE",4570949,"K01658.01",79.91,0.9,64,-23.95,-0.004236,52.7212341975573
"CANDIDATE",4650733,"K01659.01",88.43,0.8402,7,1.229,0.0003741,0.306830541657603
"CANDIDATE",4830605,"K01660.01",88.77,0.7869,7,0.9658,0.0003269,0.20456333595594
"FALSE POSITIVE",4832197,"K01661.01",72,0.9081,7,0,0,1008.19964349376
"FALSE POSITIVE",4844004,"K01662.01",81.13,0.9,7,1.165,0.0004896,0.283783783783784
"FALSE POSITIVE",4927315,"K01663.01",83.96,0.974,7,2.022,0.001416,16.4711881693014
"FALSE POSITIVE",4928119,"K01664.01",89.42,0.9499,7,1.672,-0.007179,212.265471856623
"CANDIDATE",4932442,"K01665.01",81.47,0.8794,32,1.333,8.794e-05,0.316349701958558
"FALSE POSITIVE",5008501,"K01666.01",77.1,0.9106,7,0,0.0002249,0.312615955473098
"FALSE POSITIVE",5015913,"K01667.01",71.76,0.9015,18,-72.67,0.0001168,6.649069884364
"FALSE POSITIVE",5103942,"K01668.01",85.4,0.9789,7,1.141,0.0005387,12.496960855823
"CANDIDATE",5183357,"K01669.01",88.01,0.8952,26,2.625,0.0001494,2.4141281512605
"FALSE POSITIVE",5184709,"K01670.01",88.06,0.8765,7,1.235,-0.0002325,0.26166286543645
"CANDIDATE",5195172,"K01671.01",66.31,0.8908,4,0.8365,6.214e-05,0.261694058154235
"CANDIDATE",5269467,"K01672.01",88.65,0.8784,7,2.535,-0.000816,0.832050624251753
"FALSE POSITIVE",5271608,"K01673.01",77.53,0.8963,7,0.9581,-0.002062,0.202994567377766
"FALSE POSITIVE",5357470,"K01674.01",79.74,0.8978,7,1.131,-0.0001653,0.212834350070389
"CANDIDATE",5360920,"K01675.01",87.78,0.9503,7,2.599,6.756e-05,1.87187969924812
"FALSE POSITIVE",5443775,"K01676.01",81.84,0.9168,18,-1.372,-0.0008142,0.97366914710933
"CANDIDATE",5526717,"K01677.01",89.26,0.8686,26,1.794,0.000857,0.539490105188091
"FALSE POSITIVE",5527172,"K01678.01",83.87,0.683,18,-0.4203,7.002e-05,523.318605792833
"FALSE POSITIVE",5529643,"K01679.01",45.29,0.9036,7,0.6974,0.0005067,0.226378896882494
"FALSE POSITIVE",5530882,"K01680.01",80.89,0.8822,7,0.9439,-0.0009003,0.20233064412857
"CANDIDATE",5531953,"K01681.01",85.07,0.9006,42,1.966,-0.0008096,0.627192077573757
"FALSE POSITIVE",5531953,"K01681.02",79.37,0.8982,42,0.8301,-0.0006523,0.194120321260797
"CANDIDATE",5531953,"K01681.03",89.22,0.7837,42,0.4576,0.000321,0.0917587085811385
"CANDIDATE",5531953,"K01681.04",83,0.9316,42,0.9959,-0.0004189,0.219325686478971
"CANDIDATE",6034945,"K01683.01",86.31,0.7086,7,1.212,-7.184e-05,0.306729264475743
"FALSE POSITIVE",6048024,"K01684.01",89.18,0.9932,23,1.233,-0.0004361,53.1399046104928
"CANDIDATE",6049190,"K01685.01",89.13,0.7863,7,1.772,0.0003591,1.34097421203438
"CANDIDATE",6198999,"K01687.01",81.97,0.8975,7,1.938,-6.209e-05,0.569138276553106
"CANDIDATE",6310636,"K01688.01",53.76,0.9023,26,0,7.463e-05,0.263072484673639
"FALSE POSITIVE",6312534,"K01689.01",65.95,0.9322,7,-4.246,-0.03613,15.324985092427
"FALSE POSITIVE",6470917,"K01690.01",66.76,0.9047,7,0.7879,0.0003355,0.217632381480455
"FALSE POSITIVE",6611330,"K01691.01",89.2,0.9541,7,1.508,0.002691,40.0143163922692
"CANDIDATE",6616218,"K01692.01",83.2,0.9013,23,1.21,3.463e-05,6.8921875
"CANDIDATE",6616218,"K01692.02",77.03,0.8884,23,1.076,-5.718e-05,0.315996371333535
"CANDIDATE",6696462,"K01693.01",81.86,0.9656,7,1.13,0.0002571,19.287064542263
"CANDIDATE",6699368,"K01694.01",81.68,0.9777,7,0.7446,0.0001387,11.8828973126891
"CANDIDATE",6803855,"K01695.01",88.94,0.8513,7,1.305,0.0003382,0.338339920948617
"FALSE POSITIVE",6891366,"K01696.01",32.9,0.9904,7,0.1109,-0.0002418,20.1991341991342
"FALSE POSITIVE",6891637,"K01697.01",41.59,0.9766,7,1.481,9.068e-05,19.2107279693487
"FALSE POSITIVE",6975615,"K01698.01",71.69,0.8996,7,1.075,-0.01729,0.313516176712104
"FALSE POSITIVE",7137725,"K01699.01",66.4,0.9146,5,-0.02235,-8.463e-05,0.730876216968011
"CANDIDATE",7220429,"K01700.01",85.9,0.8451,7,0.8096,3.367e-05,0.32246513381078
"CANDIDATE",7222086,"K01701.01",82.83,0.9,26,0,1.269e-05,0.781637379103664
"CANDIDATE",7304449,"K01702.01",79.67,0.8993,42,0.6629,0.0003513,0.75354609929078
"FALSE POSITIVE",7380829,"K01703.01",41.62,0.9776,7,0.7164,-0.005075,5.05444986856928
"CANDIDATE",7386827,"K01704.01",86.91,0.8434,7,1.121,-0.0002353,0.777506112469438
"CANDIDATE",7522911,"K01705.01",86.41,0.8703,7,1.444,-0.0007899,0.728451451303963
"CANDIDATE",7626370,"K01706.01",76.58,0.8989,7,0.2338,6.138e-05,0.611657834973505
"CANDIDATE",7703955,"K01707.01",88.33,0.9455,16,2.468,-2.108e-05,3.30039779289106
"CANDIDATE",7703955,"K01707.02",89.3,0.9588,16,2.88,-0.001995,1.49134823359769
"CANDIDATE",7750419,"K01708.01",87.83,0.9678,26,2.085,-0.0001687,1.74979887369268
"FALSE POSITIVE",7768952,"K01709.01",88.46,0.9024,7,0.6425,-0.0007138,0.292575087665803
"CANDIDATE",7815744,"K01710.01",87.31,0.8096,7,1.566,0.0007265,0.472950191570881
"CANDIDATE",7955580,"K01711.01",89.34,0.8044,26,1.36,-0.0003382,0.381680338056177
"FALSE POSITIVE",8162790,"K01712.01",86.2,0.8709,7,1.598,-0.000991,1.08467400508044
"CANDIDATE",8230616,"K01713.01",81.08,0.8966,42,1.373,-3.68e-05,0.421968461120174
"CANDIDATE",8230616,"K01713.02",85.12,0.8956,42,1.832,0.0001834,0.679337686567164
"CANDIDATE",9655129,"K01714.01",79.8,0.7531,7,3.272,-9.419e-05,396.349768455462
"CANDIDATE",9836959,"K01715.01",89.08,0.8987,23,2.502,0.000201,1.33355511199823
"CANDIDATE",9838949,"K01716.01",83.73,0.8515,7,0.8338,-9.048e-05,0.395787139689579
"CANDIDATE",9895006,"K01717.01",83.04,0.9672,7,1.987,0.0004256,1.95148247978437
