"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"FALSE POSITIVE",10711913,"K07365.01",571500,5,0,0.001831
"FALSE POSITIVE",10732401,"K07366.01",3763,5,5.0662e-15,-9.432e-05
"FALSE POSITIVE",10736223,"K07367.01",15220000,8,-1,0
"CANDIDATE",10736489,"K07368.01",1194,13,-1,6.588e-05
"FALSE POSITIVE",10743600,"K07369.01",219100,14,-1,0.08432
"FALSE POSITIVE",10753734,"K07371.01",29140000,5,-1,0
"FALSE POSITIVE",10794242,"K07372.01",9903000,5,-1,0.002198
"FALSE POSITIVE",10794405,"K07373.01",9558,5,-1,0
"FALSE POSITIVE",10809677,"K07374.01",10060,5,0,-7.895e-05
"CANDIDATE",10812541,"K07375.01",87.47,5,-1,-0.001275
"CANDIDATE",10815677,"K07376.01",4810,5,1.2316e-24,0.0001249
"FALSE POSITIVE",10816107,"K07377.01",351300,5,-1,0.001293
"CANDIDATE",10843431,"K07378.01",190.6,8,1.6482e-33,-0.0006146
"CANDIDATE",10843431,"K07378.02",31.27,8,1.1074e-17,0.002997
"FALSE POSITIVE",10847907,"K07379.01",9014,13,3.4797e-16,2.02e-06
"FALSE POSITIVE",10849244,"K07381.01",12200000,5,0,0.003587
"FALSE POSITIVE",10857589,"K07382.01",229200,5,0,0.02162
"FALSE POSITIVE",10867017,"K07384.01",8742,5,7.5232e-24,-0.001032
"FALSE POSITIVE",10909274,"K07385.01",144200000,5,-1,-0.006622
"FALSE POSITIVE",10920813,"K07386.01",25770000,13,0,-0.001609
"FALSE POSITIVE",10923260,"K07387.01",730200,5,0,-0.0002672
"FALSE POSITIVE",10924400,"K07388.01",7039,18,1.0065e-28,4.192e-05
