"koi_disposition","kepid","kepoi_name","tce_model_dof","tcet_period","tcet_model_dof","tce_rb_tpdur","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_pdeco","tce_prad_sn"
"CANDIDATE",11177543,"K01648.01",684.8,38.326,1136,6,0,48.825239,-9.805e-05,2.93830508474576
"CANDIDATE",11337141,"K01649.01",3910,4.04355,6379,3,1,49.142403,0.0003716,2.63169073916737
"CANDIDATE",11337372,"K01650.01",4187,6.5319,6172,6,1,49.158648,0.0002146,6.35695850704785
"CANDIDATE",11337372,"K01650.02",642.5,100.825,909,12,0,49.158884,-0.001046,5.02010800873262
"CANDIDATE",11337833,"K01651.01",1214,51.3014,2126,12,1,49.190756,0.0001127,3.13208016930163
"FALSE POSITIVE",11391667,"K01652.01",27220,0.541869,25680,3,35,49.263531,-0.0002131,2.45641447368421
"FALSE POSITIVE",11392017,"K01653.01",10700,2.45571,13900,6,1,49.278666,0.01328,1.32521739130435
"FALSE POSITIVE",11546211,"K01654.01",13480,1.09721,22740,3,8,49.504148,-0.001642,7.59026508226691
"CANDIDATE",11547505,"K01655.01",16600,0.938467,25620,3,7,49.533131,5.39e-05,4.08351026185421
"CANDIDATE",4471747,"K01656.01",845.4,51.3905,1364,12,0,39.506408,-6.556e-05,5.25403286597316
"FALSE POSITIVE",4474645,"K01657.01",27440,3.88678,25380,24,0,39.566793,-0.05185,4.05648854961832
"CANDIDATE",4570949,"K01658.01",10050,1.54493,16620,3,0,39.618888,-0.004236,5.55799648506151
"CANDIDATE",4650733,"K01659.01",1735,29.5391,3073,6,0,39.785309,0.0003741,2.4070265638389
"CANDIDATE",4830605,"K01660.01",1658,35.636,2874,12,0,39.967787,0.0003269,1.93327154772938
"FALSE POSITIVE",4832197,"K01661.01",20020,0.947741,31580,3,0,0,0,3.60394707333483
"FALSE POSITIVE",4844004,"K01662.01",9972,1.56807,16410,3,0,39.981623,0.0004896,2.38760631834751
"FALSE POSITIVE",4927315,"K01663.01",2253,11.7692,4353,6,0,40.073724,0.001416,2.89707187222715
"FALSE POSITIVE",4928119,"K01664.01",585.5,44.639,613,6,0,40.072913,-0.007179,2.78308823529412
"CANDIDATE",4932442,"K01665.01",6429,6.9336,11100,12,0,40.055034,8.794e-05,2.90198814091385
"FALSE POSITIVE",5008501,"K01666.01",20230,0.968035,32210,3,0,40.177292,0.0002249,2.58521588022992
"FALSE POSITIVE",5015913,"K01667.01",14710,1.17996,21760,3,1,40.170922,0.0001168,2.77799227799228
"FALSE POSITIVE",5103942,"K01668.01",1656,10.1018,2466,3,0,40.262081,0.0005387,2.02470830473576
"CANDIDATE",5183357,"K01669.01",1832,61.037,3173,24,0,40.397673,0.0001494,5.58070866141732
"FALSE POSITIVE",5184709,"K01670.01",2070,10.579,3054,3,0,40.332587,-0.0002325,2.26915520628684
"CANDIDATE",5195172,"K01671.01",18600,1.48029,25690,6,0,40.362633,6.214e-05,2.56061636075232
"CANDIDATE",5269467,"K01672.01",1509,33.8678,2312,6,0,40.490744,-0.000816,5.8046511627907
"FALSE POSITIVE",5271608,"K01673.01",9384,2.49047,14570,6,0,40.434587,-0.002062,1.91117092866756
"FALSE POSITIVE",5357470,"K01674.01",8831,2.17252,14730,3,1,40.559615,-0.0001653,2.15632499142955
"CANDIDATE",5360920,"K01675.01",1492,14.6239,2214,3,0,40.55815,6.756e-05,4.21259359273352
"FALSE POSITIVE",5443775,"K01676.01",6954,3.30769,13070,3,0,40.65402,-0.0008142,3.47339593114241
"CANDIDATE",5526717,"K01677.01",751.5,52.0691,1149,6,0,40.700017,0.000857,3.79869771548394
"FALSE POSITIVE",5527172,"K01678.01",7015,3.18394,8053,6,1,40.723861,7.002e-05,4.02801724137931
"FALSE POSITIVE",5529643,"K01679.01",51580,0.759764,32100,6,0,40.707265,0.0005067,2.10773619734855
"FALSE POSITIVE",5530882,"K01680.01",8420,5.08258,14680,6,0,40.773601,-0.0009003,1.85251937984496
"CANDIDATE",5531953,"K01681.01",4631,6.93908,6241,6,0,40.72987,-0.0008096,4.77786752827141
"FALSE POSITIVE",5531953,"K01681.02",9283,1.99282,15320,3,0,40.730166,-0.0006523,1.90855247571665
"CANDIDATE",5531953,"K01681.03",1105,21.9142,1888,3,0,40.729299,0.000321,0.918918918918919
