"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",7047922,"K01899.02",214.55,-0.03175,5.146e-06,8.69302949061662,0.0459464285714286,0.266816568047337
"CANDIDATE",9353314,"K01900.01",42.72,-0.05295,2.792e-05,32.9566563467492,0.196619718309859,1.44209677419355
"CANDIDATE",3629967,"K01901.01",17.54,-0.009658,-0.0003354,27.6777251184834,-2.04512195121951,4.09572016460905
"FALSE POSITIVE",5809954,"K01902.01",0.2,-0.01068,-0.0009795,22.882797731569,-0.730970149253731,1.16118881118881
"FALSE POSITIVE",3836453,"K01903.01",509.43,-0.09955,-0.002363,43.7768240343348,-75.7371794871795,22.4990099009901
"CANDIDATE",8766650,"K01904.01",36.64,0.02862,-6.381e-05,29.7251633250732,-0.898732394366197,1.22758064516129
"CANDIDATE",10328393,"K01905.01",57.98,-0.05767,-0.0004155,30.5296950240771,-2.80743243243243,1.39452380952381
"CANDIDATE",10328393,"K01905.02",21.6,-0.01217,-0.0001327,17.6237623762376,-0.67020202020202,0.387581047381546
"CANDIDATE",10328393,"K01905.03",7.84,-0.003307,-6.653e-05,16.1001902346227,-0.274917355371901,0.140705394190871
"CANDIDATE",11773328,"K01906.01",78.98,0.02076,0.0002305,27.8750591575958,0.592544987146529,0.28436496350365
"CANDIDATE",7094486,"K01907.01",6.25,0.09754,-0.0003557,37.3580394500897,-0.81395881006865,0.473566929133858
"CANDIDATE",5706966,"K01908.01",12.57,0.03331,0.0001743,30.7772979642196,0.932085561497326,0.236408
"CANDIDATE",5706966,"K01908.02",5.27,-0.04001,-0.0001128,18.6428221460069,-0.494736842105263,0.238915254237288
"CANDIDATE",10130039,"K01909.01",108.25,0.0225,-1.873e-05,34.6355579670826,-0.385390946502058,1.6332967032967
"CANDIDATE",10130039,"K01909.02",334.81,0.06407,4.16e-05,27.4475082216039,1.15877437325905,2.20245833333333
"CANDIDATE",10130039,"K01909.03",43.92,-0.06089,-2.101e-05,21.4975002906639,-0.260024752475248,2.16512544802867
"CANDIDATE",8226050,"K01910.01",12.22,-0.07281,-0.0002305,29.5512820512821,-0.789383561643836,1.32530973451327
"CANDIDATE",8226050,"K01910.02",28.04,0.005704,0.0002702,8.51933701657458,1.14978723404255,1.33684129429892
"CANDIDATE",9965957,"K01911.01",169.96,0.011,-0.0003204,29.3320158102767,-0.991950464396285,0.335951388888889
"FALSE POSITIVE",3952651,"K01912.01",24.75,-0.03839,-0.002812,6.23251326579836,-6.08658008658009,91.4818594104309
"CANDIDATE",9704384,"K01913.01",180.2,0.1011,-5.88e-05,37.8468368479467,-1.15068493150685,1.1223
"CANDIDATE",8426567,"K01914.01",81.57,0.02887,5.14e-05,30.3844434510505,0.243601895734597,0.253732283464567
"CANDIDATE",9101496,"K01915.01",656.42,-0.05221,-3.099e-05,35.7693926216861,-0.358265895953757,0.883821656050955
"CANDIDATE",9101496,"K01915.02",29.14,-0.03906,0.0001837,12.4669836238774,1.1626582278481,1.4819587628866
"CANDIDATE",6037581,"K01916.01",207.3,0.05802,4.418e-05,36.6750763510822,0.669393939393939,2.39890173410405
