"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"FALSE POSITIVE",7938883,"K03974.01",0.5838158,0,0,-0.20193,0.29289,0.35576,6.70886075949367,0,-0.0517691154422789,5.33373313343328
"CANDIDATE",9280239,"K03975.01",0.6607812,5.927,-0.001447,0.0018904,0.39419,0.39419,10.1612903225806,6.27268769048952,-0.407478991596639,1.02921671018277
"FALSE POSITIVE",4544571,"K03976.01",0.5057202,13.24,0.003222,2.6046,-3.4691,4.338,3.49186991869919,24.9395674300254,5.22644135188867,8.48923679060665
"FALSE POSITIVE",3245661,"K03977.01",0.3415496,2.589,0,-7.7293,-4.1528,8.7743,3.37546468401487,22.791357598758,7.59102564102564,126.248920863309
"FALSE POSITIVE",10090219,"K03978.01",0.4610516,1.028,0.0005057,10.465,-4.5626,11.417,3.5886524822695,1.76045940965045,33.6990291262136,32.9020172910663
"FALSE POSITIVE",9899217,"K03979.01",0.274332,0,0.000216,-1.5186,1.2576,1.9717,3.5729537366548,0,-3.53674321503132,3.31936026936027
"CANDIDATE",6750902,"K03980.01",0.3802112,3.639,9.218e-05,-0.16987,-0.039719,0.17446,3.54929577464789,6.72578938490086,-1.47635135135135,0.996914285714286
"FALSE POSITIVE",5895588,"K03981.01",0.4606206,2.955,0,2.0468,-7.8905,8.1516,3.52479338842975,6.78319538294071,29.7877428998505,118.310595065312
"FALSE POSITIVE",5303557,"K03982.01",0.4997976,5.34,0.01169,4.4561,-6.7384,8.0785,0,10.368932397488,86.7910014513788,107
"FALSE POSITIVE",10227863,"K03983.01",0.5040796,3.422,-0.0003312,-3.3203,7.2285,7.9546,3.61888111888112,4.44591071093603,-11.2288659793814,8.99841628959276
"CANDIDATE",8036287,"K03984.01",0.6712276,2.175,1.971e-05,0.084159,0.22573,0.24091,2.47692307692308,6.2158306861178,0.265730158730159,1.11532407407407
"FALSE POSITIVE",9602562,"K03985.01",0.539255,1.282,1.788e-05,0.28279,-1.8304,1.8521,3.15580736543909,2.41178909116568,0.371060903732809,2.45962815405046
