"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"FALSE POSITIVE",9899577,"K07247.01",0.0082909787,14.41,1,2.625,94.14,3.586,0,1.936,-0.0001437,2.9363,0.751212142521022,213566.794520548
"FALSE POSITIVE",9899583,"K07248.01",0.0077476295,13.54,1,2.473,75.7,3.701,0,1.613,-8.046e-05,2.8955,1.0102362637579,181925.828793774
"FALSE POSITIVE",9906489,"K07249.01",0.020812977,25.07,1,10.13,157.9,5.123,0,0.5189,-5.745e-05,0.68455,90.2805400603546,932201.077844311
"CANDIDATE",9909965,"K07252.01",0.010509744,9.146,1,2.236,138.2,3.187,0,-0.3832,-1.72e-06,1.1281,0.227452466383261,96804.4182194617
"FALSE POSITIVE",9913481,"K07253.01",0.45010126,18830,1,3.039,85160,4611,0,-0.0203,-0.001972,0.69817,1360.96132248013,608926223.958333
"FALSE POSITIVE",9913798,"K07254.01",0.48439182,3202,1,1.459,110500,663.9,0,-1.294,0.1522,1.9572,96.01300355339,162839689.89547
"FALSE POSITIVE",9934208,"K07256.01",0.32163701,2830,1,1.12,124600,592.9,0,-0.1624,0.003131,0.012562,1041.34866341034,57211947.4969475
"FALSE POSITIVE",9936698,"K07257.01",0.39309875,2626,1,1.939,140400,1638,0,-0.1297,-0.0003884,0.0095123,384.033494582392,159216136.054422
"CANDIDATE",9943009,"K07258.01",0.0053674185,7.415,1,0.0007789,25.39,4.634,0,1.096,-3.149e-05,0.9624,0.385053299141268,141915.893939394
"CANDIDATE",9944201,"K07259.01",0.18372983,1294,1,0.5376,22900,81.12,0,-0.08212,0.001634,0.46852,196.174957463143,37443973.6
"FALSE POSITIVE",9944421,"K07260.01",0.67122766,5751,1,1.377,229200,1348,0,0.06569,-0.006542,0.0011124,437.780389573562,163646811.188811
"FALSE POSITIVE",9945280,"K07261.01",0.15952662,1448,1,0.9564,20450,188.8,0,0.005482,-0.0003568,0.0076809,773.589815813732,80569848.5370052
"FALSE POSITIVE",9953736,"K07262.01",0.0035360038,11.15,1,1.887,61.16,5.095,0,0.2662,-5.183e-06,1.5253,1.53092624538409,194404.294605809
"FALSE POSITIVE",9958053,"K07263.01",0.0081550036,27.32,1,1.653,181.8,5.098,0,1.064,-7.985e-05,0.073912,1.46930688377978,425697.872727273
"FALSE POSITIVE",9959093,"K07264.01",0.0085473148,7.709,1,1.799,69.51,3.014,0,-3.389,0.0001975,2.4378,0.312964462942703,142875.149390244
"FALSE POSITIVE",9963009,"K07265.01",0.20832588,1692,1,3.045,40930,470.7,0,0.07294,-0.01178,0.13961,897.941716826543,30226967.7419355
"FALSE POSITIVE",9965691,"K07267.01",0.047903257,76.36,1,12.56,352.1,7.977,0,-0.08677,-4.309e-05,0.058433,79.2471253698682,3394578.69565217
"FALSE POSITIVE",9971475,"K07268.01",0.56583464,8039,1,1.624,197300,1697,0,-0.07739,-0.001967,0.0074917,374.024125734185,336779776.978417
"FALSE POSITIVE",10000490,"K07269.01",0.32598542,2254,1,1.632,58770,465.4,0,0,0,0.033059,3947.12800962749,0
"CANDIDATE",10002049,"K07270.01",0.015110078,8.357,1,0.3486,176.5,3.424,0,2.941,-0.000487,2.2277,0.228538301918526,105548.824719101
"FALSE POSITIVE",10014702,"K07271.01",0.0082609607,10.7,1,1.009,69.78,4.317,0,-0.7889,4.531e-05,0.97271,0.512821446402918,123803.564643799
"CANDIDATE",10019854,"K07272.01",0.010598568,7.302,1,2.025,115.6,3.026,0,0.2143,-1.729e-05,2.0277,0.295876382763119,83824.5892857143
"FALSE POSITIVE",10020423,"K07273.01",0.35819086,5135,1,1.128,149200,906.7,0,-0.2413,5.532e-05,0.00882,1787.36714205038,134442415.472779
"FALSE POSITIVE",10026136,"K07274.01",0.44021393,-1,1,3.257,326800,1595,0,-1.117,0,5.7426,-22.163009,143589113.149847
"FALSE POSITIVE",10026457,"K07275.01",0.34613694,1088,1,3.838,62630,342.4,0,-0.2861,-0.07253,1.6074,921.621504523979,34298978.8321168
"FALSE POSITIVE",10031409,"K07276.01",0.61113346,10150,1,1.669,196100,1662,0,0.03862,-0.009389,0.0039147,399.652699093989,381707162.601626
"FALSE POSITIVE",10031526,"K07277.01",0.021087497,8.695,1,0.009584,172.6,3.82,0,-6.631,0.001224,2.0038,2.00240142271342,83957.1520572451
"FALSE POSITIVE",10031808,"K07278.01",0.049009093,-1,1,3.61,265000,436.1,0,0.101,0,4.1842,-13.718005,703602293.853073
"CANDIDATE",10053138,"K07279.01",0.0094187251,8.593,1,2.584,76.16,3.861,0,1.995,-0.0001055,1.9495,0.359026829227098,113702.352657005
"FALSE POSITIVE",10063044,"K07280.01",0.41852525,4310,1,1.72,155900,591.1,0,0.1261,0.01886,0.014863,2891.21463867358,402361153.846154
"FALSE POSITIVE",10091257,"K07284.01",0.27856541,3873,1,1.1,48840,734.7,0,-0.2516,0,0.02329,1664.89735021945,259969171.270718
"FALSE POSITIVE",10093664,"K07285.01",0.0017318284,4.217,1,7.651,27.45,4.347,0,0,0,2.1116,0.670878171889363,0
"FALSE POSITIVE",10095512,"K07286.01",0.42123141,5247,1,1.864,91150,1956,0,0.0007718,3.054e-05,0.0097857,67.8784345681844,223878666.666667
"FALSE POSITIVE",10129482,"K07288.01",0.37929527,2747,1,0.7038,193100,282,0,-0.08186,-0.0005381,0.046829,282.988139746122,135167011.461318
"FALSE POSITIVE",10155080,"K07289.01",0.38529568,6054,1,1.445,51980,893.5,0,0,0,0.52364,1051.10109677615,0
"FALSE POSITIVE",10156064,"K07290.01",0.38062069,15600,1,1.964,95830,7138,0,-0.1651,0,0.74638,734.733677961913,478160283.975659
"CANDIDATE",10163067,"K07291.01",0.01083873,10.32,1,1.638,92.72,3.254,0,-0.4246,2.564e-05,9.0127,1.25044930336208,235538.26
"FALSE POSITIVE",10164018,"K07292.01",0.016966725,10.35,1,1.758,344.8,3.946,0,-45.58,0.01323,8.8003,0.259669953090286,121579.974226804
"FALSE POSITIVE",10189523,"K07293.01",0.015504926,7,1,1.035,20790,27.26,0,0.6775,-0.0001244,0.068463,0.314369773056108,175608.87732342
"FALSE POSITIVE",10198109,"K07294.01",0.3118617,-1,1,1.144,115900,1655,0,-0.0002726,-0.0007576,0.017995,-59.690209,189657269.076305
"FALSE POSITIVE",10208759,"K07295.01",0.4313051,-1,1,3.521,354200,3938,4,-0.1156,0.01093,0.0033591,-4.2425716,575258734.793187
"FALSE POSITIVE",10214328,"K07296.01",0.013396354,5.682,1,8.423,318.5,5.754,0,1.171,-0.0002116,13.48,3.56142519524962,23068.4170731707
"FALSE POSITIVE",10215422,"K07297.01",0.48271084,-1,1,2.71,312100,3000,0,-0.2675,0,0.0056488,-62.4074,226932000
