"koi_disposition","kepid","kepoi_name","tce_duration","tce_fwm_pdeco","tce_dicco_mra"
"CANDIDATE",8951215,"K00924.01",3.126,0.000149,-0.072559
"FALSE POSITIVE",9016295,"K00925.01",4.241,0.0002269,-0.0013844
"CANDIDATE",9077124,"K00926.01",3.425,-0.0001189,0.03029
"FALSE POSITIVE",9097120,"K00927.01",3.801,-0.002963,-0.88606
"CANDIDATE",9140402,"K00928.01",2.17,4.416e-05,-0.036749
"CANDIDATE",9141746,"K00929.01",4.365,-0.0003137,-0.0071088
"CANDIDATE",9141746,"K00929.02",3.971,9.927e-05,0.41814
"FALSE POSITIVE",9159275,"K00930.01",5.9,-0.00218,7.1841
"CANDIDATE",9166862,"K00931.01",3.244,0.01223,-1.4644
"FALSE POSITIVE",9166870,"K00932.01",3.183,0.01759,-4.6271
"FALSE POSITIVE",9171801,"K00933.01",2.789,0.02287,5.0686
"CANDIDATE",9334289,"K00934.01",3.054,0.0001424,-0.028912
"CANDIDATE",9334289,"K00934.02",4.111,8.193e-05,-0.14605
"CANDIDATE",9334289,"K00934.03",4.028,-0.0001749,0.12258
"CANDIDATE",9347899,"K00935.01",5.882,5.867e-06,0.00046949
"CANDIDATE",9347899,"K00935.02",6.692,0.0004011,0.024173
"CANDIDATE",9347899,"K00935.03",9.048,0.0002927,0.064431
"CANDIDATE",9347899,"K00935.04",4.116,-9.114e-05,-0.91968
"CANDIDATE",9388479,"K00936.01",2.506,-0.0001215,0.065104
"CANDIDATE",9388479,"K00936.02",1.061,-0.0002343,-0.022608
"CANDIDATE",9406990,"K00937.01",4.195,0.0004018,-0.00010021
"CANDIDATE",9415172,"K00938.01",3.55,-0.0004153,0.014002
"CANDIDATE",9415172,"K00938.02",1.896,-0.0001041,-0.19965
"CANDIDATE",9415172,"K00938.03",2.574,-0.0001742,0.25625
"CANDIDATE",9466668,"K00939.01",2.758,0.0001293,-0.21646
"CANDIDATE",9466668,"K00939.02",3.279,0.000258,-0.12833
"CANDIDATE",9466668,"K00939.03",2.4,0.0001268,-0.35261
"CANDIDATE",9466668,"K00939.04",3.732,-0.0001394,-0.2864
"CANDIDATE",9479273,"K00940.01",4.772,-0.000357,-0.055162
"CANDIDATE",9480189,"K00941.01",3.256,0.0001525,0.095272
"CANDIDATE",9480189,"K00941.02",2.848,-0.0001831,0.070931
"CANDIDATE",9480189,"K00941.03",1.887,4.195e-05,0.15516
"CANDIDATE",9512687,"K00942.01",2.331,0.0001454,0.059057
"CANDIDATE",9513865,"K00943.01",2.671,-3.018e-05,0.018197
"CANDIDATE",9595686,"K00944.01",2.474,0.0009641,0.39403
"CANDIDATE",9605514,"K00945.01",7.065,0.0002455,-0.02044
"CANDIDATE",9605514,"K00945.02",6.106,0.0001519,-0.093138
"FALSE POSITIVE",9605514,"K00945.03",5.458,-0.000142,0.51493
"FALSE POSITIVE",9661877,"K00946.01",3.617,0.04519,-4.8481
"CANDIDATE",9710326,"K00947.01",3.759,-0.0001061,0.13339
"CANDIDATE",9761882,"K00948.01",4.105,-0.0009412,0.33707
"CANDIDATE",9766437,"K00949.01",4.131,9.382e-05,0.038556
"CANDIDATE",9772531,"K00950.01",2.212,0.0004532,0.0048486
"CANDIDATE",9775938,"K00951.01",3.541,-0.0001326,0.022369
"CANDIDATE",9775938,"K00951.02",4.416,-0.0001102,0.14026
"CANDIDATE",9787239,"K00952.01",2.392,-6.721e-06,0.21659
"CANDIDATE",9787239,"K00952.02",3.312,0.0004482,0.29264
"CANDIDATE",9787239,"K00952.03",3.106,-0.0004946,0.3376
"CANDIDATE",9787239,"K00952.04",1.868,-8.714e-06,0.88177
"CANDIDATE",9787239,"K00952.05",1.299,0.0001537,0.38394
"CANDIDATE",9820483,"K00953.01",2.79,-5.855e-06,0.020302
"CANDIDATE",9823457,"K00954.01",3.225,-0.000506,-0.061316
"CANDIDATE",9823457,"K00954.02",4.989,-0.0001243,0.079591
"CANDIDATE",9825625,"K00955.01",4.203,4.647e-05,-0.016764
"CANDIDATE",9875711,"K00956.01",2.801,0.0005585,0.038584
"FALSE POSITIVE",7661409,"K00957.01",6.216,-0.08089,0.10809
"CANDIDATE",1026957,"K00958.01",1.333,5.117e-05,0.043901
"CANDIDATE",10002261,"K00959.01",2.494,-0.001727,-0.20786
"FALSE POSITIVE",8176650,"K00960.01",6.385,-0.000514,0.013688
"CANDIDATE",8561063,"K00961.01",0.6687,-0.0004339,-0.053089
"CANDIDATE",8561063,"K00961.02",0.5998,-0.0002546,-0.11836
"CANDIDATE",8561063,"K00961.03",0.6666,-0.0003796,-0.086778
"FALSE POSITIVE",10657664,"K00964.01",3.105,0.0001729,-0.0031121
"FALSE POSITIVE",3337351,"K00965.01",2.978,0.02822,-1.1599
"FALSE POSITIVE",3233043,"K00966.01",0.7635,-8.958e-05,-0.28403
"FALSE POSITIVE",6579806,"K00967.01",2.77,0.0004285,-0.01685
"FALSE POSITIVE",3560301,"K00968.01",14.38,1.331e-06,0.54371
"FALSE POSITIVE",4044005,"K00969.01",1.841,0.0001591,-0.030783
"FALSE POSITIVE",11502218,"K00970.01",2.222,0.003636,-11.305
"CANDIDATE",11180361,"K00971.01",0.9104,6.065e-05,7.6091
"CANDIDATE",11013201,"K00972.01",4.503,0,-3.4142
"FALSE POSITIVE",11013201,"K00972.02",4.715,0,-2.6017
"CANDIDATE",9414417,"K00974.01",10.61,-0.0001396,2.3059
"CANDIDATE",3632418,"K00975.01",3.572,0.0001326,-3.4502
"FALSE POSITIVE",3441784,"K00976.01",6.686,0.004613,1.9924
"CANDIDATE",11192141,"K00977.01",3.704,-8.303e-05,0.7148
"FALSE POSITIVE",11494130,"K00978.01",24.78,3.654e-06,-0.51558
"FALSE POSITIVE",5648449,"K00979.01",3.238,-0.0004056,-0.16556
"FALSE POSITIVE",12167361,"K00980.01",2.659,-0.0003311,1.5976
"FALSE POSITIVE",1433962,"K00982.01",5.621,0,0
"FALSE POSITIVE",11607193,"K00983.02",1.693,0,3.5843
"CANDIDATE",1161345,"K00984.01",1.319,0.0003835,-0.50903
"FALSE POSITIVE",10227501,"K00985.01",2.297,0.002519,-3.7041
"CANDIDATE",2854698,"K00986.01",3.144,-0.0001446,0.041185
"CANDIDATE",2854698,"K00986.02",7.031,-2.706e-05,-0.36707
"CANDIDATE",7295235,"K00987.01",1.121,6.94e-06,-0.18861
"CANDIDATE",2302548,"K00988.01",2.847,-0.0002694,-0.022189
"CANDIDATE",2302548,"K00988.02",2.859,-0.0003211,0.079026
"CANDIDATE",10154388,"K00991.01",2.168,7.413e-05,0.14719
"CANDIDATE",1432789,"K00992.01",6.048,-0.0004502,-0.18084
"CANDIDATE",1432789,"K00992.02",4.045,0.0002981,0.48972
"CANDIDATE",1718189,"K00993.01",3.601,0.0001467,-0.10597
"CANDIDATE",1718189,"K00993.02",4.302,-0.0004078,-0.13446
"FALSE POSITIVE",1718189,"K00993.03",5.832,-0.0001061,-1.2298
"CANDIDATE",1431122,"K00994.01",2.271,-0.0004529,3.29
"FALSE POSITIVE",3858949,"K00995.01",14.47,0,-6.4224
"FALSE POSITIVE",3858824,"K00996.01",14.72,-0.001628,-1.689
"FALSE POSITIVE",1432214,"K00998.01",5.303,-0.001731,-0.014045
"CANDIDATE",2165002,"K00999.01",4.354,-0.0004524,-0.0077092
"CANDIDATE",2165002,"K00999.02",3.057,0.0002675,0.36024
"FALSE POSITIVE",2441728,"K01000.01",1.476,-0.0005915,-3.8522
"CANDIDATE",1871056,"K01001.01",13.33,9.152e-05,-0.37992
"CANDIDATE",1871056,"K01001.02",19.23,-0.0001134,-0.35783
"CANDIDATE",1865042,"K01002.01",1.896,4.925e-05,-0.015292
"FALSE POSITIVE",2438502,"K01003.01",7.485,-0.01333,-0.31954
"FALSE POSITIVE",2309585,"K01004.01",3.191,0,0
"CANDIDATE",5780460,"K01005.01",8.487,-0.0003668,-0.5118
"FALSE POSITIVE",5738346,"K01006.01",3.549,0.02776,-2.4687
"CANDIDATE",1725016,"K01007.01",3.906,-1.006e-05,-0.1358
"FALSE POSITIVE",1722276,"K01008.01",4.205,0.0005639,-0.25889
"FALSE POSITIVE",892772,"K01009.01",3.642,0.0007155,-4.7374
"FALSE POSITIVE",5728283,"K01011.01",7.551,0.001565,-0.014458
"FALSE POSITIVE",8127639,"K01012.01",1.523,-0.001365,0.5446
"FALSE POSITIVE",6047498,"K01013.01",0.631,9.961e-05,-0.0033172
"CANDIDATE",8125580,"K01014.01",3.176,0.0006099,0.10888
"CANDIDATE",8158127,"K01015.01",4.56,-0.0001966,-0.15563
"CANDIDATE",8158127,"K01015.02",3.621,-0.0001064,-0.47605
"CANDIDATE",8158127,"K01015.03",2.686,1.637e-05,-0.54589
"FALSE POSITIVE",8176653,"K01016.01",1.027,0.0006798,-1.7283
"CANDIDATE",8174625,"K01017.01",4.45,-0.0003542,0.061715
"FALSE POSITIVE",8183911,"K01018.01",2.718,0.003617,-4.4916
"FALSE POSITIVE",2309719,"K01020.01",6.377,0.001044,-0.025606
"FALSE POSITIVE",2558363,"K01021.01",1.184,0.0006206,5.704
"CANDIDATE",2716853,"K01022.01",4.723,-0.0004778,-0.04308
"FALSE POSITIVE",2716853,"K01022.02",3.66,0.0006449,1.098
"FALSE POSITIVE",2445154,"K01023.01",5.267,0.01751,-9.4236
"CANDIDATE",2715135,"K01024.01",1.968,0.0004222,0.072504
"FALSE POSITIVE",2574201,"K01025.01",5.639,-0.001393,-4.7587
"FALSE POSITIVE",2166206,"K01028.01",3.411,0.003603,-7.3747
"CANDIDATE",2164169,"K01029.01",6.444,4.569e-05,0.052911
"CANDIDATE",2574338,"K01030.01",2.421,0.0004266,0.14224
"CANDIDATE",2584163,"K01031.01",5.791,0.0001373,0.47552
"FALSE POSITIVE",5899544,"K01034.01",1.981,-0.01884,2.5995
"FALSE POSITIVE",5963222,"K01035.01",3.138,0,1.3246
"FALSE POSITIVE",5982353,"K01036.01",6.957,-0.002439,-0.25049
"FALSE POSITIVE",6205468,"K01037.01",10.49,0,-2.2302
"FALSE POSITIVE",5802486,"K01039.01",1.474,-0.002205,3.1645
"FALSE POSITIVE",5817553,"K01040.01",8.879,-0.1353,2.7728
"FALSE POSITIVE",5982368,"K01041.01",6.713,-0.009551,0
"FALSE POSITIVE",5816811,"K01042.01",4.366,0,0
"FALSE POSITIVE",5816165,"K01043.01",0.8427,-2.819e-05,0.10877
"FALSE POSITIVE",5802246,"K01044.01",1.223,0.002037,-4.1263
"FALSE POSITIVE",6066403,"K01045.01",2.5,0,0
"FALSE POSITIVE",5988031,"K01047.01",6.68,-0.02368,0
"FALSE POSITIVE",5820218,"K01048.01",3.054,0.0009546,-3.9004
"FALSE POSITIVE",5876368,"K01049.01",0.9238,0.0009608,-6.7246
"CANDIDATE",5809890,"K01050.01",1.524,-0.0002414,0.14018
"CANDIDATE",5809890,"K01050.02",1.509,-6.868e-05,-0.029203
"CANDIDATE",6131236,"K01051.01",3.862,-0.0002688,-0.15754
"CANDIDATE",5956342,"K01052.01",4.744,-0.0005364,-0.013335
"CANDIDATE",5956342,"K01052.02",3.733,-0.0001732,-0.74988
"CANDIDATE",5956342,"K01052.03",7.535,0.0009829,0.094708
"CANDIDATE",5956342,"K01052.04",3.227,-0.000268,0.48164
"CANDIDATE",5956656,"K01053.01",1.894,-0.0002177,-0.095844
"CANDIDATE",5956656,"K01053.02",5.084,0.0009512,-0.013653
"FALSE POSITIVE",5866099,"K01055.01",4.861,-0.007882,7.0237
"FALSE POSITIVE",6066416,"K01057.01",2.778,-0.0002114,0
"CANDIDATE",6124941,"K01058.01",0.7421,0.001315,2.5137
"CANDIDATE",6060203,"K01059.01",1.427,4.39e-05,0.25815
"CANDIDATE",5880320,"K01060.01",6.074,-7.926e-05,-0.32231
"CANDIDATE",5880320,"K01060.02",4.762,4.017e-05,-0.35603
"CANDIDATE",5880320,"K01060.03",6.532,-3.412e-05,-0.30907
"CANDIDATE",5880320,"K01060.04",5.382,-1.835e-05,-0.00049086
"CANDIDATE",6037187,"K01061.01",6.368,-0.0002522,0.054404
"FALSE POSITIVE",6147122,"K01062.01",3.639,-0.002438,-10.567
"FALSE POSITIVE",8257407,"K01063.01",3.5,-0.01165,-0.0014765
"CANDIDATE",8218274,"K01064.01",2.895,-2.29e-05,0.007675
"FALSE POSITIVE",8242681,"K01065.01",4.341,-0.001334,0.0096515
"CANDIDATE",8260218,"K01066.01",3.177,0.01074,-2.4782
"FALSE POSITIVE",8246781,"K01067.01",4.841,-0.0002754,-0.037003
"FALSE POSITIVE",8264070,"K01068.01",2.507,0.003916,8.2643
"CANDIDATE",8222813,"K01069.01",2.974,0.0004775,0.060295
"CANDIDATE",8222813,"K01069.02",1.776,5.724e-05,-0.08957
"CANDIDATE",8240904,"K01070.01",3.899,0.0004309,0.17724
"CANDIDATE",8240904,"K01070.02",8.333,0.001107,0.080281
"FALSE POSITIVE",8244190,"K01071.01",1.418,0,0
"CANDIDATE",8229696,"K01072.01",3.616,-0.0003892,0.35244
"FALSE POSITIVE",8262210,"K01073.01",2.411,0.0009891,0.52899
"CANDIDATE",10272640,"K01074.01",3.786,0.0005125,0.0016401
"CANDIDATE",10232123,"K01075.01",1.955,-0.000128,1.0158
"FALSE POSITIVE",10223616,"K01076.01",3.318,0.0001593,0.073636
"FALSE POSITIVE",10268907,"K01077.01",1.108,-0.001151,0
"CANDIDATE",10166274,"K01078.01",1.772,-0.0002568,-0.02671
"CANDIDATE",10166274,"K01078.02",1.411,0.001404,0.15776
"CANDIDATE",10166274,"K01078.03",2.867,0.001115,0.12867
"FALSE POSITIVE",10158990,"K01080.01",1.927,-0.0001098,0
"FALSE POSITIVE",10149023,"K01081.01",5.408,-0.0001414,0.20529
"CANDIDATE",10141900,"K01082.01",2.683,-0.0005853,1.0982
"CANDIDATE",10141900,"K01082.02",1.404,-5.399e-05,-1.235
"CANDIDATE",10141900,"K01082.03",2.407,0.0003633,0.12845
"CANDIDATE",10141900,"K01082.04",2.721,0.0002552,-3.2978
"CANDIDATE",10157458,"K01083.01",3.659,-4.164e-05,-0.38077
"CANDIDATE",10157458,"K01083.02",2.964,3.205e-05,-0.60461
"FALSE POSITIVE",10148521,"K01084.01",1.425,0.006574,0
"CANDIDATE",10118816,"K01085.01",2.25,0.0006778,0.028649
"CANDIDATE",10122255,"K01086.01",6.882,7.231e-05,0.052777
"FALSE POSITIVE",3124412,"K01087.01",2.252,0.02561,4.7772
"FALSE POSITIVE",3113266,"K01088.01",0.9088,0.002241,1.1878
"CANDIDATE",3247268,"K01089.01",10.16,0.003006,0.022994
"CANDIDATE",3247268,"K01089.02",2.741,0.0006021,0.023814
"FALSE POSITIVE",3232859,"K01090.01",1.763,0.009243,4.7154
"FALSE POSITIVE",3098184,"K01091.01",18.44,-0.2293,0
"FALSE POSITIVE",3239636,"K01093.01",2.492,0.0003489,4.1021
"CANDIDATE",2721030,"K01094.01",4.828,-0.0002094,0.41039
"CANDIDATE",3329204,"K01095.01",2.318,0.0004139,-0.14589
"FALSE POSITIVE",3240706,"K01098.01",3.766,0.0007934,4.9943
"CANDIDATE",2853093,"K01099.01",3.648,-6.136e-05,0.023098
"FALSE POSITIVE",3228824,"K01100.01",4.019,-1.875e-05,-1.3838
"CANDIDATE",3245969,"K01101.01",2.753,-0.001421,-0.0061087
"CANDIDATE",3231341,"K01102.01",6.407,5.8e-06,0.13445
"CANDIDATE",3231341,"K01102.02",5.255,-0.0003411,-0.15748
"CANDIDATE",3231341,"K01102.03",3.406,-0.0001254,-0.48986
"CANDIDATE",3231341,"K01102.04",9.785,-0.0001546,-1.6437
"CANDIDATE",2860866,"K01103.01",12.28,0.0008883,0.067048
"FALSE POSITIVE",2851100,"K01104.01",1.003,0.001765,-6.9789
"FALSE POSITIVE",3130300,"K01105.01",2.927,-0.001273,4.4675
"CANDIDATE",3240158,"K01106.01",3.893,0.000312,-0.17236
"CANDIDATE",3240158,"K01106.02",4.464,-3.419e-05,-0.081174
"CANDIDATE",3240158,"K01106.03",6.787,-8.758e-05,0.96456
"FALSE POSITIVE",3228959,"K01107.01",3.522,0.0002975,-2.2648
"CANDIDATE",3218908,"K01108.01",3.989,0.0004641,-0.16344
"CANDIDATE",3218908,"K01108.02",20.43,0.0009834,0.18718
"CANDIDATE",3218908,"K01108.03",2.325,-5.225e-05,-0.080845
"CANDIDATE",2837111,"K01110.01",4.788,-9.806e-05,-0.091451
"FALSE POSITIVE",2837111,"K01110.02",3.54,0.0001044,0.4729
"FALSE POSITIVE",3120276,"K01111.01",4.533,-0.002497,7.8995
"CANDIDATE",3109930,"K01112.01",8.864,0.0002531,-0.46095
"CANDIDATE",2854914,"K01113.01",4.795,-0.0001316,-0.10614
"CANDIDATE",2854914,"K01113.02",7.076,-0.0003918,-0.18669
"FALSE POSITIVE",3337425,"K01114.01",2.243,9.94e-05,-3.0278
"CANDIDATE",3116412,"K01115.01",6.139,-1.611e-05,-0.11586
"CANDIDATE",2849805,"K01116.01",1.98,1.061e-06,0.11976
"CANDIDATE",3114811,"K01117.01",6.617,1.399e-05,0.4324
"CANDIDATE",2853446,"K01118.01",1.877,-0.0003065,-0.12148
"FALSE POSITIVE",3003992,"K01119.01",2.425,-0.02032,-0.32176
"FALSE POSITIVE",3003992,"K01119.02",2.33,0.0003902,7.8724
"FALSE POSITIVE",6307537,"K01120.01",26.01,-0.03046,-0.018014
"FALSE POSITIVE",6359798,"K01121.01",4.475,-0.01419,-0.28823
"FALSE POSITIVE",6311681,"K01122.01",1.853,0.0008839,4.6817
"FALSE POSITIVE",6365321,"K01123.01",0.8532,6.027e-06,0.019804
"FALSE POSITIVE",6301035,"K01124.01",5.433,-0.04936,0
"FALSE POSITIVE",6292162,"K01125.01",3.047,-0.005977,-0.073586
"FALSE POSITIVE",6307521,"K01126.01",22.42,-0.01862,0
"FALSE POSITIVE",6307521,"K01126.02",22.7,-0.007851,0
"CANDIDATE",6359320,"K01127.01",3.683,-0.000293,-0.06813
"CANDIDATE",6359320,"K01127.02",4.104,0.0004765,0.64646
"CANDIDATE",6359320,"K01127.03",3.035,0.0001622,-0.74048
"CANDIDATE",6362874,"K01128.01",1.632,2.542e-05,-0.016043
"CANDIDATE",6272413,"K01129.01",1.819,-5.385e-05,0.057709
"FALSE POSITIVE",8279765,"K01130.01",2.802,-0.0006439,-0.073805
"CANDIDATE",8435247,"K01131.01",0.7189,0.00154,1.1638
"FALSE POSITIVE",8330548,"K01132.01",3.465,0,-0.18417
"FALSE POSITIVE",8374494,"K01133.01",5.013,0.07778,0
"FALSE POSITIVE",8414907,"K01134.01",9.214,-0.1041,3.5337
"FALSE POSITIVE",8414907,"K01134.02",10.21,-0.04662,3.5804
"FALSE POSITIVE",8397446,"K01135.01",2.18,0.0005176,-2.3804
"FALSE POSITIVE",8386035,"K01136.01",5.801,0.000331,11.279
"FALSE POSITIVE",8332986,"K01137.01",3.129,0.02864,-0.16249
"FALSE POSITIVE",8415745,"K01138.01",2.894,0.007766,0.98541
"FALSE POSITIVE",8378634,"K01139.01",5.405,0,0
"CANDIDATE",8397675,"K01140.01",1.5,-0.0002653,0.17546
"CANDIDATE",8346392,"K01141.01",2.596,3.598e-05,0.33679
"CANDIDATE",8288947,"K01142.01",2.361,-3.445e-05,-0.019809
"FALSE POSITIVE",8312852,"K01143.01",3.15,0.004983,-1.0912
"FALSE POSITIVE",8302450,"K01144.01",2.848,0.0001433,2.2119
"CANDIDATE",8313667,"K01145.01",7.681,0.0001773,-0.26429
"CANDIDATE",8351704,"K01146.01",2.219,3.417e-06,0.54878
"FALSE POSITIVE",8299955,"K01147.01",2.908,-0.00522,-10.64
"CANDIDATE",8410727,"K01148.01",5.104,-3.709e-07,0.23455
"CANDIDATE",8410727,"K01148.02",7.914,-0.0001407,0.11628
"CANDIDATE",8278371,"K01150.01",1.714,-2.439e-05,-9.1893e-05
"CANDIDATE",8280511,"K01151.01",3.571,0,-0.020588
"CANDIDATE",8280511,"K01151.02",3.351,0,0.22373
"CANDIDATE",8280511,"K01151.03",2.647,0,-0.72725
"CANDIDATE",8280511,"K01151.04",4.022,0,-0.44907
"CANDIDATE",8280511,"K01151.05",4.398,0,0.46207
"FALSE POSITIVE",10287248,"K01152.01",3.472,-0.0324,-0.051887
"FALSE POSITIVE",10351767,"K01153.01",2.062,0,0.17112
"CANDIDATE",10295951,"K01154.01",7.921,0.0001983,-0.0059553
"FALSE POSITIVE",10342041,"K01155.01",4.22,0.0003443,2.402
"FALSE POSITIVE",10514770,"K01156.01",1.343,-0.002869,-0.64561
"FALSE POSITIVE",10342065,"K01157.01",5.367,-0.0003293,-1.2963
"FALSE POSITIVE",10352945,"K01158.01",7.17,-0.002294,-3.4078
"CANDIDATE",10354039,"K01159.01",5.833,-0.0006135,-0.003646
"CANDIDATE",10330115,"K01160.01",3.501,-0.001349,-0.054845
"CANDIDATE",10426656,"K01161.01",3.889,-4.652e-05,-0.17282
"CANDIDATE",10426656,"K01161.02",3.063,0.0001048,-0.17454
"CANDIDATE",10426656,"K01161.03",2.749,2.134e-05,0.34962
"CANDIDATE",10528068,"K01162.01",11.69,1.739e-05,-0.0052221
"CANDIDATE",10468940,"K01163.01",1.827,0.0001568,0.16199
"CANDIDATE",10468940,"K01163.02",3.934,-0.0001244,-0.29387
"FALSE POSITIVE",10341831,"K01164.01",3.345,-0.0001463,-1.3261
"CANDIDATE",10337517,"K01165.01",1.712,-0.0001095,-0.034518
"CANDIDATE",10337517,"K01165.02",2.505,2.242e-05,-0.045742
"CANDIDATE",10351231,"K01166.01",1.901,0.0004496,-0.051642
"FALSE POSITIVE",10485179,"K01167.01",1.271,8.995e-05,-3.5179
"CANDIDATE",10319385,"K01169.01",1.28,1.672e-05,-0.058105
"CANDIDATE",10482160,"K01170.01",1.262,-8.169e-05,0.48115
"FALSE POSITIVE",10341913,"K01172.01",3.552,-2.041e-05,-3.9914
"FALSE POSITIVE",10480921,"K01173.01",4.649,-0.0008745,-2.7656
"CANDIDATE",10350571,"K01175.01",11.44,1.264e-05,0.028605
"CANDIDATE",10350571,"K01175.02",14.2,1.328e-05,-0.98786
"FALSE POSITIVE",10350571,"K01175.03",19.99,0.0001855,1.9554
"CANDIDATE",3749365,"K01176.01",1.971,0.001201,0.34764
"FALSE POSITIVE",3547091,"K01177.01",2.463,-0.00323,0.19319
"FALSE POSITIVE",3869825,"K01178.01",8.026,0.0006009,0.0085035
"FALSE POSITIVE",3655332,"K01179.01",5.989,-0.0754,-1.7377
"FALSE POSITIVE",4042026,"K01180.01",11.18,0.008985,-0.38312
"FALSE POSITIVE",3344419,"K01181.01",1.291,0,4.0365
"FALSE POSITIVE",3865567,"K01182.01",4.339,0.02671,-3.1922
"FALSE POSITIVE",3544689,"K01183.01",3.566,-0.08322,3.3921
"FALSE POSITIVE",4037164,"K01184.01",1.247,0,-0.55559
"FALSE POSITIVE",3443790,"K01185.01",1.587,-0.000322,1.6473
"FALSE POSITIVE",3966912,"K01186.01",22.86,0.006339,1.5461
"FALSE POSITIVE",3848972,"K01187.01",0.6286,8.543e-05,0.017848
"FALSE POSITIVE",3860441,"K01188.01",3.351,-0.003474,-5.2538
"FALSE POSITIVE",3765771,"K01189.01",2.378,0.001264,0.89335
"FALSE POSITIVE",3557341,"K01190.01",1.085,-0.0008259,-1.9452
"CANDIDATE",3859628,"K01191.01",3.987,0.0001107,0.029057
"FALSE POSITIVE",3644071,"K01192.02",15.58,-0.02479,3.1412
"CANDIDATE",3942446,"K01193.01",3.071,0.0002091,0.1174
"CANDIDATE",3554031,"K01194.01",2.701,-0.001282,-0.87982
"FALSE POSITIVE",3554031,"K01194.02",2.433,-0.0002433,-1.0054
"CANDIDATE",3554031,"K01194.03",3.606,0.0006551,0.20434
"FALSE POSITIVE",3644523,"K01195.01",29.07,0.0004128,0.39783
"FALSE POSITIVE",3348082,"K01196.01",2.817,0,0
"CANDIDATE",3348082,"K01196.02",5.614,0,0.020424
"CANDIDATE",3348082,"K01196.03",4.623,0,0.021434
"FALSE POSITIVE",3853673,"K01197.01",1.008,0.001476,-1.3375
"CANDIDATE",3447722,"K01198.01",6.198,-0.0001137,-0.31949
"CANDIDATE",3447722,"K01198.02",7.26,0.0001216,-0.046327
"CANDIDATE",3447722,"K01198.03",5.434,0.0004495,-0.60805
"CANDIDATE",3859079,"K01199.01",5.838,0,-0.1677
"CANDIDATE",4061149,"K01201.01",1.356,-0.0003483,0.70053
"CANDIDATE",3444588,"K01202.01",1.278,-1.093e-05,0.57742
"CANDIDATE",3962243,"K01203.01",6.226,-0.001055,0.14709
"CANDIDATE",3962243,"K01203.02",3.73,0.0006955,-0.47311
"CANDIDATE",3962243,"K01203.03",5.155,-6.438e-05,0.052106
"CANDIDATE",3438507,"K01204.01",6.598,-0.0001036,-0.039971
"CANDIDATE",3869014,"K01205.01",5.608,3.759e-05,0.024401
"CANDIDATE",3732821,"K01207.01",2.547,0.000591,0.13922
"CANDIDATE",3962357,"K01210.01",6.921,0.0002096,0.093388
"FALSE POSITIVE",3858704,"K01211.01",5.073,0.003816,10.584
"CANDIDATE",3749134,"K01212.01",4.192,0.0001771,0.24987
"FALSE POSITIVE",3556220,"K01213.01",2.391,-0.008728,4.1654
"CANDIDATE",3660924,"K01214.01",2.94,0.0001093,-0.84409
"CANDIDATE",3939150,"K01215.01",8.147,9.551e-05,0.07209
"CANDIDATE",3939150,"K01215.02",7.411,-1.949e-05,-0.29193
"CANDIDATE",3839488,"K01216.01",4.47,-7.811e-05,-0.29838
"FALSE POSITIVE",3542588,"K01217.01",4.322,0.003835,-5.6099
"CANDIDATE",3442055,"K01218.01",5.796,0.0001007,0.034558
"CANDIDATE",4043190,"K01220.01",2.607,-6.374e-05,-0.10053
"CANDIDATE",3640905,"K01221.01",7.808,-0.0001457,0.31987
"CANDIDATE",3640905,"K01221.02",11.39,-2.406e-05,0.10525
"FALSE POSITIVE",6613006,"K01223.01",5.64,0.03284,-1.1829
"FALSE POSITIVE",6606653,"K01224.01",6.466,-0.0003255,0.019738
"FALSE POSITIVE",6620003,"K01225.01",2.045,0.003512,-0.030976
"FALSE POSITIVE",6621116,"K01226.01",9.23,-0.006681,0.013676
"FALSE POSITIVE",6629332,"K01227.01",2.106,0.001385,-0.0052905
"FALSE POSITIVE",6387450,"K01228.01",2.606,-0.0007949,-0.67758
"CANDIDATE",6470149,"K01230.01",24.98,-0.002665,0.013728
"FALSE POSITIVE",6462874,"K01231.01",6.677,-0.0004094,-0.056812
"FALSE POSITIVE",6462874,"K01231.02",8.687,0.0001483,-0.062043
"FALSE POSITIVE",6665223,"K01232.01",9.356,0.0006174,-0.028121
"FALSE POSITIVE",6665223,"K01232.02",4.786,0.0001428,-0.2209
"FALSE POSITIVE",6545358,"K01233.01",1.044,0.003839,0.035479
"FALSE POSITIVE",6390824,"K01234.01",1.585,-0.001938,4.9077
"FALSE POSITIVE",6546528,"K01235.01",3.142,-0.002116,-10.049
"CANDIDATE",6677841,"K01236.01",6.039,-0.0003721,-0.22548
"CANDIDATE",6677841,"K01236.02",10.6,-0.001161,-0.10772
"CANDIDATE",6677841,"K01236.04",8.224,-0.0008639,0.26853
"FALSE POSITIVE",6531491,"K01237.01",4.896,-0.06342,3.2988
"CANDIDATE",6383821,"K01238.01",7.102,0.0001276,0.19074
"CANDIDATE",6607286,"K01239.01",1.81,-0.0001413,-4.9934
"CANDIDATE",6607286,"K01239.02",2.4,-5.955e-06,-4.7903
"CANDIDATE",6690082,"K01240.01",2.198,-8.03e-05,-0.030342
"CANDIDATE",6690082,"K01240.02",0.9134,-5.11e-05,0.19312
"CANDIDATE",6448890,"K01241.01",11.31,1.815e-06,-0.13822
"CANDIDATE",6448890,"K01241.02",17.87,-1.413e-07,-0.087714
