"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_sma_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"FALSE POSITIVE",11506235,"K07454.01",2.233,2857,13.19,-0.06739,0.001545,248.928,3.78516624040921,-0.0666666666666667,-9.33333333333333
"FALSE POSITIVE",11560382,"K07456.01",0.0326,29360,0.3339,2.609,-0.0001081,1.46472231924555,4.15867768595041,-0.533333333333333,1.09722222222222
"FALSE POSITIVE",11560431,"K07457.01",0.0608,134.8,97.8,8.932,-0.0002116,0.061990990990991,6.47329650092081,-0.466666666666667,0.438715596330275
"FALSE POSITIVE",11560447,"K07458.01",1.083,532400,0.3527,-0.1673,-0.1041,4.94471658502449,2.5531914893617,0.8,3555.55555555555
"FALSE POSITIVE",11601357,"K07459.01",0.1614,3897,2.205,3.873,-0.0004312,0.829493087557604,5.83044982698962,-0.466666666666667,1.08295964125561
"CANDIDATE",11602794,"K07460.01",0.07678,3004,-0.4917,-0.03943,-0.000421,0.321885382059801,4.92839506172839,0.133333333333333,1.28859060402685
"FALSE POSITIVE",11615481,"K07461.01",6.132,736.2,9.018,-0.02576,0,1.93111587982833,3.6317851147174,-0.342857142857143,-6.35398230088496
"FALSE POSITIVE",11616200,"K07462.01",1.311,46310,0.7424,-0.007387,0.0008743,952.561669829222,3.87640449438202,-1.4,-301.639344262295
"FALSE POSITIVE",11616631,"K07463.01",0.292,41080,2.002,-0.5885,0.0005968,0.00703640256959315,7.94032276790897,-0.933333333333334,-3.43856209150327
"FALSE POSITIVE",11616663,"K07464.01",0.4639,48710,1.955,1.438,0.0001737,0.644005699165479,4.68181818181818,0.2,-2.43809523809524
"FALSE POSITIVE",11619964,"K07466.01",2.196,6447,4.888,0.2265,-0.05851,18.7771285475793,4.31929480901077,-1.33333333333333,239.791666666667
"FALSE POSITIVE",11651105,"K07468.01",0.5211,21520,-1.723,0.007966,3.098e-05,0.158380112269447,5.58524853019776,-1.66666666666667,0.247080979284369
"FALSE POSITIVE",11662440,"K07469.01",1.588,4479,9.723,-0.05473,-0.05853,20.9006772009029,5.53990610328638,-0.333333333333333,-0.60304
"CANDIDATE",11672354,"K07471.01",0.2341,3042,2.323,0.7844,0.0002162,1.30593071051086,3.61724137931034,0.233333333333333,-0.612944785276074
"FALSE POSITIVE",11704044,"K07472.01",1.178,-1,0.4155,0.1398,0.009862,-0.1,-0.07075,0.333333333333333,93.4782608695652
"FALSE POSITIVE",11706658,"K07473.01",0.1487,-1,0.7048,0.1533,0.002671,-0.1,-0.02218,0.533333333333333,132.797202797203
"FALSE POSITIVE",11709022,"K07474.01",0.0007953,46840,0.25,0,0,8.67851193781233e-08,4.42667706708268,-0.533333333333333,0
"FALSE POSITIVE",11724091,"K07475.01",1.452,24770,0.6688,0.01015,-0.0001911,534.06835722161,2.77556325823224,-0.114285714285714,-187.755681818182
"FALSE POSITIVE",11757422,"K07476.01",0.09474,15690,0.3125,10.3,0.001526,0.623925925925926,11.9544779811974,-1.26666666666667,-9.82122905027933
"FALSE POSITIVE",11763910,"K07477.01",0.03263,47260,0.3796,-2.225,-0.0001082,0.00241006348459911,3.700939080183,-0.228571428571429,2.89298245614035
"FALSE POSITIVE",11768970,"K07478.01",1.218,1776,10.31,0.2063,0.002068,12.8766417718259,5.73705179282869,-1.73333333333333,-7.87304347826087
"CANDIDATE",11773625,"K07479.01",0.06373,6728,-0.974,-0.9782,-9.466e-05,0.439550029603316,4.27001753360608,0.8,1.43443708609272
"FALSE POSITIVE",11811454,"K07481.01",2.194,121000,1.267,0.08445,-0.0007221,102.557037363606,2.25047801147228,-1.46666666666667,364.383561643836
"FALSE POSITIVE",11817750,"K07482.01",2.385,31290,2.181,-0.09841,-0.003393,280.662363177098,4.29704918032787,-0.114285714285714,-60.6086956521739
"FALSE POSITIVE",11854636,"K07484.01",0.07876,378.1,-8.192,-0.2036,-0.0004499,0.186224869694713,4.51774530271399,0.133333333333333,0.609245283018868
"FALSE POSITIVE",11855538,"K07485.01",0.06738,9132,0.6625,1.105,-5.852e-05,2.18901209677419,3.01660839160839,-4.22857142857143,1.77691453940067
"FALSE POSITIVE",11858541,"K07486.01",2.083,8090,3.159,7.959e-05,0.0008771,91.204044117647,3.48783382789318,-0.533333333333333,2.01897590361446
"FALSE POSITIVE",11873166,"K07487.01",1.336,50270,0.9103,0.09362,0.0001448,531.183611532625,3.80623346074684,-0.228571428571429,308.14332247557
"FALSE POSITIVE",11873171,"K07488.01",0.08491,26860,0.3761,-7.314,0.0009342,1.11288539491463,4.22216441207076,-1.08571428571429,-6.70142180094787
"CANDIDATE",11904704,"K07489.01",0.04316,22060,0.3594,-3.61,1.894e-05,2.06043956043956,8.04939835338822,0.533333333333333,-0.0202207792207792
"FALSE POSITIVE",11906217,"K07490.01",1.574,1036,6.933,-0.1149,-0.005807,5.28754171301446,15.1755852842809,-3.06666666666667,25.5185185185185
"FALSE POSITIVE",11913052,"K07491.01",0.2479,9392,1.146,0.1716,0.0006914,3.48837209302326,5.5013501350135,0.65,-10.9469026548673
"FALSE POSITIVE",11913071,"K07492.01",2.283,28500,1.748,0.8037,0.1464,7916.4265129683,2.27027027027027,-0.45,-3497.4358974359
"FALSE POSITIVE",11922648,"K07494.01",0.03974,20040,0.775,0.8322,-0.0003767,0.47930790960452,4.40822225790911,-0.866666666666667,5.26592592592593
"FALSE POSITIVE",11922782,"K07495.01",1.318,867400,0.3063,-0.552,0.02061,849.21546115576,4.27759864885613,-1.2,370.346153846154
