"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_sradius","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn"
"CANDIDATE",12055539,"K03261.01",1,0.3232,2839,0.969,7.708,0.0646,94.55,0,3.3531,-1.83,-2.117e-05,5.4178123132098,6.59095321296836,3.66470384482161,2.39775122979621,-0.4,-3.36397058823529,2.08427835051546
"CANDIDATE",12056139,"K03262.01",1,0.413,5174,1.155,4.325,5.969,87.52,0,4.8421,-1.807,7.329e-05,3.03066850447967,7.08075904677846,3.66157681520723,2.36996986349938,0.6,-1.85333333333333,-0.149301825993555
"CANDIDATE",11853130,"K03263.01",1,1.063,266,0.436,44.79,0.2292,288.3,0,9.5923,-0.3589,0.003706,78.8504672897196,79.3554884189325,11.6808510638298,6.66666666666667,-0.4,-3.23333333333333,2.34818181818182
"CANDIDATE",9345933,"K03264.01",1,0.316,2760,0.643,2.609,1.79,218.4,0,9.3523,0.4375,0.0005319,2.07013888888889,3.30450781968721,13.4311316664258,6.19125683060109,-1.66666666666667,0.370762711864407,-1.59565217391304
"FALSE POSITIVE",10030778,"K03265.01",1,3.198,1350,0.897,14.62,0.2775,488.1,0,1520.5,1.08,-0.02152,11.10332554777,102.928399034594,3.88529718456726,2.52670157068063,-0.266666666666667,13.4328358208955,22.6887417218543
"CANDIDATE",8826007,"K03266.01",1,0.5704,885.7,0.603,35.52,0.1832,1521,0,3.8261,-0.0665,-0.0004486,6.45186781609195,6.6507107629823,14.4665461121157,6.87096774193548,-1.13333333333333,-0.0802171290711701,0.402063106796117
"CANDIDATE",8620402,"K03267.01",1,0.2617,2594,1.076,10.41,0.06724,161.3,0,4.8255,1.482,4.921e-05,2.44050218340611,4.58734865332345,3.64485981308411,2.36642074670244,0.2,1.425,-0.357264150943396
"CANDIDATE",8379021,"K03268.01",1,0.9321,1334,0.892,-2.822,1.288,16.32,0,14.926,1.073,-0.0009895,7.30774907749077,6.23411371237458,4.86878523833931,3.05335968379447,-0.533333333333333,1.2668240850059,1.45908607863975
"FALSE POSITIVE",8104030,"K03269.01",1,1.878,761,1.055,32.46,0.6796,444.1,0,112.93,-0.002236,0.0002799,24.6837044534413,73.1683554169914,4.13710777626194,2.70761670761671,-1.6,-0.0232916666666667,-2.04715447154472
"FALSE POSITIVE",6612327,"K03270.01",1,4.119,3978,0.747,15.3,0.02497,214.3,0,21015,-30.78,0.08115,14.4703328509407,16.0291828793774,9.20563741191544,5.10632183908046,-0.533333333333333,-175.885714285714,-340.059171597633
"CANDIDATE",7285757,"K03271.01",1,1.593,1363,0.732,1.837,0.1381,121.9,0,3.6007,0.3822,0.0005153,6.32888040712468,6.34914308489438,6.58438287153652,4.10153846153846,-1.8,0.378415841584158,0.0188834951456311
"CANDIDATE",7285757,"K03271.02",2,0.1878,3432,0.732,0.9625,0.02551,87.47,0,2.1481,-0.6075,2.603e-05,1.18042609853529,2.55743879472693,6.57829010566763,4.10054921841994,-1.8,-0.519230769230769,0.81
"FALSE POSITIVE",4948730,"K03272.01",1,4.651,3113,0.959,11.04,0.0421,314.7,0,7589,59.34,0.000814,9.2678405931418,4.41690408357075,4.05497382198953,2.61391193363114,-0.666666666666667,96.3311688311688,-3.79584775086505
"FALSE POSITIVE",5211922,"K03273.01",1,1.07,2053,0.639,5.149,5.293,239.9,0,4538.7,-14.01,-0.01079,58.7146529562982,30.5072010018785,9.8636926889715,5.37185929648241,-2.26666666666667,-46.2376237623762,23.0442176870748
"CANDIDATE",5280587,"K03274.01",1,0.4874,1206,0.878,5.715,0.04634,456.2,0,1.7942,0.6805,-0.0001471,5.56322580645161,10.1013171225937,4.4126917419626,2.79778830963665,-0.333333333333333,1.03106060606061,0.462546125461255
