"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_pdeco","tce_dicco_mdec","tce_time0_sn"
"CANDIDATE",6891124,"K07796.01",382.1,313.6,2625,1330,2.415,-7.651e-05,-0.090111,568991331.757289
"FALSE POSITIVE",6936966,"K07797.01",40.02,49.51,174,528,35.3,0.000821,0,451718376.824821
"CANDIDATE",6952971,"K07798.01",7.414,4.769,108.1,314,-4.078,0.0002463,-2.0894,68054030.9793877
"FALSE POSITIVE",6962901,"K07799.01",1430,2735,9812,3230,148.6,-0.0003566,4.0127,2313434101.66042
"FALSE POSITIVE",6974867,"K07800.01",1487,1667,5987,2710,5.746,-6.491e-05,0,1136691746.72995
"FALSE POSITIVE",7013923,"K07801.01",461.5,504.5,3135,1120,16.29,-0.0008862,7.0161,452658363.218984
"FALSE POSITIVE",7017437,"K07802.01",34.28,36.97,126.3,1290,0.9708,-7.906e-05,-0.077436,570373450.92445
"FALSE POSITIVE",7031066,"K07803.01",2326,1893,9529,1920,10.03,-0.0001206,-0.60489,690115030.416156
"FALSE POSITIVE",7031340,"K07804.01",2337,2703,12310,2660,9.788,8.64e-05,-0.20126,1702575056.69563
"FALSE POSITIVE",7031638,"K07805.01",1166,873.8,6848,2010,3.918,1.431e-05,-0.51176,556816377.632719
"FALSE POSITIVE",7031726,"K07806.01",2336,2689,12790,0,8.889,4.086e-05,0.093832,818852253.965077
"FALSE POSITIVE",7031898,"K07807.01",2330,1935,8740,2550,14.21,3.434e-05,-1.6569,827087123.509198
"FALSE POSITIVE",7045605,"K07808.01",1134,1283,7700,2780,2.853,-1.113e-06,0.11759,269200150.008882
"FALSE POSITIVE",7090867,"K07810.01",7.514,8.017,84.74,576,2.266,-0.0007183,0.094888,136832659.885746
"FALSE POSITIVE",7115550,"K07811.01",2342,2505,11870,2040,8.366,8.539e-05,-1.0927,789490440.739014
"FALSE POSITIVE",7116024,"K07812.01",391.7,331.2,2717,1540,3.06,-1.106e-05,-0.24868,542112085.432074
"FALSE POSITIVE",7116519,"K07813.01",1971,2384,10930,2270,8.622,-0.0002614,-0.88173,-2454960
"FALSE POSITIVE",7117126,"K07814.01",2327,2672,12150,2100,4.567,-4.415e-06,-0.46559,793820066.675505
"FALSE POSITIVE",7117147,"K07815.01",2338,2307,11100,3090,11.83,5.005e-05,-2.4919,719046098.781849
"FALSE POSITIVE",7117485,"K07816.01",2327,2770,12680,2040,10.72,6.262e-05,-1.8152,-2454960
"FALSE POSITIVE",7117710,"K07817.01",2336,2366,8942,1940,11.06,1.846e-05,-1.501,783701301.188819
"CANDIDATE",7134626,"K07818.01",533.2,511,2952,2150,-0.4333,-1.697e-05,0.014811,1115033837.48921
"FALSE POSITIVE",7177766,"K07819.01",1720,2019,6518,2930,4.446,-5.036e-05,1.018,1545000849.60698
"FALSE POSITIVE",7199644,"K07821.01",1166,1229,7314,1840,4.502,4.599e-05,-1.4804,325641610.64567
"FALSE POSITIVE",7199724,"K07822.01",2330,2880,13010,2300,6.973,1.61e-05,-0.035067,458231217.346994
"FALSE POSITIVE",7199756,"K07823.01",1978,2226,10130,1090,6.113,-5.551e-05,-1.6407,676780402.546169
"FALSE POSITIVE",7199883,"K07824.01",2340,2785,12860,2300,12.91,7.381e-05,-1.1162,457851772.968961
"FALSE POSITIVE",7200485,"K07825.01",2331,2037,10090,2080,10.18,3.355e-05,-1.1107,924641436.663854
"FALSE POSITIVE",7203326,"K07826.01",13.85,30.05,138.5,988,3.88,-2.044e-05,-6.2398,110684947.564901
"FALSE POSITIVE",7210749,"K07828.01",79.41,67.17,570.5,701,-2.123,0.000306,-7.0827,203367407.800126
"FALSE POSITIVE",7281668,"K07829.01",2333,1870,8562,2010,8.372,3.331e-05,-1.1281,1158322363.29922
"FALSE POSITIVE",7282154,"K07830.01",1971,2345,10660,1920,10.91,-0.0003174,-0.60586,-2454960
"FALSE POSITIVE",7282168,"K07831.01",2335,2696,12480,1830,10.5,6.504e-05,-1.3852,588011554.435667
"CANDIDATE",7287028,"K07832.01",363.9,311.2,1961,1190,1.133,6.313e-07,-1.8069,624736296.986215
"CANDIDATE",7300182,"K07833.01",10.21,9.069,110.3,338,0.9783,-0.0005009,0.42536,245514982.059928
"CANDIDATE",7366501,"K07834.01",181.8,155.8,1208,944,-0.8911,0.0002002,1.5349,322816785.100015
"CANDIDATE",7367164,"K07835.01",348.8,273.5,1325,1110,1.249,-0.00011,1.2349,738234710.385931
"FALSE POSITIVE",7377200,"K07836.01",7.193,0.2374,7.177,313,0.5621,0.0003696,-0.25466,294736576.746151
"FALSE POSITIVE",7386391,"K07837.01",33.98,59.17,564.7,511,30.9,0.01554,0,184479545.522859
"FALSE POSITIVE",7431709,"K07838.01",2296,1812,8753,1780,14.87,-0.0001747,1.6795,771898051.200785
"FALSE POSITIVE",7448023,"K07839.01",2276,2704,12040,1590,-0.1775,-0.000148,2.8345,1041415499.73911
"FALSE POSITIVE",7470491,"K07840.01",1467,854,3884,0,20.77,-9.074e-05,0,1734819201.33417
"FALSE POSITIVE",7538434,"K07841.01",7.972,8.926,118.7,245,1.923,-0.0001009,6.1661,119515270.111082
"CANDIDATE",7601665,"K07842.01",429.5,435.4,3558,1530,-2.086,-4.604e-05,-0.17916,495013509.698754
"CANDIDATE",7613620,"K07843.01",2076,2350,8964,1890,1,-0.0001061,0.24,823458380.293028
"FALSE POSITIVE",7618364,"K07844.01",1017,1464,11490,3350,14.68,0.0008456,-0.77376,6753923100.62505
"FALSE POSITIVE",7664272,"K07845.01",7.252,3.539,12.55,234,-1.395,-0.0003646,-0.24153,172612871.022623
"CANDIDATE",7671950,"K07846.01",107.2,135,1939,897,10.38,7.16e-05,0.35022,124660163.608943
"CANDIDATE",7747103,"K07847.01",6.723,4.12,46.18,326,0.8614,-0.0006245,0,72418868.6146458
"FALSE POSITIVE",7757698,"K07848.01",7.204,0.8473,15.02,245,-1.451,-0.0005386,-1.1651,213229406.400625
"CANDIDATE",7778664,"K07849.01",263.9,298.3,2774,1070,0.2897,0.0001711,-1.7398,277723162.62106
"CANDIDATE",7834712,"K07850.01",24.35,29.36,119.6,452,4.734,0.001496,-0.9328,238070209.464701
"FALSE POSITIVE",7841368,"K07851.01",55.01,45.95,271,779,29.63,0.001312,0.27322,240796649.403641
"FALSE POSITIVE",7879648,"K07852.01",1293,1369,6455,1720,6.863,0.0005814,-2.4102,1838915064.30663
"FALSE POSITIVE",7882360,"K07853.01",6.622,3.116,101.5,259,-1.181,0.0005069,0.084882,107152645.636576
"FALSE POSITIVE",7885494,"K07854.01",743.3,751.1,7570,1500,13.06,-0.0001898,-1.5705,393637900.016355
"FALSE POSITIVE",7891264,"K07855.01",7.518,4.568,16.74,483,-1.085,-0.0006805,0.55317,220686245.426679
"FALSE POSITIVE",7897936,"K07856.01",10.76,9.884,89,810,2.47,0.001043,0,119478819.435996
