"koi_disposition","kepid","kepoi_name","tce_period","tce_time0bk","tce_depth","tce_ldm_coeff1","tce_ldm_coeff2","tce_ldm_coeff3","tce_num_transits","tce_model_snr","tce_robstat","tce_dof1","tce_chisq1","tce_chisqgofdof","tce_sma","tce_smet","tce_steff_prov","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tcet_duration","tcet_model_dof","wst_robstat","tce_maxmes","tce_max_mult_ev","tce_ptemp_stat","boot_fap","boot_messtd","tce_rb_tpdur","tce_rb_tcount0","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_dicco_mdec","tce_dikco_mra","tce_dikco_msky","tce_time0bk_sn","tce_time0_sn","tce_prad_sn","tce_sma_sn","tce_sradius_sn","tce_ptemp_sn","tce_fwm_sra_sn","tce_dicco_mra_sn","tce_dikco_mdec_sn","tce_dikco_msky_sn"
"CANDIDATE",6949061,"K01960.01",8.96845,139.396,238.6,0.5292464,0.0562684,0.4158602,145,36.38,34.01,1233,1105,1309,0.086,0.14,15,14,8.96851,139.391,2454970,4.886,10440,2.407,2.184,32.75,5.69,3.5817e-218,1.0397,12,140,0,42.433076,0.0001709,0.28453,-0.17484,0.22459,56112.8084984764,988229658.523233,4.7603651578547,5.54838709677419,5.58536585365854,9.19750600766383,2162669.33333333,-0.374190476190476,0.687658536585366,1.14586734693878
"CANDIDATE",6949061,"K01960.02",23.2218,151.068,197.6,0.5292464,0.0562684,0.4158602,55,15.03,13.46,495,401,308,0.1622,0.14,15,14,23.222,151.064,2454980,2.31,2199,2.21,2.775,13.97,3.732,3.3201e-43,1.0207,6,52,0,42.432974,-6.427e-05,-0.12376,0.33053,0.41897,31968.6129116222,519516411.985161,2.44822485207101,5.54909339719466,5.58536585365854,4.76281262812628,872827.399103139,0.816021126760563,-0.72728813559322,0.939394618834081
"CANDIDATE",7269493,"K01961.01",1.90781,131.638,124.5,0.6006,-0.3050108,0.9330596,703,45.51,41.09,6201,3693,3174,0.02947,0.07,23,22,1.9078,131.641,2454960,2.239,22410,4.446,3.135,39.49,5.06,0,1.0469,3,589,2,42.813953,-2.439e-05,-0.18351,-0.13952,0.27401,222861.41885852,4156215293.7671,4.62244472256988,9.92255892255892,9.58139534883721,9.05833281838967,3363407.01754386,-0.863567251461988,-1.46484472049689,1.49732240437158
"CANDIDATE",5513648,"K01962.01",32.8586,133.511,160,0.410949,0.4458528,-0.084735,31,29.38,26.69,279,194.2,208,0.2005,-0.12,0,0,32.8589,133.507,2454970,3.4,1492,2.16,2.813,26.83,5.676,6.5145e-145,1.0525,6,28,0,40.794398,0.0002217,-1.6018,-0.71974,1.8433,69318.5535162639,1274613846.99255,5.46959896507115,21.960569550931,16.4418604651163,7.38246020403134,1435522.27272727,-1.62704,-4.09903381642512,3.63570019723866
"CANDIDATE",10917681,"K01963.01",12.8962,136.828,444.6,0.3517932,0.6502532,-0.3571816,107,35.42,32.46,963,642.9,497,0.1078,-0.24,5,5,12.8962,136.83,2454970,2.604,3418,2.924,2.868,31.05,6.052,6.0642e-199,1.0356,6,102,0,48.357243,6.262e-05,0.12095,-0.028048,0.18096,79307.246897623,1422931796.97326,2.8454516839786,3.74175633460604,3.18275862068965,8.53099666892669,2342663.36154776,-0.0176299435028249,1.21612244897959,1.23102040816327
"CANDIDATE",7887791,"K01964.01",2.22934,133.091,51.16,0.5271448,-0.043085,0.6055692,603,39.77,34.8,5319,3144,2727,0.03242,-0.06,23,22,2.22934,133.091,2454970,2.248,19130,1.812,1.495,35.48,3.562,1.0069e-245,1.0593,3,505,9,43.607307,-8.377e-06,-1.4462,0.78103,1.373,207360.470152719,3824929810.51175,5.96373892022562,8.5903550609433,7.93577981651376,7.22808211409776,2784519.54022988,1.0432612312812,-1.81252006420546,2.04925373134328
"CANDIDATE",11657891,"K01965.01",2.51461,132.913,224.6,0.4871,0.1062936,0.408852,526,31.95,29.42,4716,3485,2425,0.03539,-0.12,5,5,2.51463,132.908,2454970,1.909,16950,2.333,2.548,28.6,3.833,5.5134e-172,1.0258,3,489,1,49.781134,7.792e-05,-0.32608,0.1162,0.1273,145670.853335087,2690613971.63587,2.55109109802563,4.78825598701123,4.05797101449275,5.58640198651204,1520173.93700787,0.15414652014652,-0.322832298136646,0.519591836734694
"FALSE POSITIVE",9973855,"K01966.01",2.95601,134.063,74.2,0.4909168,0.1021784,0.4070952,363,32.16,30.86,3213,2170,2014,0.03903,-0.1,13,12,2.95601,134.06,2454970,3.306,14540,1.691,1.841,28.6,3.196,4.8003e-172,1.028,6,344,0,46.90303,0.002516,6.8257,-5.3311,8.7122,106030.623704899,1941639380.56597,3.21980914774597,4.44786324786325,3.78512396694215,6.20077109126176,1850407.5,-77.8874074074074,97.8806818181818,120.168275862069
"CANDIDATE",6205897,"K01967.01",4.41771,133.959,276,0.6138264,-0.5926268,1.367302,302,34.41,32.12,2691,1896,1384,0.04702,-0.24,18,17,4.41766,133.966,2454970,2.335,9698,2.194,2.419,29.34,3.715,3.7608e-182,1.022,3,287,0,41.547433,0.0001598,-0.08887,-0.58358,0.59806,120944.195158946,2216457056.18404,3.53636124967183,20.9629959875167,17.9459459459459,5.71588468632356,1890826.50485437,-1.88876923076923,-1.08975,3.05132653061224
"CANDIDATE",7948784,"K01968.01",10.0874,135.137,557.9,0.3822224,0.6475992,-0.4350792,130,35.85,33.28,1152,734.8,844,0.09553,-0.06,5,5,10.0874,135.136,2454970,3.053,6259,1.846,2.215,32.67,4.904,6.362e-227,1.0179,6,124,0,43.738601,0.0001576,-0.049442,0.15819,0.17207,67003.9913726851,1217229838.60971,3.47506220923942,4.12656587473002,3.49840255591054,7.59843948958305,2020824.26160338,1.22612068965517,0.407897590361446,1.33387596899225
"CANDIDATE",9244756,"K01969.01",16.3436,145.041,831,0.56437,-0.0846528,0.6073968,84,29.99,26.76,738,489.9,856,0.1264,0.16,26,25,16.3434,145.049,2454980,5.886,6592,3.361,2.339,27.11,8.951,7.892e-160,1.0092,12,81,0,45.605552,-0.0002373,0.065335,-0.0031438,0.015377,50728.1808070846,858630796.242279,5.47831736235179,7.28950403690888,6.55900621118012,11.512250576897,2412995.06024096,0.207644171779141,0.0990263157894737,0.0931939393939394
"CANDIDATE",9650808,"K01970.01",21.964,133.036,696.3,0.4657788,0.2184732,0.2386748,63,27.04,25.67,549,318.9,395,0.1502,-0.1,5,5,21.964,133.034,2454970,2.585,2966,2.817,2.964,23.87,4.7,1.3043e-124,1.0066,6,60,0,46.324638,0.0001514,-0.13746,-3.2577e-05,0.3076,50387.8435293761,929828348.937975,2.44300518134715,4.23217807833192,3.57462686567164,5.88931270110995,1133719.01162791,0.223811881188119,-0.626476578411405,0.626476578411405
"CANDIDATE",9650808,"K01970.02",125.603,215.43,898.5,0.4657788,0.2184732,0.2386748,10,21.39,19.64,90,72.37,154,0.4804,-0.1,5,5,125.602,215.434,2455050,7.662,1189,3.1,3.216,19.52,7.233,3.5116e-83,1.0098,12,10,0,46.324278,-0.0004418,0.04578,0.00061245,0.14972,35040.7776212675,399326282.779059,2.98661567877629,4.23259911894273,3.57462686567164,8.09317943336831,979898.793969849,0.150911111111111,-0.450963855421687,0.450963855421687
"CANDIDATE",9347009,"K01971.01",19.3294,133.268,914.4,0.6730048,-0.6278832,1.3250087,67,27.47,25.83,576,371.4,483,0.1337,0.21,5,5,19.3295,133.264,2454970,4.394,3722,3.003,2.873,25.25,8.939,4.2418e-138,1.0106,6,64,0,45.817344,6.02e-06,-0.032424,0.233,0.27891,41449.6233492371,763556006.19561,7.33316088980859,9.81644640234949,8.20430107526882,11.1062312161891,1977656.06060606,1.45514619883041,-1.13555555555556,1.63105263157895
"CANDIDATE",11253711,"K01972.01",17.7911,149.253,407.1,0.36346,0.555776,-0.1864708,75,34.89,32.15,648,425.1,403,0.1298,-0.26,18,17,17.7912,149.251,2454980,3.097,3002,2.826,2.654,31.68,8.237,7.9779e-202,1.048,6,71,0,48.955497,2.18e-05,0.015269,0.34811,0.40469,72109.865687506,1186095274.90579,4.51353802305998,4.77908689248895,4.5578231292517,12.0025609252375,2253346.57534247,0.948097014925373,0.878255319148936,1.4505017921147
"CANDIDATE",11253711,"K01972.02",1.22625,132.672,54.72,0.36346,0.555776,-0.1864708,1072,17.71,17.88,9432,6269,5862,0.02182,-0.26,18,17,1.22622,132.686,2454970,2.039,31320,1.562,1.537,16.73,1.53,1.7959e-58,1.0492,6,1023,0,48.955125,-1.059e-05,0.15277,0.23187,0.39187,75297.5362804134,1393309761.23317,2.44509516837482,4.77879982479194,4.5578231292517,4.32733239824057,1147635.05813953,0.301635944700461,1.11239436619718,1.14247813411079
"CANDIDATE",4917596,"K01973.01",3.29013,133.154,640.1,0.5648224,-0.3723816,1.048424,408,33.05,30.83,3600,2078,1447,0.03612,-0.56,5,5,3.29013,133.155,2454970,1.74,9779,3.108,2.818,28.62,5.357,1.2368e-172,1.0242,3,389,0,40.097703,-0.0003351,0.26324,0.072052,0.2341,160683.211974793,2962528087.04026,4.84108221696874,14.153605015674,11.6470588235294,8.15935071662925,1894974.31372549,0.555483606557377,1.68734848484848,1.76015037593985
"CANDIDATE",7289577,"K01974.01",109.445,197.983,1256,0.59069,-0.2975056,0.9384208,11,25.1,22.5,99,45.77,83,0.4274,0,31,30,109.446,197.977,2455030,3.971,603,3.777,4.016,23.83,11.27,4.3076e-122,1.0157,6,11,0,42.809466,-0.0008341,-0.17114,0.063076,0.45334,64182.8785575118,795880920.811627,7.19829337667615,12.1766381766382,10.85,12.5690034103827,1581097.66129032,0.272757936507937,-2.41360215053763,2.43731182795699
"CANDIDATE",8543100,"K01975.01",7.56053,134.479,656.1,0.4695548,0.238504,0.190938,170,33.03,30.81,1476,951.8,1231,0.07606,-0.02,5,5,7.56056,134.476,2454970,4.124,9369,2.172,2.211,29.6,5.047,5.3579e-184,1.0241,6,167,0,44.609221,-7.045e-05,0.17539,-0.26724,0.26785,55262.2386961828,1008835120.21928,3.07623418784283,3.90853031860226,3.33333333333333,7.50922180671093,1659912.98245614,-0.690708661417323,0.0828018433179724,0.995724907063197
"CANDIDATE",2693736,"K01976.01",12.124,134.957,769.4,0.6604812,-0.57085,1.2594746,114,37.23,34.48,999,611,839,0.09641,0.16,26,25,12.1239,134.962,2454970,3.577,6408,2.145,2.579,33.63,5.941,1.6313e-242,1.0142,6,106,0,37.966777,9.773e-05,0.0030935,0.011312,0.051769,62667.2238861415,1139964245.0837,7.84619594964423,11.9467162329616,12.0833333333333,8.27637708961359,1976615.44041451,-1.01230769230769,-0.353272727272727,0.364570422535211
"CANDIDATE",9412760,"K01977.01",9.38741,137.384,393.5,0.67798,-0.7172312,1.394392,138,29.65,27.05,1206,726,495,0.07695,-0.02,15,14,9.3874,137.384,2454970,1.22,3338,4.101,3.973,25.27,6.482,2.7016e-130,1.0455,3,131,0,45.970861,-4.859e-05,0.15419,0.27134,0.3568,115155.528360561,2057760492.19215,4.60022522522523,17.0318725099602,14.0434782608696,8.38256467571743,2323721.36953955,1.05278571428571,1.35491228070175,2.14939759036145
"CANDIDATE",9412760,"K01977.02",7.41557,137.815,133.1,0.67798,-0.7172312,1.394392,175,12.44,11.43,1521,922.9,776,0.06576,-0.02,15,14,7.41556,137.819,2454970,2.247,5567,2.419,1.995,11.43,2.09,4.66e-29,1.0249,3,165,0,45.970655,-0.0001052,0.0025041,0.67044,0.68065,42656.4855253017,759862077.930921,1.37980553477936,17.0362694300518,14.0434782608696,2.68055832313283,999083.147208122,1.11741869918699,0.228540856031128,1.56831797235023
"CANDIDATE",9518318,"K01978.01",6.51112,131.706,663.3,0.4363672,0.3919296,-0.0357048,209,35.94,33.83,1854,1088,750,0.06973,-0.02,5,5,6.5111,131.709,2454960,1.762,4989,3.59,3.64,31.29,6.037,9.32809999999999e-206,1.0242,3,197,0,46.11756,-0.0001377,0.078318,0.080909,0.14505,139486.412608913,2599984537.51823,2.68896925858951,3.64696652719665,3.00600600600601,8.97018875995936,1846230.86538462,0.0799618320610687,0.725240963855422,0.819491525423729
"CANDIDATE",9518318,"K01978.02",23.8516,147.614,880.5,0.4363672,0.3919296,-0.0357048,54,26.24,24.33,468,276.9,288,0.1657,-0.02,5,5,23.8516,147.616,2454980,2.411,2083,2.25,2.696,23.32,6.201,1.2012e-111,1.0453,6,52,0,46.117451,-0.0008514,-0.229,-0.049397,0.20482,67808.0241072331,1127720561.88962,2.88128606760099,3.64736957957297,3.00600600600601,7.95346891165433,1500064.21875,-0.55925,-1.10433333333333,1.17712643678161
"CANDIDATE",7273277,"K01979.01",2.71409,133.711,133.9,0.532505,0.0361968,0.4459092,493,35.7,33.9,4365,2708,1750,0.03856,0.12,26,25,2.71409,133.709,2454970,1.396,11820,2.637,2.312,30.77,4.29,6.4287e-199,1.024,3,365,3,42.882536,9.091e-05,0.14264,0.59245,0.61684,200642.242446524,3683845651.73353,4.25163983303518,7.27135583631906,6.52631578947368,8.10559931261636,2327230.43478261,2.4141116751269,1.31099236641221,3.0842
"CANDIDATE",11769890,"K01980.01",122.88,165.461,718.1,0.588906,-0.2892536,0.9276128,11,28.66,24.96,99,74.57,170,0.4628,0,31,30,122.883,165.451,2455000,9.61,1359,3.35,3.866,28.17,11.9,3.6169e-126,1.2149,12,11,0,49.945812,0.0004333,0.20989,0.46878,0.59809,35352.2706635187,524533421.645817,9.02672385351369,11.0269239933286,9.78409090909091,13.3230955051333,1626345.04132231,2.08503703703704,2.17204678362573,3.85864516129032
"CANDIDATE",10153855,"K01981.01",1.06379,131.524,245.3,0.717622,-0.646578,1.29926,1004,35.13,20.36,8847,4846,5503,0.01984,0.46,5,5,1.06379,131.526,2454960,1.034,25500,1.419,2.169,22.86,2.006,2.01e-110,1.0327,3,917,0,47.171034,-0.0001496,-2.023,0.13267,0.20546,264583.643466681,4938583538.85954,2.74924903447289,4.61395348837209,3.99203187250996,5.27098594816089,3303688.79598662,6.45652173913043,1.32949152542373,1.45716312056738
"CANDIDATE",6862721,"K01982.01",4.88753,132.708,668.7,0.685236,-0.4788944,1.0853637,272,30.12,27.11,2403,1396,1232,0.05737,0.44,5,5,4.88751,132.711,2454970,2.443,8744,2.37,2.771,27.72,5.416,3.4793e-161,1.0242,6,259,0,42.341313,0.0002618,0.029574,0.26744,0.27706,107563.869796395,1989827843.34068,3.6678497123975,4.57131474103586,4.0379746835443,8.65429065429065,1800686.94444444,1.8191095890411,0.574404761904762,2.06761194029851
"FALSE POSITIVE",12691412,"K01983.01",6.9053,137.011,389.6,0.465813,0.5607424,-0.4407792,84,25.33,25.39,738,546.3,455,0.08079,0.3,13,12,6.90517,137.029,2454970,3.532,3310,2.72,3.744,31.05,5.97,7.5466e-205,1.0176,6,74,0,51.83846,0.008888,6.5009,-7.0958,9.6358,66128.8298550109,1184899704.6161,2.93176815847395,3.8162494095418,3.04063604240283,9.88708222811671,1775387.43119266,-99.7982832618026,95.7283406754772,132.541953232462
"CANDIDATE",10094670,"K01984.01",22.064,148.921,393.6,0.432032,0.4830748,-0.2084564,47,28.62,26.77,414,274.2,348,0.1623,0.07,5,5,22.0638,148.925,2454980,4.314,2619,2.893,2.943,27.02,7.831,2.4066e-156,1.0166,6,41,0,47.013064,6.038e-05,-0.42134,-0.00046656,0.30496,59946.3014845587,988221749.911442,2.84288437815409,3.48882201203783,2.94594594594595,10.1546177587844,1745574.47368421,0.109403587443946,-1.33754385964912,1.33754385964912
"CANDIDATE",8142942,"K01985.01",5.75623,133.905,594.2,0.6462028,-0.6089606,1.3390584,235,51.64,44.01,2070,1238,829,0.05815,0,31,30,5.75624,133.904,2454970,1.053,5658,3.078,2.498,41.95,6.082,0,1.019,3,194,0,44.087895,-5.837e-05,-0.19272,0.019352,0.44951,271463.353815651,4976919381.0299,6.01692601692602,17.368578255675,15.2916666666667,9.35786642007482,2986985.80542265,-0.2865,-3.87146551724138,3.90878260869565
"CANDIDATE",8257205,"K01986.01",148.46,151.387,1530,0.6569412,-0.5474668,1.2331992,9,27.86,26.45,81,82.11,93,0.5236,0.16,26,25,148.46,151.389,2454980,5.717,722,3.273,3.342,27.87,12.23,4.8675e-158,1.0438,12,8,0,44.132395,-0.0002292,0.073448,-0.60699,0.60905,42668.384070981,691935433.865372,9.52195375422188,15.1900203075138,14.9272727272727,13.5168187511183,2046354.10677618,-4.25872340425532,0.242985436893204,4.41340579710145
"CANDIDATE",8257205,"K01986.02",7.12766,136.007,229.9,0.6569412,-0.5474668,1.2331992,187,14.99,13.73,1656,1198,1035,0.06917,0.16,26,25,7.12766,136.007,2454970,2.734,7471,2.696,2.458,13.53,2.255,8.9315e-40,1.0305,6,178,0,44.132682,0.0001265,0.68933,0.78832,1.003,39373.4729089709,710703822.504256,1.5260663507109,15.1921809795739,14.9272727272727,2.95752664099579,958243.798076923,1.21358187134503,1.25797160243408,2.02626262626263
"FALSE POSITIVE",2021440,"K01987.01",7.81156,136.33,782.5,0.5435032,-0.2711384,0.9842176,173,32.16,30.95,1548,1052,1646,0.07096,-0.28,5,5,7.81154,136.331,2454970,5.934,12480,18.37,19.86,30.7,1.579,2.5083e-199,1.0277,12,165,0,37.486959,-0.003973,-2.8446,4.1279,5.6242,33901.4661706487,610482523.325442,1.00374131480492,9.20960415314731,7.31958762886598,2.02166482944643,3023427.3993808,23.4756218905473,-12.2041533546326,17.575625
"CANDIDATE",9044228,"K01988.01",0.93488,131.583,239.5,0.7842084,-0.882909,1.523323,1432,51.29,49.98,12710,8077,5132,0.01842,0.56,5,5,0.934883,131.583,2454960,1.563,32160,1.389,1.328,45.29,-0.3815,0,1.0438,3,1164,7,45.315455,9.599e-05,0.10022,0.16666,0.27383,332469.205988251,6202918324.80576,1.57836846929423,1.48788368336026,1.68228678537957,4.91866340668297,2724442.60273973,0.176840909090909,-2.45780542986425,2.9475780409042
"CANDIDATE",10779233,"K01989.01",201.119,187.568,582.6,0.5341968,-0.0458598,0.5952012,7,20.58,16.06,63,31.26,150,0.6557,0,31,30,201.121,187.563,2455020,10.5,1174,3.937,4.085,21.66,11.78,4.7992e-41,1.8426,24,7,0,48.131363,-6.19e-05,0.80552,-0.96998,1.1121,37585.4634060323,491944598.071513,6.09307875894988,7.96332280786981,7.06666666666667,12.7457422470768,1715840.90909091,-2.95689149560117,1.71593059936909,2.58027842227378
"CANDIDATE",11614617,"K01990.01",24.7577,142.067,445.5,0.3783816,0.5867408,-0.295,55,33.37,31.95,477,317.7,657,0.1687,-0.16,5,5,24.7578,142.064,2454980,6.846,5160,3.428,3.21,31.79,10.48,4.5561e-200,1.0603,12,52,0,49.683145,0.0001669,0.036325,0.08978,0.10337,35421.9078417537,612106085.954856,3.35013299734005,4.06800096455269,3.38947368421053,13.274909684186,1703661.30434783,1.13608391608392,0.274016042780749,0.571104972375691
"FALSE POSITIVE",5306720,"K01991.01",27.3644,143.463,2253,0.4912292,0.2932604,0.0404164,41,41.46,40.02,369,325.6,226,0.1888,0.21,8,5,27.3641,143.471,2454980,3.491,1672,3.539,3.5,40.31,2.586,0,0.99993,6,40,0,40.483703,-0.005966,-2.3202,5.9288,6.5733,60609.3763862426,1037165030.98846,1.55894873218582,3.776,3.15384615384615,3.43173768993488,3934073.17554241,8.01132637853949,-5.32551594746717,8.43812580231065
"CANDIDATE",11450414,"K01992.01",12.7984,133.647,323.7,0.5906018,-0.19945,0.7648184,107,33.77,33.16,945,711.4,1315,0.1071,0.16,26,25,12.7982,133.655,2454970,6.748,10330,1.617,2.506,31.16,3.489,3.9348e-205,1.0215,12,102,0,49.305633,-1.103e-05,-0.44022,-0.1875,0.91405,38444.3012559041,706185744.941577,2.94673450316686,4.60645161290323,4.24269005847953,5.36393356608076,1706192.30088496,-0.0749278846153846,-3.00204697986577,3.13030821917808
"CANDIDATE",11450414,"K01992.02",27.3213,154.301,239.1,0.5906018,-0.19945,0.7648184,46,12.95,12.54,396,289.8,329,0.1776,0.16,26,25,27.3211,154.308,2454990,4.73,2534,2.517,3.23,11.85,1.838,9.0024e-31,1.0334,6,44,0,49.305637,-0.0001705,-0.26159,-0.32617,0.78866,21468.9807935262,341579984.305345,1.11517367458867,4.6081992734821,4.24269005847953,2.26182583309855,660273.698630137,-0.175490196078431,-1.91991978609626,1.67443736730361
"FALSE POSITIVE",11450414,"K01992.03",85.5166,181.365,265.7,0.5906018,-0.19945,0.7648184,15,11.91,11.49,126,78.35,249,0.3801,0.16,26,25,85.5214,181.32,2455010,10.1,1999,3.195,3.958,11.24,3.958,4.7733e-28,1.0399,12,15,0,49.306231,2.423e-05,1.9057,-0.63856,1.6282,14111.7015896235,191020144.567814,2.08895949166005,4.60894870862132,4.24269005847953,4.49354689258058,600622.087227414,-0.568873762376238,4.04810810810811,3.34332648870637
"FALSE POSITIVE",9042357,"K01993.01",16.0036,146.385,687.4,0.3704088,0.3311076,0.259352,84,32.28,31.07,756,508.4,551,0.1099,-0.62,5,5,16.0035,146.389,2454980,3.965,4070,10.37,10.68,29.23,2.056,1.1818e-180,1.0244,6,75,0,45.34577,0.006353,-2.3402,-5.0565,5.5584,50546.4339358782,847699452.702819,1.26093874303898,10.8275862068966,8.58024691358025,2.53799679421314,1928252.03883495,-57.2571756601607,-25.3938393839384,63.1636363636364
"FALSE POSITIVE",3328026,"K01994.01",2.11549,132.001,348.7,0.5175438,0.11661,0.3239052,635,41.05,38.68,5598,4377,5918,0.03319,0.14,5,5,2.11547,132.006,2454970,6.534,32100,2.09,1.761,34.21,0.8701,7.6563e-201,1.1569,12,602,0,38.431678,0.001209,-0.39087,-2.2456,2.2731,44367.5487451137,825152848.408662,1.12140175219024,3.68736807021442,3.1055900621118,2.30489102863793,2552785.2,-5.66735218508997,-1.64785046728972,6.21065573770492
"CANDIDATE",5942093,"K01995.01",14.3872,131.852,1867,0.2776684,0.8165284,-0.504967,60,43.71,41.21,522,316,209,0.108,-0.54,8,5,14.3872,131.856,2454960,1.871,1442,1.413,2.639,39.76,1.878,0,1.019,3,60,0,41.203783,-0.001342,-1.6299,-0.098678,0.25428,95020.2505008576,1769187529.72716,1.52605729877217,4.8780487804878,4.09047619047619,2.8953125435443,4201682.07964602,4.42606382978723,-2.00299145299145,2.17333333333333
"CANDIDATE",4736569,"K01996.01",10.132,132.909,919.8,0.3055096,0.3509216,0.3790204,116,34.4,31.96,1017,696.9,747,0.07559,-1.08,8,5,10.1319,132.917,2454970,3.245,5522,1.636,2.234,31.41,4.398,9.7658e-198,1.048,6,114,0,39.824305,2.506e-05,0.030718,0.10599,0.10646,58121.0970980776,1073558222.11338,4.35536044362292,17.1600454029512,14.7631578947368,5.66795877015241,2408584.48060075,0.846159420289855,0.0656862745098039,0.782794117647059
"CANDIDATE",4736569,"K01996.02",7.07403,136.632,261.3,0.3055096,0.3509216,0.3790204,154,10.49,9.601,1305,785.5,817,0.05949,-1.08,8,5,7.07397,136.64,2454970,2.304,6084,2.52,2.397,9.141,2.323,2.4079e-19,1.0245,6,150,0,39.823995,0.000231,-0.075983,-0.88302,0.89845,24737.3852588127,444475223.145583,1.51103094213959,17.1589270262475,14.7631578947368,2.90880889933978,720770.374531835,-1.12192353643967,-0.214463130659767,1.21248313090418
"CANDIDATE",10384798,"K01997.01",38.5053,158.303,678.8,0.2991024,0.7894536,-0.5101232,36,30.68,28.47,324,237.4,451,0.2158,-0.42,5,5,38.5041,158.326,2454990,6.765,3379,2.969,3.358,28.74,6.757,4.3878e-168,1.0446,12,35,0,47.568442,0.0001793,0.14491,0.16436,0.29849,42028.7584892235,651789175.211202,3.03774050320671,4.27835051546392,3.62551440329218,8.02831735766255,1341250.5,1.22751322751323,1.40768361581921,1.64911602209945
"CANDIDATE",9834040,"K01998.01",6.7741,135.955,518.3,0.4298998,0.4944982,-0.2265406,198,31.52,30.5,1746,1193,1087,0.07403,0.07,5,5,6.77408,135.957,2454970,2.642,7886,3.902,3.307,28.43,6.954,6.1531e-176,1.0071,6,190,0,46.666246,6.45e-05,0.044289,-0.34278,0.35771,80818.3185414599,1459354547.23789,3.01446520958716,3.89836756187467,3.31914893617021,10.1493027970304,1588858.29268293,-1.44545454545455,-0.475720930232558,2.6497037037037
"FALSE POSITIVE",10616415,"K01999.01",2.24124,132.728,272.5,0.7374776,-0.7351718,1.3997254,475,29.51,12.08,4203,23600,4910,0.03977,0.36,5,5,2.24123,132.728,2454970,2.182,25550,4.713,5.27,11.58,0.5815,1.1107e-26,1.0816,3,398,6,47.811439,-0.0001448,-0.075844,0.024205,0.15903,167308.911637428,3094587116.52807,1.78924638307061,2.01775748351091,2.02713567839196,6.83886967479021,2656083.40026774,0.295133928571429,0.654875,0.685474137931035
"CANDIDATE",8802693,"K02000.01",26.4104,149.395,1012,0.4343352,0.1833106,0.3905302,52,27.23,24.67,441,264.2,325,0.1616,-0.38,5,5,26.4101,149.405,2454980,3.49,2457,3.354,3.246,24.82,4.831,5.741e-125,1.0471,6,50,0,45.074195,0,-0.062595,0.25139,0.25155,63868.0358425391,1049531447.72393,2.77262931034483,6.81281618887015,5.6030534351145,5.73658929948811,1552914.09836066,2.38040540540541,-0.0649277372262774,1.62290322580645
"CANDIDATE",6061773,"K02001.01",8.27744,138.255,192.9,0.587182,-0.362112,1.0529509,166,28.22,24.76,1458,804.9,916,0.07693,-0.16,5,5,8.27748,138.251,2454970,2.987,6534,2.957,2.693,25.78,3.733,5.1327e-133,1.057,6,158,0,41.37726,6.691e-05,0.19218,-0.063968,0.22572,84916.9594378793,1507855686.31305,1.53688524590164,1.46282563224948,1.6030603060306,8.00436074771547,2086554.47839831,-1.21227272727273,1.22299435028249,1.14
"CANDIDATE",10024701,"K02002.01",14.375,139.06,246.5,0.4591704,0.2882444,0.1191602,76,24.53,22.72,657,413.8,508,0.1166,0,31,30,14.375,139.061,2454970,3.095,3548,2.992,3.236,22.67,5.997,1.3727e-102,1.0638,6,71,0,46.998383,-1.877e-05,-0.272,-0.16656,0.1843,62736.5704669828,1107553562.48618,3.8910269394369,7.26027397260274,6.26785714285714,7.76049965791971,1920750.09708738,-1.55436893203883,-0.334326271186441,0.734262948207171
"FALSE POSITIVE",9851271,"K02003.01",8.48029,135.854,342.6,0.4360872,0.3617888,0.0246976,128,34.03,34.02,1098,707.3,1527,0.08086,-0.08,5,5,8.4803,135.854,2454970,6.93,12080,3.874,4.238,31.6,9.638,5.7654e-224,0.99213,12,121,0,46.654828,0.0008826,1.126,-1.4538,1.9031,33232.3874755382,600530821.917808,3.33112495031138,4.03694458312531,3.34782608695652,14.8267324450182,1660179.41666667,-2.19101796407186,1.56048284625159,2.81940740740741
"CANDIDATE",12154526,"K02004.01",56.1886,146.38,341,0.6269,-0.2679728,0.822533,25,30.4,26.89,225,265.3,315,0.2938,0.34,23,22,56.1874,146.393,2454980,7.268,2389,3.934,3.266,28.22,11.22,1.227e-147,1.1049,12,24,0,50.789076,8.293e-05,-0.55881,-0.078021,0.48309,34917.5603984581,585612190.374413,5.67459435430096,7.36525444973678,6.46153846153846,13.2777624036371,1590337.02479339,-0.217836477987421,-0.896146616541353,0.911490566037736
"CANDIDATE",12154526,"K02004.02",3.18897,133.528,65.42,0.6269,-0.2679728,0.822533,416,17.04,16.32,3654,2595,2682,0.04339,0.34,23,22,3.18896,133.533,2454970,3.473,19970,2.668,2.296,15.67,5.582,9.3862e-54,1.0366,6,398,0,50.788673,-1.792e-05,-0.23946,-0.23928,0.2872,47270.8992686053,869095916.792342,5.29266281945589,7.36422267481331,6.46153846153846,9.61528362128129,851464.336283186,-0.538076923076923,-0.406214833759591,0.889164086687307
