"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",6421483,"K06703.01",2651.51,-0.1238,-2.251e-05,-0.00440389972144847,0.0728907185628743
"CANDIDATE",6423922,"K06705.01",15.84,-3.272,-6.006e-05,0.553846153846154,0.284180952380952
"CANDIDATE",6436505,"K06707.01",9.2,-0.03327,0.0002511,0.107578659370725,0.238673267326733
"FALSE POSITIVE",6436505,"K06707.02",19.57,-0.0379,-0.0007934,0.551020408163265,2.2236496350365
"FALSE POSITIVE",6437993,"K06708.01",711.04,-0.3208,-2.828e-05,0.360217391304348,0.73648401826484
"FALSE POSITIVE",6442246,"K06709.01",2494.2,0.07021,-1.68e-06,-0.365328467153285,0.6651261829653
"FALSE POSITIVE",6443392,"K06710.01",1769.6,-433.5,0.001424,0.0274770318021201,2.19675036927622
"FALSE POSITIVE",6447326,"K06711.01",500.13,1.992,-3.023e-05,-1.55090909090909,3.91444141689373
"FALSE POSITIVE",6448768,"K06712.01",291.18,-0.193,0.01043,6.60728744939271,3.74683357879234
"FALSE POSITIVE",6449291,"K06713.01",906.65,0.03402,-2.431e-05,-1.121926910299,0.46848167539267
"FALSE POSITIVE",6449552,"K06714.01",37.61,-0.508,0,2.22291666666667,0.373817365269461
"CANDIDATE",6452742,"K06715.01",4583.64,-3.611,-0.007723,0.0757834101382489,3.89213649851632
"FALSE POSITIVE",6464285,"K06716.01",1378.31,-73.95,0.1443,1.41230769230769,1.83046062407132
"FALSE POSITIVE",6466939,"K06717.01",662.79,-0.1041,0,0,3.24241531664212
"FALSE POSITIVE",6468938,"K06718.01",341.99,0.08245,-0.002072,-0.070650406504065,0.1381964017991
"FALSE POSITIVE",6471229,"K06719.01",1038.13,0.07642,2.761e-05,-0.119551451187335,0
"FALSE POSITIVE",6471230,"K06720.01",1373.65,0.171,-3.139e-06,-2.33017456359102,0
"FALSE POSITIVE",6521174,"K06721.01",104.67,-0.1083,0,-19.3131313131313,9.9752427184466
"FALSE POSITIVE",6521542,"K06722.01",1222.63,0.07778,0,0.758333333333333,0.392458770614693
"FALSE POSITIVE",6522353,"K06723.01",1491.05,0.1601,-0.000904,-8.04719101123595,29.9482051282051
"FALSE POSITIVE",6522750,"K06724.01",51.25,-1.105,0.1861,0,3.33391608391608
"FALSE POSITIVE",6523216,"K06725.01",405.06,-0.4771,0.0009868,-0.0095557461406518,0.243922155688623
"FALSE POSITIVE",6531485,"K06726.01",3212.52,457.2,0.001026,-0.603141361256544,0.758476052249637
"FALSE POSITIVE",6543682,"K06728.01",2056.79,-0.8311,0.1754,0.0641584158415841,1.19213432835821
"FALSE POSITIVE",6545018,"K06729.01",933.05,0.1256,0,0,0.229880239520958
"FALSE POSITIVE",6548447,"K06730.01",209.47,0.2587,0.05842,-0.709183673469388,0.896716417910448
"CANDIDATE",6551106,"K06731.01",488.88,0.0641,-1.534e-06,-0.37028901734104,0.691144
"FALSE POSITIVE",6584167,"K06732.01",10844.67,-0.2938,-7.79e-05,0.522943722943723,1.33524283935243
"CANDIDATE",6584278,"K06733.01",22213.26,-0.8012,-2.717e-05,2.20566037735849,1.33252240717029
"FALSE POSITIVE",6591789,"K06735.01",182.21,-1.93,0.04853,0,1.07970238095238
"FALSE POSITIVE",6593363,"K06736.01",322.76,-0.1647,-0.006449,0.267612293144208,0.141865067466267
"FALSE POSITIVE",6594972,"K06737.01",123.85,-0.08924,-0.0004618,-0.104839948783611,0.0677721139430285
"FALSE POSITIVE",6595662,"K06738.01",993.99,-0.9746,0,-0.0444827586206897,0.135877061469265
"CANDIDATE",6603765,"K06739.01",17.17,0.003917,-0.0002624,-1.84935400516796,2.332
"FALSE POSITIVE",6606282,"K06740.01",0,-0.7456,0.0006287,9.98765432098766,9.32245467224547
"FALSE POSITIVE",6606669,"K06741.01",0,-0.2644,0,7.68617021276596,107.302857142857
"FALSE POSITIVE",6607610,"K06742.01",73.04,-0.1896,-0.001129,-0.638069705093834,0.209671641791045
"FALSE POSITIVE",6610219,"K06743.01",643.89,2.406,-0.00658,-0.000398941798941799,0.0142839580209895
"FALSE POSITIVE",6610433,"K06744.01",53501.91,1.169,0,0,1.04788944723618
"CANDIDATE",6628926,"K06746.01",2071.3,-0.1056,0.0004555,0.249587912087912,4.54258474576271
