"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",8644288,"K00137.01",-0.4927724,6.45,5356,0
"CANDIDATE",8644288,"K00137.02",-0.4927724,5.508,5356,0
"CANDIDATE",8644288,"K00137.03",-0.4927724,2.144,5356,0
"FALSE POSITIVE",8506766,"K00138.01",0.382,23.88,7066,-0.0001232
"CANDIDATE",8559644,"K00139.01",-0.230395,7.672,5873,0.0001498
"CANDIDATE",8559644,"K00139.02",-0.230395,1.843,5873,2.957e-05
"FALSE POSITIVE",5130369,"K00140.01",-0.0130826,5.935,9651,-0.01005
"CANDIDATE",12105051,"K00141.01",-0.5176552,5.549,5340,0.0001489
"CANDIDATE",4649305,"K00143.01",0.3037584,7.6,6968,8.489e-05
"CANDIDATE",4180280,"K00144.01",-0.5529092,3.141,4957,0.0006774
"CANDIDATE",9904059,"K00145.01",-0.5200576,39.28,5047,-0.000121
"FALSE POSITIVE",9048161,"K00146.01",0.3183108,16.76,6266,0.03337
"FALSE POSITIVE",1996679,"K00147.01",0.1528276,9.739,6148,-0.01371
"CANDIDATE",5735762,"K00148.01",-0.5278282,3.044,5192,-0.0002655
"CANDIDATE",5735762,"K00148.02",-0.5278282,2.296,5192,-4.422e-05
"CANDIDATE",5735762,"K00148.03",-0.5278282,2.361,5192,-6.385e-05
"CANDIDATE",3835670,"K00149.01",-0.2627124,4.629,5774,-1.314e-05
"CANDIDATE",7626506,"K00150.01",-0.1574236,2.504,5551,-0.0001594
"CANDIDATE",7626506,"K00150.02",-0.1574236,2.502,5551,-0.0002247
"CANDIDATE",2307199,"K00151.01",0.2041058,5.46,6276,8.82e-05
"CANDIDATE",8394721,"K00152.01",0.0735738,7.414,6198,0.0003244
"CANDIDATE",8394721,"K00152.02",0.0735738,3.939,6198,0.0001088
"CANDIDATE",8394721,"K00152.03",0.0735738,4.123,6198,-2.709e-05
"CANDIDATE",8394721,"K00152.04",0.0735738,3.049,6198,-4.183e-05
"CANDIDATE",12252424,"K00153.01",-0.5576696,2.32,4728,-0.0001466
"CANDIDATE",12252424,"K00153.02",-0.5576696,2.477,4728,-0.0001333
