"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"FALSE POSITIVE",10486425,"K07334.01",2.644,0.004126,0.01265,-1.68431952662722
"FALSE POSITIVE",10490960,"K07335.01",3.126,-0.05398,0.1027,1.98053596614951
"FALSE POSITIVE",10491031,"K07336.01",0.4087,0.07331,-0.1048,-0.601881188118812
"FALSE POSITIVE",10535807,"K07337.01",0.7442,0.00423,-0.001011,-0.344444444444444
"FALSE POSITIVE",10535858,"K07338.01",0.5858,0.0001124,9.411e-06,-3.18774834437086
"CANDIDATE",10546063,"K07339.01",-1.05,-0.000486,-0.0009168,-0.801430288461539
"FALSE POSITIVE",10547685,"K07340.01",1.038,0,0,24.8231797919762
"FALSE POSITIVE",10549576,"K07341.01",4.519,0.00484,-0.02461,-1.77923416789396
"FALSE POSITIVE",10552700,"K07342.01",0.5,0,0,-1.14789473684211
"FALSE POSITIVE",10556578,"K07343.01",0.6281,2.625e-05,-0.0005814,0.130646830530401
"FALSE POSITIVE",10583181,"K07344.01",1.348,-0.05955,0.01443,4.04969135802469
"CANDIDATE",10586619,"K07345.01",-50.64,-0.0004368,0.001162,-0.913231810490694
"FALSE POSITIVE",10592163,"K07346.01",9.931,0.002091,0.0001924,0.816283582089552
"FALSE POSITIVE",10601538,"K07348.01",0.9325,-9.144e-05,0.0002851,4.39027484143763
"FALSE POSITIVE",10601579,"K07349.01",3.957,0.0009374,-0.0007718,2.2558
"FALSE POSITIVE",10613718,"K07350.01",0.3911,4.005e-05,9.612e-06,2.27825136612022
"FALSE POSITIVE",10619109,"K07351.01",1.022,0.1841,-0.09291,-3.3606149341142
"FALSE POSITIVE",10646620,"K07352.01",0.9558,3.36e-06,3.879e-05,0.339012658227848
"FALSE POSITIVE",10649230,"K07353.01",0.45,-0.000487,0.003374,21.076813655761
"CANDIDATE",10659624,"K07354.01",18.81,7.859e-05,-0.0001839,1.34728971962617
"FALSE POSITIVE",10661913,"K07355.01",0.6403,0.0002427,1.489e-05,-10.2511952191235
"FALSE POSITIVE",10661976,"K07356.01",0.6334,2.804e-05,-2.873e-05,-0.497937062937063
"FALSE POSITIVE",10662021,"K07357.01",0.6743,-1.314e-05,-6.602e-05,-4.31803797468354
"CANDIDATE",10665228,"K07358.01",6.581,-0.0002046,0.0009902,-0.961639344262295
"CANDIDATE",10665749,"K07359.01",1.616,0.0009548,0.0004639,-2.88207109737249
"CANDIDATE",10680424,"K07361.01",0.6469,0.0002951,0,0.217684824902724
"FALSE POSITIVE",10685175,"K07362.01",0.775,-1.213e-05,-2.33e-05,-0.195555555555556
"FALSE POSITIVE",10686876,"K07363.01",1.311,-0.1428,0.1178,1.74108187134503
"FALSE POSITIVE",10686930,"K07364.01",1.031,-6.181e-05,8.124e-06,2.02528248587571
"FALSE POSITIVE",10711913,"K07365.01",8.718,-0.001098,0.001831,-0.494677419354839
"FALSE POSITIVE",10732401,"K07366.01",0.3125,-0.0001381,-9.432e-05,-3.99467065868263
"FALSE POSITIVE",10736223,"K07367.01",0.5551,0.5849,0,0.363779069767442
"CANDIDATE",10736489,"K07368.01",2.293,-5.68e-05,6.588e-05,0.239278551532033
"FALSE POSITIVE",10743600,"K07369.01",0.417,0,0.08432,10.6158050221566
"FALSE POSITIVE",10753734,"K07371.01",-3.788,-0.05258,0,0.797755395683453
"FALSE POSITIVE",10794242,"K07372.01",3.418,0.001516,0.002198,1.13165424739195
"FALSE POSITIVE",10794405,"K07373.01",0.9331,-0.0009452,0,22.9888888888889
"FALSE POSITIVE",10809677,"K07374.01",0.5104,0,-7.895e-05,0.0976958456973294
"CANDIDATE",10812541,"K07375.01",28.54,-0.0001575,-0.001275,1.07670212765957
"CANDIDATE",10815677,"K07376.01",0.4092,-0.0001311,0.0001249,0.467099892588614
