"koi_disposition","kepid","kepoi_name","tce_incl","tce_slogg_prov","wst_depth","tce_albedo_stat","tce_fwm_prao","tce_ingress_sn"
"FALSE POSITIVE",9899583,"K07248.01",49.93,7,29.05,1.051,0.0002612,0.219435736677116
"FALSE POSITIVE",9906489,"K07249.01",25.38,5,21.98,0.9776,2.314e-05,1.20267085624509
"CANDIDATE",9909965,"K07252.01",87.84,7,33.29,0.5625,-0.000255,0.103083043262059
"FALSE POSITIVE",9913481,"K07253.01",75.31,7,-3.008,0,-0.0006981,11719.0597564429
"FALSE POSITIVE",9913798,"K07254.01",80,7,23140,3.702,-0.274,2114.25023284694
"FALSE POSITIVE",9934208,"K07256.01",89.7,7,8125,8.868,-0.001049,411.741053478086
"FALSE POSITIVE",9936698,"K07257.01",82.96,7,63.07,-148.1,0.0009856,492.727634987049
"CANDIDATE",9943009,"K07258.01",78.13,26,9.571,0.7537,2.471e-05,0.164906204906205
"CANDIDATE",9944201,"K07259.01",72.76,7,21.34,-186.2,-0.002055,390.732984293194
"FALSE POSITIVE",9944421,"K07260.01",87.54,7,27140,3.774,0.01807,2237.04961785758
"FALSE POSITIVE",9945280,"K07261.01",59.32,7,9.761,-649.4,0.0003788,814.814814814815
"FALSE POSITIVE",9953736,"K07262.01",61.13,13,6.227,0.3262,-2.303e-05,0.109454333236067
"FALSE POSITIVE",9958053,"K07263.01",80.2,7,36.88,1.995,0.000133,0.663461538461538
"FALSE POSITIVE",9959093,"K07264.01",86.98,5,30.95,0.6888,0.0002069,0.140336134453782
"FALSE POSITIVE",9963009,"K07265.01",88.55,7,8886,2.861,-0.0003522,184.264705882353
"FALSE POSITIVE",9965691,"K07267.01",41.13,5,86.37,1.37,4.668e-05,14.8513513513514
"FALSE POSITIVE",9971475,"K07268.01",86.27,7,68250,0.8243,0.006188,3059.89213738291
"FALSE POSITIVE",10000490,"K07269.01",69.69,13,41.45,-511.3,0,3236.6175329713
"CANDIDATE",10002049,"K07270.01",88.21,7,49.35,0.5576,0.000156,0.102720677146312
"FALSE POSITIVE",10014702,"K07271.01",58.07,7,11.32,0.6143,2.226e-05,0.152413571657926
"CANDIDATE",10019854,"K07272.01",85.38,7,29.13,0.7498,0.000229,0.133978372225384
"FALSE POSITIVE",10020423,"K07273.01",89.68,80,5872,11.67,-0.004974,728.218465539662
"FALSE POSITIVE",10026136,"K07274.01",89.74,7,211700,0,-0.337,-1.388
"FALSE POSITIVE",10026457,"K07275.01",82.99,7,42570,4.043,-0.07812,7.14092140921409
"FALSE POSITIVE",10031409,"K07276.01",79.22,7,16.98,-1040,-0.002766,2745.55774925963
"FALSE POSITIVE",10031526,"K07277.01",61.7,7,58.1,0.2942,-2.762e-05,5.46362161487583
"FALSE POSITIVE",10031808,"K07278.01",89.58,13,20620,0,0,-0.2362
"CANDIDATE",10053138,"K07279.01",84.35,26,15.61,0.7053,0.0002498,0.157692307692308
"FALSE POSITIVE",10063044,"K07280.01",72.79,7,23750,-1.04,-0.0002137,2608.00634165676
"FALSE POSITIVE",10091257,"K07284.01",76.95,18,13.67,-510.2,-0.0004826,2443.08089778782
"FALSE POSITIVE",10093664,"K07285.01",84.62,7,-1.967,0,0,0.0369906223358909
"FALSE POSITIVE",10095512,"K07286.01",78.09,7,13.38,-231.3,-0.001571,0.899343544857768
"FALSE POSITIVE",10129482,"K07288.01",87.21,7,1710,-13.77,-0.00309,100.146198830409
"FALSE POSITIVE",10155080,"K07289.01",75.24,7,8.653,-599.7,0,3383.2231117299
"FALSE POSITIVE",10156064,"K07290.01",73.49,7,14.75,-1206,0,176.09561752988
"CANDIDATE",10163067,"K07291.01",86.04,5,24.92,1.274,2.795e-05,0.563035495716034
"FALSE POSITIVE",10164018,"K07292.01",86.61,7,70.72,0.5641,-0.02595,0.115499124343257
"FALSE POSITIVE",10189523,"K07293.01",67.4,7,155.4,0.5059,0.0001316,0.111878453038674
"FALSE POSITIVE",10198109,"K07294.01",89.9,7,4017,0,-0.004708,-0.7193
"FALSE POSITIVE",10208759,"K07295.01",88.65,7,3.688,0,0.009285,-1.843
"FALSE POSITIVE",10214328,"K07296.01",89.6,73,190.5,3.068,-0.0003203,1.58310120705664
"FALSE POSITIVE",10215422,"K07297.01",89.91,7,52620,0,-0.02383,-1.478
"FALSE POSITIVE",10258558,"K07299.01",88.17,7,68890,2.842,0.0009108,2081.51382823872
"FALSE POSITIVE",10264202,"K07300.01",88.32,7,0,0,8.876e-05,-0.3275
"CANDIDATE",10264293,"K07301.01",89.96,7,70.88,0.2342,0.0002138,0.0621022727272727
"FALSE POSITIVE",10268809,"K07302.01",88.53,7,20150,2.518,-0.0006208,53.7655279503106
"FALSE POSITIVE",10274244,"K07303.01",89.88,7,10090,0,-0.001167,-0.7326
"FALSE POSITIVE",10275887,"K07304.01",89.13,13,29000,0,0,-1.282
"FALSE POSITIVE",10292465,"K07307.01",85.1,7,418,-26.13,-0.07967,124.016441573693
"FALSE POSITIVE",10294608,"K07308.01",89.31,7,-4.465,0,0.008747,-0.7998
"FALSE POSITIVE",10296163,"K07309.01",86.03,5,15240,0.5958,-0.01203,8346.9485824123
"FALSE POSITIVE",10330495,"K07310.01",88.7,7,8690,4.289,-0.0005597,477.371357718537
"FALSE POSITIVE",10332789,"K07311.01",89.64,7,5026,2.685,0.000347,466.089965397924
"FALSE POSITIVE",10340228,"K07312.01",86.43,7,27.9,0.2249,-6.594e-05,0.0575700934579439
"FALSE POSITIVE",10341787,"K07313.01",56.52,7,14.44,0.3277,-0.0003584,0.177098674521355
"FALSE POSITIVE",10342097,"K07314.01",76.15,7,3.813,0,3.194e-05,0.136752475247525
"FALSE POSITIVE",10345862,"K07315.01",88.91,7,-1261,0,0.002286,1205.04731861199
"FALSE POSITIVE",10346522,"K07316.01",88.82,7,-461.6,0,0.001775,-1.223
"FALSE POSITIVE",10352603,"K07317.01",89.82,7,240900,0,0.03984,-4.037
"FALSE POSITIVE",10363300,"K07318.01",75.4,7,33070,1.742,0,1068.27880512091
"CANDIDATE",10396708,"K07320.01",87.07,7,30.01,0.5106,-1.848e-05,0.128343100692595
"FALSE POSITIVE",10407047,"K07321.01",71.52,7,-1.122,0,0.0001046,0.244184865413916
"FALSE POSITIVE",10407430,"K07322.01",59.76,7,-2.45,0,5.169e-05,0.100044589774078
"FALSE POSITIVE",10407464,"K07323.01",74,5,0.8609,0.1333,5.126e-05,0.24031007751938
"FALSE POSITIVE",10417704,"K07324.01",77.43,7,72.17,1.903,0,0.524312308974715
"FALSE POSITIVE",10420279,"K07325.01",89.9,7,201200,0,0,-3.027
"FALSE POSITIVE",10422852,"K07326.01",89.1,7,146.6,0,-0.0007755,-0.3211
"CANDIDATE",10450504,"K07327.01",89.69,7,152.7,0.3936,0.00116,0.103518612952575
"FALSE POSITIVE",10454401,"K07328.01",89.9,7,290700,0,-0.002779,-0.8409
"FALSE POSITIVE",10462826,"K07329.01",88.91,7,17650,2.504,-0.02181,1941.40625
"CANDIDATE",10468514,"K07331.01",86.16,7,2014,0.581,-0.0005972,0.662239297475302
"CANDIDATE",10471113,"K07332.01",45.94,7,-4.282,0,-0.0001481,0.120678513731826
"FALSE POSITIVE",10481054,"K07333.01",68.23,18,9.967,0.9898,-5.039e-06,0.216039498265279
"FALSE POSITIVE",10486425,"K07334.01",84.18,7,15460,1.794,0.004126,1418.53422168383
"FALSE POSITIVE",10490960,"K07335.01",85.83,7,178800,2.902,-0.05398,5472.14076246334
"FALSE POSITIVE",10491031,"K07336.01",78.84,13,29.64,-968,0.07331,13245.060949979
"FALSE POSITIVE",10535807,"K07337.01",79.04,7,70.43,-73.58,0.00423,364.349376114082
"FALSE POSITIVE",10535858,"K07338.01",46.69,54,101.7,0.5489,0.0001124,0.120186335403727
"CANDIDATE",10546063,"K07339.01",87.27,7,74.35,0.4367,-0.000486,0.0791386271870794
"FALSE POSITIVE",10547685,"K07340.01",74.38,18,9.804,-645.2,0,2703.26747720365
"FALSE POSITIVE",10549576,"K07341.01",86.88,7,15280,3.141,0.00484,944.00289017341
"FALSE POSITIVE",10552700,"K07342.01",34.55,5,3.546,0.4257,0,0.128889606197547
"FALSE POSITIVE",10556578,"K07343.01",47.18,7,859.4,0.2362,2.625e-05,0.476948590381426
"FALSE POSITIVE",10583181,"K07344.01",89.21,7,83060,0,-0.05955,-0.663
"CANDIDATE",10586619,"K07345.01",89.84,26,234.4,0.7496,-0.0004368,0.160826594788859
"FALSE POSITIVE",10592163,"K07346.01",86.75,7,30430,2.638,0.002091,2625.79113924051
"FALSE POSITIVE",10601538,"K07348.01",75.98,5,6.703,0.8895,-9.144e-05,0.375087412587413
"FALSE POSITIVE",10601579,"K07349.01",84.54,13,32450,2.548,0.0009374,7834.67854160868
"FALSE POSITIVE",10613718,"K07350.01",89.81,7,23.29,0.1273,4.005e-05,0.167583497053045
"FALSE POSITIVE",10619109,"K07351.01",75.16,7,5097,-15.44,0.1841,252.861685214626
"FALSE POSITIVE",10646620,"K07352.01",57,5,8.002,0.7211,3.36e-06,0.30705093347834
"FALSE POSITIVE",10649230,"K07353.01",81.1,13,21.7,0.4894,-0.000487,0.548861807312026
"CANDIDATE",10659624,"K07354.01",87.6,5,28.59,0.9338,7.859e-05,0.212310030395137
"FALSE POSITIVE",10661913,"K07355.01",50.05,7,25.27,0.934,0.0002427,0.227821644217371
"FALSE POSITIVE",10661976,"K07356.01",43.77,13,10.45,0.6508,2.804e-05,0.206274509803922
"FALSE POSITIVE",10662021,"K07357.01",54.17,7,16.84,0.53,-1.314e-05,0.126505404014411
"CANDIDATE",10665228,"K07358.01",86.73,7,172,0.7437,-0.0002046,0.151920614596671
"CANDIDATE",10665749,"K07359.01",89.91,7,47.86,0.4207,0.0009548,0.085078485687904
"CANDIDATE",10680424,"K07361.01",69.85,7,68.33,0.2934,0.0002951,0.0845425867507887
"FALSE POSITIVE",10685175,"K07362.01",79.05,18,27.75,1.557,-1.213e-05,0.547796610169492
"FALSE POSITIVE",10686876,"K07363.01",86.39,7,28860,1.432,-0.1428,2393.12536106297
"FALSE POSITIVE",10686930,"K07364.01",71.46,5,9.072,0.2132,-6.181e-05,0.220014716703458
"FALSE POSITIVE",10711913,"K07365.01",88.35,7,5623,3.827,-0.001098,1923.51453855879
"FALSE POSITIVE",10732401,"K07366.01",74.51,7,24.1,0.2932,-0.0001381,0.0555930061091216
"FALSE POSITIVE",10736223,"K07367.01",89.03,7,80820,0,0.5849,-0.57
"CANDIDATE",10736489,"K07368.01",83.17,13,125.3,3.452,-5.68e-05,4.44300518134715
"FALSE POSITIVE",10743600,"K07369.01",75.06,15,792,-76.98,0,298.224615998404
"FALSE POSITIVE",10753734,"K07371.01",89.92,7,295000,0,-0.05258,-1.009
"FALSE POSITIVE",10794242,"K07372.01",89.64,7,15530,0,0.001516,-1.103
"FALSE POSITIVE",10794405,"K07373.01",65.92,7,465.6,2.932,-0.0009452,3.633608815427
"FALSE POSITIVE",10809677,"K07374.01",75.68,7,36.02,-130.2,0,273.682559598494
"CANDIDATE",10812541,"K07375.01",89.85,7,958.9,1.309,-0.0001575,7.39396589418452
"CANDIDATE",10815677,"K07376.01",69.57,7,28.56,0.4784,-0.0001311,0.116412213740458
"FALSE POSITIVE",10816107,"K07377.01",80.14,7,3705,0.9008,-0.004477,568.6194182712
"CANDIDATE",10843431,"K07378.01",81.97,7,220.2,0.2892,-0.0004721,4.43445338381448
"CANDIDATE",10843431,"K07378.02",88.96,7,438.1,1.545,0.002915,0.493942992874109
"FALSE POSITIVE",10847907,"K07379.01",36.45,13,17.73,0.3986,1.143e-06,0.0828002508623393
"FALSE POSITIVE",10849244,"K07381.01",88.38,5,154900,3.417,0.0009844,2084.56891817683
"FALSE POSITIVE",10857589,"K07382.01",89.42,7,55330,3.075,0.01017,479.051640142904
"FALSE POSITIVE",10867017,"K07384.01",69.74,7,50.4,0.9756,-0.0006936,0.211111111111111
"FALSE POSITIVE",10909274,"K07385.01",89.95,5,170700,0,0.0007576,-1.153
"FALSE POSITIVE",10920813,"K07386.01",89.99,13,37750,6.567,0,1150.58611361587
"FALSE POSITIVE",10923260,"K07387.01",88.47,7,4082,2.352,-0.003694,975.57003257329
"FALSE POSITIVE",10924400,"K07388.01",58.28,18,20.69,1.52,-4.008e-05,0.36380655226209
"FALSE POSITIVE",10936427,"K07390.01",89.66,7,155500,0,-0.1942,-2.585
"FALSE POSITIVE",10937609,"K07391.01",78.07,7,24690,2.403,0.00478,3235.44766379535
"FALSE POSITIVE",10965963,"K07392.01",86.24,7,151600,2.831,0.0001223,5155.07839127471
"FALSE POSITIVE",10979716,"K07394.01",87.91,54,48600,6.818,-0.001915,893.550078657577
"FALSE POSITIVE",10982373,"K07395.01",78.88,18,22.54,1.532,-6.057e-05,0.477379912663755
"FALSE POSITIVE",10987439,"K07396.01",86.05,18,11960,4.448,-0.01024,2608.63605209047
"FALSE POSITIVE",10989032,"K07397.01",84.64,7,255.1,1.092,0.001632,2.30689329556185
"FALSE POSITIVE",10991989,"K07398.01",61.18,7,3941,0,-0.003722,958.955223880597
"FALSE POSITIVE",10992733,"K07399.01",89.91,7,255100,0,0,-1.177
"CANDIDATE",11019739,"K07400.01",83.92,7,49.93,0.4543,-8.723e-06,0.107268797633944
"FALSE POSITIVE",11027722,"K07402.01",78.63,7,6.845,-3.529,0.0003268,1.12006737247353
"FALSE POSITIVE",11029877,"K07403.01",64.57,18,29.12,-77.59,0,1679.42583732057
"CANDIDATE",11068630,"K07404.01",81.21,7,113.9,0.4688,-7.265e-05,0.0957643434732383
"FALSE POSITIVE",11071207,"K07405.01",89.77,7,110500,0,-0.0008513,-1.006
"FALSE POSITIVE",11073223,"K07406.01",89.87,7,111700,0,-0.1789,-0.9504
"FALSE POSITIVE",11076279,"K07407.01",76.94,7,25670,-1.002,0.01075,1646.61654135338
"CANDIDATE",11092783,"K07408.01",74.35,54,113.8,0.2888,-0.0001424,7.02313400261894
