"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tcet_model_chisq","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_eqt_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_albedo_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",5385778,"K06129.01",1,0.9985,4.649,8740,1356.68,6.952,94990,0.009097,4.028,0.003641,2.583,-0.14532,0,0,19.844524,-0.07399,0.0004849,16.0350088325036,36.0807140085371,17.5424413904608,10.6164383561644,2.64780046059565,17,1.7,0.752184041933605,-1.99972972972973,20.174672489083,0,0
"CANDIDATE",5428657,"K06130.01",1,0.9273,0.1856,8018,243.17,0.539,67670,0.07402,0.8335,5.047,5.72,-0.052446,1,10.2,18.962702,-1.327,0.0003274,6.27826675693974,4.28340865074241,14.2985190958691,26.0309278350515,6.48799359658485,94,-3.33333333333333,1.56028368794326,-2.22651006711409,-1.66453382084095,1.28472906403941,3.52757009345794
"CANDIDATE",5629353,"K06132.01",1,0.4108,0.5486,214.8,74.91,1.651,8932,-0.003266,15.79,0.5427,62.15,-0.24673,0,21.308,19.637182,-0.4281,0.002343,1.73773265651438,49.8884758364312,57.0663033605813,9.88142292490119,2.46901779828609,20.65,0.742857142857143,2.07720588235294,-3.50901639344262,0.585666293393057,0.238875968992248,2.90395348837209
"CANDIDATE",5629353,"K06132.02",2,0.8895,0.6117,631.9,538.97,1.651,9780,0.02747,4.833,3.097,15.38,0.047607,0,6.1925,19.637181,-0.4736,0.0004506,13.0406098812491,12.2999407231772,22.7645697454239,9.91935483870968,2.46950744558992,20.65,0.742857142857143,2.09508241384008,-1.23655352480418,-0.626086956521739,0.978016085790885,1.57813829787234
"CANDIDATE",5629353,"K06132.03",3,0.82,0.363,473.8,296.72,1.651,8425,-0.02137,-2.806,0.173,42.26,-0.10503,0,5.96,19.637195,0.09523,-9.995e-05,1.73986844897093,5.82230172927847,11.6337426588361,9.90654205607477,2.4693741677763,20.65,0.742857142857143,1.31405472636816,0.134695898161245,-1.30131332082552,1.47908847184987,1.75867788461538
"FALSE POSITIVE",5738698,"K06134.01",1,0.1,1.189,-1,1842.02,1.21,73290000,0.4833,1.444,0,0,-1,0,0,19.981318,-0.06986,0,-0.1,-4.5,0,-1670,-1842.02,23.7777777777778,-1.6,0,-342.450980392157,-365.95,2.98049414824447,0.292893553223388
"FALSE POSITIVE",5768927,"K06135.01",1,0.9064,1.482,6513,911.63,1.454,166500,0.02709,2.113,0.05078,1.108,-0.049295,0,62114,18.88411,-0.1427,0.04669,285.210824417873,2298.68114817688,3213.89270976616,7.95454545454545,1.9901108976598,14.2413793103448,-0.533333333333333,2.04768065052671,-50.0701754385965,-29.4148936170213,0.619330855018587,0.719805389221557
"FALSE POSITIVE",5814635,"K06136.01",1,0.9264,0.1438,7423,3750.32,1.941,98330,0.3022,0.7135,0.3665,16.17,-1,0,0,19.855683,0.8465,-6.657e-05,8.22735346358792,11.9888381532217,23.4740691489362,10.6951871657754,2.67213873985565,22.9444444444444,0.466666666666667,2.44075471698113,1.58520599250936,2.85282258064516,0,1.32202127659574
"CANDIDATE",5816144,"K06137.01",1,0.7928,0.142,3334,117.52,1.021,81590,-0.04292,-2.125,0.04998,91.86,-0.19475,0,9.4833,19.879584,-0.9661,-0.0001048,0.700353356890459,6.05776736924278,11.1737629459148,9.24092409240924,2.30974842767296,20.2272727272727,-0.4,0.84585635359116,-1.31621253405995,-2.61928934010152,-1.58311688311688,2.87548387096774
"FALSE POSITIVE",5816144,"K06137.02",2,0.8997,0.2591,5183,236.99,1.021,78710,-0.04379,3.95,0.2897,72.71,-0.10489,0,12.537,19.879598,-0.3921,-0.000172,3.21666070790132,5.9871931696905,10.812324929972,9.25925925925926,2.30961894552188,20.2272727272727,-0.4,1.36339771235702,-0.554596888260255,-2.89750328515112,-1.45847457627119,9.71732776617954
"FALSE POSITIVE",5817566,"K06138.01",1,0.7672,4.88,23850,9960.02,3.185,367800,-0.1843,1.853,1.762,0.2313,-1,0,0,19.898401,-0.06197,0,192.040050062578,1485.08825319537,542.298288508557,5.34591194968553,1.33427554074221,8.69767441860465,-0.514285714285714,1.36138905238376,-71.2298850574713,-295.294117647059,-0.106601941747573,0.425314371257485
