"koi_disposition","kepid","kepoi_name","tce_period","tce_num_transits","tce_model_snr","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_prad_sn"
"FALSE POSITIVE",2309587,"K05982.01",1.83851,726,2107,1,37.659009,-0.02446,3.39230769230769
"FALSE POSITIVE",2445134,"K05983.01",8.41192,156,-1,0,37.738509,-0.001865,-47.03
"FALSE POSITIVE",3241344,"K05984.01",3.91265,0,-1,0,38.318376,-0.0292,-35.38
"FALSE POSITIVE",3347485,"K05985.01",7.54481,176,328.3,0,38.448492,-4.345e-05,2.26065411298315
"FALSE POSITIVE",3530668,"K05986.01",1.94619,675,3311,0,38.640231,0.0007285,3.58275862068966
"FALSE POSITIVE",3532985,"K05987.01",5.28856,255,164.3,0,38.64075,0.0006051,2.63180722891566
"FALSE POSITIVE",3831911,"K05988.01",30.4838,46,113.5,0,38.985283,-0.09659,2.59229208924949
"FALSE POSITIVE",3852258,"K05989.01",5.75847,235,42.42,0,38.973163,0.002848,1.51123144805455
"FALSE POSITIVE",3858919,"K05990.01",25.9526,36,11.14,0,38.956435,0.001109,1.43874935930292
"FALSE POSITIVE",3869326,"K05991.01",8.58595,123,32.41,0,38.936685,-5.101e-05,2.44711978055471
"FALSE POSITIVE",3971315,"K05992.01",9.89224,110,318.9,0,39.005869,-0.01132,2.9357363054304
"FALSE POSITIVE",4037428,"K05993.01",4.26473,314,2388,0,39.187028,-0.0009636,2.62381852551985
"FALSE POSITIVE",4049124,"K05994.01",4.80447,282,5669,0,39.131408,-0.106,4.37261281652285
"FALSE POSITIVE",4275328,"K05995.01",6.15053,176,337.3,0,39.396844,0.005529,2.88642886428864
"FALSE POSITIVE",4753561,"K05996.01",4.94491,218,46.15,0,39.82831,0.009507,2.30744544287548
"FALSE POSITIVE",4912991,"K05997.01",4.44252,304,5106,0,40.08771,0.03195,4.54605263157895
"FALSE POSITIVE",5036966,"K05998.01",62.7356,4,1588,0,40.153234,0.01085,3.09126009126009
"FALSE POSITIVE",5254230,"K05999.01",7.03553,150,89.02,1,40.404773,-0.007938,1.84221556886228
"FALSE POSITIVE",5385139,"K06000.01",12.4294,96,12.13,0,40.585768,-0.0006549,2.30501009359515
"FALSE POSITIVE",5385150,"K06001.01",12.4264,96,11.86,0,40.581363,-1.107e-06,2.86144578313253
"FALSE POSITIVE",5385269,"K06002.01",12.4258,112,17.65,0,40.557405,-0.0004084,2.66666666666667
"FALSE POSITIVE",5385509,"K06003.01",12.4259,110,16,0,40.532571,0.0005093,8.64849833147942
"FALSE POSITIVE",5385566,"K06004.01",12.4254,96,20.2,0,40.506978,0.0003012,5.40013012361744
"FALSE POSITIVE",5385773,"K06005.01",12.4252,111,16.34,0,40.51458,-3.335e-05,4.40808080808081
"FALSE POSITIVE",5386163,"K06006.01",12.4247,112,12.88,0,40.55299,0.0001453,2.67035212113929
"FALSE POSITIVE",5470960,"K06007.01",12.4243,110,10.94,0,40.653231,-0.0005422,1.86674369343347
"FALSE POSITIVE",5471068,"K06008.01",12.4268,112,16.83,0,40.639257,0.0003327,2.28415079043373
"FALSE POSITIVE",5471192,"K06009.01",12.4255,112,10.47,0,40.632406,0.0001915,2.94936708860759
"FALSE POSITIVE",5471217,"K06010.01",12.4249,112,17.17,0,40.660662,-5.478e-05,4.05388471177945
