"koi_disposition","kepid","kepoi_name","tce_depth","tce_ldm_coeff1","tce_chisq1","tce_chisqgofdof","tce_smet","tce_steff_prov","tcet_model_dof","wst_robstat","tce_fwm_prao","tce_time0_sn"
"CANDIDATE",6949607,"K00870.02",800.5,0.6231064,819,891,-0.18,29,6686,2.716,-2.607e-05,1582095996.70044
"FALSE POSITIVE",7031517,"K00871.01",42160,0.3220184,35960,358,-0.42,5,2328,3.135,-0.001609,58051800337.2011
"CANDIDATE",7109675,"K00872.01",7343,0.7139852,2163,376,0.42,52,2816,3.985,0.0002155,4891129586.57335
"CANDIDATE",7109675,"K00872.02",359.6,0.7139852,1084,1231,0.42,52,9323,3.243,-1.812e-05,880580365.149396
"CANDIDATE",7118364,"K00873.01",433.7,0.5557302,1855,1384,0.16,26,9852,1.509,-0.0001369,2235041879.09687
"CANDIDATE",7134976,"K00874.01",765.8,0.6685232,1593,1349,0.16,26,9391,2.859,5.937e-06,3615039927.90447
"CANDIDATE",7134976,"K00874.02",332.2,0.6685232,564.3,813,0.16,26,6246,2.481,-1.54e-05,672509765.892518
"CANDIDATE",7135852,"K00875.01",2264,0.5358642,1961,2072,-0.06,29,15400,2.39,0.0002057,6572631815.67491
"FALSE POSITIVE",7270230,"K00876.01",20060,0.4984972,2586,684,-0.12,5,4617,20.51,-8.878e-05,32445509380.8978
"CANDIDATE",7287995,"K00877.01",1407,0.6412988,1418,1250,-0.06,46,9057,2.916,-0.0001621,4447554449.23929
"CANDIDATE",7287995,"K00877.02",1234,0.6412988,615.6,567,-0.06,46,4173,2.257,0.0004435,2040757458.62324
"CANDIDATE",7287995,"K00877.03",384,0.6412988,351.7,289,-0.06,46,1838,3.384,-0.0005663,605864743.670425
"CANDIDATE",7303253,"K00878.01",1191,0.5959576,315.3,493,-0.24,5,4057,2.251,0.0001718,1047954444.55828
"CANDIDATE",7366258,"K00880.01",3632,0.6252052,951.4,348,0.16,15,2673,2.767,0.000625,2389304136.25304
"CANDIDATE",7366258,"K00880.02",1847,0.6252052,313.8,390,0.16,15,2818,2.932,0.0006572,1672505177.67604
"CANDIDATE",7366258,"K00880.03",661.2,0.6252052,1220,1407,0.16,15,10470,2.471,0.0003176,2151745959.40119
"CANDIDATE",7366258,"K00880.04",257.4,0.6252052,2812,2244,0.16,15,16190,2.925,0.0002851,1858052162.3299
"CANDIDATE",7373451,"K00881.01",1780,0.6072874,515.4,620,-0.08,15,4731,2.164,-0.0009027,1516880452.78169
"CANDIDATE",7373451,"K00881.02",2966,0.6072874,73.78,80,-0.08,15,575,2.626,-0.0006286,625644109.866922
"FALSE POSITIVE",7377033,"K00882.01",22350,0.1288884,19470,2458,-1.24,5,16300,4.359,-0.0006007,89553937519.1514
"CANDIDATE",7380537,"K00883.01",37650,0.5643976,174300,2746,-0.4,5,20050,2.215,0.02957,122100755492.114
"CANDIDATE",7434875,"K00884.01",3041,0.6694818,1371,788,0.21,5,5704,1.384,0.0001323,6469965027.50098
"CANDIDATE",7434875,"K00884.02",313.7,0.6694818,1088,853,0.21,5,7419,2.702,-0.0002187,306865496.271945
"CANDIDATE",7434875,"K00884.03",412.2,0.6694818,2239,1700,0.21,5,12170,2.611,-0.0001169,2314864406.14038
"CANDIDATE",7455287,"K00886.01",962.8,0.5157478,997.1,1094,-0.12,41,8060,3.17,-7.565e-05,838789804.564712
"CANDIDATE",7455287,"K00886.02",499.4,0.5157478,700.7,973,-0.12,41,7552,2.63,0.0003189,385656296.538333
"CANDIDATE",7455287,"K00886.03",644,0.5157478,313.4,344,-0.12,41,2633,2.467,-0.0005273,511329482.899031
"CANDIDATE",7458762,"K00887.01",609.5,0.4811316,1035,1005,-0.02,5,7216,2.752,0.0003316,2071914455.47228
"FALSE POSITIVE",7552344,"K00888.01",1401,0.3520754,5036,3039,-0.54,5,21400,13.95,-0.0004159,11984944126.3053
"CANDIDATE",757450,"K00889.01",15940,0.5702584,1944,692,-0.08,36,4865,3.396,-0.001294,23795155615.4346
"CANDIDATE",7585481,"K00890.01",6906,0.4354212,3907,1233,0.07,5,9349,1.784,0.001066,12666367416.855
"CANDIDATE",7663691,"K00891.01",932,0.431594,866.2,1289,-0.02,5,9837,2.709,0.0002026,1573708805.82568
"CANDIDATE",7678434,"K00892.01",1250,0.664344,657.5,819,0.18,26,6124,1.463,-0.0002486,2214817354.27587
"CANDIDATE",7678434,"K00892.02",279.4,0.664344,1729,1092,0.18,26,7639,2.233,-0.0002758,1397195330.86331
"CANDIDATE",7685981,"K00893.01",528.7,0.3582262,1806,2632,-0.24,5,19950,1.34,-0.0002258,938225413.79877
"FALSE POSITIVE",7708215,"K00894.01",1040,0.519311,1944,1573,0.07,5,12060,22.32,0.02907,971418961.69674
"FALSE POSITIVE",7767559,"K00895.01",12990,0.4434184,3160,2255,-0.26,5,17030,7.67,-0.002306,37187049357.1333
"CANDIDATE",7825899,"K00896.01",2572,0.6911968,641.7,625,0.34,15,4615,2.45,0.0005409,3124680210.87627
"CANDIDATE",7825899,"K00896.02",1320,0.6911968,1093,1294,0.34,15,9720,2.726,0.0002512,3511740514.25097
"CANDIDATE",7825899,"K00896.03",315.5,0.6911968,236.6,395,0.34,15,3029,2.492,7.902e-05,321444423.931275
"CANDIDATE",7849854,"K00897.01",14270,0.528093,81190,4212,0.14,26,31240,2.005,6.22e-05,80346722435.5009
"CANDIDATE",7870390,"K00898.01",1862,0.7004132,810.3,728,-0.32,41,5397,2.157,0.0002039,2308691318.08607
"CANDIDATE",7870390,"K00898.02",1024,0.7004132,1565,1143,-0.32,41,8010,2.516,-0.0004916,2094916671.64447
"CANDIDATE",7870390,"K00898.03",1458,0.7004132,362.1,433,-0.32,41,3254,2.224,0.0003971,981030590.021779
"CANDIDATE",7907423,"K00899.01",798.1,0.4656612,1100,848,0,41,5970,3.096,-0.0001857,2197461465.47557
"CANDIDATE",7907423,"K00899.02",502.8,0.4656612,2114,1770,0,41,12490,1.954,-0.0001602,2667978755.89163
"CANDIDATE",7907423,"K00899.03",765.7,0.4656612,514,430,0,41,3121,3.059,0.0004231,1106974248.44323
"CANDIDATE",7938496,"K00900.01",1293,0.4375148,477.2,559,-0.04,5,4267,2.761,-9.354e-05,1450222408.62934
"CANDIDATE",8013419,"K00901.01",6428,0.6035202,1383,391,-0.14,29,2618,4.378,0.0005943,9239248657.37587
"CANDIDATE",8018547,"K00902.01",7955,0.733202,1193,221,-0.36,29,1695,2.883,0.003973,3168023351.84688
"CANDIDATE",8039892,"K00903.01",6916,0.3557296,4611,1971,-0.34,5,14980,1.912,0.004969,14696283082.0069
"CANDIDATE",8150320,"K00904.01",594.1,0.67798,3448,2756,-0.02,15,19410,0.9406,0.0002601,3397675435.68281
"CANDIDATE",8150320,"K00904.02",460.3,0.67798,1408,1423,-0.02,15,10320,2.186,-0.0001524,1036788492.5629
"CANDIDATE",8150320,"K00904.03",920.7,0.67798,282.7,312,-0.02,15,2369,4.337,-0.0003731,456050661.975468
"CANDIDATE",8150320,"K00904.04",533.7,0.67798,677.4,592,-0.02,15,4240,4.441,8.642e-05,743628344.853908
"CANDIDATE",8150320,"K00904.05",769.8,0.67798,171.5,235,-0.02,15,1917,3.075,0.0004197,326642947.619402
"FALSE POSITIVE",8180063,"K00905.01",1690,0.3557296,1527,1259,-0.34,5,9120,8.31,-0.001895,3738121232.33126
"CANDIDATE",8226994,"K00906.01",856.1,0.6608672,1071,1000,0.14,26,7457,3.179,0.0004108,1926826779.68762
"CANDIDATE",8226994,"K00906.02",749.1,0.6608672,416.6,314,0.14,26,2268,2.537,0.0001303,958156725.91309
"CANDIDATE",8226994,"K00906.03",175.4,0.6608672,1764,2014,0.14,26,14710,2.838,0.0003912,589599859.743167
"CANDIDATE",8247638,"K00907.01",955.4,0.4998996,513.6,703,-0.18,15,5434,2.709,-7.608e-05,1338140868.40872
"CANDIDATE",8247638,"K00907.02",972,0.4998996,210.8,377,-0.18,15,2953,2.216,0.0004075,870536046.721913
"CANDIDATE",8247638,"K00907.03",970.5,0.4998996,69.17,113,-0.18,15,873,3.728,0.000462,574575743.604266
"CANDIDATE",8247638,"K00907.04",234.9,0.4998996,1498,1321,-0.18,15,9625,2.724,1.105e-05,838067667.812557
"CANDIDATE",8255887,"K00908.01",7935,0.5940488,4018,1829,0.14,5,13560,1.911,-0.0009517,26419201990.4502
"FALSE POSITIVE",8256049,"K00909.01",2838,0.6490072,1230,464,-0.28,5,3366,2.918,0.07971,2020368526.30626
"CANDIDATE",8414716,"K00910.01",1140,0.664135,1360,1558,0.21,5,11810,3.34,-6.96e-05,3070232264.97116
"CANDIDATE",8490993,"K00911.01",535.8,0.4245844,1874,1799,-0.04,5,13130,2.878,0.000246,1966209614.12164
"CANDIDATE",8490993,"K00911.02",687,0.4245844,46.92,137,-0.04,5,1178,1.986,-0.0007631,168864997.970877
"CANDIDATE",8505670,"K00912.01",1655,0.6339432,712.1,790,-0.2,29,5804,2.146,0.0001453,3525776542.02547
"CANDIDATE",8505670,"K00912.02",396.1,0.6339432,988.1,677,-0.2,29,4597,2.693,-0.0001908,1463853410.1344
"CANDIDATE",8544996,"K00913.01",17900,0.421171,9891,2127,-0.3,5,15700,2.244,0.00274,72062993512.7836
"CANDIDATE",8552202,"K00914.01",562.4,0.312676,2168,2227,-0.54,5,16430,1.224,-0.0001193,1907617352.92518
"FALSE POSITIVE",8605074,"K00915.01",59180,0.331138,62310,400,-0.24,5,3128,68.73,-0.002843,20061205311.5424
"CANDIDATE",8628973,"K00916.01",1387,0.5935188,2607,1836,0.16,5,12910,2.876,0.0002391,8638932485.02678
"FALSE POSITIVE",8655354,"K00917.01",977,0.2376148,1252,1118,-0.6,5,8019,12.96,-0.0001468,1572267551.33148
"CANDIDATE",8672910,"K00918.01",15790,0.6480416,1149,375,0.14,26,2973,2.819,-0.0005577,10164537151.2798
"FALSE POSITIVE",8686150,"K00919.01",66270,0.475204,122500,676,0.21,5,5501,30.54,-0.0007077,12662392589.3069
"CANDIDATE",8689031,"K00920.01",1131,0.3663414,379.2,396,-0.5,5,2926,3.304,-0.0002862,1339893680.88985
"CANDIDATE",8689373,"K00921.01",1499,0.626187,488.6,657,0.04,5,4997,2.868,0.0005116,1409239635.83344
"CANDIDATE",8689373,"K00921.02",1123,0.626187,673.4,924,0.04,5,7011,2.031,0.0003265,1541175953.59466
"CANDIDATE",8689373,"K00921.03",448,0.626187,1918,1474,0.04,5,10440,1.923,-8.863e-05,1709720103.90768
"CANDIDATE",8826878,"K00922.01",701.9,0.5326776,1312,1691,-0.14,5,12430,3.482,5.356e-05,1887596303.18781
"CANDIDATE",8883593,"K00923.01",1227,0.4182628,1566,1762,-0.16,5,13260,3.141,-0.0006897,2815581192.37593
"CANDIDATE",8951215,"K00924.01",994.1,0.3759,177.9,185,-0.12,5,1341,3.659,0.0004108,789849267.249007
"FALSE POSITIVE",9016295,"K00925.01",40200,0.408828,82490,380,-0.08,5,2681,66.52,-0.0003484,33429970899.7915
"CANDIDATE",9077124,"K00926.01",933.4,0.452662,3126,2651,0.02,5,19670,1.879,-0.0001639,3209077552.13017
"FALSE POSITIVE",9097120,"K00927.01",20810,0.2813262,8192,303,-0.38,5,2216,2.84,0.02281,14713987749.1819
"CANDIDATE",9140402,"K00928.01",506.7,0.5241056,3415,3480,-0.08,2,25680,1.59,0.0002751,2888505841.79501
"CANDIDATE",9141746,"K00929.01",7129,0.4744852,5775,1381,0.14,5,10460,1.752,0.0004062,12882924013.4341
"CANDIDATE",9141746,"K00929.02",83.51,0.4744852,2642,2913,0.14,5,22050,2.614,-4.79e-05,353933831.585989
"FALSE POSITIVE",9159275,"K00930.01",413.3,0.4268326,3377,4159,-0.36,5,31720,2.708,-0.02463,690079043.828285
"CANDIDATE",9166862,"K00931.01",16560,0.5153628,9842,2282,0.21,5,16750,1.854,0.01353,55579150885.089
"FALSE POSITIVE",9166870,"K00932.01",997.8,0.4909138,1944,2276,0.07,5,16760,2.902,0.01807,4034859641.04924
"FALSE POSITIVE",9171801,"K00933.01",1030,0.5285312,1039,833,-0.14,8,5759,6.992,0,1567889486.39017
"CANDIDATE",9334289,"K00934.01",1541,0.6016916,1290,1504,0.16,26,11080,2.571,-0.0004233,3240833148.51778
"CANDIDATE",9334289,"K00934.02",764.2,0.6016916,367.3,488,0.16,26,3638,2.914,0.0003608,605265234.07067
"CANDIDATE",9334289,"K00934.03",605.3,0.6016916,532.4,751,0.16,26,5443,3.895,-8.72e-05,616472892.549532
"CANDIDATE",9347899,"K00935.01",1890,0.32285,580.7,680,-0.28,15,5223,2.133,-0.0004423,2034078480.76095
"CANDIDATE",9347899,"K00935.02",1700,0.32285,213.9,372,-0.28,15,2900,3.199,-0.0002865,1250303030.30303
"CANDIDATE",9347899,"K00935.03",1006,0.32285,116.4,259,-0.28,15,2013,3.194,0.0007416,529675114.242933
"CANDIDATE",9347899,"K00935.04",124.8,0.32285,823.9,1205,-0.28,15,9596,2.753,-0.0001608,275622853.51168
"CANDIDATE",9388479,"K00936.01",2235,0.5219578,984.6,642,0.18,41,4584,3.884,-0.000121,5183723542.62741
"CANDIDATE",9388479,"K00936.02",550.7,0.5219578,8291,5134,0.18,41,30920,3.43,-2.553e-05,9271697258.10106
"CANDIDATE",9406990,"K00937.01",984.7,0.6251316,425.1,616,0.21,5,4771,2.352,7.925e-05,1037152042.85539
"CANDIDATE",9415172,"K00938.01",990.5,0.6353352,726.2,979,0.16,26,7333,2.37,-5.657e-05,1474751600.92752
"CANDIDATE",9415172,"K00938.02",190.9,0.6353352,7116,5536,0.16,26,30720,2.024,-0.0001602,1910147678.99659
"CANDIDATE",9415172,"K00938.03",268.7,0.6353352,1029,870,0.16,26,6620,1.873,-0.0002066,605664450.392885
"CANDIDATE",9466668,"K00939.01",283.5,0.6017872,2570,2192,0.16,15,15850,3.112,-5.798e-06,1665108928.61988
"CANDIDATE",9466668,"K00939.02",259.5,0.6017872,1291,1368,0.16,15,9959,3.378,1.565e-05,916437087.97157
"CANDIDATE",9466668,"K00939.03",166.9,0.6017872,4010,3019,0.16,15,21820,2.485,5.992e-05,1582320335.15952
"CANDIDATE",9466668,"K00939.04",314.9,0.6017872,468.5,567,0.16,15,4592,-0.06832,-0.0001018,548541704.372541
"CANDIDATE",9479273,"K00940.01",2084,0.5233376,2272,1626,-0.36,46,12510,1.963,-0.0003119,7936359639.4812
"CANDIDATE",9480189,"K00941.01",2291,0.6923084,926.6,1081,0.32,5,7900,1.83,-8.124e-05,4697329473.37605
"CANDIDATE",9480189,"K00941.02",2329,0.6923084,259.8,228,0.32,5,1676,3.602,0.0002727,2457373311.09825
"CANDIDATE",9480189,"K00941.03",696.5,0.6923084,2251,1868,0.32,5,13240,2.817,5.221e-05,3669353573.06736
"CANDIDATE",9512687,"K00942.01",1367,0.6654872,661.7,529,0.21,5,3701,2.613,0.0003069,2365780090.58495
"CANDIDATE",9513865,"K00943.01",787,0.6634872,2379,2026,0.16,26,14870,2.508,8.551e-05,2527910324.50322
"CANDIDATE",9595686,"K00944.01",1821,0.570645,3000,1983,-0.08,5,13890,1.92,-0.0005528,8698349596.43416
"CANDIDATE",9605514,"K00945.01",709,0.3289976,186.3,372,-0.2,5,3164,2.382,-5.018e-05,610823735.485043
"CANDIDATE",9605514,"K00945.02",510.5,0.3289976,211.4,503,-0.2,5,3870,3.525,-3.03e-05,588441007.768475
"FALSE POSITIVE",9605514,"K00945.03",381.7,0.3289976,65.79,143,-0.2,5,1091,2.492,0.0001597,196064369.28483
"FALSE POSITIVE",9661877,"K00946.01",1267,0.4237632,424.3,301,-0.08,5,2143,1.997,0.03085,1100187773.64984
"CANDIDATE",9710326,"K00947.01",1579,0.6012024,257.4,332,-0.26,41,2546,2.171,-2.878e-05,1680059401.60412
"CANDIDATE",9761882,"K00948.01",920.6,0.4464392,313.8,414,-0.34,5,3053,2.635,-0.000324,844300153.729223
"CANDIDATE",9766437,"K00949.01",1127,0.3712416,620,808,-0.22,5,6025,2.717,5.41e-05,1719335228.94401
"CANDIDATE",9772531,"K00950.01",34470,0.6203512,9862,152,-0.3,53,1018,3.397,0.00055,26374742026.0397
"CANDIDATE",9775938,"K00951.01",2142,0.7242872,614,644,0.44,5,4834,2.57,0.0001554,3501922879.41207
"CANDIDATE",9775938,"K00951.02",1123,0.7242872,272,282,0.44,5,2135,2.899,4.72e-05,898990046.945606
"CANDIDATE",9787239,"K00952.01",1565,0.5146544,1048,812,-0.02,41,5703,2.666,-0.001494,2941961755.22819
"CANDIDATE",9787239,"K00952.02",1983,0.5146544,222.3,273,-0.02,41,2173,1.93,-0.001725,1385001184.74054
"CANDIDATE",9787239,"K00952.03",1320,0.5146544,645.5,652,-0.02,41,4714,2.59,-0.0004281,1325398839.24956
"CANDIDATE",9787239,"K00952.04",411.3,0.5146544,1813,1514,-0.02,41,10720,2.08,6.939e-05,1391280447.02869
"CANDIDATE",9787239,"K00952.05",205,0.5146544,6326,4000,-0.02,41,20500,1.148,-0.0001329,1702173686.94748
"CANDIDATE",9820483,"K00953.01",2565,0.54357,2445,2021,0.1,5,14620,1.839,-0.0001725,8128070825.99425
"CANDIDATE",9823457,"K00954.01",830.9,0.395216,946.9,1052,-0.2,5,7892,2.149,1.155e-05,1923415023.97443
"CANDIDATE",9823457,"K00954.02",901.6,0.395216,210.7,328,-0.2,5,2531,2.85,-0.001171,758547279.238415
"CANDIDATE",9825625,"K00955.01",522.7,0.3451412,1163,1742,-0.16,5,13410,1.529,-0.0001462,1492074586.40767
"CANDIDATE",9875711,"K00956.01",2055,0.7400052,901.4,865,0.4,5,6322,2.598,-0.0005045,4614553219.32459
"FALSE POSITIVE",7661409,"K00957.01",600.2,0.3040054,3205,4415,-0.34,5,32140,3.842,0.0006432,908259154.846205
"CANDIDATE",1026957,"K00958.01",1269,0.6528528,431.8,212,0,31,1481,3.117,-8.421e-05,6416067741.68256
"CANDIDATE",10002261,"K00959.01",36850,0.4293,106800,396,0,13,3361,1.446,0.00426,223614122019.201
"FALSE POSITIVE",8176650,"K00960.01",37560,0.5525068,26420,842,-0.1,5,6706,25.95,-0.001036,28549333184.4802
"CANDIDATE",8561063,"K00961.01",1416,0.46578,8029,3923,-0.42,41,26360,2.07,0.000313,17702336313.816
"CANDIDATE",8561063,"K00961.02",992.7,0.46578,3946,2078,-0.42,41,14190,0.7873,0.0002416,9354723164.27238
"CANDIDATE",8561063,"K00961.03",294.4,0.46578,7360,3768,-0.42,41,23640,9.968,-0.000126,3803177357.26292
"FALSE POSITIVE",10657664,"K00964.01",18970,0.6151676,266500,2597,0.07,8,19770,1818,0.0004089,193409805327.304
"FALSE POSITIVE",3337351,"K00965.01",58970,0.572719,66490,857,0.18,13,5887,5.025,0.02418,18858997503.3609
"FALSE POSITIVE",3233043,"K00966.01",1155,0.620066,12440,8637,-0.06,5,30980,8.857,0.0005219,31006169759.9667
"FALSE POSITIVE",6579806,"K00967.01",18420,0.3229324,14430,477,-0.3,5,3221,50.79,-5.024e-05,21455214423.6736
"FALSE POSITIVE",3560301,"K00968.01",48.01,0.254002,1702,5563,-0.42,5,25510,7.91,-3.348e-06,525919245.237748
"FALSE POSITIVE",4044005,"K00969.01",4459,0.310044,1767,274,-0.26,13,1747,3.447,7.67e-05,28994806854.4325
"FALSE POSITIVE",11502218,"K00970.01",272.8,0.6100752,2520,1201,-0.22,4,7964,14.54,-0.002889,7223240582.45628
"CANDIDATE",11180361,"K00971.01",102.4,0.4552984,13700,7198,-0.5,8,25750,4.158,0.0001224,6470160346.62703
"CANDIDATE",11013201,"K00972.01",361.4,0.5145148,1042,980,-0.18,54,7440,4.141,0.000238,7479746631.03983
"FALSE POSITIVE",11013201,"K00972.02",31.87,0.5145148,1248,1505,-0.18,54,11780,2.351,-2.639e-05,1053495028.55843
"CANDIDATE",9414417,"K00974.01",192.6,0.346884,164.4,554,-0.12,17,4287,2.153,-0.0001668,1151014341.90847
"CANDIDATE",3632418,"K00975.01",67.43,0.3630184,4637,3591,-0.1,0,26870,0.6992,0.0001541,3848265202.79273
"FALSE POSITIVE",3441784,"K00976.01",26760,0.454272,12200,253,0.21,13,1915,3.352,-0.002828,10238170702.2095
"CANDIDATE",11192141,"K00977.01",142.5,0.8211096,7259,9273,0,4,31880,1.976,0.0001046,7684292238.30048
"FALSE POSITIVE",11494130,"K00978.01",909,0.2646296,5771,1744,-0.28,4,13680,5.386,0.0001087,824313933.537259
"FALSE POSITIVE",5648449,"K00979.01",616.4,0.8568344,4761,1388,0,55,9466,89.38,-4.659e-05,13760425541.4555
"FALSE POSITIVE",12167361,"K00980.01",2112,0.4480592,2642,125,-0.18,8,819,-0.3021,-0.0006538,14224273290.342
"FALSE POSITIVE",1433962,"K00982.01",334,0.6502008,5284,7931,-0.2,5,32100,1.732,-0.05866,856987764.648386
"FALSE POSITIVE",11607193,"K00983.02",289.7,0.455263,1346,910,0.08,8,8192,1.653,-0.003035,3898368064.43263
"CANDIDATE",1161345,"K00984.01",850.3,0.63258,4627,1735,0.12,23,12120,0.7214,0.0002789,15101467105.4655
"FALSE POSITIVE",10227501,"K00985.01",240.1,0.5599832,2981,2931,-0.1,5,21280,2.423,0.002559,1821213964.59888
"CANDIDATE",2854698,"K00986.01",533.1,0.6165232,890.7,1073,0,15,7934,2.82,-0.0001164,1953785057.14195
"CANDIDATE",2854698,"K00986.02",418.4,0.6165232,98.24,238,0,15,1699,2.301,-0.0007473,375189696.989148
"CANDIDATE",7295235,"K00987.01",180.9,0.594042,2128,1483,0.1,23,10100,2.492,2.831e-06,6201956355.88296
"CANDIDATE",2302548,"K00988.01",800.2,0.6336028,767.6,727,0.02,15,5164,1.452,0.0002777,3440429393.2578
"CANDIDATE",2302548,"K00988.02",684.3,0.6336028,274.7,320,0.02,15,2429,3.207,-3.884e-05,1612608055.91319
"CANDIDATE",10154388,"K00991.01",285.2,0.559176,604,409,0,31,2855,3.144,-5.784e-05,1441691527.09591
"CANDIDATE",1432789,"K00992.01",394.9,0.5467416,817,1670,0.16,26,13050,2.878,-0.0003182,512809961.376896
"CANDIDATE",1432789,"K00992.02",132.6,0.5467416,1596,2781,0.16,26,21400,1.567,0.0002399,357796413.539007
"CANDIDATE",1718189,"K00993.01",354,0.441612,342,440,-0.14,5,3429,2.695,-1.787e-05,642321901.392973
"CANDIDATE",1718189,"K00993.02",266.3,0.441612,565,647,-0.14,5,4853,3.166,-0.0001651,442671931.912438
"FALSE POSITIVE",1718189,"K00993.03",231.6,0.441612,65.16,136,-0.14,5,1085,3.26,0.0002271,221941672.090837
"CANDIDATE",1431122,"K00994.01",229.7,0.648208,1816,1707,0.18,26,12490,2.806,-0.0002014,1098337039.24086
"FALSE POSITIVE",3858949,"K00995.01",958.8,0.5691248,422.7,726,-0.06,5,5736,37.09,0.004695,411463710.596533
"FALSE POSITIVE",3858824,"K00996.01",1940,0.5686944,524.4,843,-0.18,5,6704,48.09,2.594e-05,517240725.44624
"FALSE POSITIVE",1432214,"K00998.01",87700,0.5013518,5991,85,0.18,18,632,7.505,-0.0008259,14202369520.1953
"CANDIDATE",2165002,"K00999.01",1258,0.6004672,473.9,790,-0.18,18,5907,2.292,-4.405e-05,1031903088.58887
"CANDIDATE",2165002,"K00999.02",964.4,0.6004672,168.7,198,-0.18,18,1335,4.197,0.001191,509130199.443789
"FALSE POSITIVE",2441728,"K01000.01",66.82,0.32255,9487,5578,-0.34,5,32080,1.994,0.0004827,3079995884.9079
"CANDIDATE",1871056,"K01001.01",310.6,0.4684744,179.8,833,0.24,23,6462,2.83,-2.223e-05,645085766.538437
"CANDIDATE",1871056,"K01001.02",320.8,0.4684744,59.22,250,0.24,23,2059,2.404,2.976e-05,242265904.852127
"CANDIDATE",1865042,"K01002.01",133,0.6459372,2357,1765,0.21,23,12380,1.717,-4.564e-06,1604094247.40597
"FALSE POSITIVE",2438502,"K01003.01",28060,0.6662592,6372,1866,0.34,18,14970,23.48,0.003438,10554788837.1533
"FALSE POSITIVE",2309585,"K01004.01",635.2,0.5558396,14220,2807,0.14,8,19720,6.553,-0.003341,1447787600.18164
"CANDIDATE",5780460,"K01005.01",4696,0.5785972,672.5,526,-0.2,5,4181,5.111,0.002963,2016253285.15112
"FALSE POSITIVE",5738346,"K01006.01",3317,0.5832174,306.6,184,-0.1,53,1417,9.197,0.0143,783598310.867962
"CANDIDATE",1725016,"K01007.01",421.1,0.441064,853,1128,-0.08,8,8481,2.347,5.81e-05,568763278.062613
"FALSE POSITIVE",1722276,"K01008.01",18720,0.3934874,717,22,-0.46,18,161,3.092,0.003193,1440174575.14768
"FALSE POSITIVE",892772,"K01009.01",239.7,0.5923188,1297,1676,-0.2,8,12580,2.318,0.001634,531360385.787505
"FALSE POSITIVE",5728283,"K01011.01",47410,0.342184,77220,2571,-0.28,5,19990,94.07,0.00551,39758402000.4146
"FALSE POSITIVE",8127639,"K01012.01",473.8,0.4360124,7589,5029,-0.2,8,27270,1.5,-0.0008791,3877760876.46722
"FALSE POSITIVE",6047498,"K01013.01",305.7,0.4182628,9320,9534,-0.36,5,32130,1.588,-0.0002016,4410422060.01506
"CANDIDATE",8125580,"K01014.01",1452,0.1763598,445.6,511,-1.7,5,3675,2.363,0.0003361,1167331567.66061
"CANDIDATE",8158127,"K01015.01",557.3,0.5036848,512.8,675,0.16,26,5364,2.724,6.305e-05,1206438677.27494
"CANDIDATE",8158127,"K01015.02",142.1,0.5036848,1061,1195,0.16,26,8985,1.676,-1.131e-05,661505670.718399
"CANDIDATE",8158127,"K01015.03",242.9,0.5036848,228.4,200,0.16,26,1632,2.898,0.0001437,323641157.471492
"FALSE POSITIVE",8176653,"K01016.01",674.9,0.5773524,2698,1672,-0.1,5,11240,2.376,0.00103,6512565026.9658
"CANDIDATE",8174625,"K01017.01",816.6,0.5355212,447.1,697,-0.04,5,5484,3.484,-0.0001174,1243098314.83432
"FALSE POSITIVE",8183911,"K01018.01",149,0.274486,1023,912,-0.76,5,6701,5.091,0.002142,600342847.640661
"FALSE POSITIVE",2309719,"K01020.01",10480,0.4055394,17240,219,0,31,1674,2.834,0.000404,12136642278.0305
"FALSE POSITIVE",2558363,"K01021.01",166.1,0.4140674,16290,8549,-0.44,5,31350,0.5125,-0.00118,1411172298.03525
"CANDIDATE",2716853,"K01022.01",944.8,0.4810936,449.9,663,-0.12,5,5116,2.735,0.0003277,622016879.540082
"FALSE POSITIVE",2716853,"K01022.02",655.4,0.4810936,90.81,111,-0.12,5,837,2.811,0.0002161,255665493.005416
"FALSE POSITIVE",2445154,"K01023.01",606.1,0.6292104,949.5,1129,-0.26,5,8818,2.044,0.04957,599199917.990374
"CANDIDATE",2715135,"K01024.01",821.4,0.6412376,1373,1019,-0.06,46,7354,2.279,-0.0001063,3422419561.70189
"FALSE POSITIVE",2574201,"K01025.01",1226,0.5486754,197.3,262,-0.2,53,1881,3.637,0.01101,328183526.857687
"FALSE POSITIVE",2166206,"K01028.01",220.6,0.4363828,997.7,898,0.02,18,6601,2.789,0.006211,839093699.371783
"CANDIDATE",2164169,"K01029.01",655.2,0.4830644,256.6,537,0.04,18,4136,3.52,-0.0004387,525354270.722323
"CANDIDATE",2574338,"K01030.01",463.4,0.4745428,838.9,784,0.24,18,5647,1.864,-0.0001454,775480614.32714
"CANDIDATE",2584163,"K01031.01",255.5,0.4008032,504.6,1140,-0.16,5,8679,1.531,0.0003419,286667966.711078
"FALSE POSITIVE",5899544,"K01034.01",2265,0.4599388,6371,2349,-0.34,8,15750,5.798,-0.01621,8136664490.23423
"FALSE POSITIVE",5963222,"K01035.01",5064,0.3872874,105900,6021,0.04,18,32130,8.664,-0.009748,89986620970.2546
"FALSE POSITIVE",5982353,"K01036.01",12970,0.2803704,244300,727,-0.3,5,5591,47.49,0.004368,40650448236.6928
