"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_depth_sn","tce_eqt_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"CANDIDATE",3967760,"K01760.02",0.2888,2978,4.271,1.255,-0.0003816,1.9929768917082,12.2647738527567,17.510460251046,1.06666666666667,0.317102803738318
"CANDIDATE",4067336,"K01761.01",0.8672,1089,6.084,-0.8483,0.0009665,12.8684627575277,6.65191146881288,10.2428722280887,0.2,0.147072072072072
"FALSE POSITIVE",5387843,"K01762.01",0.1393,17650,-0.2063,1.466,-0.0006666,6.16986301369863,31.4463176574978,10.0534759358289,-1.13333333333333,1.15182186234818
"FALSE POSITIVE",10491044,"K01763.01",2.188,13920,-0.4625,0.3004,-6.385e-06,8.03861625100563,4.88657105606258,22.7557411273486,-1.08571428571429,-7.04293193717278
"CANDIDATE",11904734,"K01764.01",0.8602,1038,5.25,-0.1947,-0.000141,29.7232824427481,62.165024891431,23.6614173228346,-1.08571428571429,3.99672131147541
"FALSE POSITIVE",8043714,"K01765.01",1.065,4579,3.594,-0.05126,-0.003327,466.56942823804,615.740740740741,13.1603773584906,-0.2,0.829946524064171
"FALSE POSITIVE",3654950,"K01766.01",2.954,12320,0.3746,0.1299,-0.01184,73.1407648494711,1276.78391959799,17.5583482944345,-1.65714285714286,-55.7056145675266
"FALSE POSITIVE",8223328,"K01767.01",1.249,611.2,5.201,-0.01453,-2.487e-05,79.4791666666667,527.027027027027,23.5514018691589,-0.4,-15.8692307692308
"FALSE POSITIVE",4150390,"K01768.01",3.029,1042,36.05,-0.1076,-0.002809,45.3109327983952,435.681893595841,10.5714285714286,-0.866666666666667,-14.1830985915493
"FALSE POSITIVE",8444552,"K01769.01",1.13,95840,0.3542,0.06493,0.001198,244.257703081233,2680.4759806082,16.8965517241379,-2.46666666666667,11.2341650671785
"FALSE POSITIVE",7918217,"K01770.01",6.153,2776,-9.038,-20.87,0.0223,40.6298252742788,27.18789407314,0,-0.08,-238.223938223938
"FALSE POSITIVE",11342573,"K01771.01",3.339,633.6,3.283,0.05774,0.006436,29.7725024727992,546.717411988582,9.41048034934498,0.233333333333333,-12.8472906403941
"FALSE POSITIVE",3345675,"K01772.01",1.771,371.9,-9.206,0.08687,-0.0001377,5.06188247529901,90.5248490478402,24.7167868177137,0.466666666666667,-21.0968660968661
"FALSE POSITIVE",10153011,"K01773.01",4.589,980.7,-1.56,-0.2772,0.000281,36.0824742268041,210.993146082516,22.2297297297297,-3.46666666666667,-3.46705426356589
"FALSE POSITIVE",11285136,"K01774.01",1.356,9670,1.272,-0.04827,0.0002291,278.334880841845,249.064546304958,10.8333333333333,-1.26666666666667,16.2660550458716
"FALSE POSITIVE",4913000,"K01775.01",1.194,8592,0.575,-40.76,0.01993,629.107373868047,62.9951570843164,17.8205128205128,-0.533333333333333,569.858156028369
"FALSE POSITIVE",8453214,"K01776.01",0.7619,18870,1.812,-51.08,0.07777,17.3821548821549,51.8804566823371,21.474358974359,-0.6,15.070796460177
"FALSE POSITIVE",5110423,"K01777.01",2.054,13210,0.8779,-1.479,0.01245,213.492741246798,2.55837059115748,15.4381084840056,-1.8,65.3658536585366
"FALSE POSITIVE",5444384,"K01778.01",2.396,77910,0.4323,0,0,94.1690682036503,181.740775780511,10.048309178744,0.7,0
"CANDIDATE",9909735,"K01779.01",0.3337,5901,2.366,0.1869,0,34.8723404255319,197.751976284585,16.6134185303514,1.4,1.76118721461187
"CANDIDATE",9909735,"K01779.02",0.1754,1878,-1.716,-0.02377,0,3.14615707685846,79.1673338670937,16.6013071895425,1.4,-0.905982905982906
"FALSE POSITIVE",5450814,"K01780.01",1.223,3744,3.069,-0.3035,3.472e-05,35.7937384898711,441.255006675567,23.531746031746,-4.93333333333333,-11.7213930348259
"CANDIDATE",11551692,"K01781.01",0.3251,3929,3.693,0.177,8.549e-06,33.0251046025105,215.147027713137,30.2631578947368,0.466666666666667,18.3511450381679
"CANDIDATE",11551692,"K01781.02",0.2952,5875,2.101,0.2384,-3.923e-05,50.0834724540901,111.147168586727,30.2229299363057,0.466666666666667,9.20380952380953
"CANDIDATE",11551692,"K01781.03",0.4018,608.1,39.58,0.1426,5.015e-05,8.58100800346096,46.8761285662694,30.2564102564103,0.466666666666667,5.12612612612613
"FALSE POSITIVE",8678664,"K01782.01",1.187,1532,8.144,-0.1251,0.0002329,36.517719568567,297.488861887404,12.9354207436399,0.133333333333333,-3.71544715447154
"CANDIDATE",10005758,"K01783.01",2.502,451.2,18.33,0.2057,0.0001024,310.752688172043,92.8720687253309,12.5993883792049,0.133333333333333,-3.53619302949062
"CANDIDATE",10005758,"K01783.02",0.7707,338.3,-14.57,0.1725,9.725e-05,10.193094629156,49.0364660539579,12.5882352941176,0.133333333333333,0.666228070175439
"CANDIDATE",10158418,"K01784.01",0.699,3018,2.982,-0.3602,0.0007173,112.985759111755,142.400263765249,17.5355450236967,0,2.21710526315789
"FALSE POSITIVE",9366989,"K01785.01",1.246,39360,0.6753,0.2882,0,28.2140812821981,19.1964827167981,10.2777777777778,1.13333333333333,348.663967611336
"FALSE POSITIVE",3128793,"K01786.01",1.432,7960,1.682,0.1605,-0.000788,15.1232551232551,125.624178712221,13.8721351025332,0.933333333333333,-14.4611973392461
"CANDIDATE",5864975,"K01787.01",0.7444,530.4,43.02,0.3091,-0.001524,7.45998262811763,107.777777777778,14.1176470588235,-1.53333333333333,-2.88574317492417
"CANDIDATE",2975770,"K01788.01",0.4722,460.1,19.41,-0.1831,0.001125,1.2683218665869,105.81727337616,33.6633663366337,0.8,-1.02049180327869
"FALSE POSITIVE",2975770,"K01788.02",1.578,175.2,14.6,1.21,-0.001339,35.361216730038,14.0508410269382,33.6752136752137,0.8,-0.21129883843717
"FALSE POSITIVE",5565497,"K01789.01",0.08364,27830,0.9063,-443.6,0,5.36531585220501,11.9584569732938,12.448132780083,-0.857142857142857,-156.793893129771
"CANDIDATE",6504954,"K01790.01",0.5258,552.8,73.19,-0.07051,-0.0003013,2.75359233634912,101.944830323477,9.34177215189873,0.333333333333333,0.574962406015038
"FALSE POSITIVE",4144231,"K01791.01",1.909,1784,0.5417,22.34,-0.1341,11.4253057492285,25.3923278116826,22.2707423580786,-13.2,-316.867469879518
"CANDIDATE",8552719,"K01792.01",0.7508,1757,60.39,0.01568,0.0008261,15.8698437099667,158.248847926267,17.5965665236052,2.4,9.45363408521303
"FALSE POSITIVE",8552719,"K01792.02",0.3878,6149,4.189,0.446,6.613e-06,15.8556988497734,33.8978701565307,17.5855130784708,2.4,1.70142180094787
"CANDIDATE",8552719,"K01792.03",2.542,44820,0.545,1.946,-5.021e-05,504.84693877551,18.088772845953,17.5946547884187,2.4,-2.05772870662461
"CANDIDATE",5731623,"K01793.01",0.8602,4329,2.347,1.321,0.004971,153.215989471953,65.9530026109661,9,-0.8,2.69135802469136
"FALSE POSITIVE",6153672,"K01794.01",0.6464,4754,1.847,0.7088,0.0008661,40.6217391304348,64.5201323772752,12.0652173913043,-1.73333333333333,-0.39294670846395
"FALSE POSITIVE",9674608,"K01795.01",0.4456,5525,1.547,1.291,-0.001419,44.3131462333826,69.49844012479,23.4933333333333,0.4,2.07333333333333
"FALSE POSITIVE",10019399,"K01796.01",1.024,1594,-2.328,-0.1371,-7.194e-05,64.2412451361868,224.722838137472,4.27509293680297,-1.86666666666667,-0.586376021798365
"CANDIDATE",10676014,"K01797.01",0.2721,2039,7.056,0.1176,1.283e-05,6.44046627810158,90.3479125248509,36.3333333333333,0,2.1622641509434
"FALSE POSITIVE",6867766,"K01798.01",0.9005,1346,1.884,-0.186,0.0005861,37.8615863141524,175.345073774393,9.91676575505351,-0.285714285714286,0.0242211838006231
"FALSE POSITIVE",6058614,"K01799.01",0.781,19510,0.9311,-0.06953,-0.003918,110.845001228199,93.5325602140945,9.68553459119497,-0.4,-3.58106995884774
"CANDIDATE",11017901,"K01800.01",0.5496,1602,-0.4281,-0.2494,6.353e-05,68.8346686088857,141.942508710801,20.0911161731207,0.466666666666667,-10.7153846153846
"CANDIDATE",5088591,"K01801.01",0.3065,2607,0.7563,0.1086,-4.573e-05,7.12815884476534,70.7532467532468,15.8711217183771,-0.4,0.170070422535211
"CANDIDATE",11298298,"K01802.01",0.3788,4174,0.275,0.05943,-7.368e-05,69.9249249249249,83.5563526003587,18.5964912280702,0.666666666666667,-0.892082429501085
"CANDIDATE",4349442,"K01803.01",0.3048,5000,2.648,3.63,0.0006957,24.8453892876864,75.771375464684,35.0210970464135,-0.266666666666667,-41.7974683544304
"FALSE POSITIVE",4349442,"K01803.02",0.2495,2393,1.781,3.454,0.0002806,3.85970915312233,18.6456908344733,35.0595238095238,-0.266666666666667,-30.7333333333333
"FALSE POSITIVE",4349442,"K01803.03",0.2152,5464,3.47,4.469,1.519e-06,2.54732739420935,10.9895675073433,35.0704225352113,-0.266666666666667,-16.1437699680511
"CANDIDATE",11187436,"K01804.01",0.2502,3145,-0.8594,0.0303,-0.0003542,20.0624549603651,84.125932062966,23.5168195718654,-1.4,1.23141486810552
"CANDIDATE",4644952,"K01805.01",0.2972,2995,4.876,-0.05432,5.989e-05,29.002574002574,75.3621908127209,22.6356589147287,-0.533333333333333,0.801651376146789
"CANDIDATE",4644952,"K01805.02",0.2218,5243,0.2917,-0.05761,2.34e-05,9.1464282085154,39.872308462694,22.5663716814159,-0.533333333333333,-0.859313725490196
"CANDIDATE",4644952,"K01805.03",0.1889,1242,-5.532,0.005513,5.936e-06,1.31253391209984,33.9222614840989,22.6609442060086,-0.533333333333333,-1.52227074235808
"FALSE POSITIVE",9529744,"K01806.01",1.421,26670,1.635,-86.27,0,260.268096514745,45.0532247964934,8.82882882882883,-0.8,-61.522633744856
"CANDIDATE",9529744,"K01806.02",0.345,2197,3.521,-1.531,0,4.62340316811446,15.7766709139349,8.7719298245614,-0.8,-0.771965317919075
"CANDIDATE",9529744,"K01806.03",0.2671,3675,3.903,-0.3882,0,4.2684842883549,12.8488032691185,8.77551020408163,-0.8,1.16291309669523
"CANDIDATE",10614012,"K01807.01",2.651,3915,-2.902,-0.5654,-0.0003155,20.5248868778281,79.641638225256,11.6379310344828,-1.8,-18.2931034482759
"CANDIDATE",7761918,"K01808.01",0.5343,533,-3.494,0.1767,-6.759e-06,38.6375661375661,65.0842490842491,15.09375,-0.4,-2.57651515151515
"CANDIDATE",8240797,"K01809.01",0.2277,1900,9.411,-0.5842,0.0001335,11.1911911911912,53.8209159261791,17.4883720930233,0.666666666666667,-3.37604166666667
"CANDIDATE",8240797,"K01809.02",0.2155,5922,0.724,-0.3972,3.369e-05,10.3521779425394,56.3548551093035,17.4789915966387,0.666666666666667,-7.00531914893617
"FALSE POSITIVE",8164262,"K01810.01",8.49,2438,2.377,0.05728,-9.995e-05,3.28623069339468,0.134053586862576,10.4,-0.4,-1.43789473684211
"FALSE POSITIVE",3966262,"K01811.01",1.656,5139,2.802,-44.51,0.08385,16.9187817258883,11.7383177570093,13.6966126656848,-0.933333333333333,-182.214285714286
"FALSE POSITIVE",6279974,"K01812.01",0.1976,21640,0.599,0.04629,-0.0001114,59.7941567065073,166.897613548884,11.1475409836066,1.33333333333333,-34.4512195121951
"CANDIDATE",9455325,"K01813.01",0.4696,2264,2.893,-0.1475,5.997e-05,58.7133041848844,51.3438045375218,26.8817204301075,0,-2.10585106382979
"CANDIDATE",5621125,"K01814.01",0.2143,4467,9.89,0.01192,0.0001302,2.38567293777135,68.3575883575884,6.92028985507246,3.73333333333333,0.470533333333333
"CANDIDATE",9872283,"K01815.01",0.1902,5049,1.842,0.4455,-0.0003892,15.9786856127886,64.0336134453782,3.72654155495979,2.24,0.87956204379562
"CANDIDATE",9872283,"K01815.02",0.06282,8462,0.5813,-2.598,0.0001318,1.24292224830824,7.03663647424632,3.73068432671082,2.24,1.69538461538462
"CANDIDATE",8624520,"K01816.01",0.2835,1647,-1.562,-0.1693,0.0007237,24.3971823354105,39.8141822653368,22.6206896551724,-3.13333333333333,-1.62083333333333
"FALSE POSITIVE",7918172,"K01817.01",4.374,416.9,256.1,17,-0.02987,86.7127071823204,19.7092260603411,4.21897810218978,0.4,16.0255402750491
"CANDIDATE",7870032,"K01818.01",0.2293,2549,5.224,0.3299,-0.0003039,2.1367816091954,52.5281270681668,22.6056338028169,0,0.66046511627907
"CANDIDATE",9597058,"K01819.01",0.3305,2016,5.63,-0.01855,4.609e-05,19.1235813366961,46.0854402789887,25.1459854014599,0,-0.376130434782609
"CANDIDATE",8277797,"K01820.01",0.2447,6423,2.385,-0.07733,-5.792e-05,9.89560195468681,51.4929658340511,25.4731457800512,0.4,-0.450473684210526
"CANDIDATE",8277797,"K01820.02",0.1025,9978,0.8542,-1.016,9.901e-05,2.82116903633491,21.198003327787,25.3703703703704,0.4,0.986224489795918
"CANDIDATE",8832512,"K01821.01",0.4985,3839,6.913,-0.1365,0.0001269,24.4141163496002,54.1300527240773,11.8991097922849,-0.533333333333333,1.84139784946237
"CANDIDATE",5124667,"K01822.01",0.5141,581.2,103,-0.3708,0.0001308,6.38940285954584,54.6563011456628,7.60791366906475,2,0.303542600896861
"FALSE POSITIVE",10092312,"K01823.01",0.1597,2773,0.6531,-0.4447,0,11.0592283116245,43.2985386221294,10.188679245283,0.233333333333333,1.24419889502762
"FALSE POSITIVE",10092312,"K01823.02",0.1367,13940,0.4028,-336.5,0,5.0341163310962,28.7565566183277,10.1764705882353,0.233333333333333,-8.03405572755418
"CANDIDATE",2989404,"K01824.01",0.2267,8980,2.66,-0.1563,4.578e-05,10.8803584403003,57.2490706319703,17.5510204081633,-0.8,-0.781614349775785
"CANDIDATE",2989404,"K01824.02",0.1531,13170,1.064,-0.1671,3.507e-05,7.30787977254265,48.8120950323974,17.5847457627119,-0.8,0.536796536796537
"CANDIDATE",5375194,"K01825.01",0.5413,2477,5.117,0.05489,-0.0001401,29.5677994061366,47.8761699064075,25.6692913385827,0,-2.07093023255814
"CANDIDATE",6468138,"K01826.01",0.3646,719.8,72.36,-0.1016,9.427e-05,0.699613806420468,48.4970760233918,15.6573705179283,0.133333333333333,-0.449666666666667
"FALSE POSITIVE",10031707,"K01827.01",4.387,7165,3.889,-2.487,0.00127,28.2828854314003,12.66255461321,0,-1.28,1.19505494505495
"CANDIDATE",11875734,"K01828.01",0.7216,574,-21.71,0.8917,-0.0005841,10.9243697478992,39.5334174022699,8.88888888888889,-0.914285714285714,1.46295180722892
"FALSE POSITIVE",7697568,"K01829.01",1.335,1010,1.341,-0.03567,0.0005292,13.2675408949574,48.6755525560992,15.6022408963585,-0.2,1.52770562770563
"CANDIDATE",3326377,"K01830.01",0.2757,2847,-1.825,-0.6501,-5.842e-06,3.81903864278982,49.4350961538462,32.3857868020305,0,-4.32098765432099
"CANDIDATE",3326377,"K01830.02",0.5441,601,116,-0.6361,-4.355e-05,2.02688904016338,43.2228283676039,32.4968632371393,0,-1.38097345132743
"CANDIDATE",11601584,"K01831.01",1.072,971.5,9.914,-0.02979,0,39.561170212766,44.6238844028899,31.8604651162791,0.533333333333333,-0.133962264150943
"CANDIDATE",11601584,"K01831.02",0.1974,4803,3.24,-0.2477,0,3.27593738623953,22.2084367245658,31.8027210884354,0.533333333333333,-0.578283712784588
"CANDIDATE",11601584,"K01831.03",0.2501,805.2,-1.284,0.3029,0,8.52423698384201,10.3114503816794,31.75,0.533333333333333,0.234459459459459
"CANDIDATE",11601584,"K01831.04",0.2833,1568,11.27,-1.847,0,0.879471656576775,11.2688296639629,31.8918918918919,0.533333333333333,0.675145631067961
"CANDIDATE",11709244,"K01832.01",0.2441,4423,-0.8969,0.4022,-0.0003564,9.26424216943452,45.6931216931217,22.8187919463087,1.06666666666667,-0.0815062761506276
"CANDIDATE",11709244,"K01832.02",1.213,1554,5.804,0.2499,-0.0001875,11.7430539064355,19.4049542272483,22.7444794952681,1.06666666666667,-0.192870544090056
"CANDIDATE",11709244,"K01832.03",0.3635,907.9,-8.943,0.5814,-0.0004873,3.84748070812528,20.4674291397315,22.7397260273973,1.06666666666667,-2.00378071833648
"CANDIDATE",11853878,"K01833.01",0.2671,4245,1.333,-0.2615,0.0001635,13.875,47.1801400381922,25.2542372881356,-1.93333333333333,1.14864864864865
"CANDIDATE",11853878,"K01833.02",0.4463,1615,3.753,0.2355,-0.0003125,61.2896953985742,28.66937531742,25.2813852813853,-1.93333333333333,1.85719696969697
"CANDIDATE",11853878,"K01833.03",0.4472,2324,2.422,0.5329,-0.0003344,43.7725381414702,28.2532751091703,25.2549019607843,-1.93333333333333,1.4489010989011
"FALSE POSITIVE",5802478,"K01834.01",1.541,5714,1.995,-1.969,0.0008881,137.976291278577,11.4943789415958,10.0840336134454,-1.6,140.3663003663
"CANDIDATE",9471268,"K01835.01",0.1863,9975,1.523,0.0343,7.106e-05,7.99023957409051,40.9142121358442,33.7313432835821,0.266666666666667,2.01608040201005
"CANDIDATE",9471268,"K01835.02",0.234,4574,2.51,0.04463,8.036e-05,9.25048306722262,36.1774330384196,33.6742424242424,0.266666666666667,-0.504602510460251
"CANDIDATE",9471268,"K01835.03",0.1204,2138,4.786,0.9939,-0.0001752,2.22865853658537,25.1219512195122,33.6637931034483,0.266666666666667,1.87066666666667
"FALSE POSITIVE",5389540,"K01836.01",0.5973,3237,-0.4688,29.45,-0.02532,13.2784279728363,15.3747093543194,20.9465020576132,-2.4,40.35
"CANDIDATE",10657406,"K01837.01",0.4038,1547,25.45,0.151,-5.979e-05,8.30443349753694,42.1797451374916,22.9556650246305,2.4,1.9125
"CANDIDATE",10657406,"K01837.02",0.1254,11850,0.8875,0.08803,-4.4e-06,4.10836762688615,25.756152545557,22.8828828828829,2.4,1.47341772151899
"CANDIDATE",5526527,"K01838.01",0.2789,1342,7.516,-0.1914,0.0001305,7.34712837837838,36.7088607594937,39.6581196581197,-0.4,2.22509505703422
"CANDIDATE",5856571,"K01839.01",0.5089,3101,1.975,0.08946,0,43.0751062824752,40.5141579731744,3.51612903225806,-1.6,1.43112582781457
"CANDIDATE",5856571,"K01839.02",0.2324,285.5,48.01,-0.8954,0,1.95090016366612,14.9324510614833,3.51973684210526,-1.6,-1.00150537634409
"CANDIDATE",7765528,"K01840.01",0.9392,4114,5.206,-0.6103,4e-04,148.941840413858,40.0989609104404,16.7456556082149,0.933333333333333,-0.269547325102881
"CANDIDATE",7765528,"K01840.02",0.2476,3878,5.504,1.134,-0.0002146,2.45639219934995,8.96966527196653,16.7478260869565,0.933333333333333,0.51109243697479
"CANDIDATE",11760231,"K01841.01",0.3602,607.2,-4.469,0.596,-0.0002861,10.896017699115,44.0042075736325,27.1621621621622,0,-0.654333333333333
"CANDIDATE",7779077,"K01842.01",0.3345,1677,7.953,0.6517,1e-04,9.75463528366826,33.8270583367811,11.1305732484076,0.333333333333333,-1.16293103448276
"CANDIDATE",5080636,"K01843.01",0.2117,3625,-0.275,-0.1346,2.948e-05,7.69130434782609,39.4051825677267,32.7840909090909,1.73333333333333,0.801162790697674
"CANDIDATE",5080636,"K01843.02",0.02107,1908,-1.269,0.07434,-2.949e-05,0.0173081534772182,9.32707355242566,32.875816993464,1.73333333333333,-1.32605042016807
"FALSE POSITIVE",8892721,"K01844.01",3.664,1525,37,-5.248,0.02348,133.512025499855,43.2764586564849,22.7464788732394,-2.66666666666667,267.697228144989
"CANDIDATE",3338885,"K01845.01",0.1942,9222,0.5813,-0.2933,3.295e-05,7.50417362270451,41.1217881763108,4.07124681933842,1.86666666666667,-0.0374380165289256
"CANDIDATE",3338885,"K01845.02",0.1297,2643,1.218,-0.2644,4.006e-05,5.29159318048207,23.2590706556334,4.07665505226481,1.86666666666667,-1.25714285714286
"CANDIDATE",9886255,"K01846.01",0.4855,700.7,69.71,0.371,0.0007247,1.52235823132651,40.4736842105263,17.8021978021978,0.0666666666666667,-3.23141762452107
"CANDIDATE",6776401,"K01847.01",0.2697,1961,15.16,-0.1933,5.463e-05,1.61552428506582,46.8990384615385,14.4562334217507,-0.466666666666667,0.210365296803653
"CANDIDATE",7430034,"K01848.01",1.03,1495,17.53,0.3137,-0.0002496,59.4645161290323,38.5516178736518,18.5084745762712,1.06666666666667,-2.89471153846154
"CANDIDATE",9735426,"K01849.01",0.1742,2606,5.375,0.8343,-3.32e-05,2.77762757688408,44.3020072992701,30.3448275862069,0.933333333333333,-1.72099644128114
"CANDIDATE",8826168,"K01850.01",0.8635,3221,1.785,-0.07507,-7.165e-05,107.401982875169,39.6615087040619,17.6987447698745,0,1.48235294117647
"CANDIDATE",10464050,"K01851.01",0.3452,4648,0.4708,0.3447,-0.0001733,28.0012040939193,37.8634812286689,10.2803738317757,-0.4,-1.11150793650794
"CANDIDATE",9763348,"K01852.01",0.4523,3496,1.328,0.2576,-5.226e-05,18.1823732953389,35.3750705019741,13.4129213483146,-0.4,-0.166395348837209
"CANDIDATE",8804397,"K01853.01",0.4056,1120,31.39,0.2903,-5.86e-05,4.60626780626781,41.1428571428571,15.5948553054662,1.4,-2.61231884057971
"CANDIDATE",9662811,"K01854.01",0.7306,1357,26.75,-0.2105,0.0001363,26.4510385756677,40.518018018018,21.5555555555556,0,-1.3398406374502
"CANDIDATE",5992270,"K01855.01",2.902,1143,21.61,-0.3563,0.002158,155.234182415777,29.8298616632215,24.5901639344262,-1.13333333333333,-4.55094339622641
"CANDIDATE",11570749,"K01856.01",3.671,1548,31.47,0.3932,-0.0001336,36.6368047779022,20.346038114343,4.7741935483871,-0.2,0.0416332378223496
"CANDIDATE",11297236,"K01857.01",0.4998,859.4,26.63,0.2397,-3.684e-06,5.86148148148148,40.737116764514,19.1666666666667,0,-1.09450980392157
"CANDIDATE",8160953,"K01858.01",0.4373,741.9,-7.342,-0.08643,0.0003993,1.48984088127295,36.9845897542691,26.7768595041322,0,-1.80191570881226
"FALSE POSITIVE",8625821,"K01859.01",2.255,988,4.994,-7.808,0.01018,6.635700066357,0.943593314763231,16.6793893129771,-2.33333333333333,-15.1552631578947
"CANDIDATE",4157325,"K01860.01",0.3708,5054,3.12,-0.7534,-8.963e-05,14.1979082864039,48.2235195996664,19.5634920634921,0.4,-28.2416666666667
"CANDIDATE",4157325,"K01860.02",0.5429,3034,2.166,-0.6002,-0.0001683,20.7914167051223,35.0449293966624,19.6039603960396,0.4,-19.2369942196532
"CANDIDATE",4157325,"K01860.03",0.2095,7115,0.8646,-0.8795,-5.793e-06,3.99333629498001,21.1471793255594,19.53125,0.4,-15.348
"FALSE POSITIVE",4157325,"K01860.04",0.2192,1632,-1.894,-0.5749,-6.336e-05,0.742752293577982,9.65937976614133,19.5924764890282,0.4,-3.29191616766467
"CANDIDATE",3648437,"K01861.01",0.3162,2739,1.641,-1.323,-0.0007065,4.86311326468807,39.2673592126845,11.6220028208745,-1.2,0.933142857142857
"CANDIDATE",7286173,"K01862.01",0.2927,1003,9.433,0.2197,-6.761e-05,2.47340258105131,40.7097232079489,18.0933852140078,0,0.983394833948339
"CANDIDATE",11126381,"K01863.01",0.2357,1257,21.94,-0.103,0.000124,1.25626168224299,36.0481503229595,9.95114006514658,-0.0571428571428571,-0.213505976095618
"CANDIDATE",4149450,"K01864.01",0.3853,12910,1.676,0.3092,-3.979e-05,20.3637957484111,42.3919308357349,20.3866432337434,0.8,0.955020080321285
"FALSE POSITIVE",9115681,"K01865.01",2.084,19660,0.7188,-43.39,0.005624,43.2266435986159,19.4830419841626,6.79156908665105,-0.866666666666667,-252.573529411765
"CANDIDATE",9520838,"K01866.01",0.3557,626.3,-26.13,0.4714,-0.0004844,1.05533199195171,34.2758790263093,21.2727272727273,0,-0.792142857142857
"CANDIDATE",8167996,"K01867.01",0.2137,7558,-0.35,0.6455,-0.0002917,8.11541929666366,29.7390776699029,28.4166666666667,0.266666666666667,0.755483870967742
"CANDIDATE",8167996,"K01867.02",0.2472,1117,-1.17,0.06527,-1.572e-05,8.56446991404012,25.7451923076923,28.4558823529412,0.266666666666667,1.74297082228117
"CANDIDATE",8167996,"K01867.03",0.07811,3671,1.738,0.01299,1.608e-05,0.368870967741936,23.8161559888579,28.4126984126984,0.266666666666667,-0.613100436681223
"CANDIDATE",6773862,"K01868.01",0.1933,1056,9.763,-0.8138,0.0003058,3.36319612590799,36.8792325056433,34.7169811320755,-0.4,0.156360655737705
"FALSE POSITIVE",8009496,"K01869.01",2.431,125.8,38.74,26.22,0,59.141065830721,45.8036677454153,7.26923076923077,-0.914285714285714,-68.4864864864865
"CANDIDATE",10187159,"K01870.01",0.2091,2102,-0.4344,-0.8559,0.0001344,6.82208588957055,38.6740623349181,11.0729023383769,0.533333333333333,0.612727272727273
"CANDIDATE",9758089,"K01871.01",0.7588,699,1.158,-0.9154,-0.00102,10.0434153400868,32.6168457885529,34.6298619824341,0.533333333333333,4.63971962616822
"CANDIDATE",9758089,"K01871.02",0.656,1347,4.482,-0.5331,-0.0008774,20.0667111407605,27.1907681211684,34.7787610619469,0.533333333333333,3.38039215686275
"CANDIDATE",9883311,"K01872.01",1.324,789.8,14.17,0.4916,-0.0006421,15.9490131578947,22.4902882846044,14.4159544159544,-0.666666666666667,1.90888888888889
"CANDIDATE",4939346,"K01873.01",0.5871,992.9,30.06,0.0169,-0.0001287,1.85389111042756,35.0438454043521,9.81404958677686,0.233333333333333,-0.158920454545455
"CANDIDATE",4939346,"K01873.02",0.2515,2081,5.558,-0.1062,2.992e-05,0.147770865733541,12.7598371777476,9.80487804878049,0.233333333333333,1.8530318602261
"CANDIDATE",8978528,"K01874.01",0.409,2131,13.24,1.132,-0.001065,6.12574404761905,37.973137973138,37.9245283018868,-2.93333333333333,-1.88062678062678
"CANDIDATE",8978528,"K01874.02",0.1721,3351,0.5708,-1.324,0.000828,1.42502951593861,18.9198095935555,37.9861111111111,-2.93333333333333,-0.389619883040936
"CANDIDATE",9967771,"K01875.01",0.1128,23660,0.2406,-0.5047,0.000103,3.65854648802274,24.7314949201742,13.2777777777778,0.933333333333333,0.283701657458564
"CANDIDATE",9967771,"K01875.02",0.3356,1756,4.069,0.4178,-0.0001403,5.73904639175258,25.5897733875654,13.2357247437775,0.933333333333333,-0.828109452736318
"CANDIDATE",11622600,"K01876.01",0.3518,715.6,36.07,-0.154,0.0006947,1.16372531888869,36.6524602867106,41.4012738853503,-2.93333333333333,0.538053097345133
"CANDIDATE",10454632,"K01877.01",0.6339,1923,-2.357,0.8029,-0.0002554,44.973646382367,33.8780641106222,31.7391304347826,0.133333333333333,0.237056856187291
"CANDIDATE",3098810,"K01878.01",0.5935,757.6,4.413,-0.19,4.768e-05,47.4059207225288,32.0385470719051,17.7777777777778,1.73333333333333,-1.04093023255814
"CANDIDATE",8367644,"K01879.01",0.4022,918,-4.561,0.611,-0.005159,11.6919016530074,40.1824723721408,37.6470588235294,2,-0.980512820512821
"CANDIDATE",10332883,"K01880.01",0.135,13950,0.5585,-0.5605,0.0002305,10.1984577001588,45.8364661654135,36.1132075471698,-1.06666666666667,-1.709375
"CANDIDATE",4035640,"K01881.01",0.3681,1948,11.19,-0.1084,-0.0003536,2.76848178867652,38.2957884427032,25.7213930348259,1.06666666666667,-2.10535714285714
"CANDIDATE",6205228,"K01882.01",0.1947,5667,1.775,-0.1992,-6.755e-05,4.59039836567927,29.8716683119447,14.9236192714454,0.933333333333333,1.62034383954155
"CANDIDATE",11758544,"K01883.01",0.1915,13390,1.573,0.141,-6.734e-06,9.0934393638171,34.3567251461988,11.7931034482759,0.133333333333333,0.830827067669173
"FALSE POSITIVE",4851530,"K01884.01",0.4951,3838,4.019,-0.08664,0.0002207,1.38629684055841,12.1190781049936,17.2327044025157,-1,-0.252713178294574
