"koi_disposition","kepid","kepoi_name","tce_slogg","tce_minmes","tce_rmesmad","tce_rsnrmes","tce_ptemp","tce_rb_tcount1","tce_fwm_prao"
"CANDIDATE",9527915,"K00165.01",4.56,-3.03,132.7,1.004,2245.84,2,0.0001255
"CANDIDATE",2441495,"K00166.01",4.56,-2.816,88.01,1.068,2264.09,2,0.000255
"CANDIDATE",11666881,"K00167.01",4.25,-4.392,54.86,1.202,2750.79,0,4.078e-05
"CANDIDATE",11512246,"K00168.01",4.09,-3.74,97.99,1.126,2486.08,3,-4.612e-06
"CANDIDATE",11512246,"K00168.02",4.09,-3.328,39.89,1.033,3022.29,1,1.32e-05
"CANDIDATE",11512246,"K00168.03",4.09,-3.643,29.2,1.076,3404.4,9,-1.461e-06
"FALSE POSITIVE",6185711,"K00169.01",4.6,-2.327,83.52,0.8383,2317.91,0,-0.02987
"FALSE POSITIVE",11044770,"K00170.01",3.94,-2.433,59.41,1.041,5189.08,1,-0.003724
"CANDIDATE",7831264,"K00171.01",4.17,-2.053,121.5,1.086,2423.38,25,8.767e-05
"CANDIDATE",7831264,"K00171.02",4.17,-2.926,38.45,1.06,3223.33,7,-0.0001113
"CANDIDATE",8692861,"K00172.01",4.4,-3.546,102.7,1.074,2111.47,0,8.908e-05
"CANDIDATE",8692861,"K00172.02",4.4,-4.817,27.43,1.093,3707.49,0,0.0001001
"CANDIDATE",11402995,"K00173.01",4.3,-3.176,90.01,1.122,2304.71,0,-0.0001198
"CANDIDATE",10810838,"K00174.01",4.58,-3.027,77.79,0.9969,2317.76,0,-0.0001845
"FALSE POSITIVE",8323753,"K00175.01",3.74,-2.334,61.94,1.015,2795.98,0,-0.003715
"CANDIDATE",6442377,"K00176.01",4.19,-2.767,84.14,1.083,3016.47,0,-0.0001025
"CANDIDATE",6803202,"K00177.01",4.38,-3.305,69.58,1.087,2527.8,1,-8.963e-05
"FALSE POSITIVE",11455491,"K00178.01",4.13,-3.632,31.33,1.056,4388.97,0,0.01245
"CANDIDATE",9663113,"K00179.01",4.26,-3.611,139.6,1.028,2577.61,0,0.0001853
"CANDIDATE",9663113,"K00179.02",4.26,-4.577,41.85,1.383,3271.77,0,-3.568e-05
"CANDIDATE",9573539,"K00180.01",4.55,-2.951,133.8,1.013,2311.53,0,-0.0001111
"FALSE POSITIVE",12504988,"K00181.01",4.45,-18.6,2390,0.9073,2636.34,0,0
"CANDIDATE",5376836,"K00182.01",4.52,-22.06,1665,0.895,2338.16,0,-0.0007776
"CANDIDATE",9651668,"K00183.01",4.41,-3.311,3025,0.958,1092.76,0,0.001694
"FALSE POSITIVE",7972785,"K00184.01",4.39,-7.688,1344,0.9951,2471.42,0,-0.0004379
"FALSE POSITIVE",4178389,"K00185.01",4.57,-3.547,1633,0.9282,1110.25,2,0.01859
"CANDIDATE",12019440,"K00186.01",4.44,-2.19,2879,0.9697,1231.74,6,-0.001763
"FALSE POSITIVE",7023960,"K00187.01",4.49,-4.522,1783,0.9258,2093.12,0,-0.0002169
"CANDIDATE",5357901,"K00188.01",4.53,-3.103,2552,0.9826,1043.3,0,0.000323
"CANDIDATE",11391018,"K00189.01",4.54,-3.496,1502,0.9356,1240.24,2,0.0004704
"FALSE POSITIVE",5771719,"K00190.01",3.81,-3.421,891.8,0.8958,1778.14,0,0.0007134
"CANDIDATE",5972334,"K00191.01",4.48,-2.601,1098,0.9495,1148.69,0,0.001427
"CANDIDATE",5972334,"K00191.02",4.48,-2.811,83.6,1.133,2019.21,0,0.0002529
"CANDIDATE",5972334,"K00191.03",4.48,-2.268,31.98,0.9831,2710.73,0,9.406e-05
"CANDIDATE",5972334,"K00191.04",4.48,-4.024,19.04,1.169,3235.93,0,-3.766e-05
"CANDIDATE",7950644,"K00192.01",4.13,-2.975,1811,0.9986,1296.16,0,1.316e-05
"FALSE POSITIVE",10799735,"K00193.01",4.46,-3.812,1471,0.9498,2074.14,0,0.001137
"CANDIDATE",10904857,"K00194.01",4.47,-6.737,1308,0.876,2240.59,0,9.224e-05
"CANDIDATE",11502867,"K00195.01",4.47,-2.823,1902,1.057,860.42,59,0.0009451
"CANDIDATE",9410930,"K00196.01",4.44,-4.269,1129,0.9657,1503.3,0,-0.0004327
"CANDIDATE",2987027,"K00197.01",4.6,-2.365,1194,0.9409,1320.87,0,0.0001316
"FALSE POSITIVE",10666242,"K00198.01",4.5,-3.471,934.8,0.7558,1342.22,1,-0.0002927
"CANDIDATE",10019708,"K00199.01",4.05,-1.626,2529,1.001,1317.85,2,0.0004907
"FALSE POSITIVE",10019708,"K00199.02",4.05,-2.573,21.07,1.128,4017.43,0,-0.0009013
"CANDIDATE",6046540,"K00200.01",4.19,-3.129,1354,0.9316,1484.3,4,-0.0002521
"CANDIDATE",6849046,"K00201.01",4.4,-2.449,2539,0.9739,1230.46,0,0.0001861
"CANDIDATE",7877496,"K00202.01",4.3,-2.408,1826,0.9068,1537.9,2,-0.001587
"CANDIDATE",10619192,"K00203.01",4.43,-2.529,2566,1.085,1374.42,31,0.000807
"CANDIDATE",9305831,"K00204.01",4.15,-2.299,912.4,1.005,1242.12,1,0.001239
"CANDIDATE",7046804,"K00205.01",4.56,-2.633,1148,0.9372,1395.89,0,0.002979
"CANDIDATE",5728139,"K00206.01",4.02,-2.223,966.6,0.9899,1693.44,0,7.626e-06
"CANDIDATE",3762468,"K00208.01",4.4,-2.021,621.3,0.9902,1945.31,10,-0.0008451
"CANDIDATE",10723750,"K00209.01",4.18,-6.697,254.9,0.9817,1906.55,0,-0.000125
"CANDIDATE",10723750,"K00209.02",4.18,-2.619,447.8,0.9876,1938.23,0,-0.0001188
"FALSE POSITIVE",10602291,"K00210.01",4.36,-3.737,392.3,1.024,1719.76,0,0.0005884
"CANDIDATE",10656508,"K00211.01",4.24,-3.432,280.7,0.9321,2351.89,0,0.0007906
"CANDIDATE",6300348,"K00212.01",4.5,-2.774,577.4,1.002,1923.64,0,-0.0008977
"FALSE POSITIVE",9164836,"K00213.01",4.54,-36.5,3478,0.8469,2927.4,0,-0.008019
"CANDIDATE",11046458,"K00214.01",4.5,-2.602,628.1,1.039,1146.99,19,0.0002351
"FALSE POSITIVE",12508335,"K00215.01",4.4,-3.128,401.5,0.9378,1629.09,0,0.0009722
"CANDIDATE",6152974,"K00216.01",4.47,-2.414,305.4,0.9891,1652.24,0,0.001078
"CANDIDATE",6152974,"K00216.02",4.47,-3.443,21.41,1.12,3430.74,2,0.0004392
"CANDIDATE",9595827,"K00217.01",4.54,-2.017,2345,0.8966,1203.81,0,0.001912
"FALSE POSITIVE",9838975,"K00218.01",4.66,-4.174,1700,0.9712,2269.25,0,0.001143
"CANDIDATE",6305192,"K00219.01",4.2,-2.877,560.8,0.9895,1998.55,0,-0.0002373
"CANDIDATE",7132798,"K00220.01",4.57,-3.518,437.3,0.9962,1564.87,2,-5.631e-06
"CANDIDATE",7132798,"K00220.02",4.57,-3.035,22.49,1.127,2763.28,1,2.054e-05
"CANDIDATE",3937519,"K00221.01",4.31,-2.651,656.4,1.009,1424.56,6,-0.0002326
"CANDIDATE",3937519,"K00221.02",4.31,-2.907,17.32,1.114,2325.15,3,-7.155e-05
"CANDIDATE",4249725,"K00222.01",4.7,-2.797,128.4,1.065,1688.8,27,0.0002262
"CANDIDATE",4249725,"K00222.02",4.7,-2.512,76.49,1.063,1976.54,9,-7.528e-05
"CANDIDATE",4545187,"K00223.01",4.63,-2.548,140.5,1.119,1926.3,1,0.0001163
"CANDIDATE",4545187,"K00223.02",4.63,-3.57,52.72,1.082,2932.03,0,0.0004907
"FALSE POSITIVE",5547480,"K00224.01",4.49,-2.373,89.98,1.076,2867.77,3,0.004861
"FALSE POSITIVE",5801571,"K00225.01",4.35,-4.038,379.4,0.9854,1758.07,0,-0.000935
"CANDIDATE",5959753,"K00226.01",4.49,-2.457,101.6,1.103,2278.43,0,0.0003117
"CANDIDATE",3847907,"K00229.01",4.37,-3.345,731.8,1.006,1469.2,0,-0.0008899
"FALSE POSITIVE",3862246,"K00230.01",4.48,-5.333,261.9,0.944,2668.43,2,0.003877
"FALSE POSITIVE",4043443,"K00231.01",4.64,-5.997,109.4,0.9711,3266.83,1,-0.0008265
"CANDIDATE",4833421,"K00232.01",4.28,-2.35,343.2,1.001,1891.59,0,0
"CANDIDATE",4833421,"K00232.02",4.28,-2.3,70.59,1.133,2803.74,0,0
"CANDIDATE",4833421,"K00232.03",4.28,-3.056,35.38,1.032,3195.48,0,0
"CANDIDATE",4833421,"K00232.04",4.28,-2.859,35.48,1.089,3479.61,0,0
"CANDIDATE",4833421,"K00232.05",4.28,-2.688,31.39,1.11,3546.02,0,0
"FALSE POSITIVE",5023956,"K00233.01",4.49,-2.877,1496,0.3821,792.18,0,0.06048
"CANDIDATE",8491277,"K00234.01",4.36,-2.147,127.7,1.099,2482,2,-0.0001339
"CANDIDATE",8107225,"K00235.01",4.58,-2.97,81.48,1.121,2196.76,27,-0.0005645
