"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"CANDIDATE",5364071,"K00248.01",0.044276382,2.829,0.000292,-0.1002
"CANDIDATE",5364071,"K00248.02",0.030106092,1.839,0.0003273,-0.10165
"CANDIDATE",5364071,"K00248.03",0.05410989,3.067,-3.725e-06,0.11001
"CANDIDATE",5364071,"K00248.04",0.02868131,2.376,0.0001609,-0.15231
"CANDIDATE",9390653,"K00249.01",0.045067159,1.764,0.0005224,-0.68752
"CANDIDATE",9757613,"K00250.01",0.053826674,3.002,0.001444,-0.084862
"CANDIDATE",9757613,"K00250.02",0.049739315,2.339,0.001046,-0.1182
"CANDIDATE",9757613,"K00250.03",0.038570106,1.955,0.0003642,-0.045284
"CANDIDATE",9757613,"K00250.04",0.021415914,2.159,0.000243,0.1246
"CANDIDATE",10489206,"K00251.01",0.048472749,1.915,-0.002341,0.036436
"CANDIDATE",10489206,"K00251.02",0.017248663,1.782,-0.0003091,0.38913
"CANDIDATE",11187837,"K00252.01",0.048138295,3.761,0.0001334,-0.038525
"CANDIDATE",11752906,"K00253.01",0.052812418,1.986,0.0001267,-0.30118
"CANDIDATE",11752906,"K00253.02",0.035011285,4.158,-0.000606,-0.053239
"CANDIDATE",5794240,"K00254.01",0.17796879,1.795,0.0003089,-0.012995
"CANDIDATE",7021681,"K00255.01",0.045711658,4.119,0.0003092,0.16181
"CANDIDATE",7021681,"K00255.02",0.014152581,2.658,0.0005235,1.3281
"FALSE POSITIVE",7021681,"K00255.03",0.012181991,3.007,-0.0001288,1.1225
"FALSE POSITIVE",11548140,"K00256.01",0.042292678,0.907,-0.0008784,0.10959
"CANDIDATE",5514383,"K00257.01",0.023672214,2.207,0.0001405,-0.20378
"FALSE POSITIVE",11231334,"K00258.01",0.059074906,6.814,-0.0007727,2.8744
"FALSE POSITIVE",5790807,"K00259.01",0.15038496,6.332,-0.00258,1.7367
"CANDIDATE",8292840,"K00260.01",0.018121591,10.92,6.138e-05,-1.32
"CANDIDATE",8292840,"K00260.02",0.01140123,4.977,1.493e-05,-0.94305
"CANDIDATE",8292840,"K00260.03",0.012630243,6.069,-4.144e-05,-0.80584
"CANDIDATE",5383248,"K00261.01",0.026308255,4.002,-0.0001819,1.1173
"CANDIDATE",11807274,"K00262.01",0.011885259,2.269,-8.77e-06,-0.63284
"CANDIDATE",11807274,"K00262.02",0.012216601,5.08,-3.192e-06,-0.17723
"FALSE POSITIVE",10514430,"K00263.01",0.0086837559,2.064,5.173e-05,4.2177
"FALSE POSITIVE",3097346,"K00264.01",0.012193044,3.958,-0.004655,8.6079
"CANDIDATE",12024120,"K00265.01",0.010694335,3.353,4.349e-05,0.13304
"CANDIDATE",7375348,"K00266.01",0.01312591,5.809,-1.537e-05,0.26258
"CANDIDATE",7375348,"K00266.02",0.012716707,3.071,-0.0001124,-0.088459
"CANDIDATE",3425851,"K00268.01",0.021776271,12.41,0.000119,-0.071831
"CANDIDATE",7670943,"K00269.01",0.011012162,6.64,0,-0.34238
"CANDIDATE",6528464,"K00270.01",0.011215626,6.528,-3.269e-05,0.19418
