"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"CANDIDATE",5735762,"K00148.02",5.7899374,0,-4.422e-05,56.9268635724332
"CANDIDATE",5735762,"K00148.03",32.242941,0,-6.385e-05,159.36262153403
"CANDIDATE",3835670,"K00149.01",11.027106,0,-1.314e-05,91.5062407446584
"CANDIDATE",7626506,"K00150.01",12.031801,0,-0.0001594,60.8744710860367
"CANDIDATE",7626506,"K00150.02",32.274046,0,-0.0002247,94.6464754185774
"CANDIDATE",2307199,"K00151.01",13.224587,0,8.82e-05,369.032258064516
"CANDIDATE",8394721,"K00152.01",39.525752,0,0.0003244,636.857142857143
"CANDIDATE",8394721,"K00152.02",9.9472174,0,0.0001088,117.816012210351
"CANDIDATE",8394721,"K00152.03",15.90715,0,-2.709e-05,189.179185717396
"CANDIDATE",8394721,"K00152.04",97.137913,0,-4.183e-05,85.790987535954
"CANDIDATE",12252424,"K00153.01",6.7505519,0,-0.0001466,84.2956592956593
"CANDIDATE",12252424,"K00153.02",15.177483,0,-0.0001333,85.4822834645669
"CANDIDATE",8030148,"K00155.01",6.0033563,0,-4.061e-05,53.7068403908795
"CANDIDATE",10925104,"K00156.01",16.569973,0,0.0006336,348.139255702281
"CANDIDATE",10925104,"K00156.02",8.2470288,0,0.0001799,180.017263703064
"CANDIDATE",10925104,"K00156.03",4.9275984,0,0.0003111,71.6651501364877
"CANDIDATE",6541920,"K00157.01",33.890353,0,-0.0002271,441.185258964143
"CANDIDATE",6541920,"K00157.02",13.121051,0,-0.0001343,85.4249011857708
"CANDIDATE",6541920,"K00157.03",22.69256,0,0.0001353,98.9896722047598
"CANDIDATE",6541920,"K00157.04",83.20279,0,-6.545e-05,194.784876140808
"CANDIDATE",6541920,"K00157.05",23.723686,0,-0.000213,267.79505946935
"CANDIDATE",6541920,"K00157.06",7.4642327,0,3.354e-06,46.7569091934574
"FALSE POSITIVE",10555375,"K00158.01",3.7020048,0,0.003224,30.9760132340778
"CANDIDATE",8972058,"K00159.01",8.761392,0,6.127e-06,48.66705135603
"CANDIDATE",8972058,"K00159.02",5.3108805,0,5.904e-05,3.26750814332248
"CANDIDATE",6631721,"K00160.01",12.028412,0,-0.001227,340.438247011952
"CANDIDATE",5084942,"K00161.01",7.6270089,0,-1.297e-05,64.5096525096525
"CANDIDATE",8107380,"K00162.01",16.776899,0,-0.0001673,48.7096774193548
"CANDIDATE",6851425,"K00163.01",14.987156,0,-1.631e-06,62.6931407942238
"FALSE POSITIVE",5652237,"K00164.01",2.5230049,0,-0.007128,32.5485436893204
"CANDIDATE",9527915,"K00165.01",19.305601,0,0.0001255,131.138443077846
"CANDIDATE",2441495,"K00166.01",22.038928,0,0.000255,79.700272479564
"CANDIDATE",11666881,"K00167.01",4.1982115,0,4.078e-05,44.5893164847789
"CANDIDATE",11512246,"K00168.01",5.3728254,0,-4.612e-06,100.313126252505
"CANDIDATE",11512246,"K00168.02",10.915842,0,1.32e-05,18.0789529237914
"CANDIDATE",11512246,"K00168.03",4.3671592,0,-1.461e-06,7.41960038058992
"FALSE POSITIVE",6185711,"K00169.01",10.844058,0,-0.02987,79.6710526315789
"FALSE POSITIVE",11044770,"K00170.01",5.5284671,0,-0.003724,83.003746877602
"CANDIDATE",7831264,"K00171.01",7.5032591,0,8.767e-05,31.1296915644742
"CANDIDATE",7831264,"K00171.02",15.187067,0,-0.0001113,26.1454874735889
"CANDIDATE",8692861,"K00172.01",13.83155,0,8.908e-05,47.1606948968512
"CANDIDATE",8692861,"K00172.02",74.73521,0,0.0001001,225.207965717167
"CANDIDATE",11402995,"K00173.01",7.9401517,0,-0.0001198,75.5153707052441
"CANDIDATE",10810838,"K00174.01",70.439712,0,-0.0001845,309.746791536594
"FALSE POSITIVE",8323753,"K00175.01",5.9378343,0,-0.003715,48.026159334126
"CANDIDATE",6442377,"K00176.01",22.149252,0,-0.0001025,89.0261186474995
"CANDIDATE",6803202,"K00177.01",21.746853,0,-8.963e-05,27.5085857009054
"FALSE POSITIVE",11455491,"K00178.01",2.2973795,0,0.01245,30.8730916030534
"CANDIDATE",9663113,"K00179.01",13.101858,0,0.0001853,71.871921182266
"CANDIDATE",9663113,"K00179.02",61.833371,0,-3.568e-05,572.674791533034
"CANDIDATE",9573539,"K00180.01",13.26414,0,-0.0001111,104.590600775194
"FALSE POSITIVE",12504988,"K00181.01",9.4175565,0,0,4303
