"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_ldm_coeff2","tce_ldm_coeff3","tce_robstat","tce_dof1","tce_sma","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tce_maxmes","boot_fap","boot_messtd","tce_rb_tcount0","tce_fwm_prao","tce_time0bk_sn","tce_sma_sn","tce_fwm_sra_sn"
"CANDIDATE",4035640,"K01881.01",140.924,-0.5535492,1.237357,34.83,396,0.17,25,28.2678,140.915,2454970,3.115,3.7857e-248,1.0705,45,-0.0003536,60603.0894141122,11.5332428765265,2798580.97345133
"CANDIDATE",6205228,"K01882.01",133.391,-0.0616824,0.581012,32.97,3078,0.04743,25,3.77058,133.392,2454970,2.007,9.8953e-203,1.0147,334,-6.755e-05,120786.888214787,6.24078947368421,2076931.48345784
"CANDIDATE",11758544,"K01883.01",132.433,0.4773152,-0.1591264,32.95,4347,0.03966,22,2.70729,132.435,2454970,1.775,7.0876e-248,1.0169,431,-6.734e-06,123707.883011219,4.74742638257122,3135321.62601626
"FALSE POSITIVE",4851530,"K01884.01",150.585,-0.120414,0.78712,11.58,342,0.1435,5,23.0826,150.547,2454980,2.577,1.6839e-58,1.1256,39,0.0002207,12807.0250042524,8.12110922467459,1360470.62068966
"CANDIDATE",4851530,"K01884.02",135.806,-0.120414,0.78712,15.97,1521,0.05019,5,4.77499,135.809,2454970,2.833,2.9951e-43,1.0496,169,0.0002146,63564.411119068,8.11873180200582,1419195.89928058
"CANDIDATE",11413812,"K01885.01",131.71,0.4455872,-0.0934042,35.78,2061,0.06259,5,5.65378,131.712,2454960,3.025,1.3638e-234,1.0081,223,-0.0001363,110753.266847177,3.70574304322084,2097945.28101803
"CANDIDATE",9549648,"K01886.01",136.883,0.6102112,-0.358753,37.49,1971,0.06811,22,5.99186,136.882,2454970,3.049,1.1508e-286,1.0089,180,2.793e-05,163145.511928145,4.90706051873199,2296248.50574713
"FALSE POSITIVE",10965740,"K01887.01",136.693,0.2775574,0.1775866,27.02,423,0.1731,5,21.7878,136.693,2454970,7.895,1.4607e-249,1.0555,46,0.02671,45140.3153049026,1.35978004713276,2735826.64756447
"CANDIDATE",10063802,"K01888.01",134.182,0.3980096,-0.1847818,22.95,108,0.5335,22,120.02,134.179,2454970,3.497,1.2933e-162,1.0796,10,-0.0002282,64686.5991110426,7.39841908195812,5507888.76080692
"CANDIDATE",11074178,"K01889.01",135.064,0.2317598,0.244741,29.81,657,0.1129,5,14.3053,135.057,2454970,3.784,1.435e-176,1.0294,68,-0.0004146,53371.479151519,4.18923933209647,1817613.23809524
"CANDIDATE",11074178,"K01889.02",132.416,0.2317598,0.244741,13.35,1008,0.08399,5,9.18186,132.409,2454970,2.304,3.7628e-38,1.0299,107,-8.392e-05,28737.1712932118,4.18902743142145,788633.636363636
"CANDIDATE",7449136,"K01890.01",133.857,0.462523,-0.1948648,43.21,2736,0.05642,0,4.33645,133.852,2454970,2.777,0,1.0291,284,2.583e-05,145127.138168772,27.7794190054161,3328559.62521295
"CANDIDATE",8680979,"K01891.01",143.302,-0.6687952,1.370954,31.13,729,0.114,25,15.9553,143.31,2454980,2.698,1.5718e-190,1.0435,76,7.911e-05,54649.1141094187,14.4431774990498,2103919.14660831
"CANDIDATE",8680979,"K01891.02",137.472,-0.6687952,1.370954,16.23,1368,0.07349,25,8.25983,137.468,2454970,2.752,1.5089e-47,1.0314,144,0.0002001,36405.237066226,14.4409510709373,1039448.97297297
"CANDIDATE",9030537,"K01892.01",178.41,0.1062936,0.408852,27.02,180,0.3016,5,62.5616,178.406,2455010,3.197,1.822e-153,1.0782,21,-0.0001131,54545.7880721407,4.60739382829209,1803156.42201835
"CANDIDATE",8689793,"K01893.01",131.807,0.9347974,-0.7115958,39.11,3339,0.04443,5,3.55485,131.806,2454960,2.124,2.9241e-280,1.0197,359,-0.0001683,135624.420565662,4.02810516772439,2079919.97863248
"CANDIDATE",11673802,"K01894.01",135.368,-0.6125286,1.3056444,57.87,2250,0.06711,0,5.28786,135.368,2454970,1.656,0,1.0562,244,-7.476e-05,82193.6439700293,10.8539543910723,5476232.04419889
"CANDIDATE",4263293,"K01895.01",133.874,0.0333344,0.2567608,29.2,1449,0.06608,5,8.45744,133.875,2454970,2.948,2.044e-204,1.0158,156,0.0001389,92000.7696853911,14.5071350164654,2161736
"CANDIDATE",4263293,"K01895.02",136.006,0.0333344,0.2567608,26.26,711,0.1064,5,17.2811,136.009,2454970,3.457,4.9369e-136,1.0236,77,0.001177,66568.4499045568,14.5077720207254,1852914.95238095
"CANDIDATE",4263293,"K01895.03",142.276,0.0333344,0.2567608,12.93,315,0.1609,5,32.1341,142.275,2454980,3.259,4.6483e-42,1.0394,39,0.00132,35559.8433403399,14.5085662759243,1034872.23404255
"FALSE POSITIVE",10294613,"K01896.01",132.473,-0.337653,0.9644534,72.85,5094,0.02902,5,1.8545,132.489,2454970,3.228,0,1.022,541,0.05941,176834.37987228,5.68462291870715,2796759.12921348
"CANDIDATE",5695524,"K01897.01",148.972,0.5734364,-0.3125436,30.69,198,0.3095,5,59.7714,148.964,2454980,3.22,7.1042e-169,1.084,22,0.0001915,55688.5936547929,3.53997483701247,2121089.96692393
"CANDIDATE",7668663,"K01898.01",136.002,0.0729648,0.4328956,34.31,1782,0.06692,30,6.49805,135.997,2454970,2.868,9.35869999999999e-232,1.021,192,-1.595e-05,106739.394890711,6.92323608524726,2607340.30054645
"CANDIDATE",7047922,"K01899.01",135.177,0.7397876,-0.5490944,32.91,594,0.1463,5,19.7619,135.169,2454970,3.763,2.5037e-211,1.0161,65,-0.0003152,52313.6878524132,3.76189251735665,2038982.31644261
"CANDIDATE",7047922,"K01899.02",140.048,0.7397876,-0.5490944,8.441,1089,0.09612,5,10.5228,140.057,2454970,2.538,5.5812e-18,1.0184,118,0.0001033,17695.5190085819,3.76203522504892,552294.257703081
"CANDIDATE",9353314,"K01900.01",131.88,-0.102934,0.458826,34.82,2295,0.04797,5,5.18499,131.882,2454960,2.389,4.1822e-229,1.0249,249,1.635e-05,116126.305408309,12.4081738230729,2340106.99881376
"CANDIDATE",3629967,"K01901.01",155.125,-0.0102896,0.488127,24.4,144,0.3984,25,85.6567,155.104,2454990,3.735,4.5922e-106,1.1894,15,4.086e-05,39468.3947526435,4.59091956672044,2466859.68992248
"FALSE POSITIVE",5809954,"K01902.01",172.815,0.676484,-0.4473566,24.12,81,0.4035,40,137.864,172.815,2455010,3.591,4.7458e-93,1.221,9,0.0009567,116566.051735186,9.46072684642439,1799254.18181818
"FALSE POSITIVE",3836453,"K01903.01",131.999,-0.547036,1.2799864,51.59,7605,0.02393,4,1.5404,131.994,2454960,6.137,0,1.0679,773,-0.0003418,350419.045950373,19.4869706840391,3993783.29853862
"CANDIDATE",8766650,"K01904.01",136.379,-0.5150732,1.24614,28.37,927,0.09506,22,12.4393,136.376,2454970,3.235,2.7871e-185,1.039,96,5.446e-06,66015.9256480383,14.4139499620925,2639497.59679573
"CANDIDATE",10328393,"K01905.01",136.014,-0.517632,1.25453,30.5,1548,0.06959,14,7.62639,136.012,2454970,2.105,6.7041e-200,1.0193,169,4.554e-05,84714.3675726849,17.861909650924,2189102.97823597
"CANDIDATE",10328393,"K01905.02",144.242,-0.517632,1.25453,18.42,684,0.114,14,15.9956,144.241,2454980,3.01,1.6899e-77,1.0271,76,9.669e-05,31761.0118287431,17.8571428571429,1336423.84615385
"CANDIDATE",10328393,"K01905.03",154.584,-0.517632,1.25453,14.8,333,0.1893,14,34.2115,154.568,2454990,2.95,3.0058e-39,1.0908,38,-0.0001967,27066.7686882464,17.8584905660377,1209550.25316456
"CANDIDATE",11773328,"K01906.01",134.615,-0.2317132,0.8601976,35.87,1368,0.07993,5,8.71045,134.614,2454970,3.159,1.9886e-251,1.021,148,-0.0002548,235161.659993432,5.74622573687994,2262575.74370709
"CANDIDATE",7094486,"K01907.01",134.048,0.1262544,0.3027912,35.32,999,0.07962,40,11.3501,134.043,2454970,2.961,4.4761e-240,1.0214,110,-4.972e-05,96267.7295414557,12.9442367094781,2313783.92638037
"CANDIDATE",5706966,"K01908.01",137.261,-0.1572672,0.512827,29.22,945,0.0896,45,12.5511,137.265,2454970,2.945,5.9209e-160,1.0093,102,-0.000231,63999.7948440582,26.874625074985,1960336.41851107
"CANDIDATE",5706966,"K01908.02",134.424,-0.1572672,0.512827,15.86,450,0.1384,45,24.0883,134.421,2454970,3.155,4.5191e-56,1.0045,49,-2.791e-05,29472.7425805094,26.8790056321616,1188154.57317073
"CANDIDATE",10130039,"K01909.01",133.958,0.1581432,0.3145496,30.78,927,0.1053,22,12.7581,133.951,2454970,3.013,5.7721e-218,1.0457,100,-4.795e-05,69338.592295827,7.05764075067024,2669835.28591353
"CANDIDATE",10130039,"K01909.02",136.964,0.1581432,0.3145496,25,2034,0.05988,22,5.47029,136.969,2454970,2.637,7.3523e-132,1.0459,220,1.626e-05,83292.6896014887,7.05882352941176,2045161.11111111
"CANDIDATE",10130039,"K01909.03",145.569,0.1581432,0.3145496,19.04,441,0.1654,22,25.0987,145.564,2454980,2.775,6.377e-74,1.0697,48,-7.561e-05,54720.2508044387,7.06233988044406,1531417.84
"CANDIDATE",8226050,"K01910.01",147.049,-0.5885968,1.277976,28.12,333,0.1929,25,34.2685,147.054,2454980,3.065,2.1338e-158,1.0433,35,1.002e-05,49613.849460334,11.4753123140988,1981449.94861254
"CANDIDATE",8226050,"K01910.02",135.48,-0.5885968,1.277976,7.856,666,0.1274,25,18.3847,135.489,2454970,2.617,4.5274e-15,1.0237,70,0.0002529,15648.0640891482,11.4774774774775,534057.229916897
"CANDIDATE",9965957,"K01911.01",136.755,-0.576402,1.207038,32.74,1674,0.06324,5,5.75324,136.753,2454970,2.797,5.4608e-199,1.02,177,-0.0005675,142191.40394711,4.70185873605948,1852970.65420561
"FALSE POSITIVE",3952651,"K01912.01",141.293,0.1043987,0.3852545,17.53,369,0.201,13,32.9045,141.297,2454970,3.119,3.2061e-93,1.0384,40,0.01933,20443.6181064481,188378.631677601,1083912.73743017
"CANDIDATE",9704384,"K01913.01",132.298,-0.2591752,0.8869894,34.61,2097,0.05844,30,5.50858,132.301,2454970,2.562,1.5946e-267,1.0311,231,-1.633e-05,110080.460630871,10.5525460455038,2823780.3806735
"CANDIDATE",8426567,"K01914.01",143.251,-0.7041802,1.375255,28.23,612,0.137,5,18.9305,143.253,2454980,2.617,2.3041e-164,1.08,59,0.0004188,69215.084676153,1.74455622055266,2480750.8974359
"CANDIDATE",9101496,"K01915.01",132.612,0.0730128,0.369155,33.99,1782,0.07314,14,6.56231,132.606,2454970,2.84,3.7232e-240,1.0226,194,1.028e-05,75033.099842705,4.43272727272727,2570002.60416667
"CANDIDATE",9101496,"K01915.02",149.488,0.0730128,0.369155,9.695,162,0.3471,14,67.8434,149.504,2454980,3.192,1.0043e-27,1.0696,20,9.519e-05,16262.801865096,4.43181818181818,1333622.2972973
"CANDIDATE",6037581,"K01916.01",136.581,0.0792328,0.3754292,29.45,1251,0.09096,14,9.60004,136.573,2454970,2.54,3.9062e-195,1.0858,132,0,80640.1331987176,6.52043010752688,3028038.02816901
"CANDIDATE",6037581,"K01916.02",151.692,0.0792328,0.3754292,24.57,558,0.1517,14,20.6789,151.689,2454980,2.789,5.0386e-119,1.143,59,0,62238.743507053,6.51912333476579,2458599.61880559
"CANDIDATE",6037581,"K01916.03",132.353,0.0792328,0.3754292,14.73,5445,0.03223,14,2.02482,132.355,2454970,2.213,1.1006e-52,1.0455,541,0,71556.8603280674,6.52033178231843,1334426.4137931
"CANDIDATE",10074466,"K01917.01",150.372,0.1384488,0.3066896,29.86,342,0.2124,25,35.0118,150.374,2454980,2.906,1.8112e-163,1.0243,33,1.302e-05,75367.6360027667,7.21222410865874,1868810.38461538
"FALSE POSITIVE",7369865,"K01918.01",152.312,-0.1491824,0.7300356,29.22,306,0.2812,5,42.2626,152.313,2454990,8.198,8.4431e-154,1.0609,32,0.001097,54201.2440749861,1.27412777526053,2714092.93628809
"CANDIDATE",8218379,"K01920.01",133.905,-0.001509,0.596817,34.48,702,0.121,5,16.571,133.909,2454970,3.125,3.1677e-241,1.0248,75,0.0001445,74608.4456504176,5.71833648393195,2446348.39124839
"CANDIDATE",8218379,"K01920.02",137.717,-0.001509,0.596817,7.79,1143,0.08717,5,10.1384,137.716,2454970,2.645,7.5598e-13,1.0194,124,-0.0001698,14615.8842420525,5.71606557377049,576005.424242424
"CANDIDATE",7755636,"K01921.01",135.256,0.6219666,-0.4554624,27.66,720,0.1395,25,16.0051,135.247,2454970,3.723,1.2387e-256,1.024,80,7.444e-05,94636.2351492422,3.80939377389405,5914288.18181818
"CANDIDATE",9411166,"K01922.01",132.303,-0.0604356,0.574668,39.4,6084,0.03069,25,1.95452,132.298,2454970,1.966,1.9212e-274,1.0067,649,-9.75e-05,153145.13384558,7.265625,1925580.19607843
"CANDIDATE",4989057,"K01923.01",137.675,-0.290898,0.9301584,31.8,1251,0.07013,30,7.23402,137.676,2454970,1.901,4.2997e-191,1.0253,133,-0.0001468,105141.971254449,10.3973313565604,2010421.27659574
"CANDIDATE",5108214,"K01924.01",132.528,0.1276064,0.312192,15.02,4455,0.0356,0,2.11917,132.57,2454970,7.112,8.4136e-40,1.1509,471,-0.0006454,43321.9793798257,10.5983923786841,766397.6953125
"CANDIDATE",9955598,"K01925.01",179.083,-0.2821248,0.9027598,24.9,162,0.3182,0,68.9588,179.078,2455010,3.672,2.6901e-114,1.2359,18,-0.0002981,85497.0615054831,28.1592920353982,764792.5
"CANDIDATE",5770074,"K01928.01",169.119,0.1327352,0.3447938,37.92,171,0.3075,30,63.039,169.11,2455000,3.719,3.2514e-291,1.0684,19,-0.0001713,54129.3389024917,7.57762444553967,3101744.09836066
"CANDIDATE",10136549,"K01929.01",132.817,-0.0254912,0.5405524,32.52,1206,0.08939,22,9.69313,132.816,2454970,2.845,1.318e-202,1.0557,133,6.086e-05,52861.6459837455,4.62920766442258,2122650.71350165
"CANDIDATE",10136549,"K01929.02",133.002,-0.0254912,0.5405524,29.32,3339,0.04352,22,3.29275,133.012,2454970,1.212,3.1107e-159,1.0612,367,-2.936e-05,66412.671147374,4.62880238247181,1841654.28571429
"CANDIDATE",5511081,"K01930.01",138.742,0.4866404,-0.1573116,38.31,630,0.1154,0,13.7269,138.753,2454970,2.687,4.0027e-277,1.068,72,8.065e-05,57214.1396146741,19.2750960414231,2897890.16897081
"CANDIDATE",5511081,"K01930.02",137.038,0.4866404,-0.1573116,30.99,369,0.1689,0,24.3102,137.061,2454970,3.31,9.014e-199,1.0624,41,8.22e-05,34909.6041023969,19.2720219078047,2146218.8850967
"CANDIDATE",5511081,"K01930.03",143.547,0.4866404,-0.1573116,28.45,189,0.2525,0,44.4294,143.564,2454980,3.007,2.3032e-156,1.1171,21,7.441e-05,32723.082394135,19.2748091603053,1938876.36176773
"CANDIDATE",5511081,"K01930.04",132.39,0.4866404,-0.1573116,18.99,855,0.08928,0,9.34152,132.381,2454970,2.635,1.6962e-72,1.0511,97,2.749e-05,29246.6647668153,19.2746113989637,1347519
"CANDIDATE",10978763,"K01931.01",134.672,-0.4114364,1.0509592,25.75,2412,0.05449,25,4.97756,134.679,2454970,2.516,8.1012e-157,1.0245,258,-8.251e-05,93521.5727668558,7.16125640688658,2139692.56017505
"CANDIDATE",10978763,"K01931.02",132.564,-0.4114364,1.0509592,15.87,1557,0.06832,25,6.98804,132.569,2454970,2.133,1.3405e-55,1.029,170,-3.971e-05,37897.9507821791,7.16142557651992,1330393.7414966
"CANDIDATE",10978763,"K01931.03",136.348,-0.4114364,1.0509592,12.58,954,0.08995,25,10.5585,136.342,2454970,2.628,8.1546e-37,1.0279,113,0.000238,31739.6911416214,7.16162420382166,1157204.02366864
"CANDIDATE",5202905,"K01932.01",144.478,0.8094686,-0.7356554,36.8,396,0.1769,14,22.8241,144.479,2454980,2.959,2.6555e-286,0.98615,46,-3.231e-05,39754.447948138,5.0891829689298,3860840.90019569
"CANDIDATE",5202905,"K01932.02",143.581,0.8094686,-0.7356554,24.43,603,0.1328,14,14.8445,143.582,2454980,3.006,2.9176e-131,1.0161,71,-0.00014,36588.6040466847,5.0900728248371,2572218.3833116
"CANDIDATE",9072190,"K01933.01",136.473,-0.4267398,1.0596201,35.7,243,0.2529,25,49.1006,136.479,2454970,3.072,5.2423e-218,1.1186,25,4.769e-05,41157.2760254411,4.96174220129488,1990151.89473684
"CANDIDATE",4242147,"K01934.01",132.319,-0.714336,1.4260128,32.77,450,0.1685,25,28.7826,132.321,2454970,3.524,2.336e-211,1.0566,47,-0.000376,55840.4618520503,25.2547961630695,2679545.69816643
"FALSE POSITIVE",5396122,"K01935.01",138.168,0.024508,0.43932,42,657,0.1255,5,15.4443,138.167,2454970,7.809,0,1.0206,71,-0.001385,99293.573168716,3.98159898477157,7211824.90974729
"CANDIDATE",4945877,"K01936.01",132.165,0.3080888,-0.1570148,31.21,8802,0.02887,17,1.33967,132.167,2454970,2.276,4.4009e-199,1.0295,936,0.0001175,202005.30366136,5.24337086814384,1693381.88034188
"CANDIDATE",10190777,"K01937.01",132.645,-0.8357788,1.5126787,49.9,8334,0.02213,25,1.41122,132.645,2454970,2.61,0,1.0546,898,-3.533e-05,436661.169104358,18.1244881244881,4085206.26349892
"CANDIDATE",9651234,"K01938.01",187.09,-0.4773256,1.178349,37.6,135,0.3876,30,96.9169,187.078,2455020,2.876,7.7893e-267,1.183,15,7.471e-05,73274.663470765,15.917864476386,2608488.77005348
"CANDIDATE",7045496,"K01939.01",133.493,0.065874,0.544368,29.15,837,0.1033,5,13.4746,133.499,2454970,4.78,1.9404e-179,1.0342,92,-0.0002012,73189.7605719518,7.25931131412509,1995976.06490872
"CANDIDATE",10005788,"K01940.01",137.362,-0.2201664,0.6189804,28.9,1089,0.08043,5,10.9947,137.358,2454970,3.099,2.8698e-147,1.0182,119,-0.0004767,103305.331398016,12.5456247075339,1854822.40384615
"FALSE POSITIVE",5213902,"K01941.01",132.181,0.7927008,-0.5659634,36.02,9936,0.02222,5,1.19482,132.181,2454970,1.728,1.5095e-242,1.034,1066,-5.973e-05,188354.539327156,3.74200067362748,1996104.91967871
"CANDIDATE",2832589,"K01942.01",136.743,-0.3750592,1.0577816,33.91,1080,0.09133,5,10.8496,136.752,2454970,3.377,2.6076e-238,1.052,114,0.001448,68654.3559464996,8.23534715960325,4065487.84648188
"CANDIDATE",2832589,"K01942.02",133.837,-0.3750592,1.0577816,7.246,4698,0.03372,5,2.4337,133.837,2454970,2.174,4.0389e-13,1.032,469,0.0002857,89171.7580901998,8.232421875,1121596.64705882
"CANDIDATE",7810483,"K01943.01",146.008,0.66547,-0.4264018,31.58,387,0.1953,5,29.9219,146.012,2454980,2.844,6.3327e-208,1.037,43,-0.0001633,77085.6871337311,3.66347777152504,2276948.03804994
"CANDIDATE",2438513,"K01944.01",139.054,0.0667272,0.4233036,25.78,990,0.1031,14,12.1842,139.055,2454970,3.743,1.544e-127,1.0768,107,0.0002032,86810.5455703236,7.76355421686747,2553461.21372032
"FALSE POSITIVE",2438513,"K01944.02",138.813,0.0667272,0.4233036,10.96,1332,0.08021,14,8.36066,138.817,2454970,2.191,2.6894e-32,1.0839,150,0.000916,23972.9552362531,7.7647628267183,1353503.91608392
"CANDIDATE",11656918,"K01945.01",161.147,-0.5892012,1.263634,30.01,198,0.3009,25,62.1389,161.144,2454990,2.766,4.4805e-187,1.0077,21,-7.044e-05,55193.3773564226,1.92022973835354,1852755
"CANDIDATE",10844890,"K01946.01",133.501,0.1362852,0.346414,36.63,1206,0.07931,5,8.2948,133.506,2454970,2.074,2.3352e-260,1.0265,134,-0.0004398,75428.9814621248,4.07344632768362,4332470.87155963
"CANDIDATE",12253474,"K01947.01",135.552,0.5044368,-0.201164,30.68,1809,0.06883,5,6.42296,135.552,2454970,4.015,3.0057e-177,1.0301,166,0.0004272,165316.389314048,3.59801359121798,3903120.48681542
"FALSE POSITIVE",9536692,"K01948.01",155.554,-0.458452,1.14203,30.82,432,0.1627,5,26.635,155.565,2454990,3.315,9.37679999999999e-189,1.0862,46,0.002163,41922.0870221396,6.16989002654532,2039631.74767322
"FALSE POSITIVE",3122985,"K01949.01",131.608,0.8670508,-0.5613456,89.6,11960,0.01789,5,0.993492,131.605,2454960,4.177,0,0.50543,1217,-0.001429,680436.569691392,3.4832554517134,14793894.6969697
"CANDIDATE",3118797,"K01950.01",188.138,-0.103464,0.7365964,31.04,153,0.3032,5,66.4153,188.148,2455020,3.143,1.1955e-155,1.1404,17,-0.0004529,36225.0389422346,6.42100804743753,2554252.75590551
"CANDIDATE",8081187,"K01951.01",152.833,-0.640324,1.2939336,31.86,342,0.3343,25,37.3216,152.858,2454990,3.147,9.12889999999999e-210,1.0381,37,-2.737e-05,41279.7748469224,4.54458945078847,2476155.35248042
"CANDIDATE",7747425,"K01952.01",135.317,-0.1793898,0.7421252,30.45,1449,0.0772,25,8.01039,135.318,2454970,2.416,4.8491e-183,1.0241,153,0.0002711,48695.8493173361,7.16141001855288,1597031.65289256
"CANDIDATE",7747425,"K01952.02",143.857,-0.1793898,0.7421252,20.59,387,0.1764,25,27.6665,143.868,2454980,2.943,1.9795e-88,1.0304,43,0.0001409,28294.9693068119,7.16490658001625,1136711.52941176
"CANDIDATE",7747425,"K01952.03",146.283,-0.1793898,0.7421252,16.76,261,0.2347,25,42.4722,146.298,2454980,3.382,1.945e-57,1.0624,28,-0.0001448,19441.539023823,7.16422466422466,942639.902439024
"CANDIDATE",7747425,"K01952.04",132.72,-0.1793898,0.7421252,15.23,2061,0.05784,25,5.19555,132.73,2454970,2.282,2.5934e-47,1.0265,220,1.635e-05,31523.9671934121,7.16373544711419,788738.897959184
"FALSE POSITIVE",8652999,"K01953.01",136.555,0.306636,0.089336,23.09,774,0.1212,5,15.1605,136.544,2454970,2.078,1.6711e-131,1.0622,83,0.0009234,39308.0538979899,4.02123424021234,1697122.9661017
"FALSE POSITIVE",9468717,"K01954.01",134.007,1.1644232,-1.0704696,31.75,1620,0.07411,5,7.37343,134.006,2454970,9.594,2.1886e-192,1.0175,174,2.078e-05,103528.275648949,5.90047770700637,2295631.10328639
"CANDIDATE",9892816,"K01955.01",132.668,0.5005424,-0.2651704,32.5,801,0.129,22,15.1702,132.668,2454970,2.957,6.3356e-209,1.0463,83,6.494e-05,60371.1422772737,7.17065036131184,2482425.57251908
"CANDIDATE",9892816,"K01955.02",136.479,0.5005424,-0.2651704,22.6,297,0.244,22,39.4567,136.49,2454970,4.615,1.3708e-108,1.0905,32,1.887e-05,22470.7094921661,7.17014399059653,1858273.42857143
"CANDIDATE",9892816,"K01955.03",131.755,0.5005424,-0.2651704,17.79,6615,0.02933,22,1.64422,131.751,2454960,2.807,9.9222e-65,1.0441,711,7.634e-05,67710.073129243,7.16939623563921,1258827.48387097
"CANDIDATE",9892816,"K01955.04",141.974,0.5005424,-0.2651704,14.88,324,0.1859,22,26.2351,141.984,2454970,2.805,8.0217e-48,1.0392,37,2.302e-06,30360.2626857501,7.16930196683378,1227161.76100629
"FALSE POSITIVE",5730389,"K01956.01",131.71,0.10744,0.414416,31.25,4347,0.03718,5,2.75957,131.716,2454960,1.554,2.3601e-165,1.0374,468,0.0007105,47911.09656063,4.47143716175586,1758462.65486726
"CANDIDATE",10028352,"K01957.01",132.534,0.6175192,-0.577884,67.96,6777,0.02882,25,1.3868,132.532,2454970,2.073,0,1.2183,719,-0.0001352,521865.475937345,5.11627906976744,4595559.02777778
"FALSE POSITIVE",10028352,"K01957.02",132.462,0.6175192,-0.577884,11.81,4527,0.03367,25,1.7515,132.462,2454970,1.865,1.2963e-23,1.2834,582,-5.464e-05,13744.8921780023,5.11546642357946,1034001.97916667
"CANDIDATE",9836149,"K01958.01",134.483,0.5435504,-0.1975576,28.45,666,0.1321,64,17.8162,134.475,2454970,2.708,1.2163e-167,1.0691,71,0.0002866,62917.7895052025,7.47171945701357,2324882.7995255
"CANDIDATE",4813563,"K01959.01",151.289,-0.682788,1.3885084,26.67,279,0.1976,25,36.5154,151.296,2454980,3.087,2.9178e-148,1.0431,30,3.36e-05,62221.7195500627,18.0456621004566,2041794.38444924
"CANDIDATE",6949061,"K01960.01",139.396,0.0562684,0.4158602,34.01,1233,0.086,14,8.96851,139.391,2454970,2.184,3.5817e-218,1.0397,140,0.0001709,56112.8084984764,5.54838709677419,2162669.33333333
"CANDIDATE",6949061,"K01960.02",151.068,0.0562684,0.4158602,13.46,495,0.1622,14,23.222,151.064,2454980,2.775,3.3201e-43,1.0207,52,-6.427e-05,31968.6129116222,5.54909339719466,872827.399103139
"CANDIDATE",7269493,"K01961.01",131.638,-0.3050108,0.9330596,41.09,6201,0.02947,22,1.9078,131.641,2454960,3.135,0,1.0469,589,-2.439e-05,222861.41885852,9.92255892255892,3363407.01754386
"CANDIDATE",5513648,"K01962.01",133.511,0.4458528,-0.084735,26.69,279,0.2005,0,32.8589,133.507,2454970,2.813,6.5145e-145,1.0525,28,0.0002217,69318.5535162639,21.960569550931,1435522.27272727
"CANDIDATE",10917681,"K01963.01",136.828,0.6502532,-0.3571816,32.46,963,0.1078,5,12.8962,136.83,2454970,2.868,6.0642e-199,1.0356,102,6.262e-05,79307.246897623,3.74175633460604,2342663.36154776
"CANDIDATE",7887791,"K01964.01",133.091,-0.043085,0.6055692,34.8,5319,0.03242,22,2.22934,133.091,2454970,1.495,1.0069e-245,1.0593,505,-8.377e-06,207360.470152719,8.5903550609433,2784519.54022988
"CANDIDATE",11657891,"K01965.01",132.913,0.1062936,0.408852,29.42,4716,0.03539,5,2.51463,132.908,2454970,2.548,5.5134e-172,1.0258,489,7.792e-05,145670.853335087,4.78825598701123,1520173.93700787
"FALSE POSITIVE",9973855,"K01966.01",134.063,0.1021784,0.4070952,30.86,3213,0.03903,12,2.95601,134.06,2454970,1.841,4.8003e-172,1.028,344,0.002516,106030.623704899,4.44786324786325,1850407.5
"CANDIDATE",6205897,"K01967.01",133.959,-0.5926268,1.367302,32.12,2691,0.04702,17,4.41766,133.966,2454970,2.419,3.7608e-182,1.022,287,0.0001598,120944.195158946,20.9629959875167,1890826.50485437
"CANDIDATE",7948784,"K01968.01",135.137,0.6475992,-0.4350792,33.28,1152,0.09553,5,10.0874,135.136,2454970,2.215,6.362e-227,1.0179,124,0.0001576,67003.9913726851,4.12656587473002,2020824.26160338
"CANDIDATE",9244756,"K01969.01",145.041,-0.0846528,0.6073968,26.76,738,0.1264,25,16.3434,145.049,2454980,2.339,7.892e-160,1.0092,81,-0.0002373,50728.1808070846,7.28950403690888,2412995.06024096
"CANDIDATE",9650808,"K01970.01",133.036,0.2184732,0.2386748,25.67,549,0.1502,5,21.964,133.034,2454970,2.964,1.3043e-124,1.0066,60,0.0001514,50387.8435293761,4.23217807833192,1133719.01162791
"CANDIDATE",9650808,"K01970.02",215.43,0.2184732,0.2386748,19.64,90,0.4804,5,125.602,215.434,2455050,3.216,3.5116e-83,1.0098,10,-0.0004418,35040.7776212675,4.23259911894273,979898.793969849
"CANDIDATE",9347009,"K01971.01",133.268,-0.6278832,1.3250087,25.83,576,0.1337,5,19.3295,133.264,2454970,2.873,4.2418e-138,1.0106,64,6.02e-06,41449.6233492371,9.81644640234949,1977656.06060606
"CANDIDATE",11253711,"K01972.01",149.253,0.555776,-0.1864708,32.15,648,0.1298,17,17.7912,149.251,2454980,2.654,7.9779e-202,1.048,71,2.18e-05,72109.865687506,4.77908689248895,2253346.57534247
"CANDIDATE",11253711,"K01972.02",132.672,0.555776,-0.1864708,17.88,9432,0.02182,17,1.22622,132.686,2454970,1.537,1.7959e-58,1.0492,1023,-1.059e-05,75297.5362804134,4.77879982479194,1147635.05813953
