"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"FALSE POSITIVE",9532424,"K02941.01",2454970,1,0.001278,33.2601156069364,10.4754098360656
"CANDIDATE",4385148,"K02942.01",2454970,1,-0.0004917,28.5820895522388,-1.77509025270758
"CANDIDATE",4385148,"K02942.02",2454990,1,-0.0007773,28.5820895522388,-2.18957746478873
"CANDIDATE",9838468,"K02943.01",2455010,1,-0.0001568,49.9652173913043,-1.4
"FALSE POSITIVE",6781548,"K02944.01",2454970,1,0.03669,28.7756097560976,68.4514925373134
"CANDIDATE",8617363,"K02945.01",2454980,1,0.001058,33.8176470588235,1.24470588235294
"CANDIDATE",9642292,"K02946.01",2454980,1,0.0003105,28.6280193236715,0.889684813753582
"CANDIDATE",6356692,"K02948.01",2454970,1,2.404e-06,45.5491803278689,0.0852482269503546
"CANDIDATE",6026737,"K02949.01",2454970,1,-5.228e-05,50.1367521367521,-0.898281786941581
"CANDIDATE",6026737,"K02949.02",2454970,1,-8.148e-05,50.1367521367521,-1.75982721382289
"FALSE POSITIVE",6028860,"K02950.01",2454960,1,0.0001769,36.9342105263158,2.52353780313837
"CANDIDATE",4991208,"K02951.01",2454970,1,9.95e-06,50.0990990990991,0.151215805471125
"FALSE POSITIVE",8243283,"K02952.01",2454970,1,0.0007757,30.4421052631579,19.2481389578164
"FALSE POSITIVE",6778019,"K02953.01",2454960,1,-0.0003765,26.3620689655172,-6.78378378378378
"FALSE POSITIVE",4571536,"K02954.01",2454960,1,0.0003136,26.1470588235294,1.94782608695652
"FALSE POSITIVE",5108946,"K02955.01",2454960,1,-0.0001027,26.1338912133891,-1.07090719499479
"CANDIDATE",8801316,"K02956.01",2454970,1,-2.001e-05,49.8174603174603,-1.19820359281437
"CANDIDATE",10904004,"K02957.01",2454970,1,-0.0001761,56.3058823529412,-1.30444444444444
"CANDIDATE",10597693,"K02958.01",2454970,1,-0.0002442,30.6328502415459,-0.777707006369427
"CANDIDATE",7466270,"K02959.01",2454970,1,-0.001139,25.3033707865169,-3.24501424501424
"FALSE POSITIVE",10876237,"K02960.01",2454970,1,-0.0008291,36.4327485380117,-13.8645484949833
"CANDIDATE",10471515,"K02961.01",2454970,1,9.946e-06,45.9312977099237,0.376742424242424
"CANDIDATE",4935172,"K02962.01",2454960,1,-3.626e-05,28.803738317757,-0.510704225352113
"CANDIDATE",8760040,"K02963.01",2454970,1,-4.034e-05,75.3291139240506,-0.268933333333333
"CANDIDATE",8760040,"K02963.02",2454970,1,-0.0001499,75.3291139240506,-1.13560606060606
"CANDIDATE",10098844,"K02964.01",2455010,1,9.819e-05,45.1654135338346,0.419615384615385
"FALSE POSITIVE",10098844,"K02964.02",2455000,1,-0.0001417,45.1654135338346,-0.787222222222222
"FALSE POSITIVE",8429415,"K02965.01",2454970,1,-0.0001712,36.9314285714286,-8.77948717948718
"FALSE POSITIVE",5014903,"K02966.01",2454970,1,0.0005631,30.3421052631579,1.49363395225464
"CANDIDATE",5980783,"K02967.01",2454970,1,0.001055,30.3548387096774,2.52997601918465
"CANDIDATE",8873090,"K02968.01",2454970,1,2.61e-05,45.7686567164179,1.50867052023121
"FALSE POSITIVE",8560804,"K02969.01",2454970,1,-0.0001236,74.1604938271605,-1.92223950233281
"CANDIDATE",5450893,"K02970.01",2454970,1,-3.338e-06,45.4586466165414,-0.0912021857923497
"CANDIDATE",4770174,"K02971.01",2454970,1,2.194e-05,45.4172661870504,0.535121951219512
"CANDIDATE",4770174,"K02971.02",2454990,1,-6.083e-05,45.4172661870504,-0.765157232704403
"CANDIDATE",8949925,"K02972.01",2454970,1,-0.0001051,66.4772727272727,-1.35612903225806
"FALSE POSITIVE",8949925,"K02972.02",2454970,1,-0.0001987,66.4772727272727,-1.55234375
"FALSE POSITIVE",5091016,"K02973.01",2454970,1,-0.01078,24.007722007722,-43.2931726907631
"FALSE POSITIVE",6948480,"K02975.01",2455060,1,0.0006775,28.6095238095238,0.66421568627451
"CANDIDATE",6438099,"K02976.01",2454970,1,-0.001193,33.7628205128205,-1.25446898002103
"CANDIDATE",11090556,"K02977.01",2454960,1,3.744e-05,66.953488372093,0.847058823529412
"CANDIDATE",11090556,"K02977.02",2454970,1,3.626e-05,66.953488372093,0.690666666666667
"FALSE POSITIVE",10686814,"K02978.01",2454970,1,-0.0002248,33.328125,-1.08599033816425
