"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_prao","tce_ror_sn","tce_dicco_mdec_sn"
"CANDIDATE",11512246,"K00168.03",7.1729,-1.461e-06,6.51845733869923,-1.79954653937947
"FALSE POSITIVE",6185711,"K00169.01",7.3497,-0.02987,2.00075632779934,-0.60112962962963
"FALSE POSITIVE",11044770,"K00170.01",7.2489,-0.003724,7.70308971660998,23.6012658227848
"CANDIDATE",7831264,"K00171.01",7.1052,8.767e-05,17.2232841813057,0.565269736842105
"CANDIDATE",7831264,"K00171.02",7.1098,-0.0001113,6.51073515476144,-0.268972850678733
"CANDIDATE",8692861,"K00172.01",7.1121,8.908e-05,13.2915150082297,0.3144
"CANDIDATE",8692861,"K00172.02",7.3676,0.0001001,9.96052897359587,-2.46159052453469
"CANDIDATE",11402995,"K00173.01",7.1972,-0.0001198,32.307447382037,0.311014823261117
"CANDIDATE",10810838,"K00174.01",7.1363,-0.0001845,11.811717197072,-0.367552
"FALSE POSITIVE",8323753,"K00175.01",7.2356,-0.003715,28.2585514221935,57.5758706467662
"CANDIDATE",6442377,"K00176.01",7.3087,-0.0001025,16.6713657672668,0.432260869565217
"CANDIDATE",6803202,"K00177.01",7.2397,-8.963e-05,5.00534593957582,0.0182211267605634
"FALSE POSITIVE",11455491,"K00178.01",7.3787,0.01245,33.4489193457399,-65.7352071005917
"CANDIDATE",9663113,"K00179.01",7.4083,0.0001853,31.3232212270565,0.502116279069767
"CANDIDATE",9663113,"K00179.02",10.54,-3.568e-05,31.7188805088767,0.0847421652421653
"CANDIDATE",9573539,"K00180.01",7.5991,-0.0001111,26.4126521499664,-0.409449152542373
"FALSE POSITIVE",12504988,"K00181.01",7.4055,0,1601.3077676465,-1.99010339734121
"CANDIDATE",5376836,"K00182.01",7.4253,-0.0007776,1481.9653566236,-0.0272335329341317
"CANDIDATE",9651668,"K00183.01",7.4117,0.001694,726.058713939753,0.0315562218890555
"FALSE POSITIVE",7972785,"K00184.01",7.5291,-0.0004379,956.605209195126,-0.00833318385650224
"FALSE POSITIVE",4178389,"K00185.01",7.2931,0.01859,25.8989026768924,0.425878084179971
"CANDIDATE",12019440,"K00186.01",7.2969,-0.001763,420.222837868023,-0.100248502994012
"FALSE POSITIVE",7023960,"K00187.01",7.1718,-0.0002169,669.268002768386,-0.00857182890855457
"CANDIDATE",5357901,"K00188.01",7.2022,0.000323,398.613691714726,-0.0730074850299401
"CANDIDATE",11391018,"K00189.01",7.5064,0.0004704,469.036877943818,0.209673590504451
"FALSE POSITIVE",5771719,"K00190.01",7.4235,0.0007134,600.501731522922,0.229955156950673
"CANDIDATE",5972334,"K00191.01",7.0141,0.001427,287.644800567739,-0.126122418879056
"CANDIDATE",5972334,"K00191.02",6.6096,0.0002529,15.7293725372419,0.334715827338129
"CANDIDATE",5972334,"K00191.03",6.3618,9.406e-05,2.04094054159895,1.7620202020202
"CANDIDATE",5972334,"K00191.04",7.596,-3.766e-05,4.65426215805152,0.841451612903226
"CANDIDATE",7950644,"K00192.01",7.2833,1.316e-05,266.138815833351,-0.170537313432836
"FALSE POSITIVE",10799735,"K00193.01",7.1953,0.001137,511.98904023014,1.96627906976744
"CANDIDATE",10904857,"K00194.01",7.3808,9.224e-05,833.937530446303,-0.126863976083707
"CANDIDATE",11502867,"K00195.01",7.1487,0.0009451,590.444561682522,-0.0829357249626308
"CANDIDATE",9410930,"K00196.01",7.1147,-0.0004327,716.98220173379,0.0240898203592814
"CANDIDATE",2987027,"K00197.01",7.2485,0.0001316,114.038662182176,0.211428571428571
"FALSE POSITIVE",10666242,"K00198.01",7.4976,-0.0002927,13.3399904354842,-0.11241456166419
"CANDIDATE",10019708,"K00199.01",7.267,0.0004907,392.134423462515,-0.293467862481315
"FALSE POSITIVE",10019708,"K00199.02",7.4986,-0.0009013,17.0939480430403,176.2982689747
"CANDIDATE",6046540,"K00200.01",7.1422,-0.0002521,346.26522398222,0.755007256894049
"CANDIDATE",6849046,"K00201.01",7.1721,0.0001861,189.771598351228,-0.00986726457399103
"CANDIDATE",7877496,"K00202.01",7.1424,-0.001587,549.769056650872,2.27045123726346
"CANDIDATE",10619192,"K00203.01",8.7428,0.000807,509.709145620036,0.20248502994012
"CANDIDATE",9305831,"K00204.01",7.0993,0.001239,221.176126132984,-2.3004160887656
"CANDIDATE",7046804,"K00205.01",7.2701,0.002979,280.877773900775,-0.092315484804631
"CANDIDATE",5728139,"K00206.01",7.184,7.626e-06,176.25882363109,0.60108504398827
