"koi_disposition","kepid","kepoi_name","tce_impact","tcet_model_chisq","boot_mesmean","tce_fwm_sra","tce_fwm_prao","tce_slogg_sn","tce_albedo_sn"
"FALSE POSITIVE",8953257,"K01383.01",0.7798,124300,0.038835,19.461376,0.001576,22.05,2.65967365967366
"FALSE POSITIVE",8971432,"K01384.01",0.4586,145700,-1,19.838216,0.0002974,66.2857142857143,8.88455284552846
"FALSE POSITIVE",9278553,"K01385.01",0.9295,72340,0.0033138,19.392241,-0.006934,25.1666666666667,2.11374554470789
"FALSE POSITIVE",9143254,"K01386.01",0.9006,80180,-0.44278,19.09079,0.001887,23.5263157894737,1.9984126984127
"FALSE POSITIVE",8949247,"K01387.01",0.92,100200,-0.10819,19.366207,-0.002156,22.35,2.05567171981181
"FALSE POSITIVE",9346253,"K01388.01",0.5333,76090,-0.093647,19.559108,0.001893,21.5238095238095,2.64397905759162
"FALSE POSITIVE",9002237,"K01389.01",0.9577,81120,-0.10014,18.87927,0.0002377,21.4285714285714,2.58782201405152
"FALSE POSITIVE",9288786,"K01390.01",0.9,69430,-0.48463,19.661059,-0.0005417,91.8,10.1262916188289
"FALSE POSITIVE",8958035,"K01391.01",0.9708,73410,0.013621,19.580601,0.0006212,20.3181818181818,1.95480854853072
"FALSE POSITIVE",9040849,"K01392.01",0.8396,58040,-0.18544,19.84026,0.004597,25.4444444444444,2.64028553693358
"CANDIDATE",9202151,"K01393.01",0.9005,56920,-0.16619,18.903677,-0.000729,158,5.0904044409199
"FALSE POSITIVE",8937021,"K01394.01",0.7013,74960,-0.038381,18.98586,0.005098,92,0.790308370044053
"CANDIDATE",8935810,"K01395.01",0.8345,65960,-0.044837,18.947311,-0.0001709,30.4,1.63725843236106
"CANDIDATE",9455556,"K01396.01",0.7853,67470,-0.11675,19.159488,-0.0005119,45.3,1.9340746624305
"CANDIDATE",9455556,"K01396.02",0.8844,62800,-0.13379,19.159517,-0.0005432,45.3,0.919259882253995
"CANDIDATE",9427402,"K01397.01",0.8995,57440,-0.043991,19.978492,-0.001138,95.2,2.74757281553398
"CANDIDATE",9269281,"K01398.01",0.8995,57590,-0.022011,19.06451,0.000333,23.8421052631579,1.89745660072669
"CANDIDATE",9100484,"K01399.01",0.9109,57880,0.039428,19.717379,0.0001231,65.7142857142857,2.18984700973574
"FALSE POSITIVE",9157908,"K01400.01",0.9611,73650,-0.069459,19.545436,-0.004546,20.1818181818182,2.47752456617186
"CANDIDATE",9034103,"K01402.01",0.8908,67690,-0.093975,19.728392,0.0003526,23.6315789473684,1.79615048118985
"CANDIDATE",9214942,"K01403.01",0.7366,71360,-0.049445,19.365331,-0.0001974,94.4,1.49752066115702
"CANDIDATE",8874090,"K01404.01",0.8569,68540,-0.032003,19.136967,0.0001236,48.1,1.58917589175892
"CANDIDATE",8874090,"K01404.02",0.9626,66560,-0.021776,19.13697,3.743e-06,48.1,2.25541479362485
"CANDIDATE",9264949,"K01405.01",0.8964,66360,-0.031741,18.904922,0.0004558,20.952380952381,1.79624664879357
"CANDIDATE",9271752,"K01406.01",0.8858,68260,-0.042206,19.163517,0.0001025,20.2727272727273,1.68981064021641
"CANDIDATE",9150827,"K01408.01",0.8196,74440,-0.070457,19.352974,2.645e-06,117.25,1.85850521179862
"CANDIDATE",9391208,"K01409.01",0.9644,68170,-0.078612,19.016455,-0.0002542,24.6666666666667,2.32708688245315
"CANDIDATE",9391506,"K01410.01",0.7681,68000,-0.052608,19.02904,0.0002231,21.1904761904762,1.61721953037644
"CANDIDATE",9425139,"K01411.01",0.7483,67950,-1.643,19.933009,0.0002981,36.25,2.88711656441718
"CANDIDATE",8950853,"K01412.01",0.8922,67420,-0.07226,19.404992,-0.00016,35.6666666666667,2.63813443072702
"CANDIDATE",9006449,"K01413.01",0.9312,67680,-0.14732,19.023079,-0.0001675,26.1764705882353,2.20774385703649
"CANDIDATE",9006449,"K01413.02",0.7962,61150,-0.17348,19.023072,-0.0001109,26.1764705882353,1.27280701754386
"CANDIDATE",9006449,"K01413.03",0.9011,57770,-0.12636,19.023038,0.0001592,26.1764705882353,1.7358993902439
"FALSE POSITIVE",8916492,"K01414.01",0.9941,68210,-0.027902,20.083607,0.0006166,8.11111111111111,1.23171889838557
"CANDIDATE",11517719,"K01416.01",0.08606,211500,-1,19.76716,0.0008228,22.15,2.65665064102564
"FALSE POSITIVE",11599264,"K01417.01",0.9388,44180,0.012495,18.999254,0.01191,24.0526315789474,2.14424007744434
"FALSE POSITIVE",11100657,"K01418.01",0.9148,47530,-0.046195,19.917368,-0.007874,28.5,2.94305019305019
"FALSE POSITIVE",11125936,"K01419.01",0.9002,53100,-0.077632,19.027491,-0.001369,21.2380952380952,1.90632397700372
"CANDIDATE",11026304,"K01420.01",0.7145,58470,0.034714,19.340855,-1.799e-05,91.2,3.47380033094319
"CANDIDATE",11497958,"K01422.01",0.7871,55410,-0.11921,19.102672,-0.0001627,69.5714285714286,1.66760037348273
"CANDIDATE",11497958,"K01422.02",0.639,52800,-0.093035,19.10269,-0.001162,69.5714285714286,1.35473717343406
"CANDIDATE",11497958,"K01422.03",0.9608,51540,-0.015059,19.102672,-6.503e-05,69.5714285714286,2.47636554621849
"CANDIDATE",11497958,"K01422.04",0.9067,49870,-0.08157,19.102647,0.0006752,69.5714285714286,2.04552690226043
"CANDIDATE",11497958,"K01422.05",0.7717,49080,-0.11312,19.102674,-0.000154,69.5714285714286,0.738520596486048
"CANDIDATE",11177707,"K01423.01",0.556,53940,-0.24219,18.950092,-0.0008647,6.96491228070176,0.954060564349621
"CANDIDATE",11611600,"K01424.01",0.892,68710,-0.34628,19.488581,6.24e-05,77,1.66356300434513
"CANDIDATE",11254382,"K01425.01",0.9036,67990,-0.1248,19.754798,-7.106e-05,26.75,1.34612204398875
"CANDIDATE",11122894,"K01426.01",0.2004,78510,-0.049023,18.880615,-0.0005252,49.5555555555556,0
"CANDIDATE",11122894,"K01426.02",0.9206,72130,-0.22777,18.880609,0.0002431,49.5555555555556,2.26490066225166
"CANDIDATE",11122894,"K01426.03",0.9478,67590,-0.06362,18.880603,0.0002814,49.5555555555556,2.79196089082021
"CANDIDATE",11129738,"K01427.01",0.5066,54280,-0.060442,19.190513,0.0001409,94.4,1.03502919099249
"CANDIDATE",11129738,"K01427.02",0.8471,49030,0.013846,19.190553,-0.0002709,94.4,0.414443676572218
"CANDIDATE",11401182,"K01428.01",0.8996,68080,-0.34241,19.397165,6.485e-05,77.1666666666667,1.58239861949957
"CANDIDATE",11030711,"K01429.01",0.7082,67760,-1.0344,19.490104,-0.0002625,40.5454545454545,2.95352146075409
"CANDIDATE",11176127,"K01430.01",0.7683,68820,-0.017771,18.869293,0.0006065,117,1.22210035645736
"CANDIDATE",11176127,"K01430.02",0.7087,66840,-0.1831,18.869312,-0.0001758,117,1.24659863945578
"CANDIDATE",11176127,"K01430.03",0.8821,65700,-0.039047,18.869296,0.000386,117,1.4293059125964
"CANDIDATE",11075279,"K01431.01",0.8706,54990,-1.4461,19.134826,-6.925e-05,37.5833333333333,3.08342644320298
"CANDIDATE",11014932,"K01432.01",0.9397,67610,-0.23463,18.88047,-0.0001307,43.9,1.96504992867332
"CANDIDATE",11014932,"K01432.02",0.8366,62560,-0.17991,18.880499,-0.0003206,43.9,0.978134110787172
"CANDIDATE",11014932,"K01432.03",0.8759,59890,-0.49502,18.880367,0.0005305,43.9,0.700342465753425
"CANDIDATE",11014932,"K01432.04",0.8144,52730,-0.026318,18.880479,-0.0002028,43.9,0.90460320766507
"CANDIDATE",11288505,"K01433.01",0.7621,54400,-0.052043,19.137153,-0.000272,26.8235294117647,1.08905275099263
"CANDIDATE",11493431,"K01434.01",0.9088,54610,-0.021553,18.900276,0.0002318,75.5,1.16297577854671
"CANDIDATE",11037335,"K01435.01",0.8578,69280,-0.22889,19.685914,3.503e-05,22.65,1.24575448811257
"CANDIDATE",11037335,"K01435.02",0.9674,66230,-0.09407,19.685933,-0.0001998,22.65,1.94062078272605
"CANDIDATE",11389771,"K01436.01",0.8993,55930,-0.068633,18.932205,-0.0001437,22.6,1.1575359757637
"CANDIDATE",11389771,"K01436.02",0.773,48400,-0.17427,18.932195,-0.0001226,22.6,1.13148479427549
"CANDIDATE",11389771,"K01436.03",0.8993,46720,-0.13236,18.932178,6.244e-05,22.6,1.16150442477876
"CANDIDATE",11599038,"K01437.01",0.888,54050,-0.071183,18.989799,-0.0001709,21.2380952380952,1.12101239124703
"FALSE POSITIVE",11599038,"K01437.02",0.8247,50600,0.011631,18.989685,0.0005903,21.2380952380952,0.533167082294264
"FALSE POSITIVE",11599038,"K01437.03",0.8673,48530,-0.086784,18.989766,7.794e-05,21.2380952380952,0.733720930232558
"CANDIDATE",11193263,"K01438.01",0.9001,67640,0.012369,19.552556,1.992e-05,26.1875,2.25215768602752
"CANDIDATE",11027624,"K01439.01",0.3815,70400,-0.069251,19.390117,0.0001214,20.15,1.58382838283828
"CANDIDATE",11032227,"K01440.01",0.7959,67680,-0.032312,19.538984,-0.0001835,22.35,0.847621347500604
"CANDIDATE",11356260,"K01441.01",0.8835,67890,-0.021308,19.64537,-0.0001996,23.3157894736842,1.35604838709677
"CANDIDATE",11600889,"K01442.01",0.9,62700,-0.11444,19.069092,-1.618e-05,44.3,1.85090810517755
"FALSE POSITIVE",11197126,"K01443.01",0.9095,66830,-0.05759,19.668928,0.0003754,16.2727272727273,1.63528748590755
"CANDIDATE",11043167,"K01444.01",0.7156,53470,-0.14358,19.826121,-0.0001833,33.8461538461538,1.74887525562372
"CANDIDATE",11336883,"K01445.01",0.8984,52870,-0.023139,18.92913,-3.925e-05,32.3076923076923,1.61642432930575
"FALSE POSITIVE",12506351,"K01446.01",0.9003,2145000,-0.0087146,19.27,-0.0003892,22.05,0
"FALSE POSITIVE",7622486,"K01447.01",0.8828,174700,-1,19.734993,-0.1379,13.9655172413793,0
"FALSE POSITIVE",7622486,"K01447.02",0.667,68050,-1,19.734977,-0.00109,13.9655172413793,1.97322922476297
"CANDIDATE",9705459,"K01448.01",0.5,238400,0.15014,19.320348,-0.001772,21.75,2.6442239546421
"FALSE POSITIVE",7802136,"K01449.01",0.7452,103900,-0.030959,18.853171,0,24.7777777777778,3.01090909090909
"CANDIDATE",7532973,"K01450.01",0.7377,113400,-1,19.556751,-0.0006926,23.5555555555556,2.90115958034235
"FALSE POSITIVE",9632895,"K01451.01",0.2634,210200,-0.13324,18.882752,-0.001538,32.7857142857143,3.94175627240143
"FALSE POSITIVE",7449844,"K01452.01",0.9725,263500,-0.22109,19.552103,-4.603e-05,11.3913043478261,0
"FALSE POSITIVE",7842610,"K01453.01",0.9312,142500,-0.35335,19.859507,0.02664,24.7222222222222,0
"FALSE POSITIVE",7830637,"K01454.01",0.5618,252400,-0.24797,19.636493,-0.003199,23.9473684210526,2.86318897637795
"FALSE POSITIVE",4760746,"K01455.01",0.8947,43520,-0.0038231,19.698587,0.01305,24.9444444444444,2.05917667238422
"CANDIDATE",7832356,"K01456.01",0.314,69400,-0.093875,19.672997,0.001348,23.8888888888889,1.9951690821256
"CANDIDATE",9643874,"K01457.01",0.6587,58280,0.022794,19.306926,1.654e-05,23.9473684210526,1.98915187376726
"CANDIDATE",12120943,"K01458.01",0.06012,45730,-0.052503,19.771441,-0.001895,23.5263157894737,2.05334354262379
"FALSE POSITIVE",9761199,"K01459.01",0.9098,80130,-1.0741,19.142873,-0.001811,79.1666666666667,4.419921875
"FALSE POSITIVE",7751571,"K01460.01",0.8436,74250,-0.11268,19.418597,0.05989,38.25,4.05673758865248
"FALSE POSITIVE",9579499,"K01461.01",0.9618,113000,-0.040981,19.186982,-0.001824,77.1666666666667,1.78986818299302
"FALSE POSITIVE",11913013,"K01462.01",0.9718,45900,-0.45569,19.401538,-0.00409,0,0.757809694793537
"FALSE POSITIVE",7672940,"K01463.01",0.4687,858700,0.40265,19.217244,-4.533e-05,7.50980392156863,1.00786825251601
"FALSE POSITIVE",7838655,"K01464.01",0.9212,104300,-0.41114,19.793263,0.02393,32.1428571428571,0.921253822629969
"FALSE POSITIVE",11702948,"K01465.01",0.9573,60360,-0.050179,19.076623,0.0005051,26.7647058823529,2.31800518134715
"CANDIDATE",9512981,"K01466.01",0.01124,71000,-0.44895,18.989994,0.0005232,75.6666666666667,3.13320158102767
"FALSE POSITIVE",7770450,"K01467.01",0.9043,61940,-0.45709,19.813027,0,25.1666666666667,1.49561177077956
"FALSE POSITIVE",9851226,"K01468.01",0.9151,55620,-0.29337,19.921465,0.001989,22.2,2.66871165644172
"FALSE POSITIVE",7543649,"K01469.01",0.9694,60490,-0.1945,0,0,22.1,2.5024805102764
"CANDIDATE",9480310,"K01470.01",0.7035,44430,-0.091717,19.823478,-0.0001557,21.4761904761905,1.96284271284271
"FALSE POSITIVE",11858748,"K01471.01",0.962,66620,-0.21442,19.249604,0.02289,23.8947368421053,2.28483920367534
"CANDIDATE",7761545,"K01472.01",0.3631,69250,-0.15357,19.642161,0.001423,40.7272727272727,2.5599685410932
"CANDIDATE",7499398,"K01473.01",0.8075,58130,-0.049313,18.690637,-0.003455,23.6842105263158,2.0526953361599
"CANDIDATE",12365184,"K01474.01",0.3183,92950,-0.48044,19.694538,6.843e-05,27.4,2.60359801488834
"CANDIDATE",4770365,"K01475.01",0.6975,64690,-0.36199,19.828692,0,155.333333333333,1.05716928769658
"CANDIDATE",4770365,"K01475.02",0.8297,54520,-0.27408,19.828674,0,155.333333333333,1.62066549912434
"CANDIDATE",4770365,"K01475.03",0.9324,52470,-0.24962,19.828682,0,155.333333333333,1.82369942196532
"CANDIDATE",12406749,"K01476.01",0.8799,66220,-0.30318,19.390268,0.0007996,34.8461538461538,2.79123505976096
"CANDIDATE",7811397,"K01477.01",0.000468,73840,-1.0187,19.176938,-0.002135,57.375,2.7706366128541
"CANDIDATE",12403119,"K01478.01",0.7171,69880,-0.16162,19.256588,0.0003563,44.9,2.45659824046921
"FALSE POSITIVE",9842890,"K01479.01",0.9389,43330,-0.024555,19.762508,0.001465,25.3888888888889,1.22462203023758
"CANDIDATE",7512982,"K01480.01",0.8076,68530,-0.083096,19.116104,0.001185,75.1666666666667,2.23426678711232
"CANDIDATE",7512982,"K01480.02",0.8989,66170,0.052143,19.116118,4.681e-05,75.1666666666667,0.602543859649123
"CANDIDATE",9597806,"K01481.01",0.8006,60820,-0.036449,19.70515,0.0001292,22.4,1.84340118187787
"FALSE POSITIVE",7812167,"K01482.01",0.9871,58630,-0.04397,19.201969,-0.01046,20.1818181818182,0.574590163934426
"FALSE POSITIVE",11909686,"K01483.01",0.9732,66970,-0.29466,19.276827,-0.0005722,36.0833333333333,1.49152815878651
"FALSE POSITIVE",11760959,"K01484.01",0.8996,56270,-0.091434,19.374613,0.0001986,65,2.52095170454545
"FALSE POSITIVE",9692345,"K01485.01",0.9022,69760,-1.1628,18.811442,0.003828,92.4,0.495353159851301
"CANDIDATE",7898352,"K01486.01",0.8337,68920,-0.35699,19.621121,0.002955,30.5714285714286,2.90917804936497
"CANDIDATE",7898352,"K01486.02",0.7677,67690,-0.13054,19.62112,0.0003757,30.5714285714286,2.11569579288026
"FALSE POSITIVE",12062667,"K01487.01",0.9983,79960,-0.07869,19.470713,0.005615,12.7666666666667,1.14868382991033
"CANDIDATE",9589323,"K01488.01",0.9007,68000,0.025493,19.490263,-0.0001005,56.5,2.21886336154776
"CANDIDATE",9823487,"K01489.01",0.7395,72320,-0.073193,19.21576,0.0006011,46,1.55665227225992
"FALSE POSITIVE",9602514,"K01490.01",0.9999,65250,-0.2743,19.808147,-0.0002321,5.70588235294118,0.529538710547613
"CANDIDATE",9726659,"K01491.01",0.8588,43980,-0.033601,19.851956,0.0003374,29.7333333333333,1.59539732494099
"FALSE POSITIVE",12108312,"K01492.01",0.8916,69570,-0.71232,0,-0.01041,26.8235294117647,1.18981279930344
"FALSE POSITIVE",9842906,"K01493.01",0.9387,43570,0.06474,19.762814,-0.001517,19.9545454545455,2.22204213938412
"CANDIDATE",11821363,"K01494.01",0.8527,31670,-0.070903,19.697129,0.0002737,76,1.26729496691398
"CANDIDATE",7629518,"K01495.01",0.66,68570,-0.10435,19.844311,-0.0003268,21.4285714285714,1.57792041078306
"FALSE POSITIVE",4828341,"K01496.01",0.9703,57610,-0.38123,19.307113,0.0009495,22.4,1.05664092079358
"FALSE POSITIVE",11774387,"K01497.01",0.902,66980,-0.7814,19.802867,0.001298,21.5714285714286,0.692237994563576
"CANDIDATE",9636135,"K01498.01",0.8622,68680,-0.2228,19.003823,-0.0003088,23.1052631578947,1.94230320018687
"CANDIDATE",9636135,"K01498.02",0.8813,62270,-0.30925,19.00375,0.0003441,23.1052631578947,0.847314253489356
"CANDIDATE",7841925,"K01499.01",0.7957,67370,-0.19232,19.848286,-9.779e-05,23.3684210526316,2.0225102319236
"CANDIDATE",7841925,"K01499.02",0.8966,64600,-0.32611,19.84829,-2.928e-05,23.3684210526316,0.645825804119986
"CANDIDATE",7841925,"K01499.03",0.1062,61750,-0.87033,19.848275,1.358e-05,23.3684210526316,0.188801791713326
"FALSE POSITIVE",9719634,"K01500.01",0.8648,68850,-0.062502,19.702326,-0.008204,31.7142857142857,1.23266961651917
"CANDIDATE",7439316,"K01501.01",0.9054,68870,-0.10705,19.341477,6.457e-05,65.2857142857143,1.64568138195777
"FALSE POSITIVE",12061238,"K01502.01",0.8995,68680,-0.25153,19.415502,-0.0008781,51.1111111111111,0.3587109375
"CANDIDATE",12400538,"K01503.01",0.5386,68420,-0.35304,19.152341,2.205e-05,44.5,2.43090787716956
"FALSE POSITIVE",9641018,"K01504.01",0.9006,68450,-0.19158,19.201004,-8.55e-05,24.8888888888889,1.83387622149837
"CANDIDATE",9813499,"K01505.01",0.9663,68460,-0.039287,18.824247,-0.000245,20.5454545454545,1.76292712428183
"CANDIDATE",12254792,"K01506.01",0.8873,67220,-0.12104,19.294947,0.0002267,22.8,2.06586826347305
"CANDIDATE",12020218,"K01507.01",0.7425,67120,-0.077983,19.6935,0.0002227,20.3181818181818,1.38272940328105
"CANDIDATE",7690844,"K01508.01",0.9027,68260,-0.067571,19.635148,-0.0004384,25.0555555555556,2.22871757398612
"FALSE POSITIVE",9535080,"K01509.01",1,69760,-0.49072,19.684232,3.458e-05,20.65,0
"CANDIDATE",11870545,"K01510.01",0.8986,66970,-0.38115,19.672286,-0.0001799,66,0.456900040469446
"CANDIDATE",7901948,"K01511.01",0.891,68600,-0.19791,19.694495,4.34e-05,22.75,1.60735762292183
"FALSE POSITIVE",11955499,"K01512.01",0.9804,53770,0.029355,19.125862,-0.0009802,41.5454545454545,0.954169318905156
"FALSE POSITIVE",9784222,"K01513.01",0.9001,58440,-0.89739,0,0,22.25,1.27538726333907
"FALSE POSITIVE",9520668,"K01514.01",0.8967,69320,-0.22544,19.288143,-0.0004811,76.1666666666667,0.914939382088385
"CANDIDATE",7871954,"K01515.01",0.9011,68370,-0.20343,18.875698,-1.424e-05,119,2.11833505331957
"CANDIDATE",7871954,"K01515.02",0.9038,59930,-0.11276,18.875703,-0.0001137,119,1.75459733671528
"CANDIDATE",12418724,"K01516.01",0.8282,68870,0.046912,19.760229,6.627e-05,21,1.93614428466975
"CANDIDATE",7456001,"K01517.01",0.7781,68190,-0.073276,19.663795,8.175e-05,22.05,1.78840535137629
"CANDIDATE",7549209,"K01518.01",0.9322,67580,0.0032851,19.820081,0.0001586,21.6190476190476,1.90714672441798
"CANDIDATE",7663405,"K01519.01",0.8932,66980,0.04552,18.898518,0.000454,49.4444444444444,1.10722100656455
"CANDIDATE",7663405,"K01519.02",0.6401,62290,-0.068817,18.898567,-0.0001733,49.4444444444444,0.380654890133563
"CANDIDATE",9765975,"K01520.01",0.8761,69700,-0.033092,19.323958,0.0005646,40.1818181818182,2.32601491300746
"CANDIDATE",9818462,"K01521.01",0.9183,69760,-0.09138,19.019749,0.0001013,57.25,2.40200546946217
"CANDIDATE",12266636,"K01522.01",0.6974,68010,-0.2172,19.720453,-0.0001253,23.2105263157895,1.32121458312176
"CANDIDATE",12266636,"K01522.02",0.8997,65660,-0.1428,19.720533,-0.0002624,23.2105263157895,0.738643067846608
"FALSE POSITIVE",9850893,"K01523.01",0.8894,57780,-0.096627,19.915328,0.0001466,22.9473684210526,2.0578273440727
"FALSE POSITIVE",4826110,"K01524.01",0.8909,68050,-0.12335,19.262526,-0.002844,56.625,0.523170731707317
"CANDIDATE",7869917,"K01525.01",0.8998,71790,-0.080032,18.798082,1.724e-05,14.7692307692308,1.49844236760125
"CANDIDATE",7869917,"K01525.02",0.9003,66670,-0.07486,18.798068,7.092e-05,14.7692307692308,1.71728395061728
"CANDIDATE",9824805,"K01526.01",0.9017,67950,-0.14689,19.266193,-0.0001169,23.3157894736842,0.932241813602015
"CANDIDATE",7768451,"K01527.01",0.8309,68710,0.19577,19.77809,-0.0001157,64.1428571428571,2.17130434782609
"CANDIDATE",7691260,"K01528.01",0.8999,67410,-0.073991,19.643311,0.000167,58,1.1474025974026
"CANDIDATE",9821454,"K01529.01",0.9974,66610,-0.10771,19.135974,-8.387e-05,20.2727272727273,0.384921564036525
"CANDIDATE",9821454,"K01529.02",0.8928,63240,-0.083129,19.136025,-0.0002005,20.2727272727273,1.28899204244032
"CANDIDATE",11954842,"K01530.01",0.9014,53800,-0.023945,19.095575,5.884e-05,39.8181818181818,1.85142417244034
"CANDIDATE",11764462,"K01531.01",0.9029,68190,-0.092231,19.505622,4.932e-05,40.8181818181818,1.68824090475542
"CANDIDATE",11656246,"K01532.01",0.8974,68020,-0.063486,19.24411,-4.668e-05,35.4166666666667,2.13258232235702
"CANDIDATE",7808587,"K01533.01",0.8861,67520,0.049472,19.084777,2.783e-05,26.5625,1.49857954545455
"CANDIDATE",4741126,"K01534.01",0.9231,67030,-0.043389,19.339382,1.103e-05,35.5833333333333,2.01982378854626
"CANDIDATE",4741126,"K01534.02",0.8884,64230,-0.10323,19.339374,2.786e-05,35.5833333333333,1.28414331323164
"CANDIDATE",11669125,"K01535.01",0.9022,69040,-0.30451,19.701417,-0.0001317,41.2727272727273,2.29338269319759
"CANDIDATE",12159249,"K01536.01",0.8931,67010,-0.069076,19.431166,-9.189e-05,35.5833333333333,1.47970405918816
"CANDIDATE",9872292,"K01537.01",0.8384,67130,-0.04538,18.764115,5.239e-06,405,2.10616438356164
"FALSE POSITIVE",9963461,"K01538.01",0.2224,779200,-0.16439,19.775317,0,11.9705882352941,1.77414732014904
"CANDIDATE",8081482,"K01539.01",0.5094,914000,-1,18.977599,-0.001246,24.0555555555556,2.97702766057196
"FALSE POSITIVE",5649956,"K01540.01",0.9,569000,0.12117,19.940231,-0.0003614,34.8461538461538,3.07655502392344
"CANDIDATE",4840513,"K01541.01",0.1739,87920,0.057298,19.546336,-0.009301,20,2.53350515463918
"FALSE POSITIVE",8113154,"K01542.01",0.7,55520,-1,19.791841,-0.0006208,24.1111111111111,1.14840242936361
"FALSE POSITIVE",5270698,"K01543.01",0.2339,137900,-0.14811,19.363163,0.001724,16.5652173913043,2.42747111681643
"FALSE POSITIVE",5024450,"K01544.01",0.9333,53590,-0.27908,19.688042,0,20.1363636363636,2.03359683794466
"CANDIDATE",5282049,"K01545.01",0.2472,58230,0.069218,19.589132,0.0008572,22.45,2.62616822429907
"FALSE POSITIVE",5282049,"K01545.02",0.9018,50240,-0.016697,19.589137,-4.278e-05,22.45,1.53519256308101
"CANDIDATE",5475431,"K01546.01",0.9054,210300,-0.034297,19.90095,-0.0005526,26.7058823529412,2.10453444098304
"CANDIDATE",5283458,"K01547.01",0.2991,48220,-0.11167,19.613396,0.004118,22.3,2.12772351615327
"FALSE POSITIVE",9940565,"K01548.01",0.9866,188800,-0.056532,19.083792,0.004089,92.8,3.11065256641733
"FALSE POSITIVE",8053552,"K01549.01",0.9582,68640,0.071291,19.937059,-0.002252,21,2.01271593090211
"FALSE POSITIVE",8111381,"K01550.01",0.9767,73880,-0.50391,19.757743,-0.006438,22.75,2.45661605206074
"FALSE POSITIVE",5444549,"K01551.01",0.9017,63940,0.013733,19.371056,0.02078,22.45,2.67001934235977
"CANDIDATE",7984047,"K01552.01",0.1896,57610,0.03568,19.928399,0.005428,65,2.87065283709579
"CANDIDATE",7951018,"K01553.01",0.3515,68640,-0.078979,19.229053,-9.923e-05,20.0454545454545,1.77205531711969
"FALSE POSITIVE",9899355,"K01554.01",0.9,56550,-0.24647,19.680789,-0.0002101,23.8947368421053,0.618881118881119
"FALSE POSITIVE",12644774,"K01555.01",0.8559,65140,-0.12591,19.270504,0.05107,20.8571428571429,2.38669760247486
"FALSE POSITIVE",9902856,"K01556.01",0.9649,53180,-0.040235,19.761299,-0.04471,21.2857142857143,1.45971351835273
"CANDIDATE",5371776,"K01557.01",0.87,61420,-0.33696,19.629452,-6.917e-06,115.75,1.76267942583732
"CANDIDATE",5371776,"K01557.02",0.8268,59990,-0.28656,19.629451,3.781e-05,115.75,2.5335336409486
"CANDIDATE",5371776,"K01557.03",0.8748,53820,-0.2459,19.629476,-0.0009419,115.75,1.80745055955849
"CANDIDATE",5371776,"K01557.04",0.8992,52480,-0.68053,19.629461,-8.558e-05,115.75,1.15218295218295
"FALSE POSITIVE",10019763,"K01558.01",0.9636,57720,-0.287,19.669748,-0.005001,22.4,1.71897518014412
"FALSE POSITIVE",9899280,"K01559.01",0.9017,85860,-0.2155,19.679115,-0.0005381,116.5,1.68795430944964
"FALSE POSITIVE",8046659,"K01560.01",0.9671,68590,-0.092046,19.827967,0.001488,24.3888888888889,1.54552715654952
"FALSE POSITIVE",4940438,"K01561.01",0.9818,48070,-0.0019325,19.735549,0.0008327,26.3529411764706,0.75629887054735
"FALSE POSITIVE",5308663,"K01562.01",0.9033,60400,-0.53263,19.970293,0.001093,22.6,0.538597955351554
"CANDIDATE",5308663,"K01562.02",0.8547,42300,-0.20538,19.970403,0.0003452,22.6,1.11628865979381
"CANDIDATE",5219234,"K01563.01",0.7866,58290,-0.21197,19.948301,0.0006657,91.2,1.8688623659163
"CANDIDATE",5219234,"K01563.02",0.9197,54250,-0.10815,19.948305,0.0003453,91.2,2.12937743190661
"CANDIDATE",5219234,"K01563.03",0.7318,50590,-0.24239,19.948296,0.000306,91.2,0.66640533124265
"CANDIDATE",5219234,"K01563.04",0.899,46300,-0.17354,19.948306,0.0002916,91.2,1.97656994959815
"CANDIDATE",5184584,"K01564.01",0.4932,68100,-0.0326,19.405589,0.001515,23.6315789473684,1.9743265993266
"FALSE POSITIVE",5636648,"K01565.01",0.9003,69950,-0.43318,19.754725,0.01056,22.75,1.18278750952018
"FALSE POSITIVE",5564247,"K01566.01",0.9003,58670,0.014288,19.942532,0.002988,46.2,1.03508771929825
"CANDIDATE",5438099,"K01567.01",0.8891,59040,-0.14497,19.235918,1.868e-06,92.2,2.98333156386028
"CANDIDATE",5438099,"K01567.02",0.7768,55450,-0.049002,19.2359,0.000596,92.2,1.35118463479602
"CANDIDATE",5438099,"K01567.03",0.8988,53300,-0.18609,19.235917,2.112e-05,92.2,1.53008595988539
"CANDIDATE",5438099,"K01567.04",0.8739,49050,-0.11332,19.235903,0.0006303,92.2,3.09935332157554
"FALSE POSITIVE",5210475,"K01568.01",0.9013,56640,-0.26823,19.833537,0.0006532,28.625,0.68473597359736
"CANDIDATE",8009350,"K01569.01",0.8794,68590,0.010303,18.875309,0.0001229,92.4,2.35772011909826
"CANDIDATE",8082001,"K01570.01",0.9031,56410,-0.13661,18.997528,0.0006397,20.3181818181818,1.522885214474
"FALSE POSITIVE",5557821,"K01571.01",0.9928,60200,-0.13056,19.856112,-0.01319,21.5714285714286,0.644444444444444
"CANDIDATE",10004519,"K01572.01",0.7704,57340,-0.060359,19.248934,0.0001708,20.3181818181818,0.602532679738562
